Time [s], V, RESP, II, AVR, PLETH
0.424,0.51515,0.031762,0.18506,0.62512,1.1153
0.432,0.52004,0.029318,0.18994,0.62023,1.1134
0.44,0.51515,0.026875,0.18994,0.62023,1.1114
0.448,0.52493,0.025165,0.18506,0.62023,1.1075
0.456,0.52004,0.023699,0.2002,0.62023,1.1017
0.464,0.52004,0.022966,0.2002,0.62023,1.0929
0.472,0.52493,0.022233,0.20508,0.60997,1.0831
0.48,0.52493,0.022477,0.20508,0.62023,1.0772
0.488,0.52493,0.022722,0.20996,0.60997,1.0802
0.496,0.52493,0.023943,0.20508,0.60997,1.0958
0.504,0.51515,0.025165,0.21484,0.60508,1.1329
0.512,0.52004,0.02883,0.20996,0.60997,1.2004
0.52,0.51515,0.032739,0.20508,0.61486,1.303
0.528,0.51515,0.038358,0.21484,0.60997,1.4399
0.536,0.51515,0.044222,0.2251,0.59531,1.6051
0.544,0.51515,0.051307,0.2251,0.60508,1.7889
0.552,0.51515,0.058637,0.22021,0.60508,1.9795
0.56,0.52004,0.066699,0.22021,0.6002,2.1652
0.568,0.53519,0.075006,0.25488,0.57527,2.3353
0.576,0.56989,0.082824,0.29492,0.565,2.4839
0.584,0.6002,0.090887,0.33496,0.54008,2.608
0.592,0.61486,0.098461,0.35498,0.52493,2.695
0.6,0.62512,0.10628,0.38525,0.49511,2.7556
0.608,0.62023,0.1141,0.41016,0.47507,2.8065
0.616,0.61486,0.12192,0.44482,0.45015,2.8436
0.624,0.58504,0.12973,0.4502,0.44477,2.8671
0.632,0.54497,0.13755,0.35498,0.50489,2.8798
0.64,0.52004,0.14439,0.30029,0.54985,2.8817
0.648,0.5,0.15123,0.22998,0.59531,2.8739
0.656,0.49511,0.15759,0.19531,0.62023,2.8583
0.664,0.48485,0.16394,0.17529,0.6349,2.8358
0.672,0.48485,0.17078,0.17529,0.63001,2.8084
0.68,0.48485,0.17786,0.17529,0.63001,2.7761
0.688,0.48485,0.18568,0.18506,0.62512,2.7419
0.696,0.49022,0.1935,0.18018,0.62512,2.7048
0.704,0.5,0.20205,0.18506,0.63001,2.6637
0.712,0.5,0.2106,0.18506,0.62512,2.6197
0.72,0.50978,0.21989,0.16992,0.6349,2.5718
0.728,0.5,0.22917,0.090332,0.69013,2.521
0.736,0.62023,0.2387,0.024902,0.73021,2.4663
0.744,0.84506,0.24823,0.56494,0.30987,2.4076
0.752,1.0205,0.258,1.4648,-0.27566,2.3441
0.76,1.0806,0.26802,1.5,-0.50049,2.2766
0.768,0.58016,0.28048,1.4648,-0.17546,2.2053
0.776,0.37977,0.29294,0.75,0.26002,2.129
0.784,0.5,0.30711,0.45508,0.45503,2.0499
0.792,0.56012,0.32152,0.28516,0.56012,1.9785
0.8,0.55523,0.33496,0.21484,0.61486,1.912
0.808,0.55523,0.3484,0.16992,0.64027,1.8407
0.816,0.56012,0.36135,0.1499,0.65494,1.7713
0.824,0.565,0.37454,0.14014,0.66031,1.7058
0.832,0.57527,0.38969,0.12988,0.6652,1.6461
0.84,0.57527,0.40508,0.125,0.67009,1.5934
0.848,0.58016,0.42267,0.14502,0.65494,1.5474
0.856,0.58993,0.44026,0.1499,0.65005,1.5093
0.864,0.59531,0.45981,0.1499,0.65005,1.477
0.872,0.60508,0.47935,0.15527,0.64027,1.4497
0.88,0.61486,0.50012,0.17529,0.64027,1.4272
0.888,0.62512,0.52089,0.18018,0.62023,1.4115
0.896,0.63001,0.53995,0.19531,0.62023,1.3988
0.904,0.6349,0.559,0.20996,0.60997,1.3842
0.912,0.65005,0.57684,0.2251,0.59531,1.3695
0.92,0.65494,0.59467,0.24512,0.58504,1.3539
0.928,0.67009,0.61446,0.25488,0.58016,1.3382
0.936,0.67498,0.6345,0.26514,0.58504,1.3226
0.944,0.68035,0.65575,0.29004,0.56012,1.3069
0.952,0.69501,0.67725,0.31006,0.54985,1.2913
0.96,0.70528,0.6968,0.31006,0.54497,1.2757
0.968,0.71505,0.71634,0.33984,0.52493,1.259
0.976,0.71994,0.73418,0.36523,0.51515,1.2424
0.984,0.73509,0.75226,0.38525,0.5,1.2258
0.992,0.74536,0.77107,0.40479,0.48485,1.2141
1,0.75513,0.79013,0.43506,0.47019,1.2043
1.008,0.7654,0.80992,0.45508,0.45992,1.1916
1.016,0.77517,0.82995,0.47998,0.43988,1.1779
1.024,0.77517,0.8495,0.52002,0.41984,1.1642
1.032,0.77028,0.86929,0.56494,0.39003,1.1505
1.04,0.77517,0.88835,0.58008,0.37977,1.1369
1.048,0.7654,0.9074,0.59521,0.35973,1.1241
1.056,0.73998,0.92353,0.59521,0.3651,1.1134
1.064,0.70528,0.9399,0.56006,0.37977,1.1026
1.072,0.6652,0.95382,0.49023,0.42473,1.0919
1.08,0.62512,0.96775,0.41992,0.47019,1.0821
1.088,0.58504,0.98021,0.3501,0.52004,1.0772
1.096,0.55523,0.99267,0.28516,0.55523,1.0743
1.104,0.53519,0.99634,0.25,0.58504,1.0694
1.112,0.51515,1,0.22021,0.60508,1.0645
1.12,0.50978,1,0.20508,0.62023,1.0596
1.128,0.50978,1,0.2002,0.62023,1.0538
1.136,0.50978,1,0.19531,0.62023,1.0489
1.144,0.50489,1,0.2002,0.62023,1.044
1.152,0.50978,1,0.20508,0.62023,1.0411
1.16,0.50978,1,0.19531,0.62023,1.0371
1.168,0.50978,1,0.2002,0.62023,1.0332
1.176,0.50978,1,0.20508,0.61486,1.0274
1.184,0.50978,1,0.22021,0.60997,1.0235
1.192,0.50978,1,0.22021,0.60997,1.0205
1.2,0.51515,1,0.22021,0.60508,1.0156
1.208,0.50489,1,0.22021,0.60508,1.0147
1.216,0.50978,1,0.2251,0.6002,1.0283
1.224,0.50489,1,0.2251,0.6002,1.0645
1.232,0.50978,1,0.2251,0.6002,1.132
1.24,0.50978,1,0.2251,0.6002,1.2346
1.248,0.50489,1,0.23486,0.59531,1.3724
1.256,0.50978,1,0.22998,0.6002,1.5386
1.264,0.50489,1,0.22021,0.6002,1.7234
1.272,0.5,1,0.22998,0.59531,1.915
1.28,0.50489,1,0.24023,0.59531,2.1007
1.288,0.52493,1,0.26025,0.58504,2.2522
1.296,0.54985,1,0.29492,0.565,2.3754
1.304,0.57527,1,0.33496,0.54008,2.4936
1.312,0.59531,1,0.36523,0.52004,2.5953
1.32,0.60508,1,0.3999,0.49022,2.6764
1.328,0.60508,1,0.4248,0.47019,2.738
1.336,0.60508,1,0.45996,0.45015,2.781
1.344,0.59531,1,0.4751,0.435,2.8074
1.352,0.55523,1,0.39502,0.47996,2.8201
1.36,0.52981,1,0.33008,0.52981,2.8221
1.368,0.5,1,0.27002,0.58016,2.8133
1.376,0.48485,1,0.21484,0.60997,2.7967
1.384,0.49022,1,0.18994,0.63001,2.7732
1.392,0.48485,1,0.18506,0.62512,2.7449
1.4,0.48485,1,0.18994,0.63001,2.7116
1.408,0.48485,1,0.18994,0.62512,2.6735
1.416,0.49022,1,0.19531,0.62023,2.6325
1.424,0.49022,1,0.2002,0.62023,2.5875
1.432,0.5,1,0.19531,0.62023,2.5406
1.44,0.5,1,0.2002,0.62023,2.4897
1.448,0.49511,1,0.12012,0.67009,2.435
1.456,0.59531,1,0.035156,0.71505,2.3754
1.464,0.8304,1,0.43506,0.41007,2.3118
1.472,1.0552,1,1.3599,-0.1955,2.2434
1.48,1.1153,1,1.5,-0.50049,2.1701
1.488,0.6652,1,1.5,-0.28543,2.1017
1.496,0.36999,1,0.82471,0.22483,2.0342
1.504,0.47507,1,0.49512,0.435,1.958
1.512,0.55523,1,0.33496,0.54497,1.8788
1.52,0.56012,1,0.25,0.59531,1.8006
1.528,0.55523,1,0.20508,0.62512,1.7273
1.536,0.565,1,0.17529,0.64027,1.6588
1.544,0.565,1,0.16992,0.64516,1.5973
1.552,0.57527,1,0.16992,0.64516,1.5435
1.56,0.58016,1,0.16504,0.64027,1.4976
1.568,0.58504,1,0.18018,0.6349,1.4585
1.576,0.59531,1,0.18994,0.63001,1.4262
1.584,0.60508,1,0.2002,0.62512,1.4027
1.592,0.60997,1,0.2002,0.62023,1.3851
1.6,0.62023,1,0.21484,0.61486,1.3675
1.608,0.63001,1,0.22998,0.60508,1.35
1.616,0.65005,1,0.24512,0.59531,1.3333
1.624,0.65494,1,0.27002,0.58504,1.3187
1.632,0.67498,1,0.28516,0.56989,1.305
1.64,0.67498,1,0.29004,0.56989,1.2913
1.648,0.69013,1,0.30518,0.56012,1.2786
1.656,0.70039,1,0.31982,0.54985,1.2659
1.664,0.71017,1,0.33984,0.54008,1.2542
1.672,0.72532,1,0.3501,0.52981,1.2434
1.68,0.73509,1,0.36523,0.52493,1.2317
1.688,0.74536,1,0.38525,0.50978,1.2229
1.696,0.75024,1,0.40479,0.5,1.216
1.704,0.7654,1,0.43018,0.47996,1.2063
1.712,0.77517,1,0.4502,0.47507,1.1945
1.72,0.79032,1,0.4751,0.45503,1.1818
1.728,0.79032,1,0.5,0.44477,1.1681
1.736,0.8001,1,0.53516,0.42473,1.1554
1.744,0.80499,1,0.56494,0.40469,1.1427
1.752,0.81036,1,0.58984,0.38514,1.13
1.76,0.8001,1,0.62988,0.35973,1.1183
1.768,0.79521,1,0.65479,0.34506,1.1075
1.776,0.77028,1,0.66016,0.33969,1.0968
1.784,0.74536,1,0.62012,0.35973,1.0899
1.792,0.70528,1,0.55518,0.3998,1.086
1.8,0.6652,1,0.4751,0.44477,1.0792
1.808,0.62512,1,0.3999,0.49511,1.0723
1.816,0.6002,1,0.34521,0.53519,1.0645
1.824,0.57527,1,0.29004,0.565,1.0567
1.832,0.55523,1,0.26025,0.58504,1.0489
1.84,0.54497,1,0.24023,0.59531,1.042
1.848,0.54497,1,0.22998,0.60508,1.0362
1.856,0.53519,0.98607,0.22998,0.60508,1.0313
1.864,0.53519,0.97239,0.2251,0.60997,1.0244
1.872,0.54008,0.94063,0.2251,0.60508,1.0186
1.88,0.54008,0.90911,0.22998,0.60508,1.0147
1.888,0.53519,0.87247,0.22998,0.60997,1.0137
1.896,0.54008,0.83582,0.2251,0.6002,1.0147
1.904,0.54008,0.79575,0.23486,0.6002,1.0108
1.912,0.53519,0.75592,0.23486,0.59531,1.0039
1.92,0.54008,0.71903,0.24023,0.59531,0.99707
1.928,0.54008,0.68214,0.23486,0.59531,0.99707
1.936,0.54008,0.64842,0.22998,0.6002,1.0117
1.944,0.53519,0.61471,0.22998,0.6002,1.0508
1.952,0.53519,0.58197,0.22998,0.6002,1.1232
1.96,0.53519,0.54923,0.2251,0.59531,1.2336
1.968,0.53519,0.51747,0.2251,0.6002,1.3822
1.976,0.53519,0.48595,0.2251,0.59531,1.563
1.984,0.53519,0.45785,0.22021,0.6002,1.7351
1.992,0.53519,0.43,0.22998,0.59531,1.9022
2,0.56012,0.40533,0.24512,0.58993,2.089
2.008,0.58504,0.38065,0.28516,0.565,2.2747
2.016,0.61486,0.36037,0.3252,0.54008,2.4448
2.024,0.64027,0.34034,0.35986,0.52004,2.5914
2.032,0.65005,0.32397,0.39014,0.5,2.7126
2.04,0.64027,0.30784,0.41016,0.48485,2.8074
2.048,0.63001,0.29489,0.43018,0.46481,2.8778
2.056,0.61486,0.28194,0.44482,0.45015,2.9277
2.064,0.58016,0.27168,0.375,0.49511,2.9589
2.072,0.55523,0.26167,0.3252,0.52981,2.9756
2.08,0.53519,0.25336,0.26025,0.57527,2.9785
2.088,0.52004,0.2453,0.21484,0.60997,2.9677
2.096,0.51515,0.2387,0.19531,0.62512,2.9492
2.104,0.51515,0.2321,0.18994,0.62023,2.9247
2.112,0.51515,0.22673,0.19531,0.62512,2.8954
2.12,0.52004,0.22135,0.18994,0.62023,2.8612
2.128,0.51515,0.21671,0.19531,0.62023,2.8221
2.136,0.52004,0.21231,0.2002,0.62023,2.7791
2.144,0.52493,0.20816,0.20508,0.62023,2.7312
2.152,0.52981,0.20401,0.2002,0.61486,2.6804
2.16,0.52004,0.19985,0.12988,0.66031,2.6246
2.168,0.60508,0.19594,0.030273,0.71505,2.564
2.176,0.79521,0.19204,0.43506,0.41496,2.4995
2.184,1.0103,0.18813,1.3398,-0.17546,2.437
2.192,1.2004,0.18422,1.5,-0.50049,2.3734
2.2,0.82014,0.18031,1.5,-0.39052,2.3021
2.208,0.42473,0.17567,0.94971,0.14467,2.2248
2.216,0.50489,0.17102,0.5498,0.3998,2.1437
2.224,0.59531,0.16565,0.3501,0.53519,2.0606
2.232,0.60508,0.16052,0.24023,0.6002,1.9795
2.24,0.6002,0.15612,0.18506,0.63001,1.9013
2.248,0.59531,0.15197,0.16016,0.64516,1.827
2.256,0.6002,0.1483,0.1499,0.65494,1.7595
2.264,0.60508,0.14464,0.14502,0.66031,1.6999
2.272,0.60508,0.14024,0.1499,0.65494,1.6481
2.28,0.60997,0.13609,0.14502,0.65005,1.6041
2.288,0.62023,0.13096,0.1499,0.65494,1.5709
2.296,0.62512,0.12607,0.1499,0.64516,1.5445
2.304,0.62512,0.12045,0.16504,0.64027,1.5191
2.312,0.62512,0.11507,0.17529,0.6349,1.4956
2.32,0.6349,0.10946,0.19531,0.62023,1.4751
2.328,0.65005,0.10408,0.20996,0.61486,1.4555
2.336,0.6652,0.099682,0.2251,0.6002,1.4379
2.344,0.67498,0.095529,0.24023,0.59531,1.4223
2.352,0.68524,0.092108,0.25,0.58993,1.4066
2.36,0.70039,0.088932,0.26514,0.58016,1.391
2.368,0.71017,0.085512,0.28027,0.57527,1.3754
2.376,0.71994,0.082091,0.29492,0.565,1.3597
2.384,0.73021,0.078671,0.31494,0.54985,1.347
2.392,0.74536,0.075495,0.33008,0.54008,1.3372
2.4,0.75024,0.072807,0.3501,0.52493,1.3245
2.408,0.7654,0.070364,0.375,0.51515,1.3118
2.416,0.77517,0.068165,0.3999,0.5,1.2981
2.424,0.79032,0.066211,0.4248,0.48485,1.2845
2.432,0.8001,0.06279,0.4502,0.47019,1.2708
2.44,0.81036,0.059614,0.4751,0.45503,1.2561
2.448,0.82014,0.054972,0.50977,0.43011,1.2414
2.456,0.8304,0.05033,0.54492,0.41007,1.2278
2.464,0.8304,0.044222,0.58008,0.39492,1.2151
2.472,0.8304,0.038358,0.60986,0.37488,1.2033
2.48,0.81525,0.031517,0.64014,0.35973,1.1926
2.488,0.79032,0.024676,0.64502,0.35484,1.1857
2.496,0.75024,0.01808,0.6001,0.37488,1.1808
2.504,0.70528,0.011727,0.52979,0.41007,1.173
2.512,0.64516,0.0056194,0.4502,0.45992,1.1642
2.52,0.6002,-0.00048864,0.375,0.50489,1.1564
2.528,0.565,-0.00048864,0.31006,0.54497,1.1496
2.536,0.54008,-0.00048864,0.26514,0.565,1.1437
2.544,0.52004,-0.00048864,0.22998,0.58993,1.1378
2.552,0.51515,-0.00048864,0.21484,0.59531,1.1329
2.56,0.50978,-0.00048864,0.20996,0.60997,1.129
2.568,0.50978,-0.00048864,0.2002,0.61486,1.1261
2.576,0.50978,-0.00048864,0.20508,0.60997,1.1232
2.584,0.50978,-0.00048864,0.2002,0.60997,1.1241
2.592,0.50978,-0.00048864,0.20996,0.60508,1.1261
2.6,0.50978,-0.00048864,0.20996,0.60508,1.1251
2.608,0.50978,-0.00048864,0.20996,0.60997,1.1212
2.616,0.50978,-0.00048864,0.21484,0.6002,1.1153
2.624,0.50978,-0.00048864,0.22021,0.6002,1.1075
2.632,0.50978,-0.00048864,0.22021,0.59531,1.1017
2.64,0.50978,-0.00048864,0.2251,0.59531,1.1046
2.648,0.50978,-0.00048864,0.2251,0.59531,1.1251
2.656,0.50978,-0.00048864,0.22998,0.59531,1.173
2.664,0.50978,-0.00048864,0.22998,0.58993,1.2571
2.672,0.50489,-0.00048864,0.22998,0.59531,1.3793
2.68,0.50978,-0.00048864,0.22998,0.58993,1.5357
2.688,0.50978,-0.00048864,0.22998,0.59531,1.6921
2.696,0.50978,-0.00048864,0.22998,0.59531,1.8524
2.704,0.50978,-0.00048864,0.24023,0.58504,2.0401
2.712,0.53519,-0.00048864,0.26514,0.56989,2.2326
2.72,0.565,-0.00048864,0.30518,0.54985,2.4154
2.728,0.58993,-0.00048864,0.34521,0.52493,2.5787
2.736,0.60997,-0.00048864,0.37012,0.50489,2.7175
2.744,0.61486,-0.00048864,0.3999,0.48485,2.8299
2.752,0.6002,-0.00048864,0.41504,0.46481,2.9169
2.76,0.58504,-0.00048864,0.43994,0.45015,2.9814
2.768,0.56989,-0.00048864,0.41992,0.44477,3.0254
2.776,0.53519,-0.00048864,0.35986,0.49511,3.0528
2.784,0.51515,-0.00048864,0.31006,0.53519,3.0616
2.792,0.49022,-0.00048864,0.25,0.58016,3.0577
2.8,0.48485,-0.00048864,0.20508,0.60997,3.0479
2.808,0.48485,-0.00048864,0.18994,0.62023,3.0323
2.816,0.48485,-0.00048864,0.19531,0.62023,3.0108
2.824,0.48485,-0.00048864,0.18994,0.62023,2.9824
2.832,0.48485,-0.00048864,0.19531,0.62023,2.9492
2.84,0.48485,-0.00048864,0.2002,0.62023,2.911
2.848,0.49022,-0.00048864,0.2002,0.61486,2.87
2.856,0.5,-0.00048864,0.2002,0.61486,2.824
2.864,0.50489,-0.00048864,0.18994,0.62023,2.7752
2.872,0.5,-0.00048864,0.095215,0.68035,2.7234
2.88,0.60508,-0.00048864,0.040039,0.71994,2.6735
2.888,0.80499,-0.00048864,0.59521,0.30499,2.6217
2.896,0.98534,-0.00048864,1.5,-0.31036,2.564
2.904,1.1202,-0.00048864,1.5,-0.50049,2.5005
2.912,0.65005,-0.00048864,1.5,-0.23558,2.4321
2.92,0.40469,-0.00048864,0.81982,0.21994,2.3587
2.928,0.52004,-0.00048864,0.49512,0.435,2.2815
2.936,0.58016,-0.00048864,0.31982,0.54985,2.2004
2.944,0.56989,-0.00048864,0.23486,0.60508,2.1173
2.952,0.56989,-0.00048864,0.18994,0.63001,2.0332
2.96,0.565,-0.00048864,0.16016,0.64516,1.9511
2.968,0.58016,-0.00048864,0.1499,0.65005,1.8729
2.976,0.58016,-0.00048864,0.14502,0.66031,1.8006
2.984,0.58016,-0.00048864,0.14502,0.66031,1.7419
2.992,0.58504,-0.00048864,0.1499,0.65494,1.694
3,0.59531,-0.00048864,0.1499,0.65005,1.6481
3.008,0.6002,-0.00048864,0.16016,0.64516,1.6061
3.016,0.60997,-0.00048864,0.16992,0.6349,1.5699
3.024,0.62023,-0.00048864,0.18018,0.6349,1.5386
3.032,0.63001,-0.00048864,0.2002,0.62023,1.5122
3.04,0.64027,-0.00048864,0.20996,0.62023,1.4888
3.048,0.65494,-0.00048864,0.22998,0.60508,1.4682
3.056,0.66031,-0.00048864,0.24512,0.59531,1.4497
3.064,0.67498,-0.00048864,0.26025,0.58993,1.4321
3.072,0.68035,-0.00048864,0.27002,0.58016,1.4154
3.08,0.69501,-0.00048864,0.28027,0.56989,1.4027
3.088,0.70039,-0.00048864,0.29492,0.56012,1.392
3.096,0.71505,-0.00048864,0.31494,0.54985,1.3783
3.104,0.71994,-0.00048864,0.33496,0.54008,1.3636
3.112,0.73998,-0.00048864,0.35498,0.52981,1.349
3.12,0.74536,-0.00048864,0.37012,0.52004,1.3343
3.128,0.7654,-0.00048864,0.39014,0.50489,1.3196
3.136,0.77517,-0.00048864,0.41992,0.49022,1.304
3.144,0.78543,-0.00048864,0.4502,0.47507,1.2893
3.152,0.8001,-0.00048864,0.4751,0.45992,1.2737
3.16,0.80499,-0.00048864,0.50488,0.43988,1.259
3.168,0.81525,-0.00048864,0.53516,0.41984,1.2454
3.176,0.81525,-0.00048864,0.56982,0.3998,1.2317
3.184,0.80499,-0.00048864,0.60498,0.37977,1.2219
3.192,0.78543,-0.00048864,0.62012,0.3651,1.2151
3.2,0.76002,-0.00048864,0.61475,0.35973,1.2053
3.208,0.71505,-0.00048864,0.56494,0.39492,1.1945
3.216,0.6652,-0.00048864,0.49512,0.435,1.1838
3.224,0.62023,-0.00048864,0.41992,0.47996,1.173
3.232,0.57527,-0.00048864,0.34521,0.52004,1.1632
3.24,0.54497,-0.00048864,0.28516,0.56012,1.1544
3.248,0.52004,-0.00048864,0.24512,0.58016,1.1466
3.256,0.50978,-0.00048864,0.2251,0.59531,1.1398
3.264,0.50489,-0.00048864,0.20508,0.60997,1.1339
3.272,0.49511,-0.00048864,0.19531,0.62023,1.1281
3.28,0.5,-0.00048864,0.19531,0.62023,1.1271
3.288,0.49511,-0.00048864,0.2002,0.62023,1.1281
3.296,0.5,-0.00048864,0.2002,0.62023,1.1271
3.304,0.5,-0.00048864,0.2002,0.62023,1.1241
3.312,0.50489,-0.00048864,0.2002,0.62023,1.1202
3.32,0.50489,-0.00048864,0.2002,0.62023,1.1144
3.328,0.5,-0.00048864,0.20508,0.61486,1.1056
3.336,0.5,-0.00048864,0.20996,0.60997,1.0968
3.344,0.5,-0.00048864,0.20996,0.60997,1.0919
3.352,0.50489,-0.00048864,0.21484,0.60997,1.0978
3.36,0.49511,-0.00048864,0.22021,0.60508,1.1241
3.368,0.49511,-0.00048864,0.22021,0.60508,1.1799
3.376,0.49511,-0.00048864,0.22021,0.60508,1.2727
3.384,0.49022,-0.00048864,0.22021,0.6002,1.3793
3.392,0.49511,-0.00048864,0.22021,0.60508,1.5054
3.4,0.49511,-0.00048864,0.22021,0.60997,1.6716
3.408,0.49511,-0.00048864,0.22021,0.60508,1.8612
3.416,0.50489,-0.00048864,0.22998,0.59531,2.0596
3.424,0.52981,-0.00048864,0.26025,0.58016,2.2522
3.432,0.56012,-0.00048864,0.30518,0.55523,2.4282
3.44,0.58016,-0.00048864,0.33984,0.52981,2.5806
3.448,0.6002,-0.00048864,0.36523,0.51515,2.7077
3.456,0.60508,-0.00048864,0.38525,0.49511,2.8084
3.464,0.58016,-0.00048864,0.39502,0.47996,2.8847
3.472,0.58016,-0.00048864,0.43506,0.45992,2.9394
3.48,0.54985,-0.00048864,0.39014,0.47019,2.9687
3.488,0.52493,-0.00048864,0.33496,0.51515,2.9824
3.496,0.49511,-0.00048864,0.28027,0.55523,2.9892
3.504,0.48485,-0.00048864,0.2251,0.6002,2.9873
3.512,0.48485,-0.00048864,0.18994,0.62512,2.9775
3.52,0.47507,-0.00048864,0.17529,0.63001,2.9599
3.528,0.47507,-0.00048864,0.17529,0.6349,2.9365
3.536,0.47507,-0.00048864,0.17529,0.6349,2.9071
3.544,0.47507,-0.00048864,0.17529,0.63001,2.8729
3.552,0.48485,-0.00048864,0.18506,0.62512,2.8338
3.56,0.48485,-0.00048864,0.18994,0.63001,2.7918
3.568,0.49511,-0.00048864,0.18994,0.62023,2.7468
3.576,0.48485,-0.00048864,0.16504,0.6349,2.6989
3.584,0.52981,-0.00048864,0.060059,0.70528,2.652
3.592,0.6349,-0.00048864,0.024902,0.72532,2.6031
3.6,0.84018,-0.00048864,0.75977,0.18964,2.5494
3.608,1.0103,-0.00048864,1.5,-0.40567,2.4907
3.616,1.0953,-0.00048864,1.5,-0.50049,2.4262
3.624,0.52493,-0.00048864,1.3447,-0.09042,2.3578
3.632,0.41007,-0.00048864,0.70996,0.29472,2.2854
3.64,0.53519,-0.00048864,0.43994,0.47507,2.2082
3.648,0.58016,-0.00048864,0.28516,0.57527,2.1281
3.656,0.565,-0.00048864,0.20508,0.62023,2.045
3.664,0.565,-0.00048864,0.16992,0.64516,1.9619
3.672,0.565,-0.00048864,0.14502,0.66031,1.8817
3.68,0.56989,-0.00048864,0.14014,0.6652,1.8143
3.688,0.57527,-0.00048864,0.12988,0.6652,1.7566
3.696,0.58016,-0.00048864,0.13525,0.6652,1.6989
3.704,0.58993,-0.00048864,0.14502,0.66031,1.6452
3.712,0.59531,-0.00048864,0.1499,0.65494,1.5973
3.72,0.60508,-0.00048864,0.15527,0.65005,1.5562
3.728,0.60997,-0.00048864,0.16504,0.64027,1.522
3.736,0.62512,-0.00048864,0.17529,0.64027,1.4936
3.744,0.6349,0.0019546,0.19531,0.62512,1.4702
3.752,0.65005,0.0046421,0.20508,0.62023,1.4497
3.76,0.65494,0.0085512,0.22021,0.61486,1.4301
3.768,0.6652,0.012705,0.23486,0.59531,1.4125
3.776,0.67009,0.016369,0.24512,0.59531,1.3959
3.784,0.68035,0.020279,0.26514,0.58504,1.3832
3.792,0.69501,0.023943,0.2749,0.58016,1.3724
3.8,0.70528,0.027852,0.29004,0.565,1.3597
3.808,0.71017,0.031762,0.31006,0.55523,1.3451
3.816,0.72532,0.035915,0.33496,0.54497,1.3294
3.824,0.73509,0.040313,0.34521,0.52981,1.3138
3.832,0.75024,0.04471,0.36523,0.52493,1.2981
3.84,0.76002,0.049108,0.38525,0.50489,1.2835
3.848,0.77028,0.05375,0.40479,0.49511,1.2678
