Time [s], PLETH, ABP, RESP, II, V, AVR
0.352,0.28837,48.501,0.1652,0.27843,0.32353,0.6
0.36,0.29032,48.305,0.16813,0.26471,0.33529,0.61569
0.368,0.29228,47.718,0.17204,0.25882,0.31373,0.62549
0.376,0.29423,47.327,0.17498,0.24902,0.32353,0.62941
0.384,0.29619,46.741,0.17889,0.2549,0.31373,0.62941
0.392,0.29814,46.349,0.18377,0.24902,0.31961,0.64118
0.4,0.3001,46.349,0.18866,0.2451,0.31373,0.63529
0.408,0.30108,46.545,0.19453,0.2549,0.31373,0.62941
0.416,0.30205,46.545,0.20137,0.2549,0.3098,0.62549
0.424,0.30303,46.545,0.20723,0.25882,0.31961,0.61961
0.432,0.30401,46.154,0.2131,0.26471,0.31373,0.6098
0.44,0.30401,45.763,0.21799,0.26471,0.31961,0.61961
0.448,0.30401,45.372,0.22385,0.26863,0.31373,0.6098
0.456,0.30205,45.372,0.23069,0.27843,0.32353,0.6098
0.464,0.30108,45.567,0.23754,0.27843,0.31373,0.6
0.472,0.3001,45.763,0.24438,0.3,0.31961,0.5902
0.48,0.29814,45.567,0.25122,0.30392,0.32353,0.57451
0.488,0.29717,45.176,0.25806,0.32353,0.31961,0.5549
0.496,0.29521,44.589,0.26491,0.34902,0.33922,0.53529
0.504,0.29326,44.198,0.27077,0.37451,0.3451,0.50588
0.512,0.29032,44.003,0.27761,0.39412,0.3549,0.4902
0.52,0.28739,44.394,0.2825,0.4098,0.3451,0.47059
0.528,0.28446,44.785,0.28837,0.42941,0.36471,0.46078
0.536,0.28152,44.98,0.29326,0.4451,0.36471,0.4549
0.544,0.27859,44.785,0.29814,0.4549,0.38039,0.4451
0.552,0.27566,44.198,0.30205,0.47059,0.38431,0.43922
0.56,0.27273,43.612,0.30694,0.4902,0.39412,0.43529
0.568,0.26979,43.807,0.31183,0.50588,0.3902,0.41961
0.576,0.26686,45.567,0.31574,0.51569,0.4098,0.41569
0.584,0.26588,49.674,0.31965,0.52941,0.4,0.4098
0.592,0.26295,56.715,0.32258,0.53922,0.4098,0.4098
0.6,0.261,66.493,0.32551,0.55098,0.40392,0.40392
0.608,0.25904,77.054,0.32845,0.5549,0.4098,0.4098
0.616,0.25611,87.027,0.32942,0.56078,0.4,0.40392
0.624,0.25513,94.85,0.33138,0.56471,0.40392,0.4098
0.632,0.25318,99.935,0.33138,0.56471,0.3902,0.4098
0.64,0.2522,102.67,0.33236,0.56078,0.39412,0.41961
0.648,0.2522,103.46,0.3304,0.53922,0.38039,0.42549
0.656,0.25122,102.67,0.32942,0.51569,0.38431,0.43529
0.664,0.25122,100.72,0.32649,0.5,0.37059,0.44902
0.672,0.25122,98.175,0.32356,0.48039,0.37451,0.46078
0.68,0.2522,95.437,0.32063,0.46078,0.36471,0.47059
0.688,0.2522,93.481,0.31672,0.4451,0.37059,0.48039
0.696,0.2522,92.112,0.31281,0.42941,0.37451,0.48431
0.704,0.2522,91.33,0.3089,0.41961,0.36471,0.4902
0.712,0.2522,90.743,0.30205,0.41569,0.38039,0.49412
0.72,0.2522,89.57,0.29521,0.41569,0.37451,0.4902
0.728,0.25318,87.614,0.28543,0.41569,0.3902,0.49412
0.736,0.25415,85.267,0.27664,0.40392,0.38431,0.50588
0.744,0.25513,83.116,0.26784,0.4,0.3902,0.51961
0.752,0.25709,81.747,0.25904,0.3902,0.38431,0.52549
0.76,0.25904,80.965,0.25122,0.37059,0.3902,0.53922
0.768,0.261,80.183,0.24242,0.35882,0.38039,0.55098
0.776,0.26295,79.205,0.23363,0.34902,0.37451,0.56078
0.784,0.26491,78.227,0.22385,0.33922,0.36471,0.57059
0.792,0.26588,77.054,0.21408,0.33922,0.37059,0.57451
0.8,0.26686,76.076,0.2043,0.32353,0.3549,0.58039
0.808,0.26882,75.098,0.19453,0.3098,0.3549,0.6
0.816,0.26979,74.316,0.18573,0.30392,0.33922,0.60588
0.824,0.2737,73.533,0.17791,0.29412,0.3451,0.61569
0.832,0.27957,72.36,0.17009,0.29412,0.33529,0.6098
0.84,0.2913,71.186,0.16422,0.2902,0.33922,0.61569
0.848,0.30987,70.013,0.15836,0.28431,0.32941,0.61961
0.856,0.33627,68.644,0.15445,0.27843,0.33529,0.61961
0.864,0.37146,67.471,0.15054,0.27843,0.33922,0.61569
0.872,0.40665,65.906,0.14761,0.27843,0.33529,0.61961
0.88,0.44379,64.537,0.14565,0.2902,0.33922,0.6
0.888,0.48974,62.973,0.1437,0.29412,0.3451,0.6
0.896,0.53763,61.408,0.14272,0.30392,0.34902,0.5902
0.904,0.58651,60.039,0.14174,0.31373,0.3549,0.57451
0.912,0.63148,59.257,0.14076,0.31961,0.35882,0.56471
0.92,0.67058,58.67,0.14076,0.32353,0.34902,0.56078
0.928,0.70283,58.279,0.14076,0.33529,0.36471,0.5549
0.936,0.72727,57.888,0.14076,0.3451,0.35882,0.55098
0.944,0.74487,57.106,0.13978,0.3451,0.37059,0.55098
0.952,0.75562,56.323,0.13978,0.34902,0.36471,0.5451
0.96,0.75953,55.541,0.13978,0.34902,0.37451,0.55098
0.968,0.75758,54.954,0.13881,0.3451,0.37059,0.55098
0.976,0.75171,54.759,0.13783,0.3451,0.38039,0.5549
0.984,0.74291,54.563,0.13685,0.3451,0.37059,0.5549
0.992,0.73118,54.563,0.1349,0.33922,0.38039,0.5549
1,0.7175,54.563,0.13392,0.33922,0.37059,0.5549
1.008,0.70186,54.563,0.13294,0.33529,0.37451,0.56078
1.016,0.68426,54.759,0.13196,0.33529,0.36471,0.56078
1.024,0.66667,54.954,0.13099,0.33529,0.38039,0.56471
1.032,0.64809,55.346,0.13196,0.33922,0.37059,0.56078
1.04,0.6305,56.128,0.13196,0.33922,0.38039,0.56078
1.048,0.61193,56.715,0.13294,0.3451,0.37059,0.5549
1.056,0.59433,57.106,0.13392,0.3451,0.37451,0.5549
1.064,0.57771,57.106,0.13685,0.3451,0.38039,0.5451
1.072,0.56207,56.91,0.13881,0.37059,0.37451,0.52549
1.08,0.54741,57.106,0.14272,0.38039,0.3902,0.5098
1.088,0.53275,57.301,0.14565,0.3902,0.38431,0.50588
1.096,0.51808,57.497,0.15054,0.4,0.4098,0.5
1.104,0.50342,57.497,0.15445,0.41569,0.41961,0.4902
1.112,0.48876,57.301,0.16031,0.42941,0.43529,0.47451
1.12,0.4741,56.91,0.1652,0.43922,0.42941,0.47059
1.128,0.46041,56.519,0.17107,0.43922,0.43922,0.47451
1.136,0.44673,56.128,0.17791,0.42549,0.41569,0.48039
1.144,0.43304,55.737,0.18377,0.4098,0.38431,0.48039
1.152,0.41935,55.541,0.18964,0.39412,0.35882,0.48039
1.16,0.40469,55.346,0.1955,0.37451,0.36471,0.5
1.168,0.39101,55.15,0.20137,0.37059,0.3549,0.50588
1.176,0.37928,54.954,0.20626,0.34902,0.3451,0.51569
1.184,0.36852,54.759,0.21114,0.33922,0.33529,0.5098
1.192,0.35679,54.368,0.21505,0.32353,0.33922,0.51961
1.2,0.34506,53.977,0.21994,0.32353,0.32353,0.51569
1.208,0.33333,53.585,0.22483,0.32353,0.32941,0.52549
1.216,0.32258,53.194,0.22972,0.32353,0.31961,0.51961
1.224,0.31281,52.999,0.2346,0.32353,0.33529,0.51961
1.232,0.30499,52.608,0.23949,0.31961,0.31961,0.51569
1.24,0.29717,52.412,0.24438,0.31373,0.32353,0.49412
1.248,0.29228,52.216,0.24927,0.5451,0.28431,0.37451
1.256,0.28739,51.63,0.25318,0.90588,0.28431,0.17843
1.264,0.28348,50.847,0.25806,0.99216,0.29412,0.12353
1.272,0.28152,50.065,0.26393,0.83529,0.4098,0.2451
1.28,0.28152,49.674,0.26882,0.37059,0.5549,0.52549
1.288,0.28152,49.87,0.27468,0.25882,0.56078,0.58431
1.296,0.2825,50.065,0.28152,0.33922,0.4549,0.52941
1.304,0.28348,49.87,0.28935,0.36471,0.39412,0.5098
1.312,0.28641,49.283,0.29717,0.36471,0.37059,0.50588
1.32,0.28935,48.501,0.30499,0.36471,0.36471,0.5
1.328,0.29228,47.914,0.31281,0.35882,0.36471,0.50588
1.336,0.29521,47.914,0.32063,0.35882,0.3549,0.5098
1.344,0.29814,47.914,0.32845,0.34902,0.35882,0.52941
1.352,0.30108,47.914,0.33822,0.32941,0.33922,0.5451
1.36,0.30401,47.718,0.348,0.32353,0.34902,0.5549
1.368,0.30596,47.132,0.35875,0.3098,0.33922,0.56078
1.376,0.3089,46.545,0.37048,0.30392,0.33922,0.57451
1.384,0.31085,46.545,0.38123,0.30392,0.33922,0.57059
1.392,0.31281,46.936,0.39198,0.30392,0.33922,0.57451
1.4,0.31476,47.327,0.40274,0.30392,0.32941,0.57451
1.408,0.31574,47.523,0.41447,0.30392,0.33922,0.57451
1.416,0.31672,47.327,0.42717,0.30392,0.33529,0.57059
1.424,0.31672,46.741,0.43988,0.30392,0.33922,0.57451
1.432,0.31574,46.154,0.45357,0.3098,0.33529,0.57059
1.44,0.31476,45.763,0.46725,0.31373,0.33922,0.57451
1.448,0.31281,45.763,0.48094,0.31961,0.32941,0.56471
1.456,0.31085,45.958,0.49462,0.32353,0.33922,0.5549
1.464,0.30792,45.958,0.50733,0.32941,0.32941,0.53529
1.472,0.30596,46.154,0.52004,0.3451,0.3451,0.52941
1.48,0.30401,45.958,0.53079,0.34902,0.34902,0.52549
1.488,0.30108,45.567,0.54154,0.37059,0.3451,0.5098
1.496,0.29717,45.372,0.55034,0.38039,0.35882,0.50588
1.504,0.29423,45.176,0.55816,0.38431,0.34902,0.5
1.512,0.2913,44.98,0.565,0.4,0.36471,0.48431
1.52,0.28739,44.98,0.57087,0.4,0.34902,0.48431
1.528,0.28446,44.98,0.57576,0.4,0.35882,0.4902
1.536,0.28152,44.589,0.58065,0.4,0.34902,0.48039
1.544,0.27859,44.198,0.5826,0.4,0.3549,0.4902
1.552,0.27566,44.785,0.58553,0.4098,0.3451,0.4902
1.56,0.2737,47.327,0.58749,0.42549,0.36471,0.49412
1.568,0.27273,52.412,0.58847,0.43922,0.35882,0.49412
1.576,0.27175,60.43,0.58749,0.4451,0.37059,0.50588
1.584,0.26979,70.6,0.58651,0.43922,0.36471,0.49412
1.592,0.26784,81.356,0.58456,0.51569,0.4,0.44902
1.6,0.26686,90.743,0.5826,0.53529,0.3902,0.43529
1.608,0.26491,97.979,0.57967,0.53922,0.4,0.44902
1.616,0.26393,102.67,0.57674,0.53922,0.3902,0.4451
1.624,0.26295,105.22,0.5738,0.52941,0.3902,0.4549
1.632,0.26197,105.61,0.57185,0.51569,0.36471,0.4451
1.64,0.261,104.04,0.56891,0.5,0.35882,0.4549
1.648,0.261,101.5,0.56598,0.47059,0.33922,0.46078
1.656,0.26002,98.957,0.56305,0.46471,0.34902,0.46078
1.664,0.261,96.806,0.56012,0.4451,0.3451,0.46078
1.672,0.26197,95.241,0.55816,0.43922,0.3549,0.46471
1.68,0.26295,93.872,0.55718,0.41569,0.34902,0.48039
1.688,0.26491,92.894,0.55523,0.4,0.35882,0.49412
1.696,0.26686,92.112,0.55425,0.38039,0.36471,0.51569
1.704,0.26882,90.548,0.55425,0.36471,0.3549,0.53529
1.712,0.27175,87.81,0.55327,0.34902,0.36471,0.5549
1.72,0.27468,84.876,0.5523,0.3451,0.35882,0.56078
1.728,0.27664,82.921,0.55132,0.33529,0.36471,0.57451
1.736,0.27957,82.334,0.55132,0.33529,0.35882,0.57451
1.744,0.28348,82.138,0.55034,0.32941,0.36471,0.58431
1.752,0.28641,81.16,0.54936,0.32353,0.35882,0.58039
1.76,0.29032,79.4,0.54839,0.33529,0.36471,0.58431
1.768,0.29326,77.249,0.54741,0.33529,0.35882,0.58039
1.776,0.29521,75.293,0.54545,0.32353,0.36471,0.5902
1.784,0.29717,74.511,0.54448,0.32353,0.35882,0.58431
1.792,0.29814,74.316,0.54252,0.32353,0.36471,0.5902
1.8,0.3001,74.12,0.54154,0.32353,0.35882,0.58431
1.808,0.30401,72.947,0.54057,0.32941,0.36471,0.5902
1.816,0.31183,71.382,0.54057,0.32353,0.35882,0.5902
1.824,0.32454,70.209,0.54057,0.31961,0.36471,0.5902
1.832,0.34506,69.622,0.54154,0.31373,0.35882,0.5902
1.84,0.37341,69.818,0.5435,0.31373,0.37059,0.59608
1.848,0.40958,69.622,0.54545,0.30392,0.35882,0.6
1.856,0.45259,68.84,0.54839,0.3098,0.36471,0.59608
1.864,0.49951,66.884,0.55132,0.30392,0.3549,0.6
1.872,0.54154,64.537,0.55425,0.3,0.35882,0.6
1.88,0.57967,62.582,0.55816,0.2902,0.3451,0.6
1.888,0.6217,60.821,0.56109,0.2902,0.3549,0.6
1.896,0.66178,60.039,0.56598,0.2902,0.3451,0.60588
1.904,0.69697,59.648,0.56989,0.2902,0.33922,0.6
1.912,0.72532,59.452,0.5738,0.29412,0.3549,0.59608
1.92,0.7478,59.061,0.57869,0.3098,0.3451,0.57451
1.928,0.76344,58.279,0.58162,0.31373,0.35882,0.57451
1.936,0.77126,57.497,0.58456,0.32353,0.34902,0.5549
1.944,0.77419,57.106,0.58553,0.32941,0.35882,0.5549
1.952,0.77224,56.91,0.58749,0.3451,0.3549,0.53529
1.96,0.76637,56.91,0.58651,0.34902,0.36471,0.52941
1.968,0.7566,56.91,0.58651,0.34902,0.3549,0.52941
1.976,0.74389,56.91,0.58456,0.34902,0.36471,0.52941
1.984,0.72825,56.91,0.58358,0.3549,0.35882,0.51961
1.992,0.71163,56.91,0.57869,0.3549,0.37059,0.52549
2,0.69306,56.91,0.5738,0.35882,0.36471,0.51569
2.008,0.67449,56.91,0.56696,0.36471,0.37451,0.51961
2.016,0.65689,56.91,0.56012,0.37059,0.36471,0.50588
2.024,0.63832,56.91,0.55132,0.37451,0.38039,0.5098
2.032,0.62072,56.91,0.5435,0.38039,0.37451,0.50588
2.04,0.60313,56.91,0.5347,0.39412,0.3902,0.5
2.048,0.58651,57.106,0.5259,0.40392,0.39412,0.48431
2.056,0.56989,57.106,0.51417,0.42549,0.42549,0.48039
2.064,0.55425,57.106,0.50342,0.43529,0.43529,0.48039
2.072,0.54057,56.91,0.48974,0.4451,0.4451,0.47059
2.08,0.52786,56.91,0.47703,0.4451,0.44902,0.47059
2.088,0.51515,56.715,0.46334,0.4549,0.43922,0.46471
2.096,0.50147,56.519,0.45064,0.43922,0.42549,0.48039
2.104,0.48876,56.323,0.43793,0.42941,0.39412,0.48039
2.112,0.47507,56.128,0.42424,0.41569,0.38039,0.48431
2.12,0.46139,55.932,0.41349,0.40392,0.38431,0.4902
2.128,0.4477,55.737,0.40176,0.3902,0.3902,0.5098
2.136,0.43402,55.541,0.39198,0.37059,0.37451,0.52941
2.144,0.42131,55.346,0.38319,0.3451,0.38431,0.5549
2.152,0.4086,54.954,0.37537,0.32353,0.36471,0.57059
2.16,0.39687,54.759,0.36755,0.3098,0.37059,0.58431
2.168,0.38612,54.368,0.36168,0.30392,0.34902,0.6
2.176,0.37732,53.977,0.35582,0.2902,0.3549,0.61569
2.184,0.36657,53.781,0.35191,0.27843,0.33529,0.62549
2.192,0.35679,53.39,0.348,0.24902,0.33922,0.63529
2.2,0.348,52.999,0.34604,0.3,0.3,0.6
2.208,0.3392,52.803,0.34311,0.57059,0.28431,0.46078
2.216,0.3304,52.608,0.34311,0.86667,0.26471,0.2902
2.224,0.32356,52.412,0.34311,0.89608,0.30392,0.26863
2.232,0.31672,52.216,0.34409,0.61961,0.42549,0.4451
2.24,0.31183,51.63,0.34604,0.18431,0.53922,0.71569
2.248,0.30792,51.239,0.34995,0.13922,0.47059,0.74118
2.256,0.30499,51.043,0.35288,0.23922,0.4,0.66078
2.264,0.30401,50.652,0.35777,0.25882,0.33922,0.62549
2.272,0.30303,50.456,0.36266,0.26863,0.32941,0.62549
2.28,0.30401,50.261,0.36657,0.27451,0.31961,0.61569
2.288,0.30499,49.87,0.37048,0.28431,0.32353,0.6
2.296,0.30596,49.674,0.37439,0.29412,0.32941,0.5902
2.304,0.30694,49.283,0.3783,0.3,0.31961,0.58431
2.312,0.3089,49.087,0.38123,0.30392,0.33529,0.58039
2.32,0.30987,48.696,0.38416,0.3098,0.32353,0.57451
2.328,0.31085,48.501,0.38612,0.31373,0.33529,0.57451
2.336,0.31183,48.305,0.38807,0.31373,0.32941,0.57059
2.344,0.31183,47.914,0.38807,0.31961,0.33922,0.57451
2.352,0.31183,47.523,0.38807,0.32353,0.33529,0.56471
2.36,0.31183,47.132,0.3871,0.32353,0.33922,0.57059
2.368,0.31281,46.741,0.38612,0.32353,0.33529,0.56471
2.376,0.31281,46.545,0.38319,0.32353,0.33922,0.56471
2.384,0.31281,46.349,0.38025,0.32941,0.32941,0.56078
2.392,0.31183,46.154,0.37537,0.32941,0.33922,0.56471
2.4,0.31183,46.154,0.37048,0.32941,0.33529,0.56078
2.408,0.31085,46.154,0.36364,0.32941,0.33922,0.56471
2.416,0.3089,45.958,0.35777,0.33529,0.32941,0.56078
2.424,0.30694,45.763,0.34995,0.33529,0.33922,0.56471
2.432,0.30499,45.372,0.34213,0.33922,0.33529,0.55098
2.44,0.30205,45.176,0.33529,0.34902,0.33922,0.55098
2.448,0.3001,44.98,0.32845,0.35882,0.33922,0.52941
2.456,0.29717,44.785,0.32258,0.36471,0.34902,0.52941
2.464,0.29423,44.785,0.31769,0.37451,0.3451,0.52549
2.472,0.29228,44.589,0.31183,0.38431,0.3549,0.51961
2.48,0.2913,44.589,0.30694,0.4,0.34902,0.50588
2.488,0.28935,44.394,0.30303,0.41961,0.35882,0.49412
2.496,0.28739,44.394,0.29814,0.43922,0.37059,0.48039
2.504,0.28446,44.589,0.29521,0.46078,0.36471,0.46471
2.512,0.28152,45.567,0.2913,0.47059,0.38431,0.46078
2.52,0.27859,48.305,0.28935,0.4902,0.38039,0.4451
2.528,0.27664,53.781,0.28641,0.50588,0.3902,0.43529
2.536,0.2737,62.19,0.28446,0.51961,0.3902,0.43529
2.544,0.27077,72.36,0.2825,0.52941,0.4,0.43529
2.552,0.26784,83.116,0.28055,0.53922,0.3902,0.42941
2.56,0.26588,92.112,0.27859,0.5549,0.40392,0.42941
2.568,0.26393,98.761,0.27664,0.56471,0.39412,0.42549
2.576,0.26393,102.67,0.27468,0.57059,0.40392,0.42941
2.584,0.26295,104.04,0.27077,0.5451,0.3902,0.43529
2.592,0.261,103.46,0.26784,0.52941,0.3902,0.44902
2.6,0.26002,101.5,0.26491,0.51569,0.38039,0.4549
2.608,0.25806,98.957,0.26197,0.48431,0.38431,0.47451
2.616,0.25709,96.61,0.25806,0.4549,0.37059,0.4902
2.624,0.25513,94.655,0.25415,0.42549,0.38039,0.51569
2.632,0.25415,93.286,0.24829,0.4,0.36471,0.52941
2.64,0.25318,92.308,0.24242,0.37451,0.37059,0.55098
2.648,0.2522,91.134,0.23558,0.3549,0.35882,0.56078
2.656,0.2522,89.765,0.22874,0.32941,0.36471,0.58431
2.664,0.2522,88.396,0.2219,0.30392,0.34902,0.6
2.672,0.25318,86.636,0.21505,0.29412,0.34902,0.61961
2.68,0.25415,84.876,0.20723,0.27843,0.33922,0.62549
2.688,0.25513,83.116,0.19941,0.26863,0.33922,0.64118
2.696,0.25611,81.747,0.19062,0.2549,0.32941,0.6451
2.704,0.25806,80.965,0.18182,0.2549,0.32941,0.65098
2.712,0.26002,80.183,0.17302,0.24902,0.33529,0.6549
2.72,0.26197,79.009,0.16325,0.2549,0.32353,0.65098
2.728,0.26393,77.64,0.15347,0.2451,0.33529,0.66078
2.736,0.26588,76.467,0.14272,0.23922,0.31373,0.6549
2.744,0.26686,75.489,0.13294,0.23922,0.32353,0.66078
2.752,0.26784,74.902,0.12317,0.24902,0.31373,0.65098
2.76,0.27077,74.12,0.11535,0.2549,0.32941,0.6451
2.768,0.27468,73.533,0.10753,0.26471,0.31961,0.62941
2.776,0.28152,72.947,0.10166,0.27451,0.33529,0.61961
2.784,0.29228,71.969,0.095797,0.2902,0.32941,0.6
2.792,0.31085,70.6,0.090909,0.30392,0.3451,0.58431
2.8,0.33627,69.231,0.086022,0.32353,0.33922,0.56078
2.808,0.3695,68.057,0.082111,0.33922,0.36471,0.5451
2.816,0.4086,66.884,0.078201,0.35882,0.35882,0.51961
2.824,0.45357,65.711,0.075269,0.37451,0.37451,0.50588
2.832,0.50049,63.95,0.073314,0.39412,0.37059,0.48431
2.84,0.54741,61.995,0.072336,0.41569,0.3902,0.46471
2.848,0.59042,60.235,0.071359,0.46078,0.39412,0.41961
2.856,0.62952,59.061,0.072336,0.5,0.4098,0.38431
2.864,0.66178,58.279,0.073314,0.51961,0.41961,0.36471
2.872,0.68524,58.083,0.075269,0.52549,0.41569,0.35882
2.88,0.6999,58.279,0.078201,0.50588,0.40392,0.36471
2.888,0.71065,58.279,0.082111,0.48039,0.3902,0.38431
2.896,0.7175,57.692,0.086022,0.4549,0.37451,0.40392
2.904,0.71945,56.715,0.090909,0.41569,0.35882,0.43529
2.912,0.71652,55.932,0.096774,0.4,0.34902,0.46078
2.92,0.7087,55.346,0.10166,0.3902,0.34902,0.46471
2.928,0.69892,55.15,0.10655,0.39412,0.35882,0.47059
2.936,0.68622,54.954,0.11144,0.39412,0.34902,0.44902
2.944,0.67155,55.15,0.11632,0.39412,0.3549,0.43529
2.952,0.65494,55.346,0.12121,0.38039,0.33529,0.42549
2.96,0.63832,55.541,0.1261,0.3549,0.32941,0.44902
2.968,0.62268,55.541,0.13001,0.31373,0.31961,0.4902
2.976,0.60802,55.346,0.13392,0.24902,0.32353,0.57451
2.984,0.5914,55.15,0.13783,0.22941,0.3451,0.62941
2.992,0.57478,55.541,0.14076,0.2549,0.40392,0.6451
3,0.55914,56.519,0.14272,0.33922,0.47059,0.56078
3.008,0.5435,57.497,0.14467,0.43529,0.53529,0.48431
3.016,0.52786,58.083,0.14663,0.46078,0.5451,0.46471
3.024,0.51222,58.083,0.14858,0.4098,0.52941,0.5549
3.032,0.49756,57.692,0.14858,0.37451,0.4902,0.6
3.04,0.48387,56.91,0.14956,0.33922,0.43529,0.61961
3.048,0.47019,56.715,0.14956,0.24902,0.3451,0.6549
3.056,0.4565,56.91,0.14956,0.1098,0.27451,0.78039
3.064,0.44282,57.106,0.14956,0.07451,0.2451,0.81569
3.072,0.43109,57.301,0.14858,0.14902,0.24902,0.71569
3.08,0.41935,57.301,0.14761,0.23333,0.2549,0.6
3.088,0.40762,56.519,0.14761,0.31373,0.27843,0.50588
3.096,0.39589,55.541,0.14663,0.3902,0.30392,0.42549
3.104,0.38416,54.954,0.14565,0.43922,0.3451,0.38431
3.112,0.37243,55.346,0.14467,0.4451,0.36471,0.40392
3.12,0.3607,55.15,0.14467,0.37059,0.37451,0.47451
3.128,0.34995,52.608,0.1437,0.29412,0.38039,0.5549
3.136,0.3392,48.11,0.14272,0.28431,0.35882,0.56471
3.144,0.32942,44.98,0.14272,0.5549,0.32941,0.43922
3.152,0.31965,46.154,0.14272,0.82549,0.3,0.32353
3.16,0.31085,51.63,0.14272,0.85098,0.32353,0.31961
3.168,0.30401,57.106,0.1437,0.82157,0.3549,0.36471
3.176,0.29814,60.039,0.14272,0.81569,0.34902,0.36471
3.184,0.29228,61.213,0.14272,0.8,0.3549,0.36471
3.192,0.28739,61.995,0.14174,0.4,0.37451,0.60588
3.2,0.28348,61.408,0.13978,0.11961,0.3098,0.80588
3.208,0.27957,57.692,0.13783,0.033333,0.29412,0.90196
3.216,0.27761,51.63,0.1349,0.04902,0.30392,0.88039
3.224,0.27664,44.785,0.13196,0.068627,0.31961,0.86667
3.232,0.27664,38.331,0.12805,0.068627,0.3,0.8451
3.24,0.27761,33.833,0.12512,0.068627,0.29412,0.83137
3.248,0.27957,33.833,0.12219,0.094118,0.2902,0.78627
3.256,0.28152,38.527,0.12023,0.11373,0.29412,0.7451
3.264,0.28446,45.763,0.11828,0.14902,0.28431,0.68627
3.272,0.28837,52.412,0.11437,0.18824,0.29412,0.62941
3.28,0.29228,56.715,0.11144,0.27451,0.3098,0.52549
3.288,0.29717,57.497,0.10753,0.38431,0.3451,0.4098
3.296,0.30205,55.346,0.10362,0.47059,0.37451,0.32941
3.304,0.30499,52.608,0.10068,0.52941,0.40392,0.27451
3.312,0.30596,50.261,0.096774,0.5549,0.42549,0.26471
3.32,0.30303,48.501,0.094819,0.5549,0.43529,0.27451
3.328,0.29912,46.545,0.092864,0.55098,0.4451,0.2902
3.336,0.29423,44.198,0.090909,0.53922,0.43922,0.31373
3.344,0.28935,41.851,0.088954,0.51961,0.44902,0.34902
3.352,0.28739,40.482,0.088954,0.49412,0.43529,0.3902
3.36,0.28837,40.874,0.088954,0.47059,0.43922,0.42549
3.368,0.2913,43.025,0.094819,0.44902,0.41961,0.44902
3.376,0.29521,45.763,0.10166,0.43922,0.42549,0.47059
3.384,0.29814,47.523,0.11339,0.43529,0.4098,0.47059
3.392,0.29814,47.718,0.12512,0.42941,0.4098,0.48431
