Time [s], RESP, ABP, PLETH, II, III, V
0.976,0.57911,64.279,1.6197,0.56006,0.30518,0.74536
0.984,0.58461,65.695,1.6305,0.54004,0.30029,0.73509
0.992,0.59071,68.675,1.6403,0.54492,0.29492,0.73998
1,0.59499,73.608,1.65,0.53516,0.30029,0.74536
1.008,0.59988,80.007,1.6598,0.54492,0.31494,0.75024
1.016,0.60476,86.943,1.6676,0.53516,0.30518,0.73998
1.024,0.60965,93.536,1.6716,0.5498,0.31494,0.73998
1.032,0.61454,99.593,1.6735,0.56006,0.3252,0.73998
1.04,0.61943,105.06,1.6725,0.58496,0.33496,0.73509
1.048,0.6237,109.85,1.6696,0.58984,0.33008,0.73509
1.056,0.62859,113.81,1.6647,0.61475,0.35986,0.73509
1.064,0.63287,116.44,1.6579,0.625,0.37012,0.73021
1.072,0.63714,117.67,1.6481,0.6499,0.38525,0.72532
1.08,0.63958,117.47,1.6373,0.66016,0.39502,0.73021
1.088,0.64264,115.86,1.6266,0.66992,0.41016,0.72532
1.096,0.64386,113.32,1.6178,0.68018,0.41504,0.71994
1.104,0.64569,110.05,1.6109,0.6748,0.41992,0.72532
1.112,0.64508,106.53,1.6051,0.68018,0.43018,0.71994
1.12,0.64447,103.06,1.5992,0.68018,0.41992,0.71505
1.128,0.64142,99.593,1.5943,0.68018,0.43018,0.71505
1.136,0.63897,96.418,1.5894,0.6748,0.4248,0.71994
1.144,0.6347,93.341,1.5846,0.68018,0.43018,0.71505
1.152,0.63103,90.606,1.5806,0.65479,0.41992,0.71994
1.16,0.62553,88.115,1.5777,0.66504,0.4248,0.71505
1.168,0.62004,85.819,1.5758,0.66016,0.41504,0.71505
1.176,0.61148,83.67,1.5748,0.66016,0.41992,0.71017
1.184,0.60354,81.716,1.5748,0.65479,0.4248,0.71017
1.192,0.59255,79.86,1.5767,0.66016,0.43018,0.71505
1.2,0.58155,78.102,1.5806,0.6499,0.4248,0.71505
1.208,0.56811,76.441,1.5846,0.65479,0.43018,0.71505
1.216,0.55467,74.927,1.5894,0.64014,0.41504,0.71505
1.224,0.5394,73.559,1.5934,0.65479,0.4248,0.71017
1.232,0.52474,72.289,1.5953,0.64502,0.41992,0.71505
1.24,0.51008,71.215,1.5973,0.65479,0.4248,0.71017
1.248,0.49542,70.384,1.6002,0.64502,0.43018,0.71505
1.256,0.48076,69.603,1.6041,0.65479,0.41504,0.71505
1.264,0.4661,69.066,1.6109,0.66016,0.41504,0.71994
1.272,0.45021,68.675,1.6285,0.6748,0.41016,0.73021
1.28,0.43433,68.528,1.6628,0.66504,0.41504,0.73998
1.288,0.41723,68.528,1.7155,0.66504,0.41016,0.74536
1.296,0.40073,68.724,1.7898,0.65479,0.39502,0.73509
1.304,0.38546,69.066,1.8827,0.66992,0.40479,0.71505
1.312,0.3708,69.554,1.9873,0.68994,0.41992,0.68524
1.32,0.35675,70.189,2.0968,0.68506,0.43506,0.6652
1.328,0.34331,70.873,2.2033,0.6748,0.43994,0.65494
1.336,0.32987,71.605,2.3011,0.66016,0.43506,0.65005
1.344,0.31643,72.289,2.3851,0.6748,0.44482,0.64516
1.352,0.30299,72.973,2.4448,0.65479,0.43506,0.66031
1.36,0.29016,73.657,2.4839,0.66016,0.44482,0.6652
1.368,0.27734,74.243,2.5122,0.64014,0.43994,0.6652
1.376,0.26512,74.683,2.5259,0.6499,0.4502,0.6652
1.384,0.2529,74.927,2.5318,0.625,0.43506,0.67009
1.392,0.2413,75.122,2.5269,0.64502,0.45508,0.67498
1.4,0.23152,75.122,2.5044,0.62988,0.43506,0.67498
1.408,0.22175,75.073,2.4702,0.65479,0.4502,0.68035
1.416,0.21442,74.878,2.4291,0.64502,0.43994,0.68035
1.424,0.20709,74.487,2.3842,0.65479,0.4502,0.68524
1.432,0.20098,74.097,2.3343,0.64014,0.43994,0.69013
1.44,0.19548,73.608,2.2815,0.64502,0.43506,0.70039
1.448,0.19059,72.973,2.2326,0.58984,0.43018,0.7654
1.456,0.18632,72.387,2.1857,0.5752,0.375,0.78543
1.464,0.18326,71.752,2.1369,0.6499,0.31494,0.77517
1.472,0.18021,71.117,2.086,0.91504,0.3999,0.67498
1.48,0.17776,70.433,2.0323,1.2397,0.54004,0.47507
1.488,0.17593,69.798,1.9785,1.2549,0.56494,0.38514
1.496,0.1741,69.163,1.9247,1.0747,0.73975,0.3348
1.504,0.17288,68.528,1.8719,0.94482,0.81494,0.37488
1.512,0.17166,67.991,1.8211,0.7998,0.64502,0.49511
1.52,0.17043,67.503,1.7713,0.70996,0.54004,0.62512
1.528,0.1686,67.063,1.7224,0.66016,0.48486,0.70039
1.536,0.16677,66.623,1.6745,0.63477,0.45508,0.71994
1.544,0.16432,66.184,1.6305,0.625,0.43994,0.73021
1.552,0.16249,65.744,1.5963,0.61475,0.43506,0.74536
1.56,0.16005,65.353,1.567,0.62012,0.43018,0.75024
1.568,0.15761,65.012,1.5376,0.60986,0.41504,0.74536
1.576,0.15455,64.67,1.5132,0.61475,0.41992,0.74536
1.584,0.15211,64.377,1.4956,0.60498,0.41016,0.75513
1.592,0.14844,64.035,1.4839,0.62988,0.40479,0.75024
1.6,0.14478,63.79,1.4809,0.62012,0.39014,0.75024
1.608,0.13989,63.497,1.4839,0.63477,0.39502,0.74536
1.616,0.13561,63.253,1.4917,0.625,0.38525,0.73998
1.624,0.13134,62.911,1.5024,0.63477,0.38525,0.73509
1.632,0.12706,62.667,1.5152,0.625,0.37012,0.73509
1.64,0.12279,62.423,1.5288,0.62988,0.37012,0.73509
1.648,0.11851,62.179,1.5425,0.61475,0.35498,0.73509
1.656,0.11362,61.934,1.5523,0.62012,0.3501,0.73509
1.664,0.10874,61.69,1.5601,0.60498,0.33984,0.73509
1.672,0.10324,61.446,1.5679,0.6001,0.33496,0.73021
1.68,0.09774,61.251,1.5767,0.60498,0.33984,0.73021
1.688,0.091631,61.153,1.5846,0.58496,0.33008,0.73021
1.696,0.085522,61.495,1.5904,0.56982,0.31494,0.73021
1.704,0.078803,62.618,1.5963,0.56006,0.31494,0.73021
1.712,0.072694,65.06,1.6012,0.56494,0.3252,0.73021
1.72,0.066585,69.31,1.6051,0.55518,0.31982,0.73021
1.728,0.061087,74.927,1.6061,0.56494,0.31982,0.72532
1.736,0.0562,81.179,1.6041,0.56006,0.3252,0.73021
1.744,0.051313,87.284,1.6002,0.58496,0.33984,0.72532
1.752,0.045205,92.999,1.5973,0.58984,0.33496,0.71994
1.76,0.039707,98.177,1.5943,0.60498,0.3501,0.71505
1.768,0.033598,102.82,1.5894,0.62012,0.36523,0.71994
1.776,0.027489,106.87,1.5806,0.64014,0.37988,0.71505
1.784,0.021381,110.05,1.5689,0.6499,0.37988,0.71994
1.792,0.015272,112,1.5562,0.6748,0.3999,0.71505
1.8,0.0091631,112.49,1.5425,0.68018,0.41016,0.71505
1.808,0.0036652,111.76,1.5279,0.69482,0.41992,0.71505
1.816,-0.0030544,109.8,1.5152,0.68994,0.4248,0.71505
1.824,-0.009774,107.12,1.5044,0.69482,0.41992,0.71017
1.832,-0.017715,103.94,1.4966,0.68994,0.43018,0.70528
1.84,-0.025046,100.67,1.4917,0.7002,0.4248,0.70528
1.848,-0.032987,97.444,1.4907,0.68018,0.43506,0.71017
1.856,-0.040929,94.367,1.4917,0.68994,0.43018,0.71505
1.864,-0.049481,91.485,1.4917,0.68018,0.43506,0.71505
1.872,-0.058033,88.75,1.4917,0.68018,0.43018,0.71017
1.88,-0.065974,86.259,1.4917,0.66992,0.41504,0.71017
1.888,-0.073305,83.914,1.4917,0.6748,0.43018,0.71017
1.896,-0.080635,81.814,1.4917,0.68018,0.4248,0.71017
1.904,-0.087355,79.762,1.4927,0.66016,0.41992,0.70528
1.912,-0.094075,77.809,1.4946,0.66992,0.43506,0.70528
1.92,-0.10079,76.001,1.4956,0.65479,0.41992,0.71017
1.928,-0.10812,74.292,1.4966,0.66992,0.43018,0.71505
1.936,-0.11484,72.729,1.4956,0.65479,0.4248,0.71017
1.944,-0.12095,71.312,1.4917,0.66992,0.43994,0.71017
1.952,-0.12706,70.042,1.4868,0.66016,0.43018,0.70528
1.96,-0.13317,68.919,1.4819,0.66504,0.43506,0.70528
1.968,-0.13867,67.991,1.4751,0.66016,0.41504,0.71505
1.976,-0.14478,67.258,1.4692,0.66504,0.41504,0.71505
1.984,-0.15089,66.623,1.4682,0.65479,0.41016,0.73509
1.992,-0.15699,66.184,1.4761,0.68018,0.41016,0.73509
2,-0.1631,65.94,1.4985,0.65479,0.41016,0.73021
2.008,-0.16921,65.842,1.5406,0.66992,0.41016,0.71017
2.016,-0.17532,65.94,1.6031,0.6748,0.41016,0.69013
2.024,-0.18143,66.184,1.6823,0.70996,0.43994,0.68035
2.032,-0.18693,66.526,1.7742,0.68018,0.44482,0.66031
2.04,-0.19243,67.063,1.8749,0.68018,0.43994,0.65005
2.048,-0.19731,67.698,1.9648,0.66016,0.43506,0.65494
2.056,-0.2022,68.284,2.045,0.66504,0.44482,0.66031
2.064,-0.20648,68.919,2.1281,0.6499,0.43994,0.6652
2.072,-0.21075,69.554,2.2023,0.65479,0.43994,0.6652
2.08,-0.21503,70.189,2.262,0.63477,0.44482,0.67009
2.088,-0.21869,70.726,2.304,0.62988,0.4502,0.67498
2.096,-0.22236,71.166,2.3275,0.63477,0.45508,0.68035
2.104,-0.22541,71.605,2.3333,0.62988,0.43994,0.68524
2.112,-0.22847,71.947,2.3236,0.6499,0.44482,0.68524
2.12,-0.23091,72.094,2.3021,0.64014,0.43994,0.68524
2.128,-0.23335,72.24,2.2708,0.65479,0.44482,0.68524
2.136,-0.23519,72.192,2.2346,0.64014,0.43506,0.68524
2.144,-0.23641,72.045,2.1984,0.65479,0.44482,0.69013
2.152,-0.23702,71.801,2.1613,0.60986,0.43018,0.72532
2.16,-0.23763,71.508,2.1202,0.56982,0.43506,0.78543
2.168,-0.23763,71.117,2.0753,0.56494,0.3252,0.77517
2.176,-0.23763,70.629,2.0283,0.75977,0.30518,0.72532
2.184,-0.23702,70.091,1.9804,1.1001,0.46484,0.58504
2.192,-0.23641,69.554,1.9306,1.2397,0.54492,0.41007
2.2,-0.2358,69.066,1.8798,1.105,0.6499,0.41496
2.208,-0.23519,68.479,1.8299,0.98975,0.83496,0.39492
2.216,-0.23396,67.942,1.781,0.83984,0.70996,0.43988
2.224,-0.23274,67.356,1.7322,0.72998,0.56494,0.565
2.232,-0.23152,66.868,1.6843,0.66016,0.49023,0.6652
2.24,-0.2303,66.379,1.6383,0.64502,0.47021,0.71017
2.248,-0.22908,65.94,1.5992,0.61475,0.4502,0.71994
2.256,-0.22786,65.5,1.566,0.60986,0.4502,0.73021
2.264,-0.22663,65.109,1.5337,0.60498,0.43506,0.73509
2.272,-0.22541,64.67,1.5044,0.60498,0.4248,0.73509
2.28,-0.22419,64.279,1.48,0.60498,0.4248,0.73509
2.288,-0.22297,63.937,1.4614,0.60498,0.41504,0.73509
2.296,-0.22236,63.546,1.4497,0.60986,0.40479,0.73509
2.304,-0.22114,63.253,1.4438,0.62012,0.3999,0.73509
2.312,-0.22114,62.862,1.4438,0.625,0.40479,0.73509
2.32,-0.22053,62.569,1.4487,0.60986,0.38525,0.73021
2.328,-0.22053,62.227,1.4585,0.625,0.38525,0.73021
2.336,-0.22053,61.885,1.4731,0.61475,0.37988,0.73021
2.344,-0.22053,61.592,1.4878,0.62988,0.38525,0.73509
2.352,-0.22053,61.299,1.5005,0.625,0.37012,0.73509
2.36,-0.22053,61.006,1.5142,0.62012,0.36523,0.73509
2.368,-0.21991,60.664,1.5288,0.60498,0.3501,0.73509
2.376,-0.2193,60.322,1.5435,0.6001,0.35498,0.73509
2.384,-0.21869,60.029,1.5582,0.58496,0.33496,0.73509
2.392,-0.21808,59.883,1.5728,0.58008,0.33008,0.73509
2.4,-0.21747,59.883,1.5875,0.56006,0.3252,0.73509
2.408,-0.21625,60.322,1.5992,0.56006,0.31982,0.73509
2.416,-0.21503,61.592,1.608,0.54004,0.31494,0.73998
2.424,-0.21381,64.425,1.6149,0.5498,0.33008,0.73509
2.432,-0.21258,68.87,1.6207,0.54004,0.31982,0.73998
2.44,-0.21197,74.438,1.6256,0.55518,0.3252,0.73509
2.448,-0.21075,80.349,1.6305,0.56006,0.33496,0.73021
2.456,-0.21014,86.112,1.6354,0.58008,0.33984,0.71994
2.464,-0.20953,91.436,1.6393,0.58496,0.33984,0.71994
2.472,-0.20953,96.369,1.6403,0.62012,0.36523,0.71505
2.48,-0.20953,101.01,1.6383,0.62988,0.375,0.71505
2.488,-0.20953,105.01,1.6344,0.6499,0.38525,0.71505
2.496,-0.20953,107.99,1.6295,0.65479,0.39502,0.71505
2.504,-0.21014,109.75,1.6217,0.6748,0.39014,0.71505
2.512,-0.21014,110.09,1.6139,0.68018,0.41016,0.71017
2.52,-0.21075,109.17,1.607,0.6748,0.41504,0.70528
2.528,-0.21136,107.16,1.5982,0.69482,0.43018,0.70039
2.536,-0.21197,104.43,1.5904,0.68506,0.4248,0.69501
2.544,-0.21258,101.16,1.5836,0.69482,0.43506,0.69013
2.552,-0.21381,97.786,1.5777,0.68506,0.43018,0.69013
2.56,-0.21503,94.513,1.5718,0.69482,0.43506,0.69013
2.568,-0.21625,91.387,1.565,0.68018,0.4248,0.69013
2.576,-0.21747,88.359,1.5591,0.68506,0.43018,0.69013
2.584,-0.21869,85.673,1.5533,0.6748,0.4248,0.69501
2.592,-0.2193,83.182,1.5484,0.68018,0.43506,0.69501
2.6,-0.21991,80.886,1.5445,0.66016,0.41992,0.70039
2.608,-0.22053,78.737,1.5415,0.66504,0.43018,0.69501
2.616,-0.22175,76.685,1.5396,0.65479,0.41504,0.70039
2.624,-0.22236,74.731,1.5406,0.65479,0.4248,0.69501
2.632,-0.22358,72.924,1.5396,0.6499,0.41504,0.70039
2.64,-0.2248,71.215,1.5367,0.65479,0.4248,0.69501
2.648,-0.22541,69.749,1.5337,0.64502,0.41992,0.70528
2.656,-0.22602,68.431,1.5288,0.65479,0.4248,0.70039
2.664,-0.22602,67.307,1.5191,0.6499,0.41016,0.70528
2.672,-0.22602,66.281,1.5064,0.66504,0.40479,0.70528
2.68,-0.22663,65.5,1.4946,0.65479,0.39502,0.71505
2.688,-0.22663,64.914,1.4848,0.65479,0.39014,0.73021
2.696,-0.22724,64.474,1.4819,0.66016,0.39502,0.73509
2.704,-0.22786,64.23,1.4917,0.6499,0.38525,0.72532
2.712,-0.22908,64.181,1.5191,0.65479,0.3999,0.71017
2.72,-0.22969,64.23,1.565,0.6748,0.39502,0.68524
2.728,-0.23091,64.425,1.6315,0.68994,0.41016,0.68035
2.736,-0.23213,64.816,1.7155,0.6748,0.43018,0.66031
2.744,-0.23335,65.256,1.7977,0.66016,0.43506,0.64516
2.752,-0.23458,65.793,1.8807,0.6499,0.4248,0.64516
2.76,-0.2358,66.428,1.9756,0.65479,0.43018,0.65005
2.768,-0.23702,67.112,2.0714,0.64014,0.43506,0.65494
2.776,-0.23824,67.796,2.1584,0.63477,0.43994,0.65494
2.784,-0.23946,68.479,2.2317,0.62988,0.43506,0.66031
2.792,-0.2413,69.066,2.2884,0.62012,0.43506,0.6652
2.8,-0.24252,69.603,2.3294,0.60986,0.43506,0.6652
2.808,-0.24313,70.042,2.3539,0.62988,0.44482,0.6652
2.816,-0.24313,70.433,2.3617,0.625,0.43018,0.67498
2.824,-0.24252,70.677,2.3558,0.63477,0.43506,0.68035
2.832,-0.2413,70.873,2.3382,0.625,0.43506,0.68524
2.84,-0.24007,70.97,2.3118,0.64014,0.43506,0.68524
2.848,-0.23824,70.922,2.2815,0.625,0.41992,0.69013
2.856,-0.23641,70.824,2.2473,0.60498,0.41504,0.71505
2.864,-0.23396,70.531,2.2053,0.55518,0.39502,0.78006
2.872,-0.22969,70.238,2.1593,0.5498,0.31982,0.77517
2.88,-0.22541,69.945,2.1114,0.70508,0.28516,0.74536
2.888,-0.21991,69.505,2.0635,1.0449,0.44482,0.61486
2.896,-0.21442,69.066,2.0147,1.2397,0.5498,0.42473
2.904,-0.20892,68.528,1.9658,1.1348,0.62012,0.40469
2.912,-0.20342,68.089,1.9159,0.99512,0.81006,0.38514
2.92,-0.19792,67.698,1.8651,0.85498,0.71484,0.41984
2.928,-0.19181,67.258,1.8152,0.73486,0.56494,0.53519
2.936,-0.18571,66.819,1.7664,0.66016,0.48486,0.65005
2.944,-0.17899,66.428,1.7234,0.625,0.44482,0.70039
2.952,-0.17166,66.037,1.6843,0.60498,0.4248,0.71505
2.96,-0.16432,65.695,1.6432,0.6001,0.41504,0.73021
2.968,-0.15638,65.305,1.6031,0.58984,0.41016,0.73509
2.976,-0.14844,64.914,1.566,0.59521,0.3999,0.73021
2.984,-0.1405,64.621,1.5327,0.58496,0.38525,0.73509
2.992,-0.13256,64.23,1.5064,0.6001,0.39014,0.73021
3,-0.12523,63.937,1.4878,0.58496,0.38525,0.73509
3.008,-0.1179,63.546,1.478,0.6001,0.38525,0.73509
3.016,-0.11057,63.253,1.4741,0.58984,0.36523,0.73509
3.024,-0.10324,62.911,1.4761,0.60498,0.37012,0.73509
3.032,-0.094685,62.618,1.4829,0.58984,0.35498,0.73509
3.04,-0.085522,62.276,1.4927,0.60498,0.35986,0.73509
3.048,-0.075748,62.032,1.5024,0.58496,0.33984,0.73509
3.056,-0.065974,61.788,1.5132,0.59521,0.33984,0.73509
3.064,-0.056811,61.495,1.5249,0.58008,0.33008,0.73509
3.072,-0.047648,61.251,1.5367,0.58008,0.31494,0.73509
3.08,-0.038485,60.909,1.5494,0.56494,0.31494,0.73021
3.088,-0.029322,60.664,1.563,0.56006,0.30518,0.73509
3.096,-0.019548,60.567,1.5777,0.5498,0.29492,0.73509
3.104,-0.0091631,60.616,1.5924,0.54004,0.29004,0.73509
3.112,0.0018326,61.055,1.607,0.52002,0.29004,0.73509
3.12,0.013439,62.472,1.6207,0.52002,0.28516,0.73509
3.128,0.026268,65.402,1.6305,0.52002,0.29492,0.73509
3.136,0.039707,69.994,1.6383,0.51514,0.29004,0.73509
3.144,0.053757,75.757,1.6432,0.52002,0.30029,0.73509
3.152,0.067807,81.863,1.6461,0.51514,0.30518,0.73509
3.16,0.080635,87.724,1.6471,0.54004,0.31494,0.73021
3.168,0.093464,93.097,1.6481,0.55518,0.3252,0.73021
3.176,0.10507,98.177,1.6481,0.58496,0.33984,0.71994
3.184,0.11668,102.72,1.6471,0.59521,0.34521,0.71994
3.192,0.12889,106.53,1.6442,0.62012,0.37012,0.71505
3.2,0.14172,109.41,1.6403,0.625,0.36523,0.71505
3.208,0.15455,110.92,1.6354,0.65479,0.38525,0.71017
3.216,0.16799,111.17,1.6295,0.65479,0.39014,0.71017
3.224,0.1796,110.09,1.6227,0.66992,0.41016,0.70528
3.232,0.19181,108.04,1.6168,0.66504,0.40479,0.70528
3.24,0.2022,105.31,1.6109,0.68018,0.41504,0.70528
3.248,0.21319,102.18,1.6051,0.66992,0.41016,0.69501
3.256,0.22358,99.007,1.6002,0.68018,0.41992,0.69013
3.264,0.23396,95.881,1.5924,0.66504,0.41016,0.69013
3.272,0.24374,92.853,1.5846,0.66992,0.41016,0.69013
3.28,0.25412,89.971,1.5787,0.66016,0.41992,0.69013
3.288,0.26329,87.382,1.5728,0.65479,0.41016,0.69013
3.296,0.27245,84.94,1.5679,0.6499,0.41504,0.69013
3.304,0.28039,82.595,1.563,0.64502,0.41016,0.69013
3.312,0.28894,80.544,1.5601,0.65479,0.41504,0.69501
3.32,0.29566,78.59,1.5601,0.64014,0.41016,0.69501
3.328,0.30299,76.734,1.5601,0.6499,0.41992,0.69501
3.336,0.30849,75.073,1.5591,0.64014,0.41016,0.69501
