Time [s], RESP, PLETH, I, II, V, ABP
0.688,1.0954,0.53763,0.15039,0.85938,-0.29883,46.741
0.696,1.1002,0.53079,0.21484,1.4434,-0.49805,46.349
0.704,1.1076,0.52199,0.37109,1.5,-0.46875,45.958
0.712,1.1149,0.51515,0.30078,0.96484,-0.33398,45.567
0.72,1.1222,0.50831,0.23438,0.51562,-0.0097656,45.176
0.728,1.1271,0.50244,0.39062,0.080078,0.60938,44.785
0.736,1.1345,0.49658,0.46094,-0.16992,0.91992,44.589
0.744,1.1418,0.49071,0.46094,-0.24023,0.96875,44.198
0.752,1.1467,0.48485,0.44922,-0.26367,0.98047,43.807
0.76,1.154,0.47996,0.44922,-0.27344,0.97461,43.416
0.768,1.1589,0.47507,0.44531,-0.28516,0.97461,43.22
0.776,1.1663,0.47019,0.43945,-0.28516,0.96484,43.025
0.784,1.1711,0.46628,0.44531,-0.27344,0.96484,42.829
0.792,1.1785,0.46237,0.43945,-0.26367,0.95898,42.634
0.8,1.1834,0.45846,0.44531,-0.25977,0.96484,42.438
0.808,1.1907,0.45357,0.44531,-0.25977,0.95898,42.438
0.816,1.198,0.44966,0.45508,-0.25,0.96484,42.243
0.824,1.2054,0.44575,0.44922,-0.25,0.95898,42.047
0.832,1.2127,0.44282,0.45508,-0.24414,0.96484,42.047
0.84,1.22,0.43891,0.46094,-0.24414,0.96484,41.851
0.848,1.2274,0.435,0.46094,-0.24023,0.96875,41.656
0.856,1.2323,0.43109,0.45508,-0.24414,0.96875,41.46
0.864,1.2372,0.42522,0.4707,-0.23438,0.98047,41.265
0.872,1.2421,0.42033,0.46484,-0.23438,0.98438,40.874
0.88,1.2494,0.41544,0.48047,-0.22461,0.98438,40.678
0.888,1.2543,0.41056,0.47461,-0.22461,0.99414,40.287
0.896,1.2616,0.40567,0.49023,-0.21875,1,39.896
0.904,1.2665,0.40176,0.48438,-0.22461,1.0098,39.505
0.912,1.2714,0.3998,0.5,-0.21875,1.0254,39.113
0.92,1.2763,0.39785,0.5,-0.21484,1.0352,38.722
0.928,1.2812,0.39589,0.50977,-0.21875,1.0488,38.527
0.936,1.2861,0.39492,0.50977,-0.21484,1.0645,38.331
0.944,1.291,0.39296,0.51562,-0.21875,1.0742,38.918
0.952,1.2983,0.39101,0.51953,-0.22461,1.0938,40.482
0.96,1.3032,0.38807,0.5293,-0.21875,1.1035,44.003
0.968,1.3105,0.38514,0.53516,-0.20898,1.125,49.87
0.976,1.3154,0.38123,0.53906,-0.19922,1.125,58.083
0.984,1.3203,0.37634,0.54492,-0.16992,1.125,68.253
0.992,1.3276,0.37146,0.54492,-0.13867,1.1035,79.4
1,1.3301,0.36657,0.53516,-0.09375,1.0742,91.134
1.008,1.335,0.36266,0.51562,-0.048828,1.0137,102.48
1.016,1.3374,0.35875,0.49023,-0.0039062,0.93555,113.04
1.024,1.3399,0.35484,0.45508,0.025391,0.84961,122.03
1.032,1.3423,0.35288,0.42969,0.041016,0.77539,129.27
1.04,1.3447,0.35191,0.40039,0.03125,0.7207,133.96
1.048,1.3447,0.35093,0.38086,0.025391,0.68555,136.31
1.056,1.3447,0.34995,0.36523,0.0097656,0.66992,136.51
1.064,1.3423,0.34995,0.35938,0.0058594,0.66016,134.94
1.072,1.3423,0.34995,0.35547,0,0.6543,131.81
1.08,1.3399,0.34995,0.35938,0,0.6543,127.51
1.088,1.3374,0.34897,0.35547,-0.013672,0.6543,122.82
1.096,1.3325,0.34604,0.36523,-0.0097656,0.66016,117.54
1.104,1.3276,0.34311,0.36523,-0.013672,0.66406,112.06
1.112,1.3203,0.34018,0.36523,-0.019531,0.66992,106.58
1.12,1.3154,0.3392,0.36523,-0.013672,0.67578,101.11
1.128,1.3081,0.3392,0.36523,-0.025391,0.66992,96.024
1.136,1.3007,0.3392,0.36523,-0.025391,0.67969,91.33
1.144,1.2934,0.3392,0.37109,-0.025391,0.67969,86.832
1.152,1.2861,0.3392,0.36523,-0.029297,0.68945,83.116
1.16,1.2787,0.34018,0.36523,-0.029297,0.68555,79.791
1.168,1.2714,0.34115,0.36523,-0.035156,0.69531,76.858
1.176,1.2665,0.34115,0.375,-0.029297,0.68945,74.707
1.184,1.2592,0.34115,0.375,-0.039062,0.69922,72.555
1.192,1.2518,0.34115,0.375,-0.039062,0.69922,70.991
1.2,1.2445,0.34115,0.38086,-0.035156,0.69922,69.622
1.208,1.2372,0.34115,0.375,-0.035156,0.69531,68.449
1.216,1.2323,0.34115,0.38477,-0.035156,0.69922,67.471
1.224,1.2249,0.34213,0.38086,-0.035156,0.69922,66.493
1.232,1.2176,0.34311,0.38477,-0.035156,0.69922,65.711
1.24,1.2127,0.34409,0.38086,-0.035156,0.69922,64.928
1.248,1.2054,0.34604,0.38477,-0.025391,0.69922,64.537
1.256,1.2005,0.34995,0.38086,-0.029297,0.69922,64.146
1.264,1.1932,0.35679,0.39062,-0.025391,0.69922,63.95
1.272,1.1883,0.36852,0.39062,-0.025391,0.69922,63.755
1.28,1.1809,0.38514,0.39062,-0.013672,0.69922,63.559
1.288,1.176,0.40567,0.39062,-0.019531,0.69922,63.168
1.296,1.1687,0.43011,0.39062,-0.0097656,0.69922,62.777
1.304,1.1638,0.45552,0.39062,-0.013672,0.69922,62.386
1.312,1.1565,0.48289,0.39453,-0.0039062,0.70898,61.799
1.32,1.1491,0.50538,0.41602,0.041016,0.72461,61.017
1.328,1.1443,0.52688,0.43555,0.070312,0.74023,60.235
1.336,1.1369,0.54839,0.43555,0.089844,0.75,59.452
1.344,1.1296,0.56989,0.44922,0.125,0.75391,58.67
1.352,1.1222,0.58847,0.41992,0.11523,0.7207,57.888
1.36,1.1149,0.60411,0.39453,0.089844,0.67969,56.91
1.368,1.1076,0.61681,0.39062,0.064453,0.68555,55.932
1.376,1.0978,0.62561,0.41016,0.035156,0.68945,54.954
1.384,1.0905,0.63245,0.39453,0.025391,0.68555,53.977
1.392,1.0831,0.63539,0.41016,0.064453,0.70508,53.194
1.4,1.0758,0.63636,0.42578,0.050781,0.72461,52.216
1.408,1.066,0.63441,0.41016,0.015625,0.7207,51.63
1.416,1.0562,0.62952,0.39062,-0.019531,0.71484,50.847
1.424,1.0489,0.62463,0.39062,-0.044922,0.71484,50.065
1.432,1.0367,0.61877,0.39062,-0.054688,0.7207,49.479
1.44,1.0269,0.6129,0.38477,-0.058594,0.71484,48.892
1.448,1.0147,0.60704,0.39062,-0.048828,0.72461,48.501
1.456,1.0049,0.60117,0.38086,-0.044922,0.70898,47.914
1.464,0.99267,0.59433,0.42969,0.019531,0.74414,47.523
1.472,0.98044,0.58651,0.35547,0.15039,0.46094,47.132
1.48,0.96822,0.57869,0.15625,0.66992,-0.16406,46.545
1.488,0.95844,0.57087,0.13086,1.375,-0.49805,46.154
1.496,0.94866,0.56207,0.38086,1.5,-0.48438,45.958
1.504,0.93643,0.55425,0.41602,1.2695,-0.35938,45.567
1.512,0.92665,0.54741,0.26562,0.73438,-0.17383,45.176
1.52,0.91687,0.54154,0.375,0.21484,0.43555,44.98
1.528,0.90465,0.53568,0.44922,-0.083984,0.84375,44.589
1.536,0.89487,0.52981,0.4707,-0.21484,0.95898,44.394
1.544,0.88509,0.52395,0.46484,-0.25,0.96875,44.003
1.552,0.87531,0.52004,0.45508,-0.26367,0.97461,43.807
1.56,0.86553,0.51613,0.44922,-0.26953,0.96875,43.416
1.568,0.85819,0.51417,0.44531,-0.27344,0.97461,43.22
1.576,0.84841,0.51026,0.44922,-0.26953,0.96484,43.025
1.584,0.84108,0.50538,0.45508,-0.25977,0.96484,42.829
1.592,0.8313,0.50049,0.44922,-0.25391,0.96484,42.634
1.6,0.82396,0.49462,0.46094,-0.25,0.95898,42.438
1.608,0.81663,0.48778,0.44922,-0.25,0.95898,42.438
1.616,0.80929,0.48289,0.46094,-0.23438,0.95898,42.243
1.624,0.80196,0.47898,0.45508,-0.24023,0.95898,42.047
1.632,0.79707,0.47507,0.46094,-0.23438,0.96484,42.047
1.64,0.78973,0.47019,0.46484,-0.23438,0.96484,41.851
1.648,0.7824,0.46628,0.4707,-0.22852,0.97461,41.656
1.656,0.77506,0.46237,0.46484,-0.23438,0.97461,41.46
1.664,0.77017,0.45748,0.48438,-0.21875,0.98047,41.265
1.672,0.76284,0.45259,0.48438,-0.21875,0.98438,40.874
1.68,0.7555,0.4477,0.49414,-0.21484,0.99023,40.678
1.688,0.75061,0.44184,0.49023,-0.21484,0.99414,40.287
1.696,0.74328,0.43597,0.50586,-0.20508,1.0039,40.091
1.704,0.73839,0.43109,0.5,-0.20898,1.0195,39.7
1.712,0.73105,0.42717,0.50977,-0.20508,1.0293,39.309
1.72,0.72616,0.42326,0.50586,-0.20508,1.0449,39.113
1.728,0.72127,0.42033,0.51562,-0.20508,1.0547,39.113
1.736,0.71394,0.41838,0.51562,-0.21484,1.0742,39.7
1.744,0.70905,0.41544,0.52539,-0.21484,1.0801,41.265
1.752,0.70171,0.41349,0.5293,-0.20508,1.0996,44.98
1.76,0.69682,0.41056,0.53516,-0.20508,1.1094,51.043
1.768,0.68949,0.40567,0.53516,-0.18945,1.1191,59.648
1.776,0.6846,0.3998,0.53906,-0.16016,1.1152,70.209
1.784,0.67726,0.39492,0.54492,-0.12891,1.1094,81.552
1.792,0.67237,0.39101,0.55078,-0.083984,1.0801,93.481
1.8,0.66504,0.38807,0.53516,-0.035156,1.0293,104.82
1.808,0.66015,0.38514,0.50977,0,0.95898,115.38
1.816,0.65281,0.38319,0.47461,0.03125,0.875,124.58
1.824,0.64792,0.38123,0.43945,0.041016,0.78906,131.62
1.832,0.64059,0.38025,0.41992,0.044922,0.73438,136.51
1.84,0.63325,0.3783,0.39062,0.025391,0.68945,139.24
1.848,0.62347,0.37732,0.38086,0.019531,0.66406,139.44
1.856,0.61614,0.39003,0.37109,0,0.6543,138.07
1.864,0.60636,0.40958,0.375,0,0.6543,135.53
1.872,0.59902,0.4174,0.36523,-0.0097656,0.64453,131.81
1.88,0.58924,0.42033,0.36523,-0.0039062,0.64062,127.51
1.888,0.58191,0.42033,0.36523,-0.019531,0.6543,122.82
1.896,0.56968,0.42033,0.36523,-0.013672,0.65039,117.73
1.904,0.5599,0.41838,0.36523,-0.025391,0.6543,112.65
1.912,0.54523,0.4174,0.36523,-0.025391,0.66016,107.37
1.92,0.53301,0.41642,0.36523,-0.029297,0.66016,102.48
1.928,0.52078,0.41447,0.36523,-0.025391,0.66016,97.588
1.936,0.50856,0.41251,0.36523,-0.035156,0.67578,93.09
1.944,0.49633,0.41153,0.36523,-0.029297,0.66992,88.788
1.952,0.48166,0.40958,0.36523,-0.035156,0.67969,85.072
1.96,0.47188,0.40958,0.37109,-0.029297,0.67969,81.943
1.968,0.45966,0.40958,0.36523,-0.039062,0.67969,79.205
1.976,0.44988,0.41056,0.37109,-0.035156,0.68555,76.662
1.984,0.4401,0.41153,0.375,-0.025391,0.68945,74.707
1.992,0.43032,0.41153,0.37109,-0.035156,0.68945,72.947
2,0.42054,0.41153,0.38086,-0.039062,0.69531,71.382
2.008,0.4132,0.41153,0.375,-0.035156,0.69531,70.209
2.016,0.40587,0.41153,0.38477,-0.025391,0.69531,69.035
2.024,0.39853,0.41153,0.38086,-0.029297,0.68945,67.862
2.032,0.3912,0.41153,0.38477,-0.029297,0.69922,66.884
2.04,0.38631,0.41251,0.38086,-0.035156,0.69531,66.102
2.048,0.38142,0.41642,0.38477,-0.025391,0.69531,65.711
2.056,0.37653,0.42424,0.38477,-0.025391,0.68555,65.319
2.064,0.37164,0.43597,0.39062,-0.025391,0.69531,65.124
2.072,0.36675,0.45064,0.38086,-0.025391,0.69922,64.928
2.08,0.36186,0.46823,0.38477,-0.013672,0.68945,64.537
2.088,0.35697,0.4868,0.38086,-0.025391,0.68945,64.342
2.096,0.35452,0.50635,0.38477,-0.019531,0.69531,63.95
2.104,0.34963,0.5259,0.39062,0,0.69922,63.559
2.112,0.34474,0.54545,0.41602,0.041016,0.7207,62.973
2.12,0.33985,0.56207,0.42578,0.064453,0.73047,62.386
2.128,0.33741,0.57674,0.44531,0.089844,0.74414,61.604
2.136,0.33252,0.59238,0.43555,0.11523,0.75,60.821
2.144,0.32763,0.60802,0.41602,0.099609,0.69922,59.844
2.152,0.32029,0.62268,0.39062,0.089844,0.67969,59.061
2.16,0.3154,0.63539,0.40039,0.064453,0.67578,58.083
2.168,0.31051,0.64614,0.41016,0.025391,0.67578,56.91
2.176,0.30318,0.65396,0.40039,0.041016,0.67969,56.128
2.184,0.29829,0.65982,0.41602,0.064453,0.69922,55.15
2.192,0.29095,0.66373,0.42969,0.044922,0.71484,54.172
2.2,0.28606,0.66471,0.41016,0.0097656,0.71484,53.39
2.208,0.28117,0.66373,0.39062,-0.029297,0.70508,52.608
2.216,0.27384,0.66178,0.39062,-0.048828,0.71484,51.825
2.224,0.2665,0.65787,0.38477,-0.048828,0.70898,51.239
2.232,0.25917,0.65396,0.39062,-0.044922,0.70898,50.652
2.24,0.25183,0.64907,0.38477,-0.044922,0.70508,50.065
2.248,0.24205,0.64418,0.39062,-0.029297,0.70508,49.479
2.256,0.23472,0.63734,0.43945,0.044922,0.73438,49.087
2.264,0.22494,0.6305,0.31055,0.2207,0.32422,48.501
2.272,0.21516,0.62268,0.13477,0.85547,-0.30469,48.11
2.28,0.20782,0.61584,0.125,1.4688,-0.49805,47.718
2.288,0.20049,0.60899,0.4043,1.5,-0.46484,47.327
2.296,0.19315,0.60313,0.41602,1.1191,-0.36328,46.936
2.304,0.18582,0.59726,0.25977,0.63477,-0.099609,46.741
2.312,0.17848,0.5914,0.39453,0.15039,0.5293,46.349
2.32,0.17359,0.58651,0.46094,-0.14453,0.89453,46.154
2.328,0.16626,0.58162,0.4707,-0.23438,0.96484,45.763
2.336,0.15892,0.57576,0.46094,-0.26367,0.97461,45.567
2.344,0.15403,0.57087,0.46094,-0.27344,0.96875,45.176
2.352,0.1467,0.56598,0.45508,-0.27344,0.96875,44.98
2.36,0.14181,0.56109,0.45508,-0.25977,0.95898,44.589
2.368,0.13447,0.55621,0.45508,-0.25977,0.96484,44.589
2.376,0.12958,0.55132,0.45508,-0.25391,0.95898,44.394
2.384,0.12225,0.54643,0.45508,-0.25391,0.96484,44.198
2.392,0.11736,0.54252,0.46094,-0.25,0.95898,44.003
2.4,0.11002,0.53959,0.46094,-0.23438,0.95898,43.807
2.408,0.10269,0.53568,0.45508,-0.24023,0.95508,43.612
2.416,0.0978,0.53177,0.46094,-0.22852,0.95898,43.612
2.424,0.090465,0.52786,0.46484,-0.22461,0.95898,43.416
2.432,0.08313,0.52395,0.4707,-0.21875,0.96484,43.22
2.44,0.075795,0.52004,0.47461,-0.22461,0.96875,43.025
2.448,0.070905,0.51613,0.48047,-0.21484,0.97461,43.025
2.456,0.06357,0.51222,0.48438,-0.21484,0.98438,42.634
2.464,0.056235,0.50929,0.49023,-0.20898,0.98438,42.438
2.472,0.0489,0.50538,0.49023,-0.20898,0.99023,42.047
2.48,0.04401,0.50244,0.5,-0.19336,1.0039,41.851
2.488,0.036675,0.49951,0.5,-0.19922,1.0098,41.46
2.496,0.02934,0.49658,0.50586,-0.18945,1.0254,41.265
2.504,0.022005,0.49365,0.50977,-0.19922,1.0352,40.874
2.512,0.017115,0.49071,0.51953,-0.18945,1.0488,40.678
2.52,0.00978,0.48778,0.51953,-0.18945,1.0586,40.678
2.528,0.00489,0.48387,0.5293,-0.18945,1.0742,41.46
2.536,-0.002445,0.47996,0.5293,-0.18945,1.0938,43.612
2.544,-0.007335,0.47507,0.53516,-0.18359,1.1035,48.11
2.552,-0.01467,0.47116,0.53906,-0.17969,1.1191,54.954
2.56,-0.01956,0.46725,0.55078,-0.16406,1.125,64.146
2.568,-0.026895,0.46432,0.55469,-0.14453,1.1289,75.098
2.576,-0.03423,0.46237,0.56055,-0.099609,1.1035,86.832
2.584,-0.041565,0.46041,0.55469,-0.048828,1.0801,98.566
2.592,-0.0489,0.45846,0.5293,-0.0097656,1.0137,109.91
2.6,-0.056235,0.45748,0.50977,0.025391,0.93945,119.88
2.608,-0.06357,0.45552,0.4707,0.041016,0.85547,128.29
2.616,-0.070905,0.45455,0.43945,0.050781,0.78516,134.55
2.624,-0.075795,0.45357,0.41602,0.044922,0.7207,138.46
2.632,-0.085575,0.45161,0.39453,0.03125,0.68555,140.03
2.64,-0.09291,0.45064,0.375,0.015625,0.6543,139.64
2.648,-0.10269,0.44868,0.36523,0.0097656,0.65039,137.68
2.656,-0.11247,0.44673,0.36523,0,0.64062,134.55
2.664,-0.12225,0.44575,0.36523,0,0.64453,130.44
2.672,-0.12958,0.44379,0.35938,-0.0039062,0.64062,125.75
2.68,-0.13936,0.44086,0.36523,-0.013672,0.65039,121.06
2.688,-0.1467,0.43891,0.35938,-0.013672,0.6543,115.97
2.696,-0.15892,0.43793,0.36523,-0.0097656,0.6543,110.69
2.704,-0.1687,0.43597,0.36523,-0.013672,0.6543,105.61
2.712,-0.17848,0.43402,0.36523,-0.0097656,0.66016,100.72
2.72,-0.19071,0.43304,0.36523,-0.025391,0.66406,95.828
2.728,-0.20049,0.43304,0.37109,-0.025391,0.66016,91.525
2.736,-0.21027,0.43206,0.36523,-0.029297,0.67578,87.614
2.744,-0.22005,0.43011,0.37109,-0.025391,0.66992,84.094
2.752,-0.22983,0.42815,0.36523,-0.029297,0.67969,81.16
2.76,-0.23716,0.4262,0.37109,-0.035156,0.67969,78.422
2.768,-0.2445,0.42326,0.36523,-0.039062,0.68945,76.271
2.776,-0.24939,0.42131,0.375,-0.029297,0.68555,74.316
2.784,-0.25428,0.41935,0.375,-0.035156,0.69531,72.751
2.792,-0.25917,0.4174,0.37109,-0.039062,0.69531,71.382
2.8,-0.26161,0.41642,0.38086,-0.039062,0.69531,70.209
2.808,-0.26406,0.41544,0.375,-0.035156,0.69531,69.035
2.816,-0.26895,0.41544,0.38477,-0.039062,0.69922,68.253
2.824,-0.26895,0.4174,0.375,-0.044922,0.68945,67.471
2.832,-0.27139,0.42033,0.38477,-0.025391,0.69531,66.688
2.84,-0.27384,0.4262,0.38086,-0.035156,0.69531,66.297
2.848,-0.27384,0.435,0.39062,-0.025391,0.69922,65.906
2.856,-0.27384,0.44575,0.38477,-0.029297,0.69531,65.711
2.864,-0.27384,0.45943,0.39062,-0.025391,0.69531,65.515
2.872,-0.27139,0.47605,0.39062,-0.029297,0.69922,65.319
2.88,-0.26895,0.4956,0.39062,-0.019531,0.69922,64.928
2.888,-0.26895,0.51613,0.38477,-0.025391,0.69922,64.537
2.896,-0.2665,0.53568,0.41602,0.025391,0.7207,63.95
2.904,-0.26406,0.55621,0.42578,0.054688,0.73047,63.364
2.912,-0.26161,0.57576,0.44531,0.076172,0.74414,62.777
2.92,-0.26161,0.5914,0.44922,0.10547,0.75391,61.995
2.928,-0.25917,0.60508,0.42969,0.11133,0.72461,61.213
2.936,-0.25672,0.61779,0.39453,0.080078,0.69531,60.235
2.944,-0.25428,0.6305,0.39062,0.070312,0.67969,59.257
2.952,-0.25428,0.64027,0.39453,0.041016,0.67969,58.279
2.96,-0.25183,0.64907,0.40039,0.019531,0.67578,57.301
2.968,-0.25183,0.65591,0.41016,0.050781,0.69531,56.323
2.976,-0.24939,0.65982,0.43555,0.054688,0.71484,55.346
2.984,-0.24939,0.66178,0.41602,0.03125,0.7207,54.563
2.992,-0.24939,0.66276,0.4043,-0.013672,0.70508,53.781
3,-0.24939,0.6608,0.39062,-0.039062,0.70508,52.999
3.008,-0.24939,0.65787,0.39062,-0.048828,0.70508,52.216
3.016,-0.24939,0.65298,0.39062,-0.054688,0.70898,51.63
3.024,-0.24939,0.64712,0.38477,-0.048828,0.71484,51.043
3.032,-0.25183,0.64125,0.39062,-0.044922,0.70898,50.456
3.04,-0.25428,0.63441,0.42578,0.0097656,0.74023,49.87
3.048,-0.25672,0.62757,0.45508,0.125,0.55469,49.479
3.056,-0.25672,0.6217,0.16602,0.57422,-0.11914,49.087
3.064,-0.25917,0.61681,0.125,1.2637,-0.49805,48.696
3.072,-0.26161,0.61193,0.3457,1.5,-0.49805,48.11
3.08,-0.26406,0.60704,0.41016,1.2891,-0.41406,47.718
3.088,-0.26406,0.60117,0.25,0.78906,-0.28516,47.523
3.096,-0.2665,0.59531,0.35547,0.26562,0.31445,47.132
3.104,-0.2665,0.58944,0.43945,-0.070312,0.81445,46.936
3.112,-0.26895,0.5826,0.46484,-0.22461,0.95508,46.545
3.12,-0.26895,0.57674,0.46094,-0.26367,0.97461,46.154
3.128,-0.26895,0.57087,0.46094,-0.27344,0.97461,45.958
3.136,-0.27139,0.56598,0.44922,-0.27344,0.96875,45.763
3.144,-0.27139,0.56109,0.45508,-0.28516,0.96875,45.372
3.152,-0.27139,0.55621,0.44531,-0.2793,0.96484,45.176
3.16,-0.26895,0.5523,0.45508,-0.26367,0.96484,44.98
3.168,-0.26895,0.54839,0.46094,-0.25391,0.96875,44.785
3.176,-0.26895,0.54448,0.46094,-0.25977,0.96484,44.589
3.184,-0.26895,0.53959,0.46094,-0.24414,0.96484,44.394
3.192,-0.26895,0.53568,0.46094,-0.23438,0.96484,44.198
3.2,-0.26895,0.53079,0.46484,-0.22852,0.96875,44.198
3.208,-0.26895,0.5259,0.46484,-0.23438,0.96875,44.003
3.216,-0.26895,0.52199,0.47461,-0.21875,0.97461,43.807
3.224,-0.26895,0.51808,0.47461,-0.21875,0.97461,43.612
3.232,-0.2665,0.51417,0.48438,-0.21875,0.98047,43.416
3.24,-0.2665,0.51124,0.48047,-0.21484,0.98047,43.22
3.248,-0.2665,0.50831,0.48438,-0.21484,0.99023,43.025
3.256,-0.26406,0.50635,0.48438,-0.21484,0.99414,42.634
3.264,-0.26406,0.50342,0.5,-0.20508,1.0039,42.438
3.272,-0.26406,0.50049,0.5,-0.20898,1.0098,42.047
3.28,-0.26161,0.49756,0.50977,-0.19336,1.0195,41.851
3.288,-0.26161,0.49365,0.50977,-0.19922,1.0293,41.46
