Time [s], RESP, PLETH, II, V, AVR, ABP
1.144,-0.1988,0.23851,0.0097656,0.97059,0.90196,44.198
1.152,-0.19277,0.23558,-0.039062,0.97647,0.93137,43.22
1.16,-0.18976,0.23558,-0.054688,0.96667,0.94118,42.438
1.168,-0.18373,0.23851,-0.044922,0.96667,0.93725,42.047
1.176,-0.18072,0.24438,-0.070312,0.97059,0.94706,41.656
1.184,-0.1747,0.25513,-0.058594,0.97647,0.94118,41.46
1.192,-0.16867,0.27175,-0.070312,0.97647,0.95098,41.46
1.2,-0.16265,0.29326,-0.058594,0.97647,0.94118,41.656
1.208,-0.15361,0.32063,-0.058594,0.97647,0.94118,41.851
1.216,-0.14759,0.35191,-0.048828,0.97647,0.94118,42.047
1.224,-0.13855,0.38612,-0.013672,0.94118,0.92157,42.243
1.232,-0.13253,0.42229,0.03125,0.89608,0.89608,42.634
1.24,-0.12651,0.45943,0.089844,0.81176,0.85098,42.829
1.248,-0.11747,0.49658,-0.013672,0.82157,0.86667,43.025
1.256,-0.11145,0.53275,-0.11523,0.64118,0.88627,43.22
1.264,-0.10542,0.56207,-0.1543,0.60588,0.90196,43.416
1.272,-0.099398,0.58749,-0.27344,0.7451,1.0314,43.612
1.28,-0.093373,0.61193,-0.31445,0.93725,1.0824,43.612
1.288,-0.087349,0.63539,-0.13477,0.99216,0.99608,43.807
1.296,-0.081325,0.65494,-0.054688,1.0275,0.95686,43.807
1.304,-0.075301,0.67155,-0.048828,1.051,0.96078,43.807
1.312,-0.069277,0.68426,-0.035156,1.0471,0.94706,43.807
1.32,-0.066265,0.69208,-0.048828,1.0569,0.95098,43.807
1.328,-0.060241,0.69501,-0.039062,1.051,0.94706,43.807
1.336,-0.054217,0.69306,-0.044922,1.0608,0.94118,43.612
1.344,-0.048193,0.68719,-0.029297,1.0471,0.95098,43.612
1.352,-0.042169,0.67742,-0.019531,1.0471,0.93137,43.416
1.36,-0.036145,0.66471,-0.0039062,1.0373,0.92157,43.22
1.368,-0.027108,0.65005,0.0058594,1.0412,0.91569,43.22
1.376,-0.021084,0.6305,0,1.0314,0.91569,43.025
1.384,-0.012048,0.60802,0.019531,1.0373,0.91176,42.829
1.392,-0.0060241,0.58358,0.0097656,1.0275,0.91569,42.634
1.4,0,0.55816,0.019531,1.0314,0.91176,42.438
1.408,0.0090361,0.53275,0.015625,1.0275,0.91569,42.243
1.416,0.01506,0.50635,0.019531,1.0314,0.91176,42.047
1.424,0.021084,0.48094,0.019531,1.0373,0.91176,41.656
1.432,0.027108,0.45552,0.03125,1.0314,0.90588,41.265
1.44,0.036145,0.43304,0.019531,1.0373,0.91176,40.874
1.448,0.042169,0.41056,0.041016,1.0471,0.89608,40.482
1.456,0.051205,0.39101,0.035156,1.0471,0.90196,40.091
1.464,0.060241,0.37439,0.050781,1.0471,0.8902,39.7
1.472,0.066265,0.36168,0.044922,1.0569,0.8902,39.309
1.48,0.075301,0.348,0.060547,1.0569,0.88627,38.918
1.488,0.081325,0.33627,0.044922,1.0471,0.8902,38.722
1.496,0.090361,0.32649,0.064453,1.0471,0.88627,38.527
1.504,0.099398,0.31867,0.060547,1.0373,0.8902,38.527
1.512,0.10843,0.31183,0.070312,1.0216,0.87647,38.527
1.52,0.11747,0.30792,0.054688,1.0059,0.88627,39.309
1.528,0.12651,0.30401,0.050781,0.99608,0.8902,40.678
1.536,0.13554,0.30108,0.035156,0.98235,0.88627,43.22
1.544,0.14157,0.29814,0.03125,0.97059,0.89608,47.132
1.552,0.1506,0.29619,0.019531,0.96667,0.90196,52.021
1.56,0.15663,0.29423,0.015625,0.96078,0.91176,57.692
1.568,0.16265,0.29326,0,0.96078,0.90588,63.364
1.576,0.16566,0.29228,-0.0097656,0.95686,0.92157,68.84
1.584,0.17169,0.29032,-0.025391,0.96078,0.92549,73.533
1.592,0.17169,0.28935,-0.029297,0.95686,0.93725,77.445
1.6,0.1747,0.28837,-0.025391,0.96078,0.93725,80.378
1.608,0.17169,0.28739,-0.044922,0.95686,0.94118,82.334
1.616,0.17169,0.28543,-0.035156,0.95686,0.94118,83.312
1.624,0.16867,0.28348,-0.044922,0.95098,0.94118,83.507
1.632,0.16566,0.28152,-0.035156,0.95686,0.94118,83.116
1.64,0.16265,0.27957,-0.048828,0.96078,0.94706,82.334
1.648,0.15663,0.27761,-0.039062,0.96667,0.94118,81.16
1.656,0.14759,0.27468,-0.048828,0.95686,0.94118,79.791
1.664,0.14157,0.2737,-0.035156,0.95686,0.94118,78.031
1.672,0.12952,0.27273,-0.048828,0.95686,0.94118,76.271
1.68,0.11747,0.27077,-0.039062,0.95686,0.93725,74.316
1.688,0.10241,0.26784,-0.044922,0.96078,0.94118,72.164
1.696,0.087349,0.26393,-0.029297,0.95686,0.93137,69.622
1.704,0.072289,0.26002,-0.025391,0.96667,0.92157,67.275
1.712,0.057229,0.25611,0,0.96078,0.91176,64.537
1.72,0.042169,0.25122,0,0.97059,0.90588,61.995
1.728,0.027108,0.24633,0.019531,0.97059,0.89608,59.452
1.736,0.012048,0.24145,0.03125,0.96078,0.8902,56.91
1.744,-0.0030121,0.23656,0.019531,0.95098,0.88627,54.368
1.752,-0.01506,0.23167,0.025391,0.95098,0.8902,52.216
1.76,-0.03012,0.22874,0,0.94118,0.90196,50.065
1.768,-0.042169,0.22678,0.0097656,0.95098,0.8902,48.305
1.776,-0.054217,0.22483,0.015625,0.95686,0.8902,46.936
1.784,-0.066265,0.2219,0.019531,0.96667,0.91176,45.763
1.792,-0.078313,0.2219,-0.048828,0.97059,0.94118,44.785
1.8,-0.087349,0.22385,-0.074219,0.96667,0.95686,44.198
1.808,-0.096386,0.22972,-0.083984,0.96078,0.96078,43.807
1.816,-0.10241,0.24047,-0.074219,0.96667,0.96078,43.416
1.824,-0.11145,0.25806,-0.09375,0.97059,0.96078,43.416
1.832,-0.11747,0.28152,-0.083984,0.97647,0.96078,43.22
1.84,-0.12349,0.31085,-0.09375,0.97059,0.96078,43.416
1.848,-0.12952,0.34506,-0.089844,0.97647,0.96078,43.416
1.856,-0.13554,0.38319,-0.09375,0.98235,0.96667,43.612
1.864,-0.14157,0.41935,-0.054688,0.95686,0.94706,44.003
1.872,-0.14759,0.45259,-0.0039062,0.90588,0.92157,44.198
1.88,-0.15361,0.49071,0.085938,0.81176,0.85098,44.394
1.888,-0.15964,0.52981,0.0097656,0.8,0.84118,44.589
1.896,-0.16265,0.56696,-0.089844,0.6549,0.86078,44.785
1.904,-0.16867,0.60313,-0.16992,0.60588,0.88627,44.98
1.912,-0.17169,0.63539,-0.27344,0.73137,1.002,45.176
1.92,-0.1747,0.66373,-0.33984,0.95098,1.0961,45.176
1.928,-0.18072,0.68622,-0.17969,1.0216,1.0216,45.176
1.936,-0.18373,0.70479,-0.099609,1.0373,0.97647,45.176
1.944,-0.18675,0.71848,-0.064453,1.0471,0.96078,45.176
1.952,-0.18976,0.72727,-0.048828,1.0471,0.96078,45.176
1.96,-0.19277,0.73021,-0.054688,1.0471,0.95686,45.176
1.968,-0.19277,0.72923,-0.048828,1.0471,0.95098,45.176
1.976,-0.19578,0.7263,-0.054688,1.0412,0.95686,45.176
1.984,-0.19578,0.71945,-0.035156,1.0471,0.94706,44.98
1.992,-0.1988,0.70772,-0.044922,1.0412,0.95098,44.785
2,-0.1988,0.69306,-0.025391,1.0471,0.94118,44.785
2.008,-0.20181,0.67351,-0.029297,1.0373,0.94118,44.589
2.016,-0.20181,0.652,-0.013672,1.0412,0.93725,44.394
2.024,-0.20181,0.62952,-0.025391,1.0373,0.94118,44.198
2.032,-0.20181,0.60411,-0.0097656,1.0412,0.92549,44.003
2.04,-0.20181,0.57869,-0.019531,1.0373,0.93137,43.612
2.048,-0.20181,0.55425,-0.0039062,1.0412,0.92157,43.416
2.056,-0.20181,0.53177,-0.0039062,1.0373,0.92549,43.025
2.064,-0.20181,0.51124,0.0097656,1.0412,0.91569,42.829
2.072,-0.20181,0.48876,0,1.0471,0.92157,42.438
2.08,-0.1988,0.46725,0.015625,1.0412,0.91176,42.047
2.088,-0.1988,0.44673,0.0097656,1.0569,0.91569,41.656
2.096,-0.1988,0.42717,0.025391,1.0608,0.90588,41.265
2.104,-0.1988,0.40958,0.025391,1.0725,0.90588,40.678
2.112,-0.19578,0.39394,0.035156,1.0725,0.8902,40.287
2.12,-0.19578,0.38123,0.041016,1.0725,0.8902,40.091
2.128,-0.19578,0.37146,0.054688,1.0725,0.88627,39.7
2.136,-0.19578,0.36364,0.054688,1.0667,0.88039,39.505
2.144,-0.19578,0.35777,0.064453,1.0569,0.87647,39.309
2.152,-0.1988,0.35386,0.070312,1.0471,0.88039,39.505
2.16,-0.1988,0.35191,0.060547,1.0275,0.87059,40.482
2.168,-0.1988,0.35191,0.064453,1.0216,0.87059,42.634
2.176,-0.20181,0.35093,0.050781,1.002,0.88039,45.958
2.184,-0.20181,0.35093,0.035156,0.98627,0.88627,50.652
2.192,-0.20482,0.35093,0.025391,0.97647,0.8902,56.519
2.2,-0.20482,0.35191,0.03125,0.97647,0.8902,62.582
2.208,-0.20783,0.35191,0.015625,0.96667,0.90196,68.449
2.216,-0.21084,0.35191,0.0058594,0.96667,0.89608,73.533
2.224,-0.21084,0.35288,-0.0039062,0.95686,0.90588,77.64
2.232,-0.21386,0.35386,0,0.96078,0.91176,80.769
2.24,-0.21687,0.35484,-0.019531,0.96667,0.91569,82.725
2.248,-0.21988,0.35582,-0.013672,0.95686,0.91176,83.898
2.256,-0.22289,0.35679,-0.025391,0.96078,0.91569,84.289
2.264,-0.2259,0.35777,-0.013672,0.95686,0.91569,84.094
2.272,-0.22892,0.35777,-0.025391,0.97059,0.92157,83.507
2.28,-0.23193,0.35777,-0.025391,0.96078,0.91569,82.529
2.288,-0.23494,0.35777,-0.029297,0.97059,0.92157,81.356
2.296,-0.23795,0.35777,-0.019531,0.96078,0.91569,79.987
2.304,-0.24096,0.35679,-0.025391,0.97059,0.91569,78.422
2.312,-0.24699,0.35582,-0.025391,0.97647,0.91569,76.662
2.32,-0.25,0.35386,-0.048828,0.97647,0.93725,74.707
2.328,-0.25301,0.35191,-0.070312,0.98235,0.95098,72.36
2.336,-0.25904,0.34897,-0.11914,0.99216,0.99216,70.013
2.344,-0.26205,0.34604,-0.16992,0.99608,1.0216,67.471
2.352,-0.26506,0.34311,-0.26953,1.0157,1.0922,64.928
2.36,-0.27108,0.34018,-0.41406,1.0373,1.1824,62.386
2.368,-0.2741,0.33724,-0.49805,1.0314,1.2569,59.648
2.376,-0.27711,0.33333,-0.49805,0.96667,1.3176,57.106
2.384,-0.28012,0.32845,-0.49805,0.8902,1.3176,54.759
2.392,-0.28313,0.32356,-0.49805,0.85098,1.298,52.412
2.4,-0.28614,0.31867,-0.49805,0.86078,1.2725,50.456
2.408,-0.28916,0.31378,-0.49805,0.90588,1.3373,48.696
2.416,-0.29217,0.3089,-0.49805,1.0373,1.3922,47.327
2.424,-0.29217,0.30596,-0.49805,1.1118,1.402,46.154
2.432,-0.29518,0.30401,-0.49805,1.1216,1.2529,45.176
2.44,-0.29518,0.30694,-0.19336,1.0725,1.0314,44.589
2.448,-0.29819,0.31476,0.099609,1.002,0.83529,44.198
2.456,-0.29819,0.32454,0.17969,0.97647,0.7902,43.807
2.464,-0.29819,0.33822,0.22461,0.97059,0.76667,43.612
2.472,-0.3012,0.35973,0.22461,0.96078,0.76078,43.612
2.48,-0.3012,0.38807,0.25,0.95686,0.75098,43.612
2.488,-0.3012,0.42131,0.25,0.96078,0.75098,43.807
2.496,-0.3012,0.45846,0.26953,0.95686,0.74118,44.003
2.504,-0.3012,0.49853,0.27539,0.95686,0.74118,44.198
2.512,-0.3012,0.53959,0.28516,0.95098,0.73137,44.589
2.52,-0.3012,0.57967,0.29102,0.96078,0.73137,44.785
2.528,-0.3012,0.61779,0.30469,0.95098,0.71569,44.98
2.536,-0.30422,0.65298,0.31445,0.95098,0.71569,45.176
2.544,-0.30422,0.68524,0.33984,0.95098,0.7,45.372
2.552,-0.30422,0.71457,0.35547,0.95098,0.68627,45.372
2.56,-0.30422,0.73509,0.38086,0.94706,0.67059,45.567
2.568,-0.30422,0.74976,0.39453,0.95098,0.66078,45.567
2.576,-0.30422,0.76442,0.41602,0.95098,0.6451,45.567
2.584,-0.30422,0.77517,0.43555,0.95098,0.63529,45.567
2.592,-0.30422,0.78299,0.45508,0.94706,0.61961,45.567
2.6,-0.30422,0.78592,0.46484,0.95098,0.61569,45.567
2.608,-0.30422,0.78495,0.4707,0.95098,0.61961,45.567
2.616,-0.30422,0.77908,0.48047,0.96078,0.6098,45.567
2.624,-0.30422,0.76931,0.46484,0.95098,0.61961,45.372
2.632,-0.30422,0.75562,0.44922,0.96667,0.62941,45.372
2.64,-0.3012,0.739,0.41992,0.96667,0.6549,45.176
2.648,-0.3012,0.71848,0.39062,0.97059,0.67647,44.98
2.656,-0.3012,0.69795,0.33594,0.96078,0.70588,44.785
2.664,-0.29819,0.67644,0.29492,0.95686,0.73137,44.589
2.672,-0.29819,0.64809,0.23438,0.95686,0.77059,44.394
2.68,-0.29819,0.61681,0.18945,0.95098,0.7902,44.198
2.688,-0.29819,0.58847,0.13086,0.95686,0.83137,43.807
2.696,-0.29518,0.56305,0.089844,0.95098,0.85098,43.612
2.704,-0.29518,0.53959,0.041016,0.96078,0.88039,43.22
2.712,-0.29518,0.51711,0.019531,0.95686,0.8902,43.025
2.72,-0.29518,0.49462,-0.013672,0.96667,0.91569,42.634
2.728,-0.29217,0.4741,-0.025391,0.96078,0.92549,42.243
2.736,-0.29217,0.45455,-0.054688,0.96667,0.94118,41.851
2.744,-0.29217,0.43793,-0.058594,0.96078,0.94118,41.656
2.752,-0.29217,0.42326,-0.074219,0.97647,0.94118,41.265
2.76,-0.28916,0.41251,-0.080078,0.96667,0.94706,40.874
2.768,-0.28916,0.40469,-0.074219,0.97059,0.95098,40.482
2.776,-0.28916,0.39687,-0.083984,0.97059,0.95686,40.287
2.784,-0.28916,0.38905,-0.089844,0.97647,0.95686,39.896
2.792,-0.28614,0.38319,-0.09375,0.97059,0.96078,39.505
2.8,-0.28614,0.3783,-0.089844,0.97059,0.95686,39.113
2.808,-0.28313,0.37439,-0.09375,0.96667,0.96078,38.722
2.816,-0.28313,0.37048,-0.089844,0.97647,0.96078,38.527
2.824,-0.28012,0.36852,-0.10352,0.97059,0.96667,38.136
2.832,-0.28012,0.36657,-0.09375,0.97647,0.96078,37.94
2.84,-0.27711,0.36461,-0.099609,0.97059,0.96078,37.744
2.848,-0.27711,0.36364,-0.09375,0.97647,0.96078,37.549
2.856,-0.27711,0.36266,-0.099609,0.97059,0.96078,37.353
2.864,-0.2741,0.36168,-0.089844,0.97059,0.96078,37.158
2.872,-0.2741,0.35973,-0.09375,0.97647,0.96078,37.158
2.88,-0.2741,0.35777,-0.074219,0.97059,0.95098,36.962
2.888,-0.2741,0.35582,-0.09375,0.97647,0.96078,36.962
2.896,-0.27108,0.35386,-0.083984,0.97647,0.96078,36.962
2.904,-0.27108,0.35191,-0.09375,0.97647,0.96078,36.962
2.912,-0.27108,0.34995,-0.080078,0.97059,0.95686,36.767
2.92,-0.27108,0.348,-0.089844,0.97647,0.96078,36.767
2.928,-0.27108,0.34604,-0.080078,0.97059,0.95686,36.571
2.936,-0.27108,0.34409,-0.083984,0.97647,0.96078,36.376
2.944,-0.27108,0.34213,-0.074219,0.97059,0.95098,36.376
2.952,-0.27108,0.34115,-0.080078,0.97647,0.95686,36.18
2.96,-0.27108,0.34018,-0.083984,0.97647,0.95686,35.984
2.968,-0.27108,0.33822,-0.074219,0.97647,0.95098,35.984
2.976,-0.27108,0.33627,-0.070312,0.97647,0.94118,35.789
2.984,-0.27108,0.33333,-0.054688,0.98235,0.94118,35.789
2.992,-0.27108,0.32942,-0.035156,0.97647,0.92157,35.789
3,-0.27108,0.32454,-0.025391,0.99216,0.91569,35.789
3.008,-0.27108,0.31965,-0.0039062,0.98627,0.90588,35.593
3.016,-0.27108,0.31476,0.0097656,0.97647,0.8902,35.593
3.024,-0.27108,0.31085,-0.0039062,0.96078,0.90196,35.398
3.032,-0.27108,0.30694,0,0.96078,0.88627,35.398
3.04,-0.27108,0.30401,-0.025391,0.95098,0.90588,35.398
3.048,-0.27108,0.30205,0,0.96078,0.8902,35.202
3.056,-0.27108,0.3001,0,0.97647,0.89608,35.202
3.064,-0.2741,0.29912,0.0058594,0.98235,0.90588,35.007
3.072,-0.2741,0.29619,-0.074219,0.98627,0.95686,34.811
3.08,-0.2741,0.29326,-0.089844,0.97647,0.96078,34.811
3.088,-0.2741,0.29032,-0.10352,0.98235,0.96667,34.615
3.096,-0.27711,0.28641,-0.089844,0.97647,0.95686,34.42
3.104,-0.27711,0.2825,-0.10352,0.98235,0.96667,34.42
3.112,-0.28012,0.27957,-0.09375,0.97647,0.96667,34.224
3.12,-0.28012,0.27664,-0.099609,0.98235,0.96078,34.029
3.128,-0.28313,0.27468,-0.09375,0.98235,0.97059,34.029
3.136,-0.28313,0.27273,-0.099609,0.97647,0.96078,33.833
3.144,-0.28313,0.27175,-0.058594,0.95098,0.95098,33.833
3.152,-0.28614,0.27077,-0.0039062,0.90196,0.92157,33.833
3.16,-0.28614,0.26979,0.085938,0.81176,0.85098,33.638
3.168,-0.28614,0.26979,-0.013672,0.82157,0.8451,33.638
3.176,-0.28614,0.26979,-0.10938,0.61961,0.87059,33.638
3.184,-0.28614,0.26882,-0.17969,0.58431,0.90196,33.442
3.192,-0.28614,0.26882,-0.29883,0.71569,1.0314,33.442
3.2,-0.28614,0.26882,-0.34375,0.95098,1.0961,33.246
3.208,-0.28614,0.26784,-0.17969,1.0216,1.0275,33.246
3.216,-0.28614,0.26686,-0.10352,1.0471,0.98627,33.246
3.224,-0.28614,0.26588,-0.080078,1.0471,0.97647,33.051
3.232,-0.28614,0.26491,-0.064453,1.0569,0.96078,33.051
3.24,-0.28313,0.26491,-0.074219,1.0569,0.96667,33.051
