Time [s], I, RESP, II, V, PLETH
2.272,0.81055,0.30792,0.088235,0.74118,0.29228
2.28,0.81055,0.28739,0.078431,0.74118,0.29228
2.288,0.80469,0.26588,0.088235,0.72157,0.29228
2.296,0.82422,0.24536,0.1098,0.73137,0.29228
2.304,0.83398,0.22483,0.12941,0.73529,0.29326
2.312,0.81055,0.20626,0.11961,0.72549,0.29423
2.32,0.79883,0.18671,0.11373,0.72157,0.29423
2.328,0.78906,0.16911,0.1098,0.71569,0.29423
2.336,0.78516,0.15152,0.1098,0.71569,0.29423
2.344,0.78516,0.13294,0.10392,0.71569,0.29326
2.352,0.7793,0.11437,0.1098,0.71569,0.29228
2.36,0.77539,0.095797,0.11373,0.70588,0.29032
2.368,0.77539,0.077224,0.11373,0.7098,0.28837
2.376,0.76953,0.056696,0.1098,0.70588,0.28641
2.384,0.75977,0.037146,0.10392,0.7098,0.28641
2.392,0.76562,0.018573,0.10392,0.70588,0.28543
2.4,0.75977,0,0.10392,0.70588,0.28543
2.408,0.76562,0,0.10392,0.7098,0.28641
2.416,0.76953,0,0.10392,0.70588,0.28739
2.424,0.76562,0,0.10392,0.70588,0.28837
2.432,0.76953,0,0.10392,0.7098,0.28935
2.44,0.77539,0,0.11373,0.7098,0.29326
2.448,0.76562,0,0.11961,0.7098,0.29814
2.456,0.75977,0,0.12941,0.70588,0.30694
2.464,0.7793,0,0.16471,0.72157,0.31867
2.472,0.99414,0,0.29412,0.78039,0.33333
2.48,1.3145,0,0.47451,0.79608,0.34995
2.488,1.3887,0,0.22941,0.80588,0.37048
2.496,0.88477,0,-0.072549,0.62549,0.39198
2.504,0.71484,0,-0.021569,0.57451,0.41056
2.512,0.74023,0,0.07451,0.6549,0.44477
2.52,0.74414,0,0.10392,0.7,0.48778
2.528,0.74023,0,0.10392,0.7098,0.52297
2.536,0.73438,0,0.098039,0.71569,0.5523
2.544,0.74023,0,0.098039,0.71569,0.57967
2.552,0.73438,0,0.094118,0.72157,0.60508
2.56,0.73438,0,0.088235,0.71569,0.62952
2.568,0.74023,0,0.088235,0.72157,0.65103
2.576,0.74023,0,0.088235,0.72157,0.67253
2.584,0.74023,0,0.084314,0.72549,0.69306
2.592,0.74414,0,0.088235,0.72157,0.71261
2.6,0.74023,0,0.088235,0.72157,0.73021
2.608,0.74414,0,0.088235,0.72549,0.74389
2.616,0.75,0,0.084314,0.72549,0.75464
2.624,0.75391,0,0.098039,0.73137,0.7654
2.632,0.75977,0,0.098039,0.72549,0.77615
2.64,0.75977,0,0.10392,0.72549,0.78495
2.648,0.76562,0,0.10392,0.72549,0.79277
2.656,0.76562,0,0.1098,0.73137,0.79863
2.664,0.76953,0,0.11373,0.73137,0.80254
2.672,0.7793,0,0.11961,0.73529,0.8045
2.68,0.78516,0,0.12353,0.73529,0.80547
2.688,0.78516,0,0.12941,0.73137,0.8045
2.696,0.78906,0,0.12941,0.73529,0.80156
2.704,0.79883,0,0.13333,0.73529,0.79765
2.712,0.79883,0,0.12941,0.73529,0.79179
2.72,0.80469,0,0.12941,0.73529,0.78495
2.728,0.81055,0,0.13333,0.73529,0.77615
2.736,0.81055,0,0.12941,0.74118,0.76637
2.744,0.81055,0,0.12941,0.74118,0.7566
2.752,0.81055,0,0.12941,0.73529,0.74585
2.76,0.79883,0,0.11373,0.73529,0.73412
2.768,0.80469,0,0.12353,0.73137,0.72239
2.776,0.81055,0,0.11961,0.73137,0.71163
2.784,0.79883,0,0.11373,0.72549,0.6999
2.792,0.79883,0,0.11961,0.72549,0.68817
2.8,0.79883,0,0.11373,0.72549,0.67644
2.808,0.79883,0,0.11373,0.72157,0.66667
2.816,0.79492,0,0.11373,0.72157,0.65689
2.824,0.78516,0,0.10392,0.71569,0.64712
2.832,0.7793,0,0.1098,0.71569,0.63832
2.84,0.76953,0,0.10392,0.71569,0.62952
2.848,0.76562,0,0.098039,0.71569,0.61975
2.856,0.76953,0,0.098039,0.71569,0.61095
2.864,0.76562,0,0.094118,0.71569,0.60215
2.872,0.76562,0,0.10392,0.7098,0.59335
2.88,0.76953,0,0.10392,0.7098,0.58456
2.888,0.76562,0,0.10392,0.7098,0.57576
2.896,0.75977,0,0.10392,0.7098,0.56891
2.904,0.76562,0,0.10392,0.7098,0.56305
2.912,0.76562,0,0.10392,0.7098,0.55718
2.92,0.75977,0,0.10392,0.70588,0.55034
2.928,0.75977,0,0.10392,0.7098,0.54252
2.936,0.76953,0,0.10392,0.7098,0.53372
2.944,0.76562,0,0.10392,0.7098,0.5259
2.952,0.76953,0,0.10392,0.7098,0.52102
2.96,0.76562,0,0.10392,0.71569,0.51515
2.968,0.76953,0,0.10392,0.7098,0.51124
2.976,0.76562,0,0.098039,0.7098,0.50929
2.984,0.76953,0,0.10392,0.70588,0.50929
2.992,0.76562,0,0.098039,0.71569,0.5132
3,0.76953,0,0.088235,0.7098,0.51711
3.008,0.76953,0,0.088235,0.7098,0.52297
3.016,0.76562,0,0.084314,0.7098,0.53177
3.024,0.76562,0,0.088235,0.7098,0.54252
3.032,0.75977,0,0.084314,0.7098,0.55327
3.04,0.76562,0,0.088235,0.7098,0.56403
3.048,0.75977,0,0.088235,0.7098,0.57478
3.056,0.76562,0,0.084314,0.7098,0.58456
3.064,0.75977,0,0.084314,0.70588,0.59531
3.072,0.75977,0,0.084314,0.70588,0.60411
3.08,0.76562,0,0.078431,0.7098,0.60997
3.088,0.76562,0,0.084314,0.71569,0.61388
3.096,0.75977,0,0.078431,0.71569,0.61681
3.104,0.75977,0,0.078431,0.7098,0.61681
3.112,0.75977,0,0.084314,0.71569,0.61486
3.12,0.76562,0,0.078431,0.7098,0.61388
3.128,0.76562,0,0.078431,0.7098,0.61095
3.136,0.75977,0,0.084314,0.7098,0.60606
3.144,0.76562,0,0.078431,0.7098,0.60117
3.152,0.77539,0,0.084314,0.71569,0.59531
3.16,0.76953,0,0.084314,0.7098,0.58944
3.168,0.76953,0,0.088235,0.7098,0.5826
3.176,0.77539,0,0.088235,0.70588,0.57478
3.184,0.76953,0,0.088235,0.71569,0.56696
3.192,0.76562,0,0.088235,0.7098,0.55816
3.2,0.76953,0,0.088235,0.71569,0.54936
3.208,0.77539,0,0.088235,0.7098,0.54154
3.216,0.7793,0,0.094118,0.70588,0.53372
3.224,0.76953,0,0.10392,0.7,0.52493
3.232,0.7793,0,0.11961,0.70588,0.51711
3.24,0.7793,0,0.12941,0.7,0.51222
3.248,0.78516,0,0.12941,0.70588,0.50635
3.256,0.79492,0,0.12353,0.7,0.49951
3.264,0.79492,0,0.11373,0.71569,0.49267
3.272,0.79492,0,0.10392,0.71569,0.4868
3.28,0.79883,0,0.1098,0.71569,0.47996
3.288,0.81055,0,0.10392,0.72157,0.47507
3.296,0.81445,0,0.098039,0.72549,0.46921
3.304,0.82031,0,0.10392,0.72157,0.46334
3.312,0.80469,0,0.11373,0.71569,0.45943
3.32,0.78516,0,0.098039,0.71569,0.45552
3.328,0.77539,0,0.088235,0.7098,0.45161
3.336,0.77539,0,0.078431,0.71569,0.44673
3.344,0.77539,0,0.078431,0.71569,0.44282
3.352,0.7793,0,0.07451,0.71569,0.43793
3.36,0.76953,0,0.07451,0.71569,0.43304
3.368,0.76953,0,0.07451,0.71569,0.42913
3.376,0.77539,0,0.062745,0.72157,0.42424
3.384,0.77539,0,0.068627,0.71569,0.42033
3.392,0.76562,0,0.078431,0.72157,0.41544
3.4,0.72461,0,0.084314,0.7,0.41153
3.408,0.71484,0,0.11373,0.72157,0.40762
3.416,1.0039,0,0.29412,0.8,0.40371
3.424,1.3848,0,0.52941,0.84118,0.39883
3.432,1.4941,0,0.33529,0.87059,0.39296
3.44,0.84961,0,-0.060784,0.6,0.38905
3.448,0.65039,0,-0.13137,0.55098,0.38416
3.456,0.71484,0,-0.027451,0.67059,0.38123
3.464,0.74023,0,0.033333,0.71569,0.3783
3.472,0.73438,0,0.052941,0.7098,0.37634
3.48,0.73438,0,0.062745,0.71569,0.37243
3.488,0.73438,0,0.062745,0.71569,0.36852
3.496,0.73438,0,0.062745,0.71569,0.36461
3.504,0.74414,0,0.07451,0.72157,0.36168
3.512,0.74023,0,0.068627,0.71569,0.35875
3.52,0.74414,0,0.07451,0.71569,0.35484
3.528,0.75,0,0.078431,0.72157,0.35093
3.536,0.74023,0,0.078431,0.72157,0.34702
3.544,0.75,0,0.084314,0.71569,0.34506
3.552,0.75977,0,0.078431,0.72157,0.34311
3.56,0.75977,0,0.084314,0.72157,0.34213
3.568,0.75977,0,0.088235,0.72549,0.34018
3.576,0.76562,0,0.094118,0.72157,0.33724
3.584,0.75977,0,0.094118,0.72157,0.33431
3.592,0.77539,0,0.098039,0.73137,0.33236
3.6,0.7793,0,0.094118,0.73137,0.33138
3.608,0.78516,0,0.10392,0.73137,0.33138
3.616,0.78516,0,0.1098,0.73137,0.33138
3.624,0.79492,0,0.11373,0.73529,0.3304
3.632,0.80469,0,0.11373,0.74118,0.3304
3.64,0.81055,0,0.11373,0.74118,0.3304
3.648,0.81445,0,0.12941,0.73529,0.32942
3.656,0.82422,0,0.14314,0.74118,0.32747
3.664,0.82031,0,0.14314,0.74118,0.32551
3.672,0.83008,0,0.14902,0.74118,0.32356
3.68,0.83008,0,0.14902,0.74118,0.3216
3.688,0.83008,0,0.14902,0.74118,0.31965
3.696,0.83008,0,0.13922,0.74118,0.31769
3.704,0.82031,0,0.12941,0.73529,0.31769
3.712,0.81055,0,0.1098,0.73137,0.31769
3.72,0.81055,0,0.10392,0.73529,0.31867
3.728,0.81445,0,0.088235,0.74118,0.31867
3.736,0.80469,0,0.078431,0.73529,0.31769
3.744,0.80469,0,0.094118,0.72157,0.31672
3.752,0.83398,0,0.11373,0.73137,0.31672
3.76,0.84375,0,0.11961,0.74118,0.31574
3.768,0.81055,0,0.11373,0.72549,0.31378
3.776,0.78906,0,0.10392,0.72157,0.31378
3.784,0.78906,0,0.10392,0.71569,0.31281
3.792,0.7793,0,0.10392,0.71569,0.31085
3.8,0.78516,0,0.10392,0.71569,0.30987
3.808,0.77539,0,0.10392,0.71569,0.3089
3.816,0.77539,0,0.10392,0.7098,0.30694
3.824,0.76953,0,0.10392,0.7098,0.30499
3.832,0.76953,0,0.10392,0.70588,0.30303
3.84,0.76562,0,0.10392,0.7,0.30108
3.848,0.75977,0,0.098039,0.70588,0.3001
3.856,0.76562,0,0.094118,0.7,0.29912
3.864,0.76562,0,0.10392,0.7,0.29814
3.872,0.76562,0,0.10392,0.7,0.29912
3.88,0.76562,0,0.10392,0.7,0.3001
3.888,0.76562,0,0.11373,0.7,0.30401
3.896,0.75977,0,0.11961,0.69608,0.31085
3.904,0.76562,0,0.12353,0.7098,0.31965
3.912,0.75977,0,0.1549,0.7,0.3304
3.92,0.94531,0,0.2451,0.77059,0.34604
3.928,1.3047,0,0.4451,0.82549,0.36461
3.936,1.4434,0,0.46078,0.85098,0.38514
3.944,1.0293,0,-0.066667,0.6902,0.40665
3.952,0.7207,0,-0.096078,0.57059,0.43109
3.96,0.73438,0,0.043137,0.63529,0.46237
3.968,0.75,0,0.088235,0.68627,0.49169
3.976,0.73438,0,0.098039,0.7,0.5132
3.984,0.73438,0,0.098039,0.69608,0.53763
3.992,0.73438,0,0.098039,0.7,0.56305
4,0.73438,0,0.098039,0.70588,0.58553
4.008,0.73438,0,0.094118,0.70588,0.60508
4.016,0.73438,0,0.088235,0.70588,0.62659
4.024,0.73047,0,0.10392,0.7,0.64907
4.032,0.73438,0,0.10392,0.70588,0.6696
4.04,0.73438,0,0.10392,0.70588,0.69013
4.048,0.73438,0,0.098039,0.7098,0.7087
4.056,0.73438,0,0.10392,0.7098,0.7263
4.064,0.74023,0,0.10392,0.7098,0.74194
4.072,0.75,0,0.098039,0.71569,0.75562
4.08,0.74414,0,0.10392,0.71569,0.77028
4.088,0.75391,0,0.10392,0.71569,0.78299
4.096,0.75,0,0.10392,0.71569,0.79081
4.104,0.75977,0,0.11373,0.71569,0.79374
4.112,0.76562,0,0.1098,0.71569,0.7957
4.12,0.76953,0,0.11961,0.72157,0.79668
4.128,0.76953,0,0.12353,0.72157,0.79765
4.136,0.78516,0,0.12353,0.72549,0.79668
4.144,0.78516,0,0.11961,0.73137,0.7957
4.152,0.78906,0,0.12941,0.73529,0.79277
4.16,0.79492,0,0.11373,0.73529,0.78983
4.168,0.79883,0,0.12941,0.73529,0.78201
4.176,0.80469,0,0.13333,0.73529,0.77126
4.184,0.81055,0,0.12941,0.73137,0.76149
4.192,0.81055,0,0.13333,0.73137,0.75367
4.2,0.81055,0,0.13922,0.73137,0.74682
4.208,0.80469,0,0.12941,0.73137,0.73705
4.216,0.81055,0,0.12941,0.72549,0.72336
