Time [s], RESP, PLETH, CVP, II, V, AVR
0.256,0.27273,0.45357,9.0743,0.44531,0.63477,0.71569
0.264,0.27077,0.48876,9.0743,0.43555,0.62891,0.72549
0.272,0.26979,0.52297,8.9961,0.43945,0.64062,0.7098
0.28,0.26882,0.55523,8.9961,0.43945,0.64062,0.71569
0.288,0.26686,0.58456,8.9961,0.42969,0.6543,0.72157
0.296,0.26588,0.61193,9.0743,0.46484,0.66406,0.7
0.304,0.26588,0.63441,9.0743,0.58008,0.60938,0.62549
0.312,0.26491,0.65396,9.1525,0.79883,0.49023,0.4902
0.32,0.26491,0.66764,9.1916,0.95898,0.38477,0.37451
0.328,0.26588,0.67742,9.309,0.78906,0.35938,0.47059
0.336,0.26588,0.68719,9.4654,0.57031,0.42969,0.58431
0.344,0.26686,0.69501,9.6219,0.42578,0.51953,0.6902
0.352,0.26784,0.6999,9.8175,0.35938,0.57031,0.74118
0.36,0.26882,0.69697,10.013,0.38086,0.60938,0.75098
0.368,0.27077,0.68817,10.13,0.41992,0.62891,0.7098
0.376,0.2737,0.68231,10.248,0.43945,0.65039,0.7
0.384,0.27761,0.67644,10.326,0.43945,0.66406,0.71569
0.392,0.28152,0.66862,10.404,0.43945,0.67578,0.7098
0.4,0.28641,0.65982,10.443,0.43945,0.6543,0.72157
0.408,0.2913,0.65005,10.443,0.44531,0.6543,0.70588
0.416,0.29619,0.64027,10.404,0.45508,0.66016,0.7098
0.424,0.30108,0.62952,10.404,0.46094,0.6543,0.7
0.432,0.30596,0.61681,10.248,0.45508,0.66406,0.70588
0.44,0.31085,0.60313,10.13,0.46094,0.66016,0.70588
0.448,0.31672,0.58944,10.013,0.46484,0.66016,0.70588
0.456,0.3216,0.57478,9.9348,0.4707,0.65039,0.68039
0.464,0.32747,0.56109,9.8957,0.48438,0.65039,0.68039
0.472,0.33333,0.54643,9.8175,0.48047,0.65039,0.6902
0.48,0.33822,0.53275,9.8175,0.49414,0.6543,0.69608
0.488,0.34409,0.52004,9.8175,0.50977,0.64453,0.66471
0.496,0.34897,0.50831,9.9348,0.50586,0.64062,0.67059
0.504,0.35484,0.49658,10.013,0.50977,0.64062,0.68627
0.512,0.35973,0.48583,10.13,0.5293,0.64453,0.66078
0.52,0.36461,0.47703,10.326,0.54492,0.63477,0.6451
0.528,0.3695,0.46921,10.521,0.54492,0.64062,0.65098
0.536,0.37439,0.46139,10.756,0.56445,0.63477,0.6549
0.544,0.37928,0.45455,10.874,0.58984,0.62891,0.61569
0.552,0.38416,0.4477,10.952,0.61914,0.625,0.6
0.56,0.38905,0.44282,10.952,0.62891,0.625,0.59608
0.568,0.39296,0.43793,10.834,0.65039,0.61914,0.5902
0.576,0.39785,0.43402,10.639,0.6543,0.60547,0.58039
0.584,0.40176,0.42913,10.443,0.66992,0.60547,0.58431
0.592,0.40567,0.42522,10.326,0.67969,0.60547,0.56471
0.6,0.4086,0.42033,10.248,0.67578,0.59961,0.56078
0.608,0.41153,0.41544,10.248,0.6543,0.58984,0.57451
0.616,0.41447,0.41349,10.248,0.66016,0.58398,0.58039
0.624,0.4174,0.41153,10.326,0.625,0.58398,0.6
0.632,0.42033,0.4086,10.404,0.60938,0.59961,0.6098
0.64,0.42229,0.40665,10.404,0.58008,0.60547,0.61961
0.648,0.42424,0.40371,10.443,0.55078,0.60938,0.65098
0.656,0.42522,0.40078,10.443,0.53516,0.61523,0.6549
0.664,0.42717,0.39785,10.443,0.5293,0.60547,0.6451
0.672,0.42913,0.39492,10.443,0.53906,0.61523,0.63529
0.68,0.43109,0.39101,10.443,0.51953,0.61523,0.66471
0.688,0.43304,0.38807,10.521,0.51953,0.61914,0.67647
0.696,0.435,0.38416,10.521,0.50977,0.61914,0.66471
0.704,0.43695,0.37928,10.561,0.5293,0.61523,0.66078
0.712,0.43988,0.37537,10.561,0.53516,0.61914,0.6549
0.72,0.44282,0.37146,10.561,0.51562,0.625,0.67059
0.728,0.44477,0.3695,10.639,0.52539,0.61914,0.6549
0.736,0.44673,0.36559,10.639,0.5293,0.62891,0.66078
0.744,0.44868,0.36266,10.639,0.52539,0.625,0.6549
0.752,0.45064,0.35875,10.717,0.53516,0.62891,0.66471
0.76,0.45259,0.35484,10.717,0.53516,0.62891,0.67059
0.768,0.45455,0.35093,10.756,0.53906,0.62891,0.6549
0.776,0.45748,0.34702,10.756,0.53516,0.62891,0.6549
0.784,0.46041,0.34311,10.756,0.53906,0.63477,0.6549
0.792,0.46237,0.3392,10.717,0.53516,0.64453,0.66471
0.8,0.4653,0.33431,10.639,0.55078,0.6543,0.64118
0.808,0.46823,0.3304,10.561,0.56445,0.66016,0.62941
0.816,0.47019,0.32747,10.521,0.57031,0.62891,0.63529
0.824,0.47214,0.32551,10.521,0.55078,0.625,0.65098
0.832,0.47507,0.32356,10.561,0.53516,0.61914,0.6549
0.84,0.47703,0.32258,10.639,0.50977,0.60938,0.66471
0.848,0.47898,0.32454,10.639,0.48438,0.61523,0.69608
0.856,0.47996,0.32942,10.639,0.48047,0.5957,0.7
0.864,0.48192,0.33822,10.756,0.52539,0.58984,0.62549
0.872,0.48289,0.35191,10.874,0.53516,0.60938,0.64118
0.88,0.48387,0.3695,10.874,0.52539,0.60547,0.6549
0.888,0.48485,0.39003,10.874,0.51953,0.61523,0.66471
0.896,0.48583,0.41447,10.874,0.51953,0.61523,0.66078
0.904,0.48583,0.44086,10.952,0.50977,0.625,0.68039
0.912,0.4868,0.46921,10.952,0.5,0.62891,0.68627
0.92,0.48583,0.49365,10.952,0.49414,0.625,0.68039
0.928,0.48583,0.51711,10.952,0.48047,0.625,0.7
0.936,0.48485,0.54252,11.03,0.49414,0.625,0.67647
0.944,0.48387,0.56794,11.03,0.50586,0.6543,0.66471
0.952,0.48289,0.59238,10.952,0.5,0.66016,0.68039
0.96,0.48289,0.61584,10.952,0.625,0.60547,0.61569
0.968,0.48192,0.63734,10.952,0.85938,0.48438,0.46471
0.976,0.48094,0.65787,10.952,1.0039,0.36523,0.3549
0.984,0.47996,0.67449,11.03,0.81445,0.33984,0.43922
0.992,0.47996,0.69013,11.069,0.55469,0.41602,0.60588
1,0.47898,0.70283,11.186,0.43555,0.49414,0.67647
1.008,0.47801,0.71359,11.343,0.41602,0.55469,0.70588
1.016,0.47801,0.72043,11.499,0.46094,0.5957,0.68039
1.024,0.47703,0.72434,11.656,0.47461,0.63477,0.6902
1.032,0.47703,0.72727,11.812,0.48047,0.6543,0.69608
1.04,0.47605,0.72923,11.969,0.48438,0.67578,0.6902
1.048,0.47605,0.72923,12.008,0.4707,0.66406,0.70588
1.056,0.47605,0.72727,12.008,0.47461,0.66016,0.69608
1.064,0.47605,0.72239,12.008,0.46484,0.66992,0.70588
1.072,0.47703,0.71457,12.008,0.49023,0.67578,0.68627
1.08,0.47801,0.70577,11.969,0.49023,0.66406,0.7
1.088,0.47898,0.69599,11.969,0.49023,0.66016,0.68039
1.096,0.47996,0.68426,11.89,0.48438,0.6543,0.68627
1.104,0.48094,0.67155,11.969,0.49414,0.66992,0.68039
1.112,0.48192,0.65787,11.969,0.49414,0.66406,0.69608
1.12,0.48289,0.64614,11.969,0.49023,0.67578,0.68039
1.128,0.48485,0.63343,11.969,0.51562,0.66406,0.68039
1.136,0.48583,0.61975,11.969,0.51562,0.6543,0.66471
1.144,0.48778,0.60606,11.969,0.51562,0.66016,0.67647
1.152,0.48876,0.59238,12.008,0.51953,0.66992,0.68039
1.16,0.49071,0.57869,12.008,0.53906,0.6543,0.6451
1.168,0.49267,0.56598,12.008,0.54492,0.66016,0.6549
1.176,0.49365,0.5523,11.969,0.55469,0.64453,0.63529
1.184,0.49462,0.53959,11.89,0.56055,0.6543,0.65098
1.192,0.4956,0.52786,11.969,0.58398,0.65039,0.62941
1.2,0.4956,0.51613,12.086,0.60547,0.64062,0.6098
1.208,0.49658,0.5044,12.125,0.61914,0.64453,0.61569
1.216,0.49658,0.4956,12.203,0.64453,0.64062,0.59608
1.224,0.49756,0.48778,12.203,0.6543,0.64062,0.5902
1.232,0.49756,0.48094,12.203,0.66992,0.62891,0.58431
1.24,0.49756,0.47312,12.125,0.67578,0.625,0.56471
1.248,0.49756,0.4653,12.086,0.66992,0.61523,0.56078
1.256,0.49756,0.45748,12.008,0.67578,0.61914,0.58431
1.264,0.49756,0.45161,12.008,0.67578,0.60938,0.57059
1.272,0.49756,0.44575,12.008,0.6543,0.60547,0.58039
1.28,0.49658,0.43988,12.008,0.625,0.60547,0.60588
1.288,0.49658,0.435,12.086,0.59961,0.60547,0.59608
1.296,0.49658,0.43011,12.086,0.57031,0.61914,0.64118
1.304,0.49658,0.42522,12.086,0.54492,0.625,0.6549
1.312,0.4956,0.42033,12.125,0.53516,0.61914,0.6549
1.32,0.4956,0.41544,12.125,0.5293,0.625,0.6549
1.328,0.4956,0.41153,12.125,0.51562,0.61914,0.6549
1.336,0.49462,0.40762,12.125,0.51562,0.625,0.67059
1.344,0.49462,0.40274,12.203,0.51562,0.62891,0.66471
1.352,0.49365,0.39785,12.203,0.51562,0.63477,0.67647
1.36,0.49365,0.39296,12.203,0.5,0.62891,0.68039
1.368,0.49267,0.38807,12.203,0.51562,0.61914,0.6549
1.376,0.49267,0.38319,12.282,0.5293,0.63477,0.6549
1.384,0.49169,0.3783,12.321,0.5293,0.62891,0.66078
1.392,0.49169,0.37341,12.399,0.52539,0.62891,0.6549
1.4,0.49071,0.3695,12.438,0.51562,0.625,0.6549
1.408,0.49071,0.36559,12.516,0.51953,0.63477,0.67059
1.416,0.48974,0.36266,12.595,0.51953,0.63477,0.67647
1.424,0.48974,0.35973,12.634,0.51562,0.64453,0.67059
1.432,0.48876,0.35679,12.712,0.51953,0.63477,0.66078
1.44,0.48876,0.35288,12.751,0.51562,0.64453,0.67059
1.448,0.48778,0.34897,12.751,0.5293,0.64062,0.66471
1.456,0.48778,0.34409,12.712,0.53906,0.6543,0.6549
1.464,0.4868,0.3392,12.634,0.54492,0.67578,0.65098
1.472,0.4868,0.33431,12.516,0.53516,0.66406,0.66078
1.48,0.48583,0.3304,12.438,0.53516,0.62891,0.6549
1.488,0.48583,0.32942,12.516,0.50977,0.60938,0.66471
1.496,0.48583,0.32942,12.516,0.49414,0.61914,0.67647
1.504,0.48583,0.33431,12.634,0.50977,0.59961,0.6451
1.512,0.4868,0.34311,12.712,0.5,0.625,0.67647
1.52,0.4868,0.35386,12.751,0.5,0.61523,0.68039
1.528,0.4868,0.36852,12.712,0.49023,0.61523,0.67059
1.536,0.48778,0.3871,12.712,0.49414,0.60938,0.67647
1.544,0.48778,0.41056,12.595,0.49023,0.61523,0.67647
1.552,0.48778,0.43695,12.516,0.50977,0.60547,0.65098
1.56,0.48778,0.4653,12.438,0.49414,0.625,0.67647
1.568,0.48778,0.49462,12.399,0.49023,0.62891,0.67647
1.576,0.48778,0.52395,12.321,0.49023,0.62891,0.68627
1.584,0.48778,0.5523,12.282,0.47461,0.62891,0.68039
1.592,0.48778,0.57967,12.282,0.46484,0.63477,0.7
1.6,0.48876,0.60508,12.203,0.4707,0.62891,0.69608
1.608,0.48974,0.62952,12.125,0.46094,0.66992,0.7098
1.616,0.48974,0.64809,12.125,0.50586,0.67578,0.68039
1.624,0.49071,0.66373,12.086,0.65039,0.58008,0.58431
1.632,0.49071,0.68035,12.086,0.86914,0.46484,0.4451
1.64,0.49169,0.69501,12.125,0.96484,0.35547,0.36471
1.648,0.49169,0.7087,12.125,0.72461,0.3457,0.4902
1.656,0.49169,0.72043,12.125,0.5,0.42969,0.62549
1.664,0.49267,0.72923,12.125,0.38477,0.50586,0.7
1.672,0.49365,0.73607,12.203,0.38086,0.56055,0.72157
1.68,0.49462,0.74096,12.282,0.44531,0.61523,0.70588
1.688,0.4956,0.74291,12.282,0.46484,0.65039,0.6902
1.696,0.49658,0.74389,12.399,0.45508,0.66406,0.7
1.704,0.49756,0.74194,12.516,0.44922,0.67578,0.72157
1.712,0.49951,0.739,12.634,0.45508,0.67578,0.70588
1.72,0.49951,0.73314,12.751,0.46094,0.66406,0.7
1.728,0.50049,0.72727,12.907,0.44922,0.66992,0.70588
1.736,0.50147,0.71848,12.947,0.46094,0.67969,0.70588
1.744,0.50244,0.70968,13.025,0.4707,0.66992,0.6902
1.752,0.50342,0.69892,13.025,0.4707,0.67578,0.7
1.76,0.5044,0.68719,13.064,0.47461,0.66992,0.70588
1.768,0.50538,0.67449,13.142,0.48438,0.66406,0.68039
1.776,0.50635,0.6608,13.142,0.46484,0.67578,0.70588
1.784,0.50635,0.64614,13.142,0.48047,0.66406,0.68039
1.792,0.50733,0.63148,13.142,0.49414,0.67578,0.68627
1.8,0.50831,0.61681,13.142,0.5,0.66406,0.68039
1.808,0.50831,0.60215,13.142,0.49023,0.66406,0.68627
1.816,0.50831,0.58944,13.181,0.49414,0.66016,0.68039
1.824,0.50929,0.57771,13.181,0.51562,0.66992,0.67059
1.832,0.50929,0.565,13.142,0.52539,0.66016,0.66078
1.84,0.50929,0.5523,13.064,0.5293,0.66016,0.66078
1.848,0.50831,0.54057,13.025,0.53516,0.6543,0.65098
1.856,0.50831,0.53079,13.025,0.56445,0.66016,0.63529
1.864,0.50831,0.52004,13.064,0.58398,0.65039,0.62549
1.872,0.50831,0.50929,13.064,0.59961,0.64453,0.61961
1.88,0.50831,0.50049,13.025,0.60938,0.66016,0.62549
1.888,0.50733,0.49071,12.947,0.625,0.65039,0.6098
1.896,0.50733,0.48289,12.829,0.62891,0.63477,0.60588
1.904,0.50733,0.4741,12.712,0.63477,0.63477,0.6
1.912,0.50733,0.46725,12.595,0.64453,0.62891,0.5902
1.92,0.50733,0.46139,12.516,0.625,0.62891,0.60588
1.928,0.50733,0.45552,12.438,0.62891,0.60547,0.59608
1.936,0.50831,0.44868,12.399,0.59961,0.60938,0.6098
1.944,0.50831,0.44184,12.399,0.58398,0.60547,0.61569
1.952,0.50733,0.43597,12.321,0.55078,0.62891,0.66078
1.96,0.50635,0.43011,12.321,0.5293,0.625,0.66471
1.968,0.50635,0.42424,12.282,0.51562,0.625,0.6549
1.976,0.50538,0.41838,12.321,0.49414,0.62891,0.68039
1.984,0.5044,0.41349,12.321,0.5,0.62891,0.67647
1.992,0.50342,0.40958,12.282,0.48438,0.62891,0.68627
2,0.50342,0.40567,12.282,0.48047,0.62891,0.68039
2.008,0.50244,0.40176,12.321,0.48047,0.63477,0.68627
2.016,0.50147,0.39883,12.321,0.48438,0.62891,0.68039
2.024,0.50049,0.39589,12.399,0.47461,0.63477,0.6902
2.032,0.50049,0.39296,12.438,0.47461,0.64062,0.68039
2.04,0.49951,0.38807,12.438,0.48047,0.62891,0.67647
2.048,0.49951,0.38416,12.516,0.47461,0.64062,0.68627
2.056,0.49853,0.3783,12.516,0.48438,0.65039,0.6902
2.064,0.49756,0.37439,12.595,0.48438,0.64453,0.6902
2.072,0.49658,0.3695,12.634,0.48047,0.64453,0.6902
2.08,0.4956,0.36559,12.634,0.48438,0.65039,0.69608
2.088,0.49462,0.36168,12.712,0.48438,0.64453,0.68039
2.096,0.49267,0.35777,12.712,0.48047,0.65039,0.6902
2.104,0.49169,0.35386,12.712,0.49023,0.64453,0.68039
2.112,0.48974,0.35093,12.712,0.5,0.66016,0.68039
2.12,0.48876,0.348,12.634,0.49414,0.67578,0.68039
2.128,0.48778,0.34506,12.595,0.48438,0.68555,0.69608
2.136,0.4868,0.34213,12.595,0.5,0.67578,0.68039
2.144,0.48583,0.34018,12.516,0.49023,0.64453,0.68627
2.152,0.48485,0.3392,12.516,0.49023,0.64453,0.67647
2.16,0.48387,0.34018,12.399,0.46484,0.63477,0.7
2.168,0.48289,0.34506,12.203,0.45508,0.62891,0.69608
2.176,0.48289,0.35386,12.008,0.44531,0.62891,0.70588
2.184,0.48289,0.36852,11.812,0.44531,0.625,0.7
2.192,0.48289,0.3871,11.578,0.44531,0.62891,0.70588
2.2,0.48289,0.4086,11.343,0.45508,0.64062,0.70588
2.208,0.48192,0.435,11.03,0.44922,0.64453,0.70588
2.216,0.48192,0.45943,10.756,0.45508,0.64062,0.69608
2.224,0.48094,0.48289,10.443,0.42969,0.6543,0.71569
2.232,0.48094,0.51026,10.209,0.41016,0.66016,0.72549
2.24,0.47996,0.53763,10.013,0.41602,0.66406,0.72157
2.248,0.47996,0.565,9.7783,0.41016,0.66406,0.72549
2.256,0.47898,0.5914,9.5046,0.4043,0.67578,0.73529
2.264,0.47801,0.61681,9.1916,0.41992,0.67969,0.71569
2.272,0.47703,0.64027,8.8787,0.39453,0.70898,0.75098
2.28,0.47507,0.66178,8.6441,0.43945,0.68555,0.71569
2.288,0.47312,0.68133,8.3703,0.58008,0.60938,0.62549
2.296,0.47019,0.69795,8.1356,0.79492,0.48438,0.47451
2.304,0.46725,0.71163,7.94,0.875,0.39062,0.41569
2.312,0.46432,0.72141,7.7444,0.60938,0.38477,0.56471
2.32,0.46139,0.72825,7.6271,0.41992,0.49023,0.6902
2.328,0.45748,0.73412,7.5098,0.32422,0.57031,0.7549
2.336,0.45455,0.73803,7.3924,0.31445,0.62891,0.77647
2.344,0.45064,0.74096,7.3142,0.36523,0.66992,0.7451
2.352,0.4477,0.74096,7.2751,0.38477,0.69922,0.74118
2.36,0.44282,0.73998,7.3142,0.36523,0.71484,0.76667
2.368,0.43891,0.73705,7.3924,0.35938,0.7207,0.77059
2.376,0.43304,0.73216,7.4315,0.375,0.71484,0.75098
2.384,0.42815,0.7263,7.5098,0.37109,0.72461,0.7549
2.392,0.42326,0.7175,7.4315,0.37109,0.7207,0.76078
2.4,0.41838,0.70772,7.3924,0.375,0.71484,0.7549
2.408,0.41447,0.69501,7.2751,0.38477,0.72461,0.76078
2.416,0.40958,0.68133,7.1186,0.38477,0.71484,0.75098
2.424,0.40371,0.66667,7.0013,0.39453,0.71484,0.7451
2.432,0.39785,0.65103,6.884,0.38477,0.71484,0.7549
2.44,0.39101,0.63343,6.8057,0.39453,0.70508,0.75098
2.448,0.38416,0.61584,6.8057,0.39062,0.7207,0.74118
2.456,0.37634,0.59824,6.8057,0.41016,0.70898,0.74118
2.464,0.36852,0.58162,6.8057,0.4043,0.70898,0.73529
2.472,0.35973,0.56305,6.9622,0.41992,0.70508,0.73529
2.48,0.35093,0.54545,7.0013,0.42969,0.69922,0.72549
2.488,0.34311,0.52884,7.0795,0.42969,0.69922,0.72549
2.496,0.33529,0.51417,7.0013,0.42578,0.70508,0.73137
2.504,0.32845,0.49951,6.8057,0.46094,0.69531,0.70588
2.512,0.3216,0.4868,6.6884,0.47461,0.68555,0.6902
2.52,0.31476,0.47507,6.571,0.49023,0.69531,0.6902
2.528,0.30792,0.46334,6.3364,0.49023,0.68555,0.69608
2.536,0.30108,0.45259,5.9452,0.51953,0.68945,0.67059
2.544,0.29423,0.44184,5.5541,0.51953,0.67969,0.67059
2.552,0.28837,0.43109,5.0847,0.53906,0.67578,0.6549
2.56,0.28152,0.42131,4.498,0.54492,0.66992,0.65098
2.568,0.27566,0.41153,4.0678,0.55469,0.66406,0.6549
2.576,0.26979,0.40176,3.7158,0.57422,0.6543,0.62941
2.584,0.26393,0.39198,3.4029,0.57422,0.6543,0.62941
2.592,0.25806,0.38416,3.2073,0.55469,0.65039,0.64118
2.6,0.25318,0.37537,3.0117,0.53516,0.64453,0.6549
2.608,0.24829,0.36755,3.0117,0.50977,0.6543,0.67647
2.616,0.2434,0.36168,3.0117,0.4707,0.6543,0.69608
2.624,0.23851,0.35679,3.09,0.46094,0.66016,0.70588
2.632,0.2346,0.35093,3.09,0.43945,0.66016,0.7098
2.64,0.23167,0.34409,3.09,0.41602,0.66406,0.73137
2.648,0.22874,0.33627,3.09,0.41992,0.66406,0.72549
2.656,0.22581,0.32845,3.0117,0.42578,0.66406,0.71569
2.664,0.22385,0.3216,2.9335,0.41992,0.67578,0.73529
2.672,0.2219,0.31574,2.8944,0.41602,0.67578,0.73137
2.68,0.21896,0.30987,2.8944,0.41992,0.66992,0.73137
2.688,0.21701,0.30499,2.8944,0.41602,0.67578,0.72549
2.696,0.21408,0.3001,2.9335,0.41992,0.67578,0.74118
2.704,0.21114,0.29521,3.0117,0.42578,0.66992,0.72549
2.712,0.20919,0.29228,3.0117,0.41992,0.66406,0.72549
2.72,0.20723,0.28935,3.09,0.41992,0.66992,0.73137
2.728,0.20626,0.28446,3.09,0.42578,0.66992,0.72549
2.736,0.20528,0.27859,3.0117,0.42578,0.66992,0.73137
2.744,0.20332,0.27175,2.8944,0.43555,0.66406,0.72549
2.752,0.20235,0.26393,2.777,0.43945,0.66016,0.71569
2.76,0.20137,0.25806,2.6206,0.41992,0.66992,0.74118
2.768,0.19941,0.25122,2.5033,0.42578,0.66992,0.72549
2.776,0.19844,0.24536,2.4641,0.41992,0.66992,0.72157
2.784,0.19648,0.23949,2.4641,0.42969,0.67969,0.74118
2.792,0.1955,0.23265,2.5033,0.43945,0.69922,0.72549
2.8,0.19453,0.22678,2.6206,0.44922,0.7207,0.72157
2.808,0.19355,0.22092,2.8162,0.44922,0.72461,0.72157
2.816,0.19257,0.21799,3.09,0.45508,0.67969,0.70588
2.824,0.19159,0.21701,3.2073,0.43555,0.66016,0.72549
2.832,0.19159,0.21896,3.3246,0.42969,0.65039,0.73137
2.84,0.19062,0.22385,3.4029,0.43555,0.64062,0.72157
2.848,0.19062,0.23558,3.442,0.41992,0.64062,0.72549
2.856,0.18964,0.2522,3.5202,0.41602,0.64453,0.72549
2.864,0.18866,0.2737,3.5202,0.41016,0.64062,0.72549
2.872,0.18866,0.3001,3.442,0.42578,0.65039,0.71569
2.88,0.18866,0.33236,3.4029,0.42969,0.6543,0.72549
2.888,0.18866,0.36755,3.3246,0.41992,0.66016,0.73137
2.896,0.18866,0.40274,3.2073,0.41992,0.6543,0.72549
2.904,0.18768,0.43793,3.09,0.4043,0.66016,0.73529
2.912,0.18768,0.46823,3.0117,0.4043,0.6543,0.73137
2.92,0.18671,0.49658,2.9335,0.41016,0.6543,0.73529
2.928,0.18671,0.5259,2.8162,0.4043,0.66406,0.7451
2.936,0.18573,0.55523,2.6988,0.4043,0.67578,0.73529
2.944,0.18475,0.58358,2.5815,0.39062,0.69922,0.76667
2.952,0.18475,0.60899,2.5815,0.44922,0.67969,0.71569
2.96,0.18377,0.63148,2.6206,0.58008,0.61523,0.64118
2.968,0.1828,0.652,2.777,0.79492,0.50586,0.5
2.976,0.18182,0.66764,3.0117,0.91016,0.41016,0.41569
2.984,0.18084,0.68133,3.2464,0.73047,0.39453,0.52549
2.992,0.17986,0.69208,3.6375,0.5,0.49414,0.67059
3,0.17889,0.69892,3.9505,0.38086,0.57031,0.73529
3.008,0.17791,0.70381,4.2634,0.30078,0.63477,0.81176
3.016,0.17693,0.70479,4.4589,0.33984,0.66016,0.78039
3.024,0.17595,0.70283,4.5763,0.38477,0.67578,0.75098
3.032,0.17498,0.69892,4.5763,0.39453,0.68945,0.75098
3.04,0.17498,0.69404,4.6545,0.39062,0.69922,0.76078
3.048,0.17498,0.68719,4.6936,0.39062,0.69531,0.75098
3.056,0.17498,0.67742,4.7718,0.39453,0.69531,0.7549
3.064,0.174,0.66569,4.7718,0.39062,0.69922,0.76078
3.072,0.174,0.652,4.7718,0.39453,0.69922,0.75098
3.08,0.174,0.63734,4.7718,0.4043,0.67969,0.73529
3.088,0.17302,0.6217,4.7718,0.41602,0.68945,0.74118
3.096,0.17204,0.60411,4.8109,0.41016,0.68945,0.75098
3.104,0.17204,0.58456,4.8109,0.4043,0.68555,0.75098
3.112,0.17107,0.56794,4.7718,0.41992,0.67578,0.73529
3.12,0.17009,0.5523,4.7718,0.42578,0.67969,0.72549
3.128,0.17009,0.5347,4.7718,0.41992,0.68555,0.73137
3.136,0.17009,0.51711,4.7718,0.42578,0.67578,0.73529
3.144,0.17009,0.50049,4.8892,0.43945,0.67578,0.71569
3.152,0.17009,0.48289,5.2021,0.43945,0.67578,0.72549
3.16,0.17107,0.46725,5.515,0.43945,0.67578,0.71569
3.168,0.17204,0.45259,5.8279,0.46484,0.66992,0.70588
3.176,0.174,0.43988,6.0626,0.46484,0.66406,0.70588
3.184,0.17498,0.42717,6.0626,0.48438,0.66016,0.6902
3.192,0.17693,0.41447,5.8279,0.50977,0.6543,0.67647
3.2,0.17889,0.40371,5.3194,0.51562,0.6543,0.68039
3.208,0.18084,0.39296,4.6545,0.54492,0.65039,0.65098
3.216,0.18377,0.38319,3.8331,0.56055,0.64453,0.65098
3.224,0.18573,0.37537,3.09,0.58008,0.64062,0.6451
3.232,0.18866,0.36657,2.3859,0.57031,0.62891,0.64118
3.24,0.19062,0.35875,1.8774,0.58984,0.62891,0.63529
3.248,0.19355,0.35191,1.5254,0.5957,0.61523,0.62549
3.256,0.1955,0.34506,1.3299,0.58398,0.61914,0.63529
3.264,0.19746,0.33822,1.3299,0.58008,0.60547,0.64118
3.272,0.19941,0.33138,1.3299,0.58398,0.60938,0.62941
3.28,0.20137,0.32649,1.3299,0.54492,0.60938,0.6451
3.288,0.20332,0.3216,1.2516,0.51562,0.62891,0.68627
3.296,0.2043,0.31672,1.2125,0.4707,0.63477,0.71569
3.304,0.20528,0.31281,1.1343,0.4707,0.64453,0.7
3.312,0.20723,0.30987,1.1343,0.44531,0.65039,0.72157
3.32,0.20723,0.30694,1.1343,0.42969,0.64453,0.72549
3.328,0.20821,0.30303,1.2125,0.42578,0.64453,0.73529
3.336,0.20821,0.29814,1.2516,0.43555,0.65039,0.72157
3.344,0.20919,0.29228,1.3299,0.41602,0.6543,0.75098
3.352,0.20919,0.28543,1.4472,0.42969,0.65039,0.72549
