Time [s], II, PLETH, RESP, V, AVR
0.368,0.17969,0.4174,0.13161,0.87059,0.71484
0.376,0.18945,0.41251,0.13284,0.86667,0.70508
0.384,0.19531,0.40762,0.13407,0.86078,0.69922
0.392,0.20117,0.40274,0.13407,0.86078,0.69922
0.4,0.20117,0.39785,0.1353,0.86078,0.69922
0.408,0.20508,0.39296,0.13653,0.86078,0.69922
0.416,0.21094,0.38905,0.13776,0.86078,0.69922
0.424,0.21484,0.38514,0.13776,0.86078,0.68945
0.432,0.21484,0.38123,0.13899,0.86667,0.68945
0.44,0.2207,0.37732,0.13776,0.86078,0.68945
0.448,0.21484,0.37439,0.13776,0.86078,0.69531
0.456,0.21484,0.37146,0.1353,0.86078,0.69531
0.464,0.21094,0.36852,0.13284,0.86078,0.68945
0.472,0.21484,0.36461,0.12915,0.86667,0.69922
0.48,0.2207,0.3607,0.12546,0.86667,0.69531
0.488,0.25,0.35679,0.12054,0.88039,0.67969
0.496,0.27539,0.35288,0.11685,0.90588,0.6543
0.504,0.28516,0.34897,0.11193,0.91569,0.6543
0.512,0.29492,0.34409,0.10824,0.91176,0.64062
0.52,0.33594,0.34115,0.10455,0.94118,0.61523
0.528,0.35938,0.33822,0.099631,0.94706,0.60547
0.536,0.34961,0.33822,0.095941,0.93137,0.59961
0.544,0.33008,0.34018,0.092251,0.90588,0.60938
0.552,0.29102,0.34604,0.088561,0.87647,0.625
0.56,0.26562,0.35582,0.086101,0.85686,0.64453
0.568,0.27539,0.37243,0.083641,0.87059,0.63477
0.576,0.25586,0.39492,0.081181,0.86667,0.6543
0.584,0.20508,0.42229,0.079951,0.85686,0.69922
0.592,0.16992,0.45552,0.078721,0.8451,0.7207
0.6,0.15625,0.48974,0.077491,0.84118,0.73047
0.608,0.15039,0.52493,0.077491,0.8451,0.73047
0.616,0.14062,0.55816,0.077491,0.8451,0.74414
0.624,0.14453,0.58847,0.077491,0.8451,0.74414
0.632,0.13477,0.61584,0.078721,0.8451,0.74414
0.64,0.14062,0.63832,0.079951,0.8451,0.74414
0.648,0.14453,0.65494,0.081181,0.8451,0.74023
0.656,0.14453,0.66764,0.082411,0.8451,0.74414
0.664,0.14453,0.68035,0.083641,0.85686,0.74414
0.672,0.15039,0.69013,0.086101,0.85686,0.74023
0.68,0.17578,0.69795,0.087331,0.87647,0.73438
0.688,0.28516,0.70479,0.088561,0.93725,0.68555
0.696,0.41602,0.7087,0.091021,0.90588,0.56055
0.704,0.49414,0.71163,0.093481,0.8,0.43555
0.712,0.50586,0.71261,0.095941,0.6098,0.32422
0.72,0.095703,0.71261,0.098401,0.4549,0.48438
0.728,0.019531,0.71163,0.099631,0.7549,0.78516
0.736,0.11523,0.7087,0.10209,0.87647,0.81055
0.744,0.13477,0.70479,0.10455,0.88627,0.76953
0.752,0.16016,0.6999,0.10578,0.89608,0.74414
0.76,0.16602,0.69306,0.10701,0.90588,0.73438
0.768,0.16992,0.68524,0.10947,0.90588,0.74023
0.776,0.18555,0.67546,0.1107,0.90588,0.72461
0.784,0.18555,0.66373,0.11193,0.91176,0.72461
0.792,0.18945,0.65005,0.11439,0.91176,0.7207
0.8,0.19531,0.63539,0.11562,0.91176,0.71484
0.808,0.20508,0.61877,0.11685,0.91176,0.70508
0.816,0.20508,0.60313,0.11808,0.91569,0.70508
0.824,0.21484,0.58651,0.11931,0.91569,0.69922
0.832,0.21484,0.57087,0.12054,0.91569,0.69922
0.84,0.23047,0.55523,0.12177,0.91569,0.68945
0.848,0.23047,0.54252,0.123,0.91569,0.67969
0.856,0.23438,0.53177,0.12546,0.91569,0.67578
0.864,0.25,0.52004,0.12792,0.91569,0.67578
0.872,0.25586,0.51026,0.13038,0.92157,0.66992
0.88,0.25586,0.50049,0.13284,0.92549,0.66406
0.888,0.25977,0.49169,0.1353,0.92549,0.66992
0.896,0.26953,0.48387,0.13776,0.92549,0.66016
0.904,0.27539,0.47703,0.14022,0.93137,0.66016
0.912,0.27539,0.47019,0.14145,0.93725,0.66406
0.92,0.26953,0.46334,0.14391,0.93725,0.67578
0.928,0.25586,0.45748,0.14637,0.94118,0.67969
0.936,0.24609,0.45161,0.14883,0.94706,0.69531
0.944,0.23047,0.44575,0.15129,0.94706,0.70508
0.952,0.20117,0.44086,0.15375,0.94118,0.7207
0.96,0.17578,0.43695,0.15621,0.93725,0.74414
0.968,0.16016,0.43206,0.15744,0.93137,0.75
0.976,0.15039,0.4262,0.1599,0.91569,0.75391
0.984,0.15039,0.42131,0.16236,0.90196,0.75
0.992,0.16016,0.4174,0.16359,0.8902,0.73438
1,0.17578,0.41349,0.16482,0.87647,0.7207
1.008,0.18945,0.40958,0.16728,0.87059,0.70898
1.016,0.19531,0.40469,0.16728,0.86667,0.70508
1.024,0.20508,0.40078,0.16851,0.86667,0.69922
1.032,0.20117,0.39589,0.16851,0.86078,0.69922
1.04,0.20508,0.39198,0.16851,0.86078,0.69922
1.048,0.21094,0.38807,0.16851,0.86078,0.69922
1.056,0.21094,0.38612,0.16851,0.86078,0.69922
1.064,0.21484,0.38221,0.16728,0.85686,0.69531
1.072,0.21484,0.3783,0.16728,0.85686,0.68945
1.08,0.21484,0.37439,0.16605,0.85686,0.68945
1.088,0.2207,0.36364,0.16482,0.86667,0.68555
1.096,0.22461,0.34995,0.16236,0.86667,0.68555
1.104,0.2207,0.34115,0.1599,0.87059,0.68945
1.112,0.22461,0.33529,0.15498,0.87059,0.68555
1.12,0.2207,0.3304,0.15129,0.87647,0.68945
1.128,0.25,0.32649,0.14637,0.8902,0.66406
1.136,0.2793,0.32258,0.14145,0.90588,0.65039
1.144,0.29102,0.31769,0.13653,0.91569,0.64453
1.152,0.28516,0.31476,0.13161,0.92549,0.63477
1.16,0.3457,0.31281,0.12669,0.94706,0.60547
1.168,0.35938,0.30987,0.123,0.95098,0.59961
1.176,0.37109,0.30792,0.11931,0.93137,0.5957
1.184,0.33594,0.3089,0.11562,0.91176,0.60547
1.192,0.29492,0.31378,0.11316,0.87647,0.625
1.2,0.26953,0.32454,0.10947,0.86078,0.64453
1.208,0.2793,0.34213,0.10824,0.87059,0.63477
1.216,0.25,0.36755,0.10578,0.87059,0.66406
1.224,0.20117,0.39785,0.10455,0.85686,0.69922
1.232,0.16602,0.43402,0.10332,0.8451,0.7207
1.24,0.16016,0.47312,0.10332,0.8451,0.72461
1.248,0.14453,0.50635,0.10332,0.8451,0.74023
1.256,0.14453,0.53763,0.10455,0.84118,0.74414
1.264,0.14062,0.56989,0.10578,0.8451,0.74023
1.272,0.14453,0.6002,0.10824,0.8451,0.74414
1.28,0.14453,0.62659,0.1107,0.8451,0.74023
1.288,0.15039,0.64907,0.11439,0.8451,0.73438
1.296,0.15625,0.66764,0.11808,0.8451,0.74023
1.304,0.15039,0.68328,0.12177,0.8451,0.73438
1.312,0.16016,0.69599,0.12546,0.85098,0.73047
1.32,0.17578,0.70577,0.12915,0.87647,0.73438
1.328,0.29102,0.71359,0.13284,0.92157,0.67578
1.336,0.41992,0.71848,0.13776,0.88627,0.55078
1.344,0.51953,0.72239,0.14268,0.80588,0.41992
1.352,0.43945,0.72434,0.14883,0.6098,0.32031
1.36,0.095703,0.72336,0.15498,0.48039,0.5
1.368,0.041016,0.72141,0.1599,0.78039,0.7793
1.376,0.14062,0.71848,0.16482,0.88627,0.79492
1.384,0.14453,0.71457,0.16974,0.8902,0.75977
1.392,0.17578,0.7087,0.17466,0.89608,0.73047
1.4,0.16992,0.70088,0.18081,0.89608,0.73047
1.408,0.16602,0.6911,0.18573,0.89608,0.73047
1.416,0.16602,0.67937,0.19311,0.89608,0.73438
1.424,0.17969,0.66667,0.19926,0.89608,0.72461
1.432,0.18555,0.65103,0.20664,0.89608,0.7207
1.44,0.19531,0.63441,0.21525,0.90196,0.70898
1.448,0.19531,0.61877,0.22263,0.89608,0.70898
1.456,0.20117,0.60313,0.23124,0.89608,0.70508
1.464,0.20508,0.58651,0.23862,0.89608,0.69922
1.472,0.21094,0.56989,0.246,0.89608,0.69531
1.48,0.21484,0.55327,0.25338,0.89608,0.69531
1.488,0.2207,0.53763,0.26199,0.89608,0.68555
1.496,0.22461,0.52297,0.2706,0.90196,0.68555
1.504,0.23047,0.51026,0.27921,0.91176,0.67578
1.512,0.23438,0.49951,0.28782,0.91569,0.67578
1.52,0.24023,0.48974,0.29766,0.91569,0.67578
1.528,0.25,0.47996,0.30627,0.91176,0.67578
1.536,0.25586,0.47214,0.31488,0.91569,0.67578
1.544,0.25977,0.4653,0.32349,0.92157,0.66992
1.552,0.25586,0.45846,0.33333,0.93137,0.67578
1.56,0.25977,0.45259,0.34317,0.93725,0.66992
1.568,0.24023,0.44673,0.35301,0.93137,0.68555
1.576,0.23047,0.43988,0.36285,0.93725,0.69922
1.584,0.21094,0.43304,0.37392,0.94118,0.70898
1.592,0.19531,0.4262,0.38622,0.93725,0.72461
1.6,0.16602,0.42033,0.39729,0.93137,0.74414
1.608,0.15039,0.41349,0.40959,0.92157,0.75
1.616,0.14453,0.40762,0.42189,0.90588,0.75
1.624,0.14453,0.40176,0.43173,0.89608,0.74414
1.632,0.15625,0.39589,0.4428,0.88627,0.73047
1.64,0.17969,0.39003,0.45141,0.87647,0.7207
1.648,0.18555,0.38612,0.46125,0.87059,0.70508
1.656,0.19531,0.38221,0.47109,0.87059,0.69922
1.664,0.20117,0.37634,0.48093,0.86667,0.69922
1.672,0.20117,0.37146,0.49077,0.86078,0.69922
1.68,0.20508,0.36657,0.50062,0.86667,0.69922
1.688,0.20508,0.3607,0.50923,0.85686,0.69531
1.696,0.20508,0.35582,0.51784,0.85686,0.69531
1.704,0.20508,0.35191,0.52522,0.86078,0.69922
1.712,0.21094,0.34702,0.53383,0.86078,0.68945
1.72,0.21094,0.34213,0.54121,0.85686,0.68945
1.728,0.21484,0.33724,0.54859,0.86667,0.68945
1.736,0.21484,0.33431,0.55474,0.87059,0.69531
1.744,0.21484,0.3304,0.56212,0.87059,0.68945
1.752,0.22461,0.32747,0.56827,0.86667,0.68555
1.76,0.23047,0.32454,0.57442,0.87059,0.67969
1.768,0.25586,0.32063,0.57934,0.88627,0.66016
1.776,0.29102,0.31574,0.58426,0.91176,0.64062
1.784,0.29102,0.31085,0.58795,0.91569,0.64453
1.792,0.31055,0.30596,0.59164,0.92157,0.625
1.8,0.34961,0.30108,0.59533,0.94118,0.60547
1.808,0.375,0.29717,0.59902,0.94706,0.58398
1.816,0.35938,0.29619,0.60271,0.92157,0.59961
1.824,0.33984,0.29814,0.6064,0.90196,0.60547
1.832,0.30078,0.30401,0.61009,0.86667,0.61914
1.84,0.28516,0.31476,0.61378,0.85686,0.62891
1.848,0.30078,0.32942,0.61747,0.86667,0.61523
1.856,0.26562,0.34897,0.62116,0.87059,0.65039
1.864,0.21094,0.37439,0.62485,0.85098,0.68945
1.872,0.18555,0.40665,0.62977,0.8451,0.70508
1.88,0.17969,0.44184,0.63469,0.8451,0.7207
1.888,0.17578,0.47801,0.64084,0.8451,0.7207
1.896,0.16016,0.5132,0.64699,0.84118,0.72461
1.904,0.16016,0.54545,0.65437,0.83529,0.73047
1.912,0.16992,0.57478,0.66298,0.8451,0.72461
1.92,0.16602,0.6002,0.67159,0.84118,0.72461
1.928,0.16016,0.6217,0.68143,0.8451,0.73047
1.936,0.16602,0.63832,0.69127,0.84118,0.72461
1.944,0.16992,0.65103,0.69988,0.84118,0.72461
1.952,0.17578,0.65885,0.70849,0.8451,0.7207
1.96,0.21094,0.66373,0.7171,0.87647,0.70898
1.968,0.32031,0.66862,0.72694,0.91569,0.65039
1.976,0.45508,0.67351,0.73678,0.87059,0.51953
1.984,0.58984,0.67742,0.74662,0.8,0.37109
1.992,0.5,0.68133,0.75769,0.60588,0.28516
2,0.15625,0.68719,0.76876,0.50588,0.50977
2.008,0.12109,0.69501,0.7786,0.82549,0.75977
2.016,0.20117,0.70283,0.78844,0.89608,0.74023
2.024,0.18555,0.71261,0.79705,0.88627,0.72461
2.032,0.18945,0.72043,0.80566,0.88039,0.7207
2.04,0.18945,0.7263,0.8155,0.88627,0.7207
2.048,0.18555,0.72923,0.82411,0.88627,0.7207
2.056,0.18945,0.72825,0.83518,0.88627,0.71484
2.064,0.19531,0.72532,0.84502,0.88627,0.70898
2.072,0.20117,0.7175,0.85609,0.88039,0.70508
2.08,0.20508,0.70674,0.86716,0.88627,0.70508
2.088,0.20508,0.69208,0.87946,0.88627,0.70898
2.096,0.21094,0.67351,0.89053,0.8902,0.69922
2.104,0.21484,0.65298,0.90037,0.8902,0.69922
2.112,0.2207,0.62952,0.91144,0.8902,0.69922
2.12,0.23047,0.60508,0.92005,0.89608,0.68555
2.128,0.24609,0.58162,0.92989,0.90196,0.67578
2.136,0.23438,0.55816,0.94096,0.89608,0.68555
2.144,0.24023,0.53763,0.95203,0.89608,0.67578
2.152,0.25,0.52004,0.9631,0.89608,0.67578
2.16,0.25586,0.50635,0.97417,0.90196,0.66992
2.168,0.25586,0.49267,0.98524,0.90196,0.67578
2.176,0.25977,0.47996,0.99508,0.90588,0.66992
2.184,0.26562,0.46823,1.0049,0.91569,0.66992
2.192,0.25586,0.45552,1.0148,0.91569,0.67578
2.2,0.25586,0.44477,1.0258,0.92157,0.67969
2.208,0.24609,0.43402,1.0369,0.93137,0.68555
2.216,0.22461,0.42424,1.048,0.93725,0.69922
2.224,0.20117,0.41447,1.0603,0.94118,0.70898
2.232,0.17578,0.40469,1.0726,0.93725,0.73438
2.24,0.16016,0.39687,1.0849,0.93137,0.74414
2.248,0.14062,0.39003,1.0959,0.91569,0.75
2.256,0.14453,0.38416,1.1082,0.90588,0.75391
2.264,0.14453,0.3783,1.1193,0.89608,0.74414
2.272,0.16016,0.37243,1.1292,0.88627,0.73047
2.28,0.17969,0.36755,1.1292,0.87647,0.7207
2.288,0.18945,0.36461,1.1292,0.87059,0.70508
2.296,0.20117,0.36168,1.1292,0.86667,0.69922
2.304,0.21094,0.35875,1.1292,0.86667,0.69531
2.312,0.22461,0.35484,1.1292,0.86078,0.68555
2.32,0.23047,0.35093,1.1292,0.86078,0.67969
2.328,0.23047,0.34702,1.1292,0.85686,0.67969
2.336,0.23047,0.34115,1.1292,0.85686,0.67578
2.344,0.23438,0.33529,1.1292,0.85686,0.67578
2.352,0.23047,0.3304,1.1292,0.85098,0.67578
2.36,0.23438,0.32551,1.1292,0.85098,0.67578
2.368,0.23438,0.31867,1.1292,0.85686,0.67969
2.376,0.23438,0.31085,1.1292,0.86078,0.67969
2.384,0.23438,0.30303,1.1292,0.86078,0.67969
2.392,0.24023,0.29521,1.1292,0.86078,0.67578
2.4,0.24609,0.28739,1.1292,0.86667,0.66992
2.408,0.26953,0.27859,1.1292,0.88039,0.65039
2.416,0.30078,0.26979,1.1292,0.89608,0.63477
2.424,0.30078,0.261,1.1292,0.89608,0.62891
2.432,0.31445,0.2522,1.1292,0.90588,0.625
2.44,0.35547,0.2434,1.1292,0.93137,0.59961
2.448,0.38086,0.23754,1.1292,0.94118,0.58398
2.456,0.36523,0.23363,1.1292,0.91569,0.58984
2.464,0.33984,0.23069,1.1292,0.89608,0.60547
2.472,0.30078,0.23069,1.1292,0.85098,0.61914
2.48,0.2793,0.23558,1.1292,0.84118,0.62891
2.488,0.29492,0.24536,1.1292,0.85686,0.625
2.496,0.26562,0.26197,1.1292,0.8451,0.64453
2.504,0.22461,0.28543,1.1292,0.83137,0.67969
2.512,0.18555,0.31281,1.1292,0.82157,0.69922
2.52,0.17969,0.34213,1.1292,0.82157,0.71484
2.528,0.17578,0.37341,1.1292,0.82157,0.7207
2.536,0.16992,0.40371,1.1292,0.82157,0.7207
2.544,0.16602,0.42815,1.1292,0.82157,0.72461
2.552,0.16016,0.44868,1.1292,0.82157,0.73047
2.56,0.16602,0.46921,1.1292,0.82157,0.72461
2.568,0.16602,0.4868,1.1292,0.82157,0.73438
2.576,0.16992,0.50147,1.1292,0.82549,0.72461
2.584,0.16602,0.51417,1.1292,0.83137,0.72461
2.592,0.17578,0.52395,1.1292,0.83137,0.7207
2.6,0.20508,0.53079,1.1292,0.85686,0.71484
2.608,0.32422,0.53666,1.1292,0.89608,0.64453
2.616,0.46484,0.54057,1.1292,0.86078,0.51562
2.624,0.58984,0.54252,1.1292,0.78039,0.37109
2.632,0.4707,0.5435,1.1292,0.58039,0.30469
2.64,0.11523,0.5435,1.1292,0.48039,0.53516
2.648,0.085938,0.54154,1.1292,0.8,0.77539
2.656,0.17969,0.53959,1.1292,0.87647,0.7793
2.664,0.17578,0.53568,1.1292,0.87059,0.73438
2.672,0.18945,0.52981,1.1292,0.88039,0.7207
2.68,0.18555,0.52395,1.1292,0.88039,0.72461
2.688,0.18945,0.51613,1.1292,0.88039,0.73047
2.696,0.19531,0.50635,1.1292,0.88627,0.7207
2.704,0.20508,0.49462,1.1292,0.8902,0.71484
2.712,0.21094,0.48192,1.1292,0.8902,0.70898
2.72,0.21094,0.46725,1.1292,0.8902,0.70508
2.728,0.22461,0.45259,1.1292,0.8902,0.69922
2.736,0.23047,0.43695,1.1292,0.8902,0.69531
2.744,0.23047,0.42326,1.1292,0.8902,0.69531
2.752,0.23438,0.41251,1.1292,0.8902,0.68945
2.76,0.24609,0.3998,1.1292,0.8902,0.67578
2.768,0.25,0.3871,1.1292,0.8902,0.67578
2.776,0.25977,0.37537,1.1292,0.8902,0.66992
2.784,0.26562,0.36461,1.1292,0.89608,0.66406
2.792,0.27539,0.35582,1.1292,0.90196,0.66016
2.8,0.27539,0.348,1.1292,0.90588,0.66016
2.808,0.27539,0.34115,1.1292,0.91176,0.66016
2.816,0.27539,0.33627,1.1292,0.91569,0.66016
2.824,0.28516,0.33236,1.1292,0.91569,0.6543
2.832,0.28516,0.32845,1.1292,0.91569,0.66016
2.84,0.2793,0.32551,1.1193,0.92157,0.66992
2.848,0.26562,0.32258,1.1095,0.93137,0.67969
2.856,0.25586,0.32063,1.0984,0.93137,0.69531
2.864,0.23438,0.31769,1.0873,0.93725,0.69922
2.872,0.21094,0.31378,1.0738,0.93725,0.7207
2.88,0.18945,0.3089,1.0615,0.92549,0.73438
2.888,0.17969,0.30499,1.048,0.91569,0.74023
2.896,0.16992,0.30108,1.0357,0.89608,0.74414
2.904,0.17578,0.29814,1.0221,0.8902,0.73438
2.912,0.18555,0.29619,1.0098,0.87647,0.7207
2.92,0.20508,0.29326,0.99877,0.87059,0.70898
2.928,0.21484,0.29032,0.98647,0.86667,0.69922
2.936,0.22461,0.28739,0.97294,0.86078,0.69531
2.944,0.23047,0.28641,0.95818,0.85686,0.68555
2.952,0.23047,0.28446,0.94342,0.85686,0.68555
2.96,0.23438,0.2825,0.92743,0.85686,0.68555
2.968,0.23438,0.27957,0.91267,0.85686,0.68945
2.976,0.23438,0.27761,0.89791,0.86078,0.68945
2.984,0.23438,0.27468,0.88192,0.85686,0.68945
2.992,0.23438,0.27273,0.86716,0.85098,0.68555
3,0.23438,0.27077,0.84871,0.85098,0.68555
3.008,0.24609,0.26882,0.83149,0.85686,0.67969
3.016,0.24609,0.26588,0.81058,0.85686,0.67969
3.024,0.25,0.26295,0.78967,0.86078,0.67969
3.032,0.25,0.261,0.76753,0.86078,0.67969
3.04,0.25586,0.25806,0.74416,0.86667,0.67578
3.048,0.26953,0.25709,0.71956,0.87059,0.66406
3.056,0.31055,0.25513,0.69619,0.89608,0.64062
3.064,0.32031,0.25318,0.67282,0.91176,0.62891
3.072,0.33008,0.25122,0.65068,0.91176,0.61914
3.08,0.35938,0.24829,0.62977,0.93725,0.60547
3.088,0.39453,0.24731,0.60886,0.94706,0.58398
3.096,0.40039,0.24633,0.58549,0.93137,0.57422
3.104,0.37109,0.24829,0.56335,0.90588,0.5957
3.112,0.33984,0.25513,0.53998,0.87647,0.60547
3.12,0.30078,0.26686,0.51661,0.85098,0.625
3.128,0.31055,0.28641,0.49569,0.86667,0.61914
3.136,0.29492,0.31672,0.47601,0.86078,0.62891
3.144,0.24609,0.35093,0.45756,0.8451,0.66992
3.152,0.20508,0.38319,0.43911,0.84118,0.69922
3.16,0.18555,0.41935,0.42066,0.83529,0.71484
3.168,0.17969,0.45552,0.40221,0.83529,0.7207
3.176,0.16992,0.49169,0.38499,0.84118,0.72461
3.184,0.16602,0.52493,0.36654,0.83529,0.73047
3.192,0.16992,0.55425,0.35055,0.83529,0.73047
3.2,0.16992,0.58065,0.33333,0.83529,0.73438
3.208,0.17578,0.60215,0.31734,0.83529,0.72461
3.216,0.16992,0.61975,0.30258,0.83529,0.72461
3.224,0.17969,0.63441,0.28905,0.84118,0.72461
3.232,0.17969,0.64712,0.27552,0.8451,0.72461
3.24,0.20117,0.65689,0.26445,0.86078,0.71484
3.248,0.2793,0.66373,0.25338,0.91569,0.68555
3.256,0.41992,0.66764,0.24231,0.93137,0.57422
3.264,0.49414,0.67058,0.23124,0.82549,0.46484
3.272,0.53516,0.67351,0.2214,0.66471,0.33008
3.28,0.22461,0.67449,0.21156,0.44902,0.31055
3.288,0.050781,0.67449,0.20172,0.63529,0.68945
3.296,0.13477,0.67351,0.19311,0.85098,0.7793
3.304,0.16016,0.67058,0.18573,0.87059,0.75
3.312,0.18555,0.66667,0.17712,0.88627,0.73047
3.32,0.19531,0.66178,0.16851,0.8902,0.7207
3.328,0.20117,0.65396,0.1599,0.89608,0.7207
3.336,0.20508,0.64516,0.15129,0.89608,0.70898
3.344,0.21094,0.63539,0.14268,0.89608,0.70508
3.352,0.21484,0.62463,0.13407,0.89608,0.69922
3.36,0.2207,0.61193,0.12669,0.89608,0.69922
3.368,0.23047,0.59726,0.11931,0.89608,0.69922
3.376,0.23047,0.5826,0.11193,0.90196,0.69922
3.384,0.23438,0.56696,0.10578,0.90196,0.69531
3.392,0.24023,0.5523,0.099631,0.90588,0.68945
3.4,0.24609,0.53763,0.094711,0.90588,0.67969
3.408,0.25586,0.52395,0.091021,0.90588,0.67578
3.416,0.25977,0.51222,0.086101,0.90588,0.67578
3.424,0.26562,0.50147,0.082411,0.91176,0.66406
3.432,0.26562,0.49169,0.078721,0.91569,0.66406
3.44,0.27539,0.48289,0.075031,0.91569,0.66406
3.448,0.27539,0.47605,0.071341,0.92157,0.66016
3.456,0.28516,0.47116,0.068881,0.92157,0.6543
3.464,0.29102,0.4653,0.066421,0.92549,0.65039
3.472,0.29492,0.45943,0.063961,0.93137,0.65039
3.48,0.28516,0.45455,0.062731,0.93725,0.6543
3.488,0.27539,0.44966,0.060271,0.93725,0.66406
3.496,0.25977,0.44477,0.059041,0.94118,0.67969
3.504,0.24023,0.43988,0.057811,0.94118,0.69922
3.512,0.22461,0.435,0.055351,0.94118,0.70508
3.52,0.20508,0.43011,0.054121,0.93725,0.7207
3.528,0.17969,0.42522,0.052891,0.93137,0.73438
3.536,0.17578,0.42033,0.050431,0.91569,0.74023
3.544,0.17578,0.41642,0.050431,0.90196,0.73438
3.552,0.17969,0.41349,0.0492,0.8902,0.73047
3.56,0.18945,0.40958,0.0492,0.88039,0.7207
3.568,0.20508,0.40567,0.04797,0.87647,0.69922
3.576,0.21484,0.40176,0.04797,0.87059,0.68945
3.584,0.2207,0.39785,0.04674,0.86078,0.68555
3.592,0.22461,0.39296,0.04551,0.86078,0.67578
3.6,0.23047,0.38905,0.04551,0.85686,0.67578
3.608,0.23047,0.38514,0.04428,0.86078,0.67578
3.616,0.22461,0.38221,0.04305,0.85098,0.67969
3.624,0.22461,0.3783,0.04182,0.85686,0.67969
3.632,0.23047,0.37439,0.04182,0.85686,0.67578
3.64,0.23047,0.37146,0.03936,0.86078,0.67578
3.648,0.23047,0.36852,0.0369,0.85686,0.67578
3.656,0.23047,0.36657,0.03321,0.86078,0.67578
3.664,0.23047,0.36461,0.03075,0.86078,0.67578
3.672,0.23438,0.36168,0.02583,0.86078,0.67578
3.68,0.23438,0.35777,0.02091,0.86078,0.66992
3.688,0.25,0.35484,0.01599,0.87059,0.66016
3.696,0.28516,0.35191,0.0098401,0.8902,0.64453
3.704,0.30469,0.348,0.00492,0.90588,0.62891
3.712,0.31055,0.34506,0,0.90588,0.625
3.72,0.33984,0.34213,-0.00492,0.92549,0.60547
3.728,0.375,0.34018,-0.0098401,0.94706,0.58398
3.736,0.38477,0.34018,-0.01476,0.94118,0.58008
3.744,0.35938,0.34213,-0.01845,0.91569,0.58984
3.752,0.33594,0.34702,-0.02337,0.8902,0.60547
3.76,0.28516,0.35582,-0.02706,0.85098,0.625
3.768,0.27539,0.3695,-0.02952,0.86078,0.61914
3.776,0.29492,0.39003,-0.03321,0.86667,0.625
3.784,0.24609,0.41642,-0.03444,0.86078,0.66016
3.792,0.20117,0.44868,-0.0369,0.8451,0.69531
3.8,0.17969,0.48387,-0.03813,0.83137,0.70898
3.808,0.16992,0.52004,-0.03936,0.83529,0.7207
3.816,0.16016,0.55621,-0.03936,0.84118,0.7207
3.824,0.16016,0.59042,-0.03936,0.84118,0.72461
3.832,0.15625,0.62072,-0.03936,0.83529,0.73047
3.84,0.16016,0.64809,-0.03936,0.83529,0.72461
3.848,0.15625,0.66862,-0.03813,0.83529,0.73047
