Time [s], RESP, PLETH, II, V, AVR, CVP, ART
2.328,0.060606,0.64907,0.35961,0.5,0.7549,13.181,66.297
2.336,0.057674,0.63539,0.34975,0.57031,0.78039,13.259,65.711
2.344,0.053763,0.62072,0.35961,0.60938,0.78039,13.338,65.319
2.352,0.049853,0.60313,0.36453,0.625,0.78039,13.455,64.733
2.36,0.045943,0.58456,0.37562,0.62891,0.78039,13.494,64.342
2.368,0.042033,0.56403,0.38054,0.63477,0.77647,13.455,63.755
2.376,0.037146,0.54448,0.38547,0.63477,0.77059,13.377,63.168
2.384,0.034213,0.52493,0.39532,0.64062,0.76667,13.338,62.777
2.392,0.030303,0.50635,0.40025,0.64453,0.76078,13.181,62.19
2.4,0.02737,0.48876,0.4101,0.64453,0.7549,13.064,61.799
2.408,0.024438,0.4741,0.41995,0.65039,0.75098,12.907,61.408
2.416,0.022483,0.46041,0.4298,0.6543,0.74118,12.751,60.821
2.424,0.020528,0.44966,0.43473,0.6543,0.74118,12.634,60.43
2.432,0.01955,0.43988,0.43966,0.66016,0.73137,12.634,60.039
2.44,0.018573,0.43304,0.45443,0.66016,0.72157,12.712,59.844
2.448,0.017595,0.42815,0.46552,0.66406,0.7098,12.751,59.257
2.456,0.017595,0.42424,0.4803,0.66406,0.7,12.829,58.866
2.464,0.017595,0.42033,0.5,0.66992,0.68627,12.751,58.475
2.472,0.017595,0.4174,0.5197,0.67969,0.67059,12.634,58.083
2.48,0.018573,0.41447,0.54557,0.68555,0.65098,12.438,57.692
2.488,0.01955,0.41251,0.57512,0.68945,0.62549,12.282,57.692
2.496,0.020528,0.40958,0.60468,0.69531,0.6,12.086,58.475
2.504,0.022483,0.40762,0.63054,0.69922,0.57451,11.89,60.626
2.512,0.024438,0.40469,0.65025,0.69922,0.56078,11.773,64.537
2.52,0.02737,0.40176,0.6601,0.69922,0.55098,11.578,70.209
2.528,0.030303,0.39785,0.66502,0.68945,0.5451,11.46,77.054
2.536,0.033236,0.39492,0.64532,0.68555,0.56078,11.265,84.485
2.544,0.037146,0.39198,0.61946,0.67969,0.58039,11.186,91.917
2.552,0.040078,0.38807,0.58498,0.66992,0.6098,11.147,98.957
2.56,0.043011,0.38319,0.53941,0.66406,0.64118,11.03,105.41
2.568,0.045943,0.3783,0.50493,0.6543,0.67059,10.874,110.3
2.576,0.048876,0.37341,0.47537,0.64453,0.69608,10.717,114.02
2.584,0.050831,0.36755,0.44951,0.63477,0.7098,10.521,116.17
2.592,0.052786,0.36266,0.43473,0.625,0.72157,10.404,117.14
2.6,0.055718,0.35679,0.4298,0.61914,0.73137,10.248,117.14
2.608,0.056696,0.35093,0.42488,0.61523,0.73529,10.209,116.36
2.616,0.058651,0.34506,0.42488,0.61523,0.73529,10.13,115.19
2.624,0.059629,0.3392,0.42488,0.61523,0.73529,10.13,113.82
2.632,0.060606,0.33333,0.4298,0.61523,0.73529,10.13,112.06
2.64,0.059629,0.32845,0.42488,0.61523,0.73529,10.209,110.1
2.648,0.059629,0.32454,0.42488,0.61523,0.73529,10.209,108.15
2.656,0.056696,0.31965,0.4298,0.61914,0.73137,10.248,105.8
2.664,0.053763,0.31476,0.43473,0.61914,0.73137,10.248,103.65
2.672,0.049853,0.3089,0.43966,0.625,0.72549,10.326,101.5
2.68,0.046921,0.30401,0.43966,0.625,0.72549,10.326,99.544
2.688,0.043011,0.29912,0.43966,0.62891,0.72549,10.404,97.979
2.696,0.039101,0.29423,0.43966,0.62891,0.72157,10.443,96.415
2.704,0.035191,0.28935,0.43966,0.63477,0.72157,10.521,94.655
2.712,0.031281,0.28543,0.43966,0.62891,0.72549,10.639,92.699
2.72,0.02737,0.2825,0.43966,0.62891,0.72549,10.756,90.743
2.728,0.02346,0.27957,0.43473,0.62891,0.73137,10.952,88.396
2.736,0.020528,0.27761,0.43473,0.62891,0.73137,11.069,86.05
2.744,0.017595,0.2737,0.43966,0.62891,0.73137,11.186,83.507
2.752,0.014663,0.26979,0.43966,0.62891,0.73137,11.343,81.16
2.76,0.012708,0.26588,0.43966,0.62891,0.72549,11.499,78.618
2.768,0.010753,0.26491,0.44951,0.63477,0.71569,11.656,76.662
2.776,0.0097752,0.27175,0.47044,0.64453,0.7,11.695,74.902
2.784,0.0087977,0.28739,0.48522,0.6543,0.6902,11.773,73.338
2.792,0.0078201,0.31476,0.49507,0.66406,0.68627,11.773,72.164
2.8,0.0078201,0.35288,0.5197,0.67969,0.66471,11.812,70.991
2.808,0.0078201,0.3998,0.55542,0.68945,0.6451,11.812,70.404
2.816,0.0078201,0.45064,0.56527,0.67969,0.63529,11.812,70.209
2.824,0.0078201,0.50342,0.56034,0.66406,0.62941,11.773,70.209
2.832,0.0087977,0.5523,0.55049,0.6543,0.63529,11.773,70.209
2.84,0.0097752,0.5914,0.52463,0.64062,0.65098,11.773,70.209
2.848,0.01173,0.6217,0.5,0.625,0.68039,11.773,70.209
2.856,0.013685,0.65005,0.46059,0.61914,0.70588,11.773,70.209
2.864,0.014663,0.67351,0.4298,0.61523,0.72549,11.773,70.209
2.872,0.016618,0.69208,0.41995,0.60938,0.74118,11.695,70.209
2.88,0.017595,0.70674,0.4101,0.60938,0.7451,11.695,70.209
2.888,0.01955,0.7175,0.4101,0.60938,0.75098,11.656,70.209
2.896,0.020528,0.72434,0.40517,0.60938,0.75098,11.578,70.209
2.904,0.022483,0.72923,0.40025,0.60547,0.75098,11.578,70.209
2.912,0.02346,0.73118,0.40025,0.60547,0.75098,11.578,70.209
2.92,0.025415,0.73021,0.40025,0.60547,0.75098,11.695,70.209
2.928,0.026393,0.72727,0.4101,0.61523,0.75098,11.812,70.209
2.936,0.02737,0.72239,0.43966,0.61914,0.72549,12.008,70.013
2.944,0.028348,0.71554,0.51478,0.60547,0.65098,12.125,69.622
2.952,0.030303,0.7087,0.66995,0.58984,0.49412,12.203,69.231
2.96,0.031281,0.6999,0.89039,0.54492,0.2902,12.321,68.644
2.968,0.032258,0.69013,1.0049,0.43945,0.1549,12.438,68.253
2.976,0.033236,0.68035,0.85961,0.34961,0.26471,12.595,67.666
2.984,0.035191,0.66764,0.58498,0.3457,0.51961,12.712,67.08
2.992,0.037146,0.65494,0.4101,0.45508,0.7098,12.829,66.493
3,0.039101,0.64027,0.35468,0.54492,0.77647,12.907,65.906
3.008,0.042033,0.62366,0.36453,0.60547,0.78039,12.947,65.515
3.016,0.044966,0.60606,0.38054,0.62891,0.78039,13.025,64.928
3.024,0.047898,0.58651,0.38547,0.64062,0.77647,13.064,64.537
3.032,0.050831,0.56696,0.39039,0.64453,0.77647,13.064,64.146
3.04,0.053763,0.54936,0.39532,0.6543,0.77059,13.064,63.559
3.048,0.056696,0.53275,0.40025,0.6543,0.76667,13.025,62.973
3.056,0.059629,0.51417,0.40517,0.66016,0.76078,12.947,62.386
