Time [s], RESP, PLETH, I, MCL, II
1.024,-0.10269,0.38221,0.5549,0.38431,0.97461
1.032,-0.09291,0.37243,0.56078,0.39412,0.95898
1.04,-0.080685,0.36364,0.55098,0.41569,0.91992
1.048,-0.070905,0.35484,0.53922,0.42941,0.86914
1.056,-0.06357,0.34604,0.51961,0.44902,0.81055
1.064,-0.056235,0.3392,0.5,0.47059,0.74414
1.072,-0.0489,0.33431,0.48039,0.48039,0.68945
1.08,-0.046455,0.32649,0.47059,0.48431,0.64453
1.088,-0.041565,0.31769,0.44902,0.4902,0.60938
1.096,-0.03912,0.30792,0.44902,0.49412,0.5957
1.104,-0.036675,0.29912,0.46078,0.5,0.58984
1.112,-0.036675,0.2913,0.47059,0.51569,0.60938
1.12,-0.03423,0.28446,0.4902,0.5451,0.64062
1.128,-0.03423,0.28055,0.49412,0.58431,0.66992
1.136,-0.03423,0.28055,0.5,0.6,0.68555
1.144,-0.031785,0.28739,0.5,0.5902,0.69922
1.152,-0.031785,0.30205,0.50588,0.57059,0.74023
1.16,-0.031785,0.32258,0.5,0.50588,0.75
1.168,-0.031785,0.34604,0.50588,0.48039,0.76562
1.176,-0.02934,0.37243,0.5,0.48431,0.76953
1.184,-0.02934,0.40371,0.49412,0.47451,0.75391
1.192,-0.02934,0.43891,0.48039,0.48039,0.73047
1.2,-0.026895,0.47507,0.47059,0.48431,0.68555
1.208,-0.02934,0.51026,0.44902,0.5098,0.61914
1.216,-0.02934,0.5435,0.4451,0.51569,0.57031
1.224,-0.02934,0.5738,0.43922,0.52549,0.54492
1.232,-0.031785,0.60215,0.43529,0.52941,0.53516
1.24,-0.031785,0.62659,0.43529,0.52941,0.5293
1.248,-0.03423,0.64907,0.4451,0.51961,0.52539
1.256,-0.03423,0.6696,0.4451,0.51961,0.5293
1.264,-0.03423,0.68817,0.44902,0.51569,0.52539
1.272,-0.036675,0.70186,0.44902,0.51961,0.5293
1.28,-0.036675,0.71261,0.44902,0.51961,0.52539
1.288,-0.036675,0.72336,0.4451,0.5451,0.53906
1.296,-0.03423,0.73314,0.42941,0.6451,0.57031
1.304,-0.03423,0.74096,0.46078,0.72549,0.62891
1.312,-0.03423,0.74682,0.61961,0.77647,0.74414
1.32,-0.031785,0.75073,0.87647,0.88039,0.75391
1.328,-0.031785,0.75073,1.0961,0.94706,0.30469
1.336,-0.02934,0.74682,0.91176,0.8451,-0.17969
1.344,-0.02934,0.74096,0.36471,0.81176,-0.33008
1.352,-0.026895,0.73118,0.058824,0.82157,-0.26367
1.36,-0.026895,0.71945,0.029412,0.5451,-0.21875
1.368,-0.026895,0.70479,0.088235,0.32353,-0.048828
1.376,-0.02445,0.69013,0.22353,0.27843,0.29102
1.384,-0.026895,0.67449,0.3549,0.35882,0.57031
1.392,-0.026895,0.65787,0.42549,0.46471,0.69531
1.4,-0.02934,0.64027,0.4451,0.49412,0.72461
1.408,-0.031785,0.6217,0.46078,0.5,0.73438
1.416,-0.03912,0.60411,0.47059,0.50588,0.75391
1.424,-0.04401,0.58651,0.46078,0.5098,0.75977
1.432,-0.051345,0.57087,0.46471,0.50588,0.76562
1.44,-0.056235,0.55621,0.46078,0.5,0.75977
1.448,-0.066015,0.54154,0.46471,0.4902,0.76562
1.456,-0.07335,0.52884,0.46078,0.48431,0.75977
1.464,-0.080685,0.51711,0.47059,0.48431,0.76953
1.472,-0.090465,0.50538,0.47451,0.47059,0.77539
1.48,-0.0978,0.49462,0.47059,0.47059,0.77539
1.488,-0.10513,0.48583,0.47451,0.46078,0.77539
1.496,-0.11247,0.47507,0.47451,0.4549,0.76562
1.504,-0.11736,0.46334,0.47059,0.44902,0.77539
1.512,-0.12225,0.45161,0.47451,0.43922,0.78516
1.52,-0.12714,0.44086,0.47059,0.43529,0.79492
1.528,-0.12958,0.42913,0.47451,0.42941,0.82031
1.536,-0.13203,0.41838,0.48039,0.41569,0.84375
1.544,-0.13203,0.40762,0.4902,0.41569,0.87891
1.552,-0.12958,0.39687,0.51569,0.40392,0.91992
1.56,-0.12714,0.3871,0.52941,0.39412,0.95898
1.568,-0.12225,0.37634,0.55098,0.39412,0.98438
1.576,-0.11491,0.36559,0.57451,0.3902,1.0137
1.584,-0.11002,0.35582,0.5902,0.39412,1.0293
1.592,-0.10269,0.34702,0.59608,0.4098,1.0195
1.6,-0.0978,0.34018,0.6,0.41961,0.99414
1.608,-0.090465,0.33236,0.5902,0.4451,0.95508
1.616,-0.085575,0.32356,0.57451,0.46471,0.89453
1.624,-0.08313,0.31378,0.5549,0.4902,0.83984
1.632,-0.080685,0.30596,0.52941,0.5098,0.78516
1.64,-0.07824,0.29717,0.51961,0.51961,0.74414
1.648,-0.075795,0.28837,0.51961,0.53529,0.72461
1.656,-0.075795,0.27957,0.51569,0.56078,0.71484
1.664,-0.07335,0.27175,0.51961,0.59608,0.73047
1.672,-0.070905,0.26393,0.51961,0.62549,0.74023
1.68,-0.070905,0.25709,0.51569,0.61569,0.74023
1.688,-0.06846,0.2522,0.51961,0.60588,0.74414
1.696,-0.066015,0.2522,0.5098,0.56078,0.7793
1.704,-0.061125,0.25709,0.51569,0.5,0.7793
1.712,-0.05868,0.26686,0.5,0.48431,0.79883
1.72,-0.056235,0.2825,0.5,0.48039,0.78906
1.728,-0.05379,0.30499,0.49412,0.47451,0.77539
1.736,-0.051345,0.33333,0.47451,0.48431,0.74023
1.744,-0.0489,0.36657,0.46078,0.50588,0.68945
1.752,-0.046455,0.40176,0.44902,0.52941,0.62891
1.76,-0.04401,0.43891,0.43922,0.52941,0.58984
1.768,-0.041565,0.4741,0.4451,0.52549,0.57031
1.776,-0.03912,0.50831,0.43529,0.52941,0.56445
1.784,-0.036675,0.53959,0.42941,0.52941,0.56055
1.792,-0.03423,0.56696,0.43529,0.52549,0.55469
1.8,-0.031785,0.58944,0.43529,0.52941,0.56055
1.808,-0.02934,0.60802,0.43529,0.52549,0.55078
1.816,-0.026895,0.62659,0.4451,0.51961,0.56055
1.824,-0.02445,0.64516,0.43922,0.51961,0.56055
1.832,-0.022005,0.6608,0.42941,0.55098,0.57031
1.84,-0.017115,0.67546,0.4098,0.6451,0.58398
1.848,-0.01467,0.68817,0.40392,0.71569,0.64453
1.856,-0.00978,0.69892,0.6098,0.76667,0.73047
1.864,-0.00489,0.70674,0.85686,0.88627,0.66016
1.872,0,0.71261,1.0314,0.93725,0.17578
1.88,0.007335,0.71554,0.76078,0.83137,-0.29883
1.888,0.01467,0.71554,0.2451,0.8,-0.4082
1.896,0.022005,0.71261,-0.011765,0.72549,-0.30859
1.904,0.02934,0.70674,-0.027451,0.47059,-0.24414
1.912,0.036675,0.69795,0.058824,0.25882,-0.035156
1.92,0.04401,0.68719,0.2,0.21961,0.30078
1.928,0.05379,0.67449,0.32941,0.30392,0.55469
1.936,0.061125,0.65885,0.4,0.3902,0.65039
1.944,0.066015,0.64223,0.41961,0.41569,0.67969
1.952,0.07335,0.62561,0.42941,0.42941,0.68945
1.96,0.075795,0.60899,0.43529,0.43529,0.69531
1.968,0.07824,0.5914,0.43922,0.42941,0.70898
1.976,0.07824,0.57576,0.43922,0.42941,0.7207
1.984,0.07824,0.56012,0.43529,0.42941,0.7207
1.992,0.075795,0.54545,0.42941,0.42549,0.73047
2,0.07335,0.53177,0.43922,0.41961,0.73438
2.008,0.066015,0.52102,0.4451,0.42549,0.73438
2.016,0.061125,0.51124,0.4451,0.41961,0.74414
2.024,0.05379,0.50049,0.4451,0.41569,0.74414
2.032,0.0489,0.49071,0.44902,0.40392,0.74023
2.04,0.03912,0.47996,0.4451,0.40392,0.74414
2.048,0.02934,0.46921,0.4451,0.40392,0.75977
2.056,0.01956,0.45943,0.43922,0.40392,0.77539
2.064,0.00978,0.44966,0.4451,0.39412,0.79492
2.072,0,0.43891,0.44902,0.3902,0.83008
2.08,-0.012225,0.42815,0.46471,0.38431,0.86914
2.088,-0.022005,0.4174,0.48431,0.37451,0.91406
2.096,-0.031785,0.40665,0.5098,0.36471,0.95508
2.104,-0.041565,0.39687,0.52941,0.35882,0.99023
2.112,-0.0489,0.38807,0.5451,0.3549,1.0195
2.12,-0.056235,0.38025,0.57059,0.35882,1.0449
2.128,-0.066015,0.37146,0.58039,0.36471,1.0547
2.136,-0.070905,0.36266,0.5902,0.38039,1.0352
2.144,-0.075795,0.35288,0.58039,0.40392,0.99414
2.152,-0.07824,0.34311,0.57059,0.42941,0.94922
2.16,-0.080685,0.33333,0.5549,0.4549,0.88477
2.168,-0.08313,0.32454,0.53922,0.47451,0.82031
2.176,-0.08313,0.31476,0.51961,0.49412,0.76562
2.184,-0.085575,0.30596,0.5,0.50588,0.7207
2.192,-0.085575,0.29619,0.5,0.51569,0.70508
2.2,-0.085575,0.28739,0.49412,0.53529,0.68945
2.208,-0.085575,0.27859,0.5,0.55098,0.69531
2.216,-0.08313,0.27273,0.5,0.5902,0.68945
2.224,-0.08313,0.26784,0.5,0.60588,0.71484
2.232,-0.080685,0.26295,0.5,0.59608,0.72461
2.24,-0.07824,0.26002,0.5,0.58039,0.75
2.248,-0.075795,0.26002,0.5,0.53529,0.7793
2.256,-0.070905,0.26588,0.49412,0.48431,0.77539
2.264,-0.06846,0.27859,0.5,0.47059,0.79492
2.272,-0.066015,0.29717,0.49412,0.46471,0.80469
2.28,-0.06357,0.3216,0.48431,0.47059,0.7793
2.288,-0.061125,0.35191,0.47059,0.48431,0.73047
2.296,-0.05868,0.38416,0.4549,0.5,0.67578
2.304,-0.056235,0.41838,0.4451,0.51569,0.61914
2.312,-0.051345,0.45161,0.43922,0.51569,0.57422
2.32,-0.0489,0.47898,0.43529,0.5098,0.56445
2.328,-0.04401,0.5044,0.43922,0.5098,0.56055
2.336,-0.041565,0.52981,0.42941,0.51569,0.55469
2.344,-0.036675,0.55425,0.42941,0.51961,0.55469
2.352,-0.03423,0.57576,0.42941,0.51961,0.53906
2.36,-0.02934,0.59531,0.43529,0.5098,0.54492
2.368,-0.02445,0.6129,0.42941,0.5098,0.53906
2.376,-0.022005,0.62757,0.42549,0.5098,0.53516
2.384,-0.017115,0.6393,0.41569,0.56471,0.56055
2.392,-0.01467,0.65005,0.41569,0.66078,0.58398
2.4,-0.00978,0.65787,0.48431,0.7098,0.69922
2.408,-0.007335,0.66373,0.67647,0.76078,0.75391
2.416,-0.00489,0.66569,0.92157,0.87059,0.60938
2.424,-0.002445,0.66667,1.002,0.88627,0.03125
2.432,0.002445,0.66471,0.58039,0.8,-0.41992
2.44,0.00489,0.6608,0.14314,0.80588,-0.44922
2.448,0.00978,0.65396,-0.0058823,0.6902,-0.27344
2.456,0.012225,0.64418,0.013725,0.43529,-0.19336
2.464,0.017115,0.63245,0.088235,0.25882,0.044922
2.472,0.01956,0.61779,0.22353,0.22941,0.37109
2.48,0.01956,0.60313,0.33529,0.32941,0.58984
2.488,0.01956,0.58749,0.3902,0.4,0.66016
2.496,0.01956,0.57185,0.4098,0.41961,0.67969
2.504,0.017115,0.55718,0.41961,0.42941,0.68945
2.512,0.01467,0.54252,0.42549,0.43529,0.70508
2.52,0.00978,0.52884,0.43529,0.43529,0.70898
2.528,0.00489,0.51808,0.43529,0.42941,0.70508
2.536,-0.002445,0.50831,0.43922,0.42941,0.7207
2.544,-0.007335,0.49756,0.43922,0.41961,0.7207
2.552,-0.012225,0.48778,0.43529,0.41961,0.72461
2.56,-0.017115,0.47703,0.4451,0.42549,0.73438
2.568,-0.02445,0.46628,0.44902,0.41961,0.73047
2.576,-0.02934,0.4565,0.43922,0.41569,0.73438
2.584,-0.03423,0.44673,0.43922,0.41569,0.74414
2.592,-0.03912,0.43695,0.43529,0.41569,0.75391
2.6,-0.046455,0.42717,0.43529,0.4098,0.76562
2.608,-0.051345,0.41838,0.43922,0.4,0.78516
2.616,-0.05379,0.4086,0.43922,0.3902,0.81055
2.624,-0.05868,0.39883,0.44902,0.38039,0.84375
2.632,-0.06357,0.38905,0.46471,0.36471,0.88867
2.64,-0.066015,0.38123,0.48431,0.35882,0.92969
2.648,-0.06846,0.37439,0.51569,0.3451,0.97461
2.656,-0.070905,0.36657,0.53529,0.33922,1.0098
2.664,-0.07335,0.35777,0.5549,0.33922,1.0488
2.672,-0.07335,0.34897,0.57059,0.33922,1.0742
2.68,-0.07335,0.34115,0.58431,0.3451,1.0703
2.688,-0.07335,0.33236,0.58431,0.37451,1.0547
2.696,-0.07335,0.32356,0.57451,0.4,1.0098
2.704,-0.070905,0.31476,0.5549,0.43529,0.93555
2.712,-0.06846,0.30694,0.5451,0.47059,0.88477
2.72,-0.066015,0.29912,0.51961,0.49412,0.81445
2.728,-0.06357,0.2913,0.5,0.5098,0.76562
2.736,-0.05868,0.28348,0.4902,0.52549,0.72461
2.744,-0.056235,0.27761,0.48431,0.53922,0.69922
2.752,-0.05379,0.27273,0.48431,0.5549,0.69531
2.76,-0.0489,0.26686,0.4902,0.57451,0.70508
2.768,-0.046455,0.26002,0.49412,0.6098,0.70898
2.776,-0.041565,0.25415,0.4902,0.61961,0.7207
2.784,-0.03912,0.25024,0.49412,0.6,0.71484
2.792,-0.03423,0.24829,0.49412,0.58431,0.76562
2.8,-0.02934,0.25122,0.49412,0.51961,0.77539
2.808,-0.02445,0.261,0.4902,0.4902,0.76562
2.816,-0.01956,0.27761,0.48431,0.48431,0.79883
2.824,-0.012225,0.3001,0.5,0.47451,0.78906
2.832,-0.007335,0.32845,0.48039,0.48431,0.76953
2.84,0,0.36168,0.47451,0.4902,0.72461
2.848,0.00489,0.39296,0.46471,0.5098,0.6543
2.856,0.00978,0.42229,0.44902,0.52549,0.60547
2.864,0.017115,0.45357,0.4451,0.52941,0.57422
2.872,0.022005,0.48485,0.4451,0.52549,0.56445
2.88,0.026895,0.51417,0.43922,0.51961,0.55469
2.888,0.03423,0.54057,0.44902,0.51961,0.54492
2.896,0.03912,0.56403,0.43922,0.51961,0.54492
2.904,0.04401,0.58456,0.4451,0.51569,0.54492
2.912,0.0489,0.60313,0.43922,0.51961,0.53516
2.92,0.05379,0.61877,0.43922,0.51569,0.5293
2.928,0.056235,0.63148,0.43529,0.52549,0.54492
2.936,0.061125,0.64223,0.42549,0.6,0.57031
2.944,0.066015,0.652,0.41961,0.68627,0.60938
2.952,0.070905,0.65787,0.5451,0.72549,0.74414
2.96,0.075795,0.6608,0.76078,0.79608,0.76953
2.968,0.080685,0.66276,0.97059,0.8902,0.43945
2.976,0.085575,0.66373,0.98235,0.83137,-0.16992
2.984,0.08802,0.6608,0.43529,0.7902,-0.46484
2.992,0.09291,0.65591,0.094118,0.80588,-0.36914
3,0.10024,0.64907,0.033333,0.61569,-0.26367
3.008,0.10513,0.6393,0.068627,0.37059,-0.11523
3.016,0.11247,0.62757,0.16863,0.2451,0.17578
3.024,0.11736,0.61388,0.2902,0.26863,0.46094
3.032,0.12225,0.6002,0.38039,0.37059,0.61914
3.04,0.12714,0.58456,0.4098,0.41569,0.66016
3.048,0.12958,0.56989,0.42549,0.43529,0.67969
3.056,0.13447,0.55718,0.43529,0.43922,0.68945
3.064,0.13447,0.54643,0.43922,0.43922,0.68945
3.072,0.13447,0.5347,0.4451,0.43529,0.69531
3.08,0.13203,0.52297,0.44902,0.42941,0.69922
3.088,0.12958,0.5132,0.44902,0.42941,0.69922
3.096,0.12714,0.50244,0.44902,0.42549,0.70508
3.104,0.12225,0.49267,0.44902,0.41961,0.71484
3.112,0.11736,0.48387,0.4549,0.41961,0.7207
3.12,0.11491,0.47507,0.4549,0.41569,0.7207
3.128,0.10758,0.4653,0.44902,0.41569,0.73438
3.136,0.10269,0.45552,0.44902,0.41569,0.74023
3.144,0.0978,0.44575,0.4451,0.4098,0.75
3.152,0.090465,0.43597,0.44902,0.40392,0.76562
3.16,0.08313,0.42913,0.44902,0.3902,0.7793
3.168,0.075795,0.42229,0.44902,0.38431,0.80469
3.176,0.06846,0.41447,0.46078,0.36471,0.84375
3.184,0.061125,0.40567,0.47451,0.3549,0.87891
3.192,0.056235,0.39589,0.5,0.3451,0.93555
3.2,0.0489,0.3871,0.52549,0.33529,0.98438
3.208,0.04401,0.37732,0.5451,0.32353,1.0137
3.216,0.036675,0.36852,0.57059,0.31961,1.0449
3.224,0.031785,0.35973,0.58431,0.31961,1.0645
3.232,0.026895,0.35093,0.5902,0.33922,1.0547
3.24,0.022005,0.34213,0.5902,0.35882,1.0293
3.248,0.01956,0.33431,0.58431,0.38431,0.98047
3.256,0.01467,0.32649,0.56471,0.41961,0.91406
3.264,0.012225,0.31965,0.55098,0.4549,0.84961
3.272,0.00978,0.31476,0.52941,0.48039,0.78906
3.28,0.007335,0.3089,0.51569,0.5,0.73438
3.288,0.00489,0.30303,0.5,0.51569,0.69922
3.296,0.002445,0.29619,0.5,0.52941,0.68555
3.304,0.002445,0.28837,0.5,0.5451,0.67969
3.312,0.002445,0.28055,0.5098,0.57059,0.68945
3.32,0.002445,0.2737,0.50588,0.6,0.70508
3.328,0.002445,0.26784,0.5098,0.59608,0.70898
3.336,0.002445,0.26393,0.51569,0.58431,0.71484
3.344,0.002445,0.26491,0.50588,0.55098,0.75
3.352,0.00489,0.27175,0.50588,0.49412,0.76562
3.36,0.007335,0.28446,0.5,0.47059,0.77539
3.368,0.00978,0.30108,0.5,0.46471,0.7793
3.376,0.012225,0.32258,0.50588,0.46078,0.76953
3.384,0.017115,0.34995,0.5,0.46078,0.74414
3.392,0.01956,0.38221,0.48431,0.48039,0.69922
3.4,0.02445,0.41642,0.47059,0.50588,0.64062
3.408,0.026895,0.45064,0.4549,0.5098,0.58398
3.416,0.031785,0.48387,0.4549,0.51569,0.56055
3.424,0.03423,0.51515,0.44902,0.5098,0.54492
3.432,0.03912,0.54252,0.44902,0.51569,0.53906
3.44,0.04401,0.56794,0.44902,0.5098,0.53906
3.448,0.046455,0.59042,0.44902,0.51569,0.5293
3.456,0.051345,0.60997,0.44902,0.51961,0.51953
3.464,0.056235,0.62757,0.4549,0.5098,0.51953
3.472,0.05868,0.64027,0.44902,0.5098,0.51953
3.48,0.06357,0.65005,0.4451,0.52549,0.52539
3.488,0.066015,0.65982,0.42549,0.61569,0.55469
3.496,0.070905,0.66862,0.46078,0.68627,0.62891
3.504,0.07335,0.67644,0.6098,0.73137,0.75
3.512,0.07824,0.68133,0.83529,0.83137,0.76562
3.52,0.080685,0.68426,1.0275,0.8902,0.31445
3.528,0.085575,0.68524,0.84118,0.8,-0.25391
3.536,0.090465,0.68328,0.3451,0.76078,-0.43945
3.544,0.0978,0.67742,0.058824,0.71569,-0.34961
3.552,0.10269,0.6696,0.033333,0.4902,-0.28906
3.56,0.11002,0.65982,0.084314,0.26471,-0.10352
3.568,0.11491,0.64809,0.20392,0.2098,0.21484
3.576,0.12225,0.63636,0.32353,0.28431,0.48047
3.584,0.12714,0.62366,0.4,0.3902,0.60547
3.592,0.13203,0.61095,0.42549,0.41569,0.63477
3.6,0.13692,0.59726,0.43922,0.42941,0.66016
3.608,0.13936,0.5826,0.4451,0.43529,0.66406
3.616,0.14181,0.56989,0.4549,0.43529,0.67578
3.624,0.14425,0.55718,0.44902,0.43529,0.67969
3.632,0.1467,0.54545,0.4549,0.42941,0.68555
3.64,0.14914,0.5347,0.4549,0.42941,0.68555
3.648,0.14914,0.52395,0.46078,0.42549,0.69531
3.656,0.14914,0.5132,0.46078,0.42549,0.68945
3.664,0.14914,0.50342,0.46471,0.41961,0.70508
3.672,0.1467,0.49462,0.46471,0.41569,0.70508
3.68,0.1467,0.48485,0.46471,0.4098,0.71484
3.688,0.14425,0.47703,0.46078,0.4098,0.72461
3.696,0.14181,0.46921,0.46078,0.4,0.73047
3.704,0.13936,0.46041,0.46471,0.39412,0.74023
3.712,0.13692,0.45161,0.46078,0.3902,0.75391
3.72,0.13447,0.44184,0.47451,0.38431,0.7793
3.728,0.13447,0.43206,0.47059,0.38039,0.82031
3.736,0.13203,0.42229,0.49412,0.36471,0.85938
3.744,0.12958,0.41251,0.51569,0.36471,0.9043
3.752,0.12714,0.40176,0.52941,0.3549,0.94531
3.76,0.12714,0.39296,0.5549,0.34902,0.97461
3.768,0.12714,0.38319,0.57059,0.3549,0.99414
