Time [s], RESP, PLETH, I, MCL, II
0.768,0,0.50342,0.74414,0.3549,0.11373
0.776,0,0.49756,0.74414,0.34902,0.1098
0.784,0,0.49267,0.75,0.3549,0.1098
0.792,0,0.4868,0.75,0.3549,0.1098
0.8,0,0.48094,0.75391,0.3549,0.1098
0.808,0,0.47507,0.75391,0.34902,0.11373
0.816,0,0.46823,0.75977,0.34902,0.1098
0.824,0,0.46334,0.76562,0.34902,0.11961
0.832,0,0.45846,0.76562,0.34902,0.1098
0.84,0,0.45357,0.77539,0.34902,0.10392
0.848,0,0.44868,0.7793,0.34902,0.11373
0.856,0,0.44477,0.78516,0.34902,0.11373
0.864,0,0.43988,0.78516,0.34902,0.12353
0.872,0,0.43597,0.79883,0.3451,0.13333
0.88,0,0.43304,0.79883,0.3451,0.12941
0.888,0,0.42913,0.81055,0.33922,0.13333
0.896,0,0.42424,0.81055,0.33922,0.12941
0.904,0,0.41838,0.81445,0.33922,0.13333
0.912,0,0.41349,0.81445,0.3451,0.13922
0.92,0,0.4086,0.81445,0.33922,0.13333
0.928,0,0.40371,0.81055,0.33922,0.12353
0.936,0,0.3998,0.81055,0.33922,0.11961
0.944,0,0.39785,0.81055,0.33922,0.12941
0.952,0,0.39492,0.80469,0.33922,0.11961
0.96,0,0.39394,0.79492,0.33529,0.10392
0.968,0,0.39198,0.79492,0.33529,0.10392
0.976,0,0.39003,0.78906,0.32941,0.10392
0.984,0,0.38905,0.78906,0.31961,0.10392
0.992,0,0.38807,0.78516,0.31373,0.1098
1,0,0.38612,0.7793,0.31373,0.094118
1.008,0,0.38514,0.78516,0.31373,0.10392
1.016,0,0.38416,0.79883,0.31373,0.084314
1.024,0,0.38319,0.79492,0.3098,0.078431
1.032,0,0.38221,0.79883,0.29412,0.094118
1.04,0,0.38123,0.83398,0.2902,0.10392
1.048,0,0.38025,0.85547,0.3,0.1098
1.056,0,0.37928,0.83008,0.3098,0.11961
1.064,0,0.3783,0.79492,0.31373,0.12353
1.072,0,0.3783,0.77539,0.31373,0.10392
1.08,0,0.3783,0.75977,0.31373,0.098039
1.088,0,0.37928,0.75977,0.31961,0.10392
1.096,0,0.37928,0.76562,0.31373,0.12941
1.104,0,0.37928,0.76562,0.31373,0.13333
1.112,0,0.38025,0.75977,0.31373,0.12941
1.12,0,0.38319,0.75977,0.31373,0.12941
1.128,0,0.3871,0.75977,0.31373,0.12353
1.136,0,0.39198,0.75977,0.31961,0.12353
1.144,0,0.39883,0.75977,0.31961,0.12941
1.152,0,0.40665,0.75977,0.31961,0.12941
1.16,0,0.41838,0.75977,0.32353,0.12941
1.168,0,0.43402,0.75,0.32941,0.12941
1.176,0,0.44868,0.70898,0.3549,0.12353
1.184,0,0.46432,0.875,0.31961,0.11373
1.192,0,0.48192,1.3047,0.12941,0.3451
1.2,0,0.50244,1.5,-0.037255,0.38431
1.208,0,0.52395,1.0547,-0.041176,-0.072549
1.216,0,0.5435,0.69922,0.10392,-0.11765
1.224,0,0.56403,0.74023,0.22941,0.043137
1.232,0,0.58456,0.75391,0.31373,0.068627
1.24,0,0.60313,0.73438,0.33922,0.078431
1.248,0,0.6217,0.72461,0.3451,0.088235
1.256,0,0.63832,0.7207,0.3549,0.094118
1.264,0,0.65396,0.72461,0.35882,0.088235
1.272,0,0.66569,0.7207,0.35882,0.088235
1.28,0,0.67351,0.7207,0.35882,0.10392
1.288,0,0.68231,0.72461,0.35882,0.094118
1.296,0,0.68915,0.7207,0.35882,0.098039
1.304,0,0.69501,0.73047,0.35882,0.098039
1.312,0,0.6999,0.72461,0.37059,0.078431
1.32,0,0.70283,0.73438,0.35882,0.078431
1.328,0,0.70479,0.73047,0.3549,0.084314
1.336,0,0.70479,0.73438,0.3549,0.094118
1.344,0.01173,0.70381,0.73438,0.3549,0.10392
1.352,0.02346,0.70186,0.74023,0.34902,0.10392
1.36,0.035191,0.6999,0.73438,0.34902,0.1098
1.368,0.046921,0.69795,0.74414,0.3549,0.1098
1.376,0.059629,0.69404,0.75,0.3549,0.1098
1.384,0.072336,0.68915,0.75391,0.34902,0.1098
1.392,0.084066,0.68231,0.75977,0.3451,0.12353
1.4,0.095797,0.67449,0.76562,0.3451,0.11373
1.408,0.10655,0.66667,0.77539,0.3451,0.12353
1.416,0.1173,0.65787,0.7793,0.3451,0.12353
1.424,0.12414,0.64907,0.78516,0.34902,0.12941
1.432,0.13196,0.64027,0.78516,0.3451,0.12353
1.44,0.13685,0.63148,0.78516,0.3451,0.12353
1.448,0.14174,0.62268,0.78906,0.33922,0.12941
1.456,0.14272,0.61681,0.79492,0.33922,0.12353
1.464,0.1437,0.60997,0.78906,0.32941,0.11373
1.472,0.14272,0.60411,0.79883,0.32941,0.11961
1.48,0.14174,0.59922,0.79492,0.33529,0.11373
1.488,0.13978,0.59335,0.79492,0.32353,0.1098
1.496,0.13783,0.58749,0.79883,0.32941,0.10392
1.504,0.13587,0.58162,0.79492,0.32353,0.1098
1.512,0.1349,0.57674,0.78906,0.31961,0.1098
1.52,0.13392,0.57087,0.78906,0.31961,0.10392
1.528,0.13294,0.565,0.78516,0.31373,0.1098
1.536,0.13392,0.55914,0.79492,0.31373,0.11373
1.544,0.1349,0.55327,0.78906,0.31373,0.10392
1.552,0.13881,0.54643,0.7793,0.31373,0.11373
1.56,0.14174,0.53959,0.76953,0.3098,0.11373
1.568,0.14761,0.53079,0.76953,0.31373,0.11373
1.576,0.15347,0.52297,0.76562,0.31373,0.11961
1.584,0.16129,0.51711,0.75977,0.31961,0.10392
1.592,0.16911,0.51026,0.76562,0.31373,0.098039
1.6,0.17693,0.50244,0.75977,0.31373,0.088235
1.608,0.18573,0.49365,0.75977,0.31373,0.094118
1.616,0.1955,0.48583,0.75391,0.31373,0.084314
1.624,0.20626,0.47703,0.75977,0.31961,0.088235
1.632,0.21701,0.46921,0.75391,0.32353,0.094118
1.64,0.22874,0.46139,0.75,0.31961,0.084314
1.648,0.2434,0.45357,0.75391,0.31961,0.088235
1.656,0.25806,0.44575,0.75,0.31961,0.088235
1.664,0.27566,0.43891,0.75,0.31373,0.078431
1.672,0.29423,0.43304,0.75977,0.31373,0.098039
1.68,0.31672,0.42815,0.75391,0.31961,0.10392
1.688,0.34018,0.42326,0.75391,0.31373,0.094118
1.696,0.36852,0.41935,0.75391,0.31961,0.098039
1.704,0.39589,0.4174,0.74414,0.31373,0.084314
1.712,0.42913,0.41935,0.75391,0.32353,0.088235
1.72,0.46237,0.42522,0.75,0.32353,0.084314
1.728,0.49951,0.435,0.74414,0.31373,0.088235
1.736,0.53763,0.44673,0.75,0.31961,0.078431
1.744,0.57967,0.45943,0.74414,0.31961,0.084314
1.752,0.62072,0.47507,0.75391,0.31373,0.088235
1.76,0.66569,0.49071,0.74414,0.31373,0.078431
1.768,0.71163,0.50538,0.74414,0.31373,0.07451
1.776,0.75953,0.51906,0.75391,0.3098,0.078431
1.784,0.80743,0.53177,0.74414,0.31373,0.084314
1.792,0.8563,0.54448,0.75,0.31373,0.088235
1.8,0.90518,0.55621,0.75391,0.31373,0.07451
1.808,0.94428,0.56794,0.75,0.31373,0.062745
1.816,0.98436,0.57869,0.75391,0.31373,0.078431
1.824,0.99218,0.58749,0.74414,0.31373,0.062745
1.832,1,0.59433,0.75391,0.31373,0.078431
1.84,1,0.59922,0.75,0.31373,0.088235
1.848,1,0.60215,0.75977,0.31373,0.078431
1.856,1,0.60411,0.75,0.31373,0.068627
1.864,1,0.60508,0.75977,0.31373,0.084314
1.872,1,0.60411,0.75391,0.31373,0.078431
1.88,1,0.60117,0.75977,0.31373,0.07451
1.888,1,0.59824,0.75977,0.31961,0.078431
1.896,1,0.59531,0.75977,0.31373,0.094118
1.904,1,0.59042,0.76562,0.3098,0.10392
1.912,1,0.58358,0.75977,0.3098,0.11373
1.92,1,0.57478,0.76562,0.3098,0.10392
1.928,1,0.565,0.77539,0.31373,0.11961
1.936,1,0.55425,0.78516,0.3098,0.10392
1.944,1,0.54448,0.78516,0.30392,0.088235
1.952,1,0.53568,0.7793,0.30392,0.084314
1.96,1,0.52688,0.81055,0.29412,0.098039
1.968,1,0.51906,0.81445,0.29412,0.078431
1.976,1,0.51222,0.82031,0.30392,0.088235
1.984,1,0.5044,0.78516,0.3098,0.078431
1.992,1,0.4956,0.76562,0.31373,0.07451
2,1,0.48778,0.75977,0.31961,0.078431
2.008,1,0.47898,0.75977,0.32353,0.052941
2.016,1,0.47116,0.74414,0.31961,0.04902
2.024,1,0.46432,0.74414,0.33529,0.062745
2.032,1,0.45748,0.75,0.32941,0.07451
2.04,1,0.45064,0.75,0.32353,0.043137
2.048,1,0.44477,0.75,0.32941,0.052941
2.056,1,0.43793,0.75391,0.31961,0.062745
2.064,1,0.43304,0.75,0.32353,0.052941
2.072,1,0.42913,0.70898,0.3549,0.052941
2.08,1,0.42522,0.66406,0.38431,0.039216
2.088,1,0.41935,0.88477,0.33922,0.17451
2.096,1,0.40665,1.3242,0.11373,0.41569
2.104,1,0.38905,1.5,-0.056863,0.46078
2.112,1,0.37732,0.96484,-0.0019608,-0.0058823
2.12,1,0.36852,0.625,0.14902,-0.10588
2.128,1,0.36168,0.69922,0.26863,-0.021569
2.136,1,0.35582,0.73438,0.32941,0.029412
2.144,1,0.35093,0.73047,0.33922,0.052941
2.152,1,0.34702,0.7207,0.34902,0.052941
2.16,1,0.34213,0.7207,0.35882,0.052941
2.168,1,0.33724,0.72461,0.3549,0.062745
2.176,1,0.33333,0.72461,0.35882,0.068627
2.184,1,0.32942,0.73047,0.35882,0.07451
2.192,1,0.32551,0.73047,0.35882,0.052941
2.2,1,0.32258,0.73438,0.35882,0.052941
2.208,1,0.31965,0.73438,0.35882,0.052941
2.216,1,0.31867,0.73438,0.35882,0.052941
2.224,1,0.31672,0.73438,0.3549,0.052941
2.232,1,0.31378,0.73438,0.3549,0.068627
2.24,1,0.31183,0.74023,0.35882,0.088235
2.248,1,0.30987,0.75,0.3549,0.078431
2.256,1,0.3089,0.75977,0.34902,0.088235
2.264,1,0.30792,0.75977,0.3451,0.078431
2.272,1,0.30792,0.75977,0.33922,0.07451
2.28,1,0.3089,0.75977,0.3451,0.084314
2.288,1,0.3089,0.76953,0.33922,0.088235
2.296,1,0.30694,0.75977,0.33922,0.078431
2.304,1,0.30596,0.78516,0.33529,0.11961
2.312,1,0.30401,0.78516,0.33529,0.14314
2.32,1,0.30205,0.78906,0.33922,0.13333
2.328,1,0.3001,0.79492,0.33529,0.11961
2.336,1,0.29814,0.80469,0.31961,0.12353
2.344,1,0.29619,0.79492,0.32353,0.12941
2.352,1,0.29521,0.79883,0.32941,0.13333
2.36,1,0.29423,0.80469,0.31373,0.12941
2.368,1,0.29423,0.79883,0.31961,0.12941
2.376,1,0.29423,0.81055,0.31373,0.12353
2.384,1,0.29423,0.79883,0.31961,0.1098
2.392,1,0.29423,0.80469,0.31373,0.10392
2.4,1,0.29423,0.79492,0.31961,0.1098
2.408,1,0.29423,0.79883,0.3098,0.10392
2.416,1,0.29326,0.79492,0.31373,0.084314
2.424,1,0.2913,0.79883,0.30392,0.078431
2.432,1,0.28935,0.79492,0.3098,0.078431
2.44,1,0.28739,0.80469,0.3098,0.084314
2.448,1,0.28543,0.79492,0.31373,0.088235
2.456,1,0.28348,0.80469,0.30392,0.10392
2.464,1,0.2825,0.80469,0.30392,0.07451
2.472,1,0.28348,0.79883,0.3098,0.068627
2.48,1,0.28543,0.79492,0.31373,0.088235
2.488,1,0.28739,0.79883,0.31373,0.084314
2.496,1,0.28837,0.78516,0.31373,0.084314
2.504,1,0.28935,0.78516,0.32353,0.078431
2.512,1,0.28837,0.76953,0.32941,0.078431
2.52,1,0.28641,0.7793,0.31961,0.084314
2.528,1,0.28446,0.76953,0.32941,0.068627
2.536,1,0.2825,0.76953,0.32353,0.078431
2.544,1,0.28055,0.75977,0.33529,0.078431
2.552,1,0.27859,0.76562,0.32941,0.094118
2.56,1,0.27761,0.75977,0.32353,0.098039
2.568,1,0.27859,0.77539,0.32941,0.088235
2.576,1,0.28152,0.76953,0.33529,0.10392
2.584,1,0.28348,0.75977,0.33922,0.078431
2.592,1,0.2913,0.76562,0.32353,0.088235
2.6,1,0.3001,0.77539,0.33922,0.12353
2.608,1,0.3089,0.77539,0.33529,0.098039
2.616,1,0.32258,0.76562,0.32941,0.088235
2.624,1,0.34018,0.77539,0.32353,0.10392
2.632,1,0.3607,0.76562,0.33529,0.1098
2.64,1,0.38319,0.76953,0.33529,0.12353
2.648,1,0.40762,0.76562,0.33922,0.1098
2.656,1,0.43206,0.75977,0.32941,0.11961
2.664,1,0.45552,0.76953,0.32941,0.12353
2.672,1,0.47507,0.77539,0.32941,0.12941
2.68,1,0.49462,0.76562,0.32353,0.13922
2.688,1,0.51417,0.76953,0.32941,0.13333
2.696,1,0.53372,0.7793,0.32941,0.13922
2.704,1,0.55327,0.78516,0.32941,0.11961
2.712,1,0.57087,0.7793,0.31961,0.1098
2.72,1,0.58847,0.78516,0.31961,0.12353
2.728,1,0.60411,0.79492,0.31373,0.10392
2.736,1,0.61877,0.80469,0.31373,0.088235
2.744,1,0.6305,0.81055,0.31373,0.088235
2.752,1,0.63832,0.79492,0.31961,0.098039
2.76,1,0.64418,0.76562,0.32353,0.078431
2.768,1,0.64712,0.75977,0.32941,0.068627
2.776,1,0.64907,0.75977,0.32941,0.058824
2.784,1,0.65005,0.75391,0.33922,0.052941
2.792,1,0.65103,0.75,0.33922,0.052941
2.8,1,0.65103,0.75391,0.33922,0.062745
2.808,1,0.64907,0.75391,0.3451,0.07451
2.816,1,0.64321,0.75391,0.33922,0.07451
2.824,1,0.63636,0.75391,0.3451,0.078431
2.832,1,0.63148,0.75,0.3451,0.084314
2.84,1,0.62463,0.75,0.33922,0.088235
2.848,1,0.61584,0.72461,0.35882,0.084314
2.856,1,0.60704,0.66992,0.39412,0.07451
2.864,1,0.59824,0.79492,0.4,0.14314
2.872,1,0.58944,1.2188,0.18824,0.39412
2.88,1,0.58162,1.4941,-0.0058823,0.49412
2.888,1,0.5738,1.1191,-0.037255,0.11961
2.896,1,0.56598,0.64453,0.14902,-0.076471
2.904,1,0.55816,0.68555,0.26863,-0.0019608
2.912,1,0.54936,0.73438,0.33922,0.062745
2.92,1,0.54057,0.74023,0.35882,0.078431
2.928,1,0.53177,0.73438,0.36471,0.094118
2.936,1,0.52395,0.73438,0.36471,0.098039
2.944,1,0.51613,0.73438,0.35882,0.094118
2.952,1,0.50635,0.73438,0.36471,0.094118
2.96,1,0.49756,0.74023,0.35882,0.10392
2.968,1,0.49267,0.74414,0.36471,0.10392
2.976,1,0.4868,0.74023,0.35882,0.10392
2.984,1,0.47996,0.75,0.35882,0.10392
2.992,1,0.47312,0.75,0.35882,0.10392
3,1,0.46628,0.75,0.35882,0.10392
3.008,1,0.45943,0.75391,0.3549,0.10392
3.016,1,0.45357,0.75977,0.3451,0.1098
3.024,1,0.44868,0.75977,0.33922,0.11373
3.032,1,0.44379,0.76562,0.33922,0.10392
3.04,1,0.44086,0.77539,0.33922,0.1098
3.048,1,0.43695,0.77539,0.33922,0.11373
3.056,1,0.43304,0.7793,0.33922,0.12353
3.064,1,0.42913,0.78516,0.33529,0.12941
3.072,1,0.42424,0.78906,0.32941,0.12941
3.08,1,0.42033,0.79492,0.32353,0.13333
3.088,1,0.41544,0.79883,0.31961,0.13922
3.096,1,0.41056,0.80469,0.31373,0.14314
3.104,1,0.40665,0.81055,0.31373,0.14902
3.112,1,0.40274,0.81055,0.31373,0.14314
3.12,0.98436,0.39883,0.81445,0.31373,0.14902
3.128,0.96774,0.39492,0.82031,0.3098,0.1549
3.136,0.95015,0.39198,0.82422,0.3098,0.14902
3.144,0.93255,0.38807,0.82031,0.3098,0.14902
3.152,0.91593,0.38514,0.82422,0.30392,0.1549
3.16,0.90029,0.38221,0.82031,0.3,0.13333
3.168,0.88465,0.38025,0.81055,0.30392,0.11961
3.176,0.86999,0.3783,0.81055,0.3098,0.11961
3.184,0.8563,0.37537,0.80469,0.30392,0.12353
3.192,0.84164,0.37243,0.79492,0.3098,0.11373
3.2,0.82796,0.3695,0.79492,0.30392,0.10392
3.208,0.81427,0.36852,0.79492,0.3098,0.10392
3.216,0.79765,0.36755,0.78906,0.30392,0.10392
3.224,0.78201,0.36755,0.78906,0.3098,0.094118
3.232,0.76344,0.36755,0.78906,0.3098,0.084314
3.24,0.74487,0.36755,0.78516,0.31373,0.088235
3.248,0.72532,0.36755,0.78516,0.3098,0.094118
3.256,0.70577,0.36657,0.78516,0.3098,0.098039
3.264,0.68524,0.36461,0.7793,0.31373,0.098039
3.272,0.66569,0.36461,0.77539,0.31373,0.10392
3.28,0.64516,0.36461,0.76562,0.31373,0.10392
3.288,0.62463,0.36266,0.76562,0.31373,0.088235
3.296,0.60411,0.3607,0.76562,0.31373,0.084314
3.304,0.58358,0.35875,0.76562,0.31373,0.088235
3.312,0.565,0.35582,0.75977,0.31373,0.098039
3.32,0.54545,0.35191,0.75977,0.31373,0.1098
3.328,0.52688,0.348,0.75977,0.32353,0.11373
3.336,0.50929,0.34506,0.76562,0.31373,0.1098
3.344,0.49169,0.34409,0.75977,0.31961,0.1098
3.352,0.47507,0.34311,0.76562,0.32353,0.11373
3.36,0.45943,0.34506,0.76953,0.31961,0.10392
3.368,0.44282,0.34702,0.76562,0.33529,0.11961
3.376,0.42717,0.35288,0.75977,0.32353,0.12941
3.384,0.41153,0.36266,0.77539,0.31961,0.12353
3.392,0.39589,0.37146,0.7793,0.32353,0.13333
3.4,0.37928,0.38416,0.77539,0.31961,0.12941
3.408,0.36168,0.40469,0.77539,0.32353,0.13333
3.416,0.34311,0.42522,0.76953,0.32941,0.12353
3.424,0.32258,0.44086,0.76562,0.33922,0.12941
3.432,0.30205,0.45846,0.77539,0.32353,0.12353
3.44,0.27957,0.48192,0.7793,0.31373,0.13333
3.448,0.25709,0.50244,0.7793,0.31373,0.14902
3.456,0.23265,0.52004,0.78516,0.31373,0.16863
3.464,0.20821,0.5347,0.78516,0.31373,0.17451
3.472,0.18182,0.54643,0.78516,0.31373,0.17451
3.48,0.15445,0.55914,0.78906,0.31373,0.15882
3.488,0.12512,0.57185,0.78516,0.31373,0.12941
3.496,0.096774,0.58456,0.79492,0.31373,0.12353
3.504,0.066471,0.59629,0.81055,0.30392,0.12941
3.512,0.036168,0.60606,0.81055,0.31373,0.13333
3.52,0.017595,0.61486,0.83008,0.30392,0.12941
3.528,0,0.62268,0.83008,0.29412,0.13333
3.536,0,0.62952,0.80469,0.30392,0.13922
3.544,0,0.63441,0.78516,0.31373,0.12941
3.552,0,0.63832,0.77539,0.31373,0.12353
3.56,0,0.64027,0.76953,0.31961,0.11373
3.568,0,0.6393,0.76953,0.31373,0.1098
3.576,0,0.63832,0.75977,0.31373,0.11373
3.584,0,0.63539,0.76562,0.31373,0.10392
3.592,0,0.63148,0.76562,0.3098,0.1098
3.6,0,0.62659,0.77539,0.31373,0.094118
3.608,0,0.61975,0.76953,0.30392,0.10392
3.616,0,0.61193,0.76953,0.31961,0.11373
3.624,0,0.60313,0.76562,0.33922,0.12353
3.632,0,0.59433,0.71484,0.36471,0.11373
3.64,0,0.58553,0.68945,0.38431,0.12941
3.648,0,0.57674,1.0098,0.3098,0.29412
3.656,0,0.57087,1.4492,0.078431,0.50588
3.664,0,0.565,1.5,-0.037255,0.26471
3.672,0,0.55718,0.91406,0.017647,-0.086275
3.68,0,0.54839,0.73047,0.1549,-0.10588
3.688,0,0.53959,0.75391,0.2549,0.043137
3.696,0,0.52884,0.75,0.3,0.084314
3.704,0,0.51808,0.73438,0.33922,0.10392
3.712,0,0.50733,0.73438,0.35882,0.1098
3.72,0,0.49853,0.73047,0.35882,0.10392
3.728,0,0.49071,0.73047,0.37451,0.11373
3.736,0,0.48289,0.73438,0.38039,0.10392
3.744,0,0.4741,0.74023,0.38039,0.098039
3.752,0,0.46628,0.73438,0.37059,0.094118
3.76,0,0.45943,0.74023,0.36471,0.11961
3.768,0,0.45357,0.74414,0.36471,0.11373
3.776,0,0.4477,0.74023,0.36471,0.10392
3.784,0,0.44184,0.74414,0.35882,0.10392
3.792,0,0.43793,0.75,0.33922,0.12353
3.8,0,0.43402,0.74414,0.33922,0.11373
3.808,0,0.42913,0.75391,0.34902,0.11961
3.816,0,0.42424,0.75,0.35882,0.12353
3.824,0,0.42033,0.76953,0.3549,0.12941
3.832,0,0.41544,0.77539,0.35882,0.1098
3.84,0,0.40958,0.7793,0.36471,0.10392
3.848,0,0.40371,0.76953,0.34902,0.13333
3.856,0,0.3998,0.7793,0.33922,0.12941
3.864,0,0.39687,0.76953,0.31961,0.12941
3.872,0,0.39198,0.78516,0.33922,0.12941
3.88,0,0.38612,0.78516,0.34902,0.14902
3.888,0,0.38123,0.80469,0.3451,0.15882
3.896,0,0.37634,0.79883,0.34902,0.15882
3.904,0,0.37243,0.79883,0.3451,0.16471
3.912,0,0.37048,0.81055,0.33922,0.14902
3.92,0,0.36657,0.81055,0.3451,0.1549
3.928,0,0.36364,0.81055,0.31961,0.14902
3.936,0,0.36168,0.81445,0.32941,0.1549
3.944,0,0.35777,0.81055,0.33922,0.13922
3.952,0,0.35582,0.79492,0.33529,0.13333
3.96,0,0.35386,0.78906,0.33922,0.13333
3.968,0,0.35386,0.79883,0.33529,0.11961
3.976,0,0.35288,0.78516,0.31373,0.11373
3.984,0,0.35288,0.78516,0.31961,0.10392
3.992,0,0.35288,0.77539,0.32941,0.12941
4,0,0.35191,0.76953,0.31373,0.10392
4.008,0,0.35093,0.78516,0.32353,0.1098
4.016,0,0.34897,0.7793,0.33922,0.10392
4.024,0,0.34702,0.78516,0.33529,0.11961
4.032,0,0.34506,0.78516,0.32941,0.11961
4.04,0,0.34311,0.78516,0.32353,0.10392
4.048,0,0.34213,0.77539,0.32353,0.098039
4.056,0,0.34115,0.76562,0.32941,0.11373
4.064,0,0.34115,0.75977,0.32353,0.10392
4.072,0,0.34018,0.75977,0.31373,0.098039
4.08,0,0.34018,0.76562,0.3,0.078431
4.088,0,0.3392,0.75977,0.32353,0.062745
4.096,0,0.33822,0.76953,0.31373,0.094118
4.104,0,0.33822,0.79883,0.30392,0.10392
4.112,0,0.33822,0.83008,0.30392,0.12353
4.12,0,0.3392,0.82031,0.31961,0.1098
4.128,0,0.34018,0.78516,0.32941,0.11373
4.136,0,0.35582,0.76562,0.33529,0.10392
4.144,0,0.3783,0.75977,0.31961,0.11961
4.152,0,0.39492,0.76562,0.32353,0.1098
