Time [s], RESP, ABP, PLETH, II, V, AVR, CVP
0.584,1,90.157,0.44868,0.4098,0.4098,0.50588,14.824
0.592,1,102.09,0.44868,0.41961,0.4098,0.50588,14.511
0.6,1,112.06,0.44868,0.43529,0.4,0.4902,14.276
0.608,1,119.69,0.44868,0.4451,0.38431,0.4902,14.003
0.616,1,124.97,0.44868,0.4451,0.38039,0.48039,13.807
0.624,1,127.9,0.44673,0.4549,0.38431,0.48039,13.69
0.632,1,128.1,0.44673,0.4451,0.3902,0.48039,13.651
0.64,1,126.34,0.44575,0.43922,0.3902,0.4902,13.572
0.648,1,123.01,0.44379,0.42549,0.39412,0.5,13.494
0.656,1,118.9,0.44379,0.41569,0.39412,0.50588,13.455
0.664,1,114.6,0.44379,0.4,0.39412,0.51569,13.338
0.672,1,110.69,0.44379,0.3902,0.3902,0.52549,13.338
0.68,1,107.56,0.44379,0.38039,0.38431,0.52941,13.338
0.688,1,104.82,0.44379,0.37451,0.38039,0.52941,13.494
0.696,1,102.67,0.44379,0.37451,0.37451,0.53529,13.885
0.704,1,101.11,0.44282,0.37451,0.37451,0.53529,14.394
0.712,1,100.13,0.44379,0.37059,0.37451,0.5451,15.059
0.72,1,99.544,0.44477,0.36471,0.37059,0.53922,15.88
0.728,1,98.957,0.44575,0.35882,0.36471,0.55098,16.623
0.736,1,98.37,0.44673,0.36471,0.36471,0.55098,17.249
0.744,1,97.979,0.44673,0.35882,0.37059,0.5549,17.757
0.752,1,97.588,0.44673,0.3549,0.36471,0.5549,18.149
0.76,1,97.001,0.44575,0.3549,0.37451,0.5549,18.383
0.768,1,96.415,0.44477,0.34902,0.38039,0.5549,18.501
0.776,0.99511,95.437,0.44282,0.3451,0.38039,0.56078,18.657
0.784,0.98925,94.655,0.44184,0.3451,0.37451,0.5549,18.774
0.792,0.96676,93.481,0.44282,0.3451,0.38039,0.5549,18.892
0.8,0.94428,92.308,0.44575,0.34902,0.38431,0.5549,19.087
0.808,0.92082,90.743,0.4477,0.3451,0.38431,0.56078,19.322
0.816,0.89834,89.179,0.44868,0.3451,0.3902,0.56078,19.518
0.824,0.87683,87.223,0.45259,0.33922,0.3902,0.56471,19.635
0.832,0.8563,84.876,0.45846,0.33922,0.3902,0.56078,19.635
0.84,0.83773,82.138,0.46921,0.33529,0.3902,0.56078,19.518
0.848,0.82014,79.205,0.48387,0.33922,0.3902,0.5549,19.322
0.856,0.80254,76.076,0.50244,0.3451,0.3902,0.56078,19.087
0.864,0.78592,72.947,0.52102,0.33922,0.39412,0.56471,18.774
0.872,0.76931,69.818,0.53959,0.34902,0.39412,0.5549,18.344
0.88,0.75367,67.08,0.56012,0.35882,0.4098,0.55098,17.757
0.888,0.73803,64.928,0.57869,0.37451,0.41961,0.5451,17.132
0.896,0.72336,63.168,0.59629,0.38039,0.40392,0.53529,16.584
0.904,0.70968,61.995,0.61193,0.3902,0.35882,0.52941,16.154
0.912,0.69599,61.213,0.62366,0.3902,0.33529,0.53529,15.763
0.92,0.68328,60.821,0.63148,0.39412,0.32353,0.52941,15.332
0.928,0.67155,60.626,0.63734,0.37451,0.32941,0.53529,14.941
0.936,0.6608,60.626,0.63832,0.37059,0.32353,0.52941,14.628
0.944,0.65005,60.821,0.63832,0.34902,0.33922,0.53922,14.315
0.952,0.64027,61.408,0.63832,0.34902,0.34902,0.5451,14.081
0.96,0.62952,62.19,0.63734,0.3451,0.37451,0.5549,13.807
0.968,0.61877,62.973,0.63734,0.33529,0.38431,0.57059,13.651
0.976,0.60899,63.95,0.63832,0.31961,0.38431,0.57451,13.455
0.984,0.59922,64.733,0.63832,0.31373,0.38039,0.57451,13.377
0.992,0.59042,65.515,0.63734,0.3098,0.38431,0.58039,13.259
1,0.58162,66.102,0.63539,0.3098,0.3902,0.58039,13.259
1.008,0.57283,66.493,0.63245,0.29412,0.43922,0.5902,13.259
1.016,0.56305,66.493,0.62952,0.2549,0.56078,0.60588,13.377
1.024,0.55327,66.493,0.62659,0.31961,0.56471,0.5549,13.69
1.032,0.5435,66.102,0.62268,0.6,0.19412,0.37451,14.198
1.04,0.53275,65.711,0.61877,0.84118,-0.32157,0.21961,14.902
1.048,0.52199,64.928,0.61486,0.98235,-0.50196,0.17451,15.841
1.056,0.51124,64.342,0.61095,0.74118,-0.50196,0.37451,16.701
1.064,0.49951,63.559,0.60802,0.47451,-0.18235,0.5451,17.405
1.072,0.48876,62.777,0.60313,0.37059,0.10392,0.58431,17.718
1.08,0.47801,61.799,0.59726,0.31961,0.3098,0.59608,17.718
1.088,0.46725,61.017,0.59238,0.29412,0.41569,0.6,17.562
1.096,0.45748,60.235,0.58847,0.28431,0.4549,0.6,17.405
1.104,0.4477,59.452,0.58456,0.27843,0.46471,0.6,17.249
1.112,0.43793,58.67,0.57967,0.27451,0.48039,0.6,17.249
1.12,0.42815,57.888,0.57283,0.26863,0.48039,0.6,17.327
1.128,0.4174,57.106,0.56598,0.27451,0.48039,0.6,17.405
1.136,0.40762,56.519,0.55816,0.27451,0.47451,0.6,17.523
1.144,0.39883,55.932,0.55132,0.27843,0.48039,0.6,17.562
1.152,0.39003,55.346,0.54448,0.27843,0.47059,0.59608,17.562
1.16,0.38221,54.954,0.53861,0.28431,0.47451,0.59608,17.64
1.168,0.37439,54.563,0.53177,0.28431,0.46078,0.59608,17.718
1.176,0.36657,54.172,0.52493,0.29412,0.46078,0.59608,17.836
1.184,0.35875,53.781,0.51808,0.30392,0.46078,0.58039,18.031
1.192,0.35093,53.585,0.51124,0.30392,0.46078,0.58431,18.266
1.2,0.34311,53.194,0.5044,0.30392,0.4549,0.57451,18.657
1.208,0.33529,52.803,0.49756,0.3098,0.44902,0.58039,19.126
1.216,0.32747,52.608,0.49169,0.31373,0.4549,0.57451,19.635
1.224,0.31965,52.216,0.48583,0.32353,0.4451,0.57451,19.909
1.232,0.31183,52.021,0.48192,0.32353,0.43922,0.57059,19.713
1.24,0.30596,51.825,0.47996,0.32353,0.43529,0.56471,19.087
1.248,0.29912,51.63,0.47898,0.32353,0.43529,0.56471,18.188
1.256,0.29326,51.239,0.47898,0.33922,0.42941,0.56471,17.249
1.264,0.28739,50.847,0.47898,0.3451,0.43529,0.5549,16.506
1.272,0.28152,50.652,0.47898,0.34902,0.42941,0.5549,15.997
1.28,0.27566,50.652,0.47898,0.34902,0.42941,0.5451,15.645
1.288,0.26979,51.63,0.47898,0.3549,0.41961,0.53922,15.372
1.296,0.26393,54.563,0.47898,0.36471,0.41961,0.52941,15.059
1.304,0.25806,60.626,0.47801,0.37451,0.4098,0.52549,14.707
1.312,0.25318,70.404,0.47507,0.38431,0.4098,0.51961,14.315
1.32,0.24829,82.334,0.47019,0.4,0.4,0.51569,13.963
1.328,0.24438,94.655,0.46432,0.4098,0.39412,0.50588,13.651
1.336,0.23949,105.61,0.45846,0.41961,0.3902,0.5,13.455
1.344,0.23558,114.6,0.45357,0.43529,0.38431,0.49412,13.338
1.352,0.23069,121.06,0.45064,0.4451,0.37451,0.48039,13.181
1.36,0.22581,125.16,0.44868,0.4451,0.37451,0.48039,13.142
1.368,0.22092,126.92,0.44673,0.4451,0.38039,0.48431,13.064
1.376,0.21603,126.14,0.44575,0.42941,0.3902,0.5,13.025
1.384,0.20919,123.6,0.44477,0.41961,0.39412,0.50588,13.025
1.392,0.20332,119.69,0.44477,0.4098,0.4,0.51569,13.064
1.4,0.19746,115.58,0.44477,0.4,0.3902,0.51961,13.142
1.408,0.19159,111.67,0.44477,0.3902,0.3902,0.52941,13.377
1.416,0.18573,108.15,0.44575,0.38431,0.38431,0.52941,13.69
1.424,0.17986,105.22,0.44673,0.37451,0.38431,0.53529,14.12
1.432,0.17204,102.67,0.44673,0.37451,0.38039,0.53922,14.707
1.44,0.1652,100.72,0.44575,0.37059,0.37451,0.5451,15.254
1.448,0.1564,99.153,0.44379,0.36471,0.37059,0.53922,15.88
1.456,0.14858,97.979,0.44086,0.36471,0.37451,0.5451,16.467
1.464,0.13978,97.197,0.43793,0.36471,0.37059,0.55098,16.936
1.472,0.13196,96.415,0.43597,0.3549,0.37059,0.5549,17.327
1.48,0.12414,96.024,0.43402,0.3549,0.37059,0.5549,17.718
1.488,0.11535,95.437,0.43109,0.3549,0.37059,0.5549,18.07
1.496,0.10655,95.046,0.42815,0.3549,0.38039,0.5549,18.462
1.504,0.097752,94.655,0.42424,0.34902,0.37451,0.5549,18.696
1.512,0.086999,94.263,0.42131,0.34902,0.38039,0.5549,18.814
1.52,0.077224,93.481,0.41838,0.34902,0.38039,0.55098,18.97
1.528,0.066471,92.894,0.41544,0.34902,0.38431,0.5549,19.009
1.536,0.056696,91.917,0.41544,0.3451,0.38039,0.55098,19.126
1.544,0.046921,90.548,0.41642,0.34902,0.38431,0.5549,19.322
1.552,0.037146,88.983,0.42033,0.34902,0.38039,0.55098,19.596
1.56,0.029326,87.223,0.42717,0.34902,0.38431,0.5549,19.635
1.568,0.021505,84.876,0.435,0.3549,0.38039,0.5451,19.635
1.576,0.014663,82.334,0.44575,0.34902,0.38431,0.5549,19.596
1.584,0.0087977,79.4,0.46041,0.34902,0.38039,0.55098,19.4
1.592,0.0039101,76.271,0.47801,0.34902,0.38431,0.5549,19.205
1.6,0,73.142,0.4956,0.3549,0.3902,0.53922,18.814
1.608,0,70.013,0.51613,0.36471,0.3902,0.53922,18.266
1.616,0,67.275,0.53861,0.38039,0.3902,0.52941,17.562
1.624,0,65.124,0.55816,0.39412,0.4098,0.52941,16.936
1.632,0,63.364,0.57576,0.4,0.41569,0.52549,16.389
1.64,0,62.19,0.59335,0.40392,0.36471,0.51961,15.841
1.648,0,61.408,0.60899,0.40392,0.33529,0.51569,15.372
1.656,0,60.821,0.62072,0.40392,0.32353,0.52549,14.902
1.664,0,60.43,0.62757,0.39412,0.32353,0.52549,14.433
1.672,0,60.43,0.63245,0.38431,0.32941,0.52549,14.081
1.68,0,60.43,0.63441,0.37451,0.33922,0.52549,13.768
1.688,0,60.821,0.63441,0.37059,0.34902,0.52941,13.494
1.696,0,61.408,0.63148,0.3549,0.37059,0.55098,13.259
1.704,0,61.995,0.62757,0.33922,0.38431,0.5549,13.142
1.712,0,62.777,0.62366,0.32353,0.3902,0.57059,13.025
1.72,0.0029325,63.559,0.62072,0.32353,0.3902,0.57451,12.947
1.728,0.0058651,64.342,0.61779,0.32353,0.3902,0.57451,12.907
1.736,0.0087977,64.733,0.61388,0.31961,0.38431,0.57451,12.907
1.744,0.012708,65.319,0.61095,0.30392,0.41569,0.57451,13.025
1.752,0.01564,65.515,0.60704,0.25882,0.53922,0.6,13.259
1.76,0.01955,65.515,0.60411,0.29412,0.56471,0.57059,13.572
1.768,0.024438,65.319,0.60117,0.53529,0.31373,0.41569,14.081
1.776,0.028348,64.928,0.59726,0.80588,-0.26667,0.23333,14.707
1.784,0.032258,64.537,0.59433,0.98235,-0.50196,0.1549,15.528
1.792,0.036168,63.95,0.5914,0.81569,-0.50196,0.3098,16.31
1.8,0.040078,63.168,0.58065,0.51569,-0.26667,0.51961,17.014
1.808,0.043988,62.582,0.56598,0.38431,0.043137,0.57451,17.405
1.816,0.046921,61.799,0.55621,0.32353,0.27843,0.58431,17.523
1.824,0.050831,61.017,0.54839,0.30392,0.4,0.5902,17.405
1.832,0.053763,60.039,0.54154,0.29412,0.4451,0.59608,17.249
1.84,0.057674,59.452,0.53372,0.27843,0.46471,0.5902,17.132
1.848,0.060606,58.67,0.5259,0.27843,0.47451,0.59608,17.132
1.856,0.062561,57.888,0.52004,0.27843,0.48039,0.6,17.21
1.864,0.064516,57.301,0.51417,0.27843,0.48039,0.6,17.327
1.872,0.067449,56.715,0.50831,0.27843,0.48039,0.6,17.405
1.88,0.068426,56.128,0.50244,0.2902,0.47451,0.59608,17.445
1.888,0.070381,55.737,0.49658,0.2902,0.46471,0.59608,17.562
1.896,0.072336,55.346,0.48974,0.2902,0.46078,0.5902,17.64
1.904,0.073314,54.759,0.48289,0.3,0.46078,0.5902,17.757
1.912,0.075269,54.368,0.47605,0.29412,0.46078,0.58431,17.953
1.92,0.076246,53.781,0.46921,0.3,0.46078,0.58431,18.149
1.928,0.077224,53.585,0.46237,0.30392,0.46078,0.58039,18.462
1.936,0.078201,53.194,0.4565,0.30392,0.4549,0.57451,18.814
1.944,0.079179,52.803,0.45161,0.30392,0.44902,0.58039,19.322
1.952,0.081134,52.608,0.4477,0.3098,0.44902,0.57451,19.713
1.96,0.082111,52.216,0.44575,0.3098,0.44902,0.57451,19.948
1.968,0.084066,52.021,0.44477,0.32353,0.4451,0.57059,19.83
1.976,0.085044,51.63,0.44379,0.32353,0.4451,0.56471,19.205
1.984,0.086999,51.239,0.44379,0.32353,0.43529,0.56078,18.344
1.992,0.087977,51.043,0.44379,0.32353,0.43922,0.56078,17.405
2,0.088954,50.652,0.44379,0.33922,0.42941,0.5549,16.584
2.008,0.090909,50.456,0.44379,0.3451,0.42941,0.5549,15.997
2.016,0.092864,50.261,0.44184,0.34902,0.43529,0.5549,15.567
2.024,0.094819,50.847,0.43793,0.3549,0.42941,0.55098,15.215
2.032,0.097752,53.39,0.43304,0.36471,0.42549,0.53922,14.902
2.04,0.099707,58.67,0.43011,0.37451,0.41961,0.53529,14.511
2.048,0.10264,67.666,0.42717,0.38431,0.41569,0.52549,14.12
2.056,0.10459,79.4,0.4262,0.4,0.4098,0.51569,13.69
2.064,0.10753,91.721,0.42522,0.40392,0.40392,0.50588,13.338
2.072,0.10948,102.87,0.42424,0.41961,0.4,0.5,13.025
2.08,0.11144,112.06,0.42326,0.42941,0.38431,0.48431,12.829
2.088,0.11339,119.1,0.42131,0.4451,0.38039,0.48039,12.712
2.096,0.11632,123.6,0.41935,0.4451,0.38039,0.48039,12.712
2.104,0.1173,125.75,0.41642,0.44902,0.38431,0.48431,12.712
2.112,0.11926,125.75,0.41349,0.43529,0.3902,0.49412,12.751
2.12,0.12023,123.6,0.41056,0.41961,0.4,0.5,12.829
2.128,0.12121,120.08,0.40762,0.4098,0.4,0.50588,12.907
2.136,0.12121,115.97,0.40567,0.4,0.39412,0.51569,13.064
2.144,0.12219,111.86,0.40371,0.39412,0.39412,0.52549,13.338
2.152,0.12121,108.34,0.40371,0.38431,0.3902,0.52549,13.651
2.16,0.12121,105.22,0.40371,0.37451,0.38431,0.52941,14.12
2.168,0.11926,102.67,0.40567,0.37451,0.38039,0.52941,14.628
2.176,0.11828,100.72,0.40665,0.37451,0.37451,0.52941,15.215
2.184,0.11535,99.153,0.40665,0.37451,0.37451,0.53529,15.763
2.192,0.11339,98.175,0.40567,0.37451,0.38039,0.5451,16.271
2.2,0.11144,97.393,0.40371,0.37059,0.37451,0.5451,16.78
2.208,0.10948,96.806,0.40078,0.35882,0.37451,0.5549,17.249
2.216,0.10655,96.415,0.39785,0.35882,0.37451,0.55098,17.757
2.224,0.10459,96.024,0.39492,0.3549,0.37451,0.5549,18.149
2.232,0.10166,95.632,0.39198,0.34902,0.38039,0.5549,18.383
2.24,0.098729,95.241,0.38905,0.34902,0.38039,0.5549,18.579
2.248,0.095797,94.85,0.38514,0.34902,0.38431,0.5549,18.657
2.256,0.092864,94.263,0.38319,0.34902,0.38431,0.5549,18.696
2.264,0.090909,93.481,0.38123,0.34902,0.38431,0.55098,18.774
2.272,0.088954,92.308,0.38025,0.34902,0.38039,0.55098,18.892
2.28,0.087977,90.939,0.38123,0.34902,0.38431,0.5451,19.087
2.288,0.086999,89.374,0.38319,0.3549,0.38039,0.55098,19.322
2.296,0.086022,87.419,0.3871,0.34902,0.38431,0.5549,19.439
2.304,0.085044,85.267,0.39394,0.34902,0.38039,0.55098,19.518
2.312,0.084066,82.725,0.40567,0.34902,0.38039,0.5549,19.439
2.32,0.083089,79.791,0.41935,0.34902,0.37451,0.5549,19.205
2.328,0.083089,76.467,0.43793,0.34902,0.38039,0.5549,18.892
2.336,0.082111,73.338,0.45943,0.3549,0.38039,0.55098,18.579
2.344,0.083089,70.209,0.48289,0.36471,0.3902,0.53922,18.07
2.352,0.083089,67.275,0.50635,0.38039,0.39412,0.52941,17.64
2.36,0.084066,64.928,0.52493,0.4,0.41569,0.52941,17.132
2.368,0.085044,62.973,0.53959,0.40392,0.40392,0.52549,16.623
2.376,0.086022,61.604,0.55327,0.4098,0.3549,0.51961,16.193
2.384,0.087977,60.821,0.56403,0.4098,0.32941,0.5098,15.684
2.392,0.089932,60.235,0.57185,0.4,0.32353,0.51961,15.137
2.4,0.091887,60.039,0.57674,0.3902,0.31961,0.51961,14.628
2.408,0.094819,59.844,0.58162,0.38039,0.32353,0.52549,14.198
2.416,0.097752,60.039,0.58456,0.36471,0.33529,0.52549,13.807
2.424,0.10068,60.43,0.58456,0.3549,0.3549,0.53922,13.494
2.432,0.10362,61.017,0.58358,0.34902,0.37059,0.5451,13.338
2.44,0.10655,61.799,0.58162,0.33529,0.38039,0.56078,13.142
2.448,0.11046,62.582,0.57869,0.32353,0.38431,0.57059,12.947
2.456,0.11339,63.559,0.57576,0.31961,0.38431,0.57451,12.829
2.464,0.1173,64.342,0.57478,0.31373,0.38039,0.57451,12.751
2.472,0.12121,64.928,0.5738,0.31961,0.38039,0.57451,12.829
2.48,0.12512,65.319,0.57185,0.3,0.41961,0.57451,12.947
2.488,0.12903,65.515,0.56891,0.2549,0.55098,0.6,13.181
2.496,0.13392,65.515,0.56696,0.30392,0.56078,0.55098,13.651
2.504,0.13783,65.319,0.56403,0.57059,0.24902,0.3902,14.198
2.512,0.14272,64.928,0.56012,0.83137,-0.33333,0.21373,14.941
2.52,0.14663,64.537,0.55621,0.98627,-0.50196,0.15882,15.763
2.528,0.15054,63.95,0.5523,0.77647,-0.50196,0.33529,16.506
2.536,0.15347,63.168,0.54839,0.4902,-0.22745,0.52941,17.014
2.544,0.15738,62.582,0.54545,0.38039,0.07451,0.57451,17.249
2.552,0.16031,61.799,0.54154,0.32353,0.3,0.58431,17.327
2.56,0.16325,61.017,0.53861,0.30392,0.41569,0.5902,17.21
2.568,0.1652,60.235,0.53568,0.29412,0.4549,0.58431,17.093
2.576,0.16716,59.648,0.53275,0.28431,0.47451,0.5902,17.014
2.584,0.16911,58.866,0.52884,0.28431,0.48039,0.5902,17.093
2.592,0.17204,58.279,0.52297,0.27843,0.48431,0.59608,17.21
2.6,0.17302,57.497,0.51808,0.27843,0.48039,0.5902,17.249
2.608,0.17498,56.91,0.51222,0.28431,0.48039,0.58431,17.405
2.616,0.17595,56.323,0.50538,0.2902,0.48039,0.58039,17.445
2.624,0.17595,55.932,0.49853,0.2902,0.48039,0.58431,17.562
2.632,0.17595,55.346,0.49071,0.29412,0.48039,0.57451,17.718
2.64,0.17498,54.954,0.48289,0.29412,0.47451,0.58039,17.875
2.648,0.17498,54.563,0.47507,0.3,0.47451,0.57451,18.031
2.656,0.174,53.977,0.46921,0.3,0.46471,0.57451,18.266
2.664,0.174,53.781,0.46237,0.3,0.47059,0.57059,18.579
2.672,0.17302,53.39,0.45552,0.3098,0.46471,0.57059,18.97
2.68,0.17302,52.999,0.44966,0.3098,0.46078,0.57451,19.4
2.688,0.17204,52.608,0.44282,0.31373,0.46078,0.57059,19.752
2.696,0.17204,52.412,0.43695,0.31961,0.4549,0.57451,19.948
2.704,0.17302,52.216,0.43206,0.32353,0.44902,0.56471,19.752
2.712,0.17302,51.825,0.42815,0.32941,0.4451,0.5549,19.126
2.72,0.174,51.63,0.4262,0.33529,0.4451,0.5549,18.188
2.728,0.17595,51.239,0.42522,0.33529,0.4451,0.5549,17.327
2.736,0.17693,50.847,0.42522,0.34902,0.43529,0.55098,16.506
2.744,0.17889,50.652,0.42424,0.34902,0.43922,0.5451,15.958
2.752,0.17986,50.652,0.42326,0.34902,0.43529,0.53922,15.528
2.76,0.18182,51.434,0.42424,0.35882,0.43922,0.52941,15.215
2.768,0.1828,54.172,0.42424,0.37451,0.42549,0.52549,14.902
2.776,0.18573,60.039,0.42424,0.38039,0.42549,0.51961,14.628
2.784,0.18866,69.231,0.42424,0.39412,0.41569,0.5098,14.198
2.792,0.19257,80.769,0.42424,0.4,0.4098,0.50588,13.69
2.8,0.19648,92.894,0.42424,0.41961,0.39412,0.49412,13.181
2.808,0.20039,103.65,0.42229,0.42549,0.3902,0.4902,12.829
2.816,0.2043,112.45,0.42131,0.43922,0.38039,0.48039,12.595
2.824,0.20723,118.9,0.42131,0.4451,0.37451,0.48039,12.516
2.832,0.21114,123.4,0.42131,0.4549,0.37451,0.48039,12.438
2.84,0.21408,125.36,0.42229,0.4451,0.38039,0.48431,12.516
2.848,0.21701,124.97,0.42326,0.43922,0.3902,0.48431,12.595
2.856,0.21896,123.01,0.42424,0.42941,0.3902,0.49412,12.712
2.864,0.22092,119.69,0.42326,0.41961,0.38431,0.50588,12.829
2.872,0.22092,115.78,0.42229,0.4098,0.38431,0.51569,13.025
2.88,0.2219,111.67,0.42131,0.4,0.38431,0.51569,13.259
2.888,0.22092,107.95,0.41935,0.4,0.37451,0.52549,13.572
2.896,0.22092,104.82,0.4174,0.4,0.37059,0.52941,14.003
2.904,0.21896,102.28,0.41642,0.39412,0.36471,0.52549,14.589
2.912,0.21799,100.33,0.41544,0.38431,0.36471,0.52941,15.215
2.92,0.21603,98.761,0.41447,0.38431,0.36471,0.52941,15.841
2.928,0.21408,97.588,0.41349,0.38431,0.36471,0.52941,16.389
2.936,0.21114,96.806,0.41251,0.38039,0.36471,0.52941,16.936
2.944,0.20821,96.219,0.40958,0.38039,0.36471,0.52941,17.445
2.952,0.2043,96.024,0.40762,0.38039,0.36471,0.53529,17.953
2.96,0.20039,95.632,0.40469,0.37451,0.36471,0.53922,18.344
2.968,0.19648,95.437,0.40274,0.37451,0.37059,0.52941,18.579
2.976,0.19159,95.046,0.40078,0.37451,0.38431,0.53529,18.696
2.984,0.18768,94.655,0.39785,0.37451,0.38039,0.52941,18.774
2.992,0.1828,93.872,0.39589,0.37451,0.3902,0.52941,18.774
3,0.17889,93.09,0.39589,0.37059,0.3902,0.52941,18.892
3.008,0.174,91.917,0.39687,0.35882,0.39412,0.53922,19.087
3.016,0.17009,90.548,0.39883,0.35882,0.3902,0.53529,19.322
3.024,0.16618,88.983,0.40176,0.35882,0.3902,0.53922,19.596
3.032,0.16227,87.027,0.40567,0.35882,0.3902,0.53529,19.713
3.04,0.15934,84.876,0.41153,0.35882,0.3902,0.53922,19.713
3.048,0.15543,82.334,0.41935,0.3549,0.3902,0.5451,19.635
3.056,0.15249,79.596,0.42913,0.36471,0.3902,0.5451,19.439
3.064,0.14956,76.662,0.44184,0.36471,0.3902,0.53922,19.283
