Time [s], PLETH, RESP, II, V, AVR, CVP
1.672,1.8641,0.57049,0.66504,0.26491,0.29004,11.058
1.68,1.8514,0.56975,0.66992,0.26002,0.28027,11.185
1.688,1.8397,0.56804,0.68506,0.28495,0.30029,11.498
1.696,1.8289,0.56633,0.64014,0.28983,0.35986,11.937
1.704,1.8192,0.56389,0.63477,0.24976,0.35986,12.25
1.712,1.8104,0.56145,0.61475,0.23998,0.37012,12.377
1.72,1.8016,0.55925,0.60498,0.26491,0.38525,12.436
1.728,1.7928,0.55729,0.63477,0.27468,0.35986,12.494
1.736,1.782,0.55534,0.62012,0.26002,0.37012,12.69
1.744,1.7674,0.55363,0.66016,0.25464,0.31006,13.002
1.752,1.7498,0.55216,0.64014,0.25464,0.33008,13.305
1.76,1.7322,0.5507,0.62012,0.24487,0.33984,13.618
1.768,1.7214,0.54947,0.625,0.26979,0.3501,13.745
1.776,1.7136,0.54825,0.66504,0.27468,0.30029,13.745
1.784,1.7048,0.54825,0.64502,0.26491,0.31494,13.745
1.792,1.696,0.54825,0.65479,0.28495,0.31006,13.686
1.8,1.6901,0.54899,0.64502,0.30987,0.36523,13.618
1.808,1.6843,0.54996,0.62012,0.31476,0.39502,13.432
1.816,1.6774,0.55045,0.64502,0.29472,0.3501,13.188
1.824,1.6696,0.55118,0.66504,0.28983,0.3252,12.934
1.832,1.6618,0.55192,0.65479,0.28983,0.31006,12.807
1.84,1.653,0.55265,0.75488,0.32502,0.20996,12.875
1.848,1.6442,0.55509,0.79492,0.3651,0.18018,13.061
1.856,1.6403,0.55754,0.63477,0.28006,0.35986,13.373
1.864,1.6442,0.5612,0.61475,0.22483,0.35498,13.559
1.872,1.651,0.56511,0.63477,0.21994,0.33008,13.559
1.88,1.6628,0.56902,0.6499,0.26979,0.34521,13.5
1.888,1.6882,0.57317,0.64014,0.28495,0.37012,13.373
1.896,1.7273,0.57757,0.62012,0.26491,0.38525,13.246
1.904,1.7771,0.58197,0.62988,0.25464,0.33984,13.188
1.912,1.8368,0.58759,0.66016,0.2346,0.28027,13.119
1.92,1.9071,0.59345,0.68506,0.2346,0.25,13.188
1.928,1.9824,0.60054,0.64014,0.23998,0.29492,13.373
1.936,2.0567,0.60762,0.58008,0.20968,0.37012,13.686
1.944,2.129,0.6152,0.55518,0.24487,0.41992,13.999
1.952,2.1955,0.62301,0.5498,0.23998,0.43018,14.497
1.96,2.259,0.63059,0.56982,0.26979,0.4248,14.936
1.968,2.3109,0.63841,0.59521,0.29472,0.41016,15.376
1.976,2.3519,0.64476,0.56982,0.32502,0.40479,15.62
1.984,2.3939,0.65136,0.45996,0.45015,0.41992,15.747
1.992,2.437,0.65649,0.33984,0.64516,0.41504,15.874
2,2.478,0.66186,0.31006,0.67009,0.30518,15.933
2.008,2.5152,0.66577,0.60498,0.39492,0.2749,16.001
2.016,2.5513,0.66968,0.68018,0.13978,0.33008,16.001
2.024,2.5826,0.67237,0.73975,0.094819,0.39014,15.933
2.032,2.607,0.67505,0.58008,0.54008,0.60986,15.747
2.04,2.6256,0.67701,0.25488,0.87537,0.92969,15.376
2.048,2.6393,0.67896,-0.034668,1.0205,1.165,14.936
2.056,2.6461,0.67994,-0.044922,0.86022,1.0098,14.555
2.064,2.6452,0.68116,0.41504,0.46481,0.62988,14.184
2.072,2.6403,0.68141,0.6001,0.25464,0.37988,13.999
2.08,2.6315,0.68165,0.66016,0.17986,0.28516,13.745
2.088,2.6188,0.68116,0.6748,0.1349,0.26025,13.432
2.096,2.6031,0.68067,0.68994,0.1349,0.23486,13.119
2.104,2.5846,0.68043,0.70996,0.14956,0.24023,12.934
2.112,2.5601,0.68043,0.6748,0.14467,0.27002,12.934
2.12,2.5308,0.68067,0.66016,0.14467,0.29004,13.061
2.128,2.4985,0.68092,0.68018,0.18475,0.28516,13.188
2.136,2.4624,0.68092,0.66992,0.18964,0.30518,13.188
2.144,2.4252,0.68092,0.6748,0.19501,0.31006,13.002
2.152,2.3871,0.68092,0.68994,0.18475,0.28516,12.875
2.16,2.348,0.68092,0.69482,0.19501,0.27002,12.875
2.168,2.3157,0.68214,0.66504,0.15982,0.29004,13.188
2.176,2.2845,0.68361,0.6748,0.14467,0.23486,13.745
2.184,2.2493,0.68581,0.68994,0.1696,0.24512,14.243
2.192,2.2141,0.68825,0.69482,0.18964,0.26514,14.243
2.2,2.1789,0.6902,0.68018,0.19501,0.24512,13.745
2.208,2.1466,0.6924,0.7251,0.1999,0.20996,13.061
2.216,2.1173,0.69436,0.66992,0.17986,0.28516,12.748
2.224,2.0919,0.69631,0.70508,0.1999,0.24023,12.934
2.232,2.0704,0.699,0.71484,0.13978,0.18018,13.432
2.24,2.0508,0.70169,0.68506,0.12463,0.2002,13.686
2.248,2.0323,0.70486,0.66504,0.11486,0.20996,13.559
2.256,2.0147,0.70804,0.68994,0.11975,0.16992,12.875
2.264,1.9941,0.71121,0.73486,0.17986,0.14502,12.182
2.272,1.9736,0.71439,0.70996,0.20479,0.18994,11.81
2.28,1.9541,0.71732,0.66992,0.1696,0.22021,11.937
2.288,1.9316,0.7205,0.6748,0.19501,0.22998,12.436
2.296,1.9071,0.72245,0.6748,0.20968,0.2251,12.934
2.304,1.8866,0.72441,0.66992,0.23998,0.24512,13.188
2.312,1.8671,0.72538,0.68994,0.28006,0.25488,13.061
2.32,1.8514,0.72661,0.70996,0.29472,0.24023,12.934
2.328,1.8397,0.72685,0.6499,0.26002,0.30029,12.934
2.336,1.827,0.72734,0.62988,0.2346,0.31982,13.188
2.344,1.8123,0.7271,0.64014,0.21994,0.30518,13.559
2.352,1.7977,0.7271,0.62012,0.26491,0.37012,13.93
2.36,1.7859,0.72636,0.62988,0.28006,0.375,14.057
2.368,1.7781,0.72587,0.65479,0.28983,0.33984,13.872
2.376,1.7722,0.72465,0.68506,0.26491,0.30029,13.618
2.384,1.7674,0.72343,0.64014,0.23998,0.33496,13.305
2.392,1.7625,0.7205,0.62012,0.24976,0.33008,13.119
2.4,1.7556,0.71781,0.60498,0.26491,0.35986,13.119
2.408,1.7478,0.71341,0.59521,0.24976,0.375,13.188
2.416,1.74,0.70926,0.62012,0.29472,0.36523,13.305
2.424,1.7292,0.70388,0.62012,0.32991,0.39502,13.432
2.432,1.7155,0.69851,0.66016,0.30987,0.31982,13.559
2.44,1.6999,0.6924,0.66504,0.25464,0.29004,13.559
2.448,1.6833,0.68629,0.63477,0.22483,0.29004,13.246
2.456,1.6686,0.68043,0.61475,0.22483,0.3252,12.748
2.464,1.652,0.67481,0.59521,0.25464,0.35498,12.182
2.472,1.6373,0.66919,0.60498,0.29472,0.37012,11.869
2.48,1.6276,0.66382,0.63477,0.31965,0.35986,11.869
2.488,1.6188,0.65771,0.62012,0.34995,0.41016,11.937
2.496,1.61,0.6516,0.61475,0.38514,0.4248,11.996
2.504,1.6012,0.645,0.6748,0.33969,0.31494,11.81
2.512,1.5943,0.63841,0.7251,0.27468,0.20508,11.498
2.52,1.5934,0.6323,0.7002,0.22483,0.19531,11.058
2.528,1.5992,0.62619,0.60986,0.18964,0.33008,10.746
2.536,1.6178,0.62057,0.58496,0.20968,0.37988,10.687
2.544,1.653,0.6152,0.56006,0.21457,0.41016,10.687
2.552,1.7028,0.60982,0.54492,0.21994,0.40479,10.687
2.56,1.7625,0.60469,0.56494,0.26002,0.40479,10.56
2.568,1.8201,0.5998,0.60498,0.26979,0.35986,10.374
2.576,1.8798,0.59492,0.68506,0.30987,0.30029,10.12
2.584,1.9492,0.58979,0.64502,0.31476,0.34521,10.062
2.592,2.0186,0.58466,0.58984,0.27468,0.41504,10.247
2.6,2.0831,0.57928,0.56982,0.24487,0.41992,10.746
2.608,2.1466,0.57415,0.55518,0.22972,0.3999,11.498
2.616,2.2063,0.56926,0.56006,0.22483,0.39014,12.377
2.624,2.26,0.56438,0.56982,0.25464,0.38525,12.934
2.632,2.3069,0.55974,0.5498,0.34995,0.39502,12.934
2.64,2.347,0.55509,0.41992,0.54497,0.44482,12.377
2.648,2.3803,0.55021,0.30029,0.65005,0.46484,11.371
2.656,2.4057,0.54532,0.43018,0.435,0.33496,10.687
2.664,2.4272,0.54019,0.58984,0.21994,0.35498,10.687
2.672,2.4428,0.53506,0.6748,0.064516,0.33008,11.439
2.68,2.4545,0.52968,0.7002,0.32991,0.48486,12.182
2.688,2.4692,0.52431,0.50977,0.70528,0.71973,12.309
2.696,2.4829,0.51869,0.24023,0.93011,0.98486,11.683
2.704,2.4917,0.51332,0.010254,1.0303,1.1348,10.687
2.712,2.4936,0.50721,-0.0048828,0.78006,0.94482,9.8078
2.72,2.4888,0.5011,0.39014,0.40469,0.60986,9.4366
2.728,2.477,0.49426,0.51514,0.2346,0.4502,9.4366
2.736,2.4604,0.48742,0.58008,0.17498,0.35986,9.6809
2.744,2.437,0.47911,0.63477,0.13978,0.29492,9.5636
2.752,2.4106,0.47105,0.65479,0.1349,0.2749,8.9384
2.76,2.3842,0.46176,0.64014,0.18475,0.34521,7.9322
2.768,2.3597,0.45272,0.6499,0.21994,0.35986,6.9944
2.776,2.3363,0.44368,0.66992,0.1999,0.28516,6.3106
2.784,2.3079,0.43489,0.62988,0.15494,0.30029,5.9296
2.792,2.2717,0.4256,0.60498,0.11486,0.29492,5.6854
2.8,2.2317,0.41656,0.59521,0.11975,0.33008,5.3728
2.808,2.1896,0.40508,0.63477,0.11975,0.28027,5.0016
2.816,2.1515,0.39384,0.6499,0.12952,0.26514,4.7476
2.824,2.1222,0.38065,0.64502,0.1349,0.27002,4.8746
2.832,2.0958,0.3677,0.6499,0.14956,0.2749,5.1872
2.84,2.0723,0.355,0.68994,0.17498,0.26514,5.1872
2.848,2.0469,0.34254,0.69482,0.21457,0.30029,4.689
2.856,2.0215,0.33008,0.625,0.18475,0.35986,3.9954
2.864,2,0.31786,0.58008,0.14956,0.34521,3.3116
2.872,1.9804,0.30418,0.62012,0.12463,0.28027,2.5594
2.88,1.9599,0.29074,0.64014,0.099707,0.25488,1.8072
2.888,1.9326,0.27633,0.62988,0.089932,0.26025,1.1234
2.896,1.9081,0.26191,0.66016,0.084555,0.19531,0.81081
2.904,1.8915,0.24823,0.6748,0.099707,0.18506,0.99641
2.912,1.8719,0.23455,0.68018,0.12952,0.19531,1.3676
2.92,1.8514,0.22184,0.62012,0.12952,0.24023,1.563
2.928,1.8348,0.20914,0.62012,0.15982,0.25,1.182
2.936,1.8201,0.19863,0.6001,0.15494,0.26025,0.37121
2.944,1.8045,0.18813,0.59521,0.18475,0.2749,-0.38098
2.952,1.7898,0.17933,0.68018,0.24976,0.24512,-0.69358
2.96,1.7761,0.17054,0.6499,0.26979,0.2749,-0.43959
2.968,1.7644,0.16223,0.59521,0.23998,0.31982,0.18561
2.976,1.7527,0.15392,0.60498,0.21457,0.31006,0.9378
2.984,1.738,0.14586,0.55518,0.19501,0.375,1.4946
2.992,1.7243,0.13804,0.5752,0.20968,0.36523,1.8072
3,1.7087,0.1312,0.58984,0.24487,0.35986,1.8756
3.008,1.6921,0.1246,0.60498,0.29472,0.375,1.8072
3.016,1.6745,0.11874,0.60986,0.30987,0.43506,1.8756
3.024,1.6598,0.11312,0.5752,0.31476,0.45508,2.0612
3.032,1.6481,0.10774,0.54492,0.24487,0.43018,2.3054
3.04,1.6373,0.10261,0.56494,0.22972,0.40479,2.5594
3.048,1.6276,0.097484,0.58984,0.23998,0.35986,2.6864
3.056,1.6168,0.092597,0.59521,0.1999,0.3501,2.8134
3.064,1.607,0.087711,0.58008,0.19501,0.38525,3.0576
3.072,1.5953,0.083069,0.59521,0.2346,0.375,3.4972
3.08,1.5806,0.078427,0.60498,0.28006,0.39502,4.0638
3.088,1.567,0.074029,0.6001,0.28495,0.38525,4.308
3.096,1.5562,0.070608,0.58984,0.24487,0.39014,4.1224
3.104,1.5503,0.067188,0.61475,0.20479,0.33008,3.8098
3.112,1.5455,0.064989,0.66016,0.21457,0.2749,3.4386
3.12,1.5406,0.06279,0.64014,0.22972,0.31494,3.3116
3.128,1.5357,0.061569,0.625,0.26979,0.3501,3.2432
3.136,1.5318,0.060591,0.5752,0.28495,0.43018,3.3116
3.144,1.5269,0.060591,0.56006,0.30987,0.45508,3.3116
3.152,1.523,0.060591,0.56494,0.3001,0.41992,3.3702
3.16,1.521,0.06108,0.5752,0.28006,0.37012,3.3702
3.168,1.522,0.061813,0.65479,0.25464,0.30029,3.4386
3.176,1.5249,0.063034,0.68506,0.24487,0.27002,3.4972
3.184,1.5308,0.064256,0.65479,0.23998,0.31494,3.4386
3.192,1.5415,0.066211,0.6001,0.23998,0.37988,3.3116
3.2,1.5582,0.068409,0.55518,0.24976,0.45508,3.1846
3.208,1.5836,0.071341,0.54492,0.28495,0.5,3.0576
3.216,1.6188,0.074273,0.56982,0.28983,0.4502,2.872
3.224,1.6618,0.077938,0.5752,0.24487,0.36523,2.6864
3.232,1.7165,0.081847,0.59521,0.18475,0.30518,2.5008
3.24,1.7634,0.086245,0.56982,0.17498,0.33984,2.3054
3.248,1.8035,0.090887,0.5752,0.20479,0.35986,2.2468
3.256,1.8543,0.095285,0.58984,0.21457,0.34521,2.5008
3.264,1.9003,0.099682,0.55518,0.22483,0.3999,2.999
3.272,1.9404,0.10408,0.52002,0.2346,0.44482,3.7512
3.28,1.9814,0.10872,0.5,0.26491,0.49023,4.3764
3.288,2.0196,0.11361,0.48486,0.41007,0.58008,4.689
3.296,2.0518,0.11874,0.41504,0.57527,0.5752,4.6206
3.304,2.0792,0.12387,0.25488,0.67498,0.5249,4.435
3.312,2.1046,0.129,0.375,0.43988,0.30518,4.562
3.32,2.129,0.13389,0.66016,0.17986,0.22998,5.0602
3.328,2.1525,0.13877,0.75488,-0.020528,0.18506,5.6854
3.336,2.174,0.14342,0.77002,0.12463,0.33984,6.125
3.344,2.1906,0.1483,0.56982,0.52004,0.59521,6.125
3.352,2.1984,0.15368,0.33008,0.81525,0.85498,5.744
3.36,2.1984,0.15905,0.064941,0.9653,1.0898,5.0602
