Time [s], RESP, PLETH, II, MCL, AVR
0.512,0.034003,0.30303,0.23375,1.0941,0.76108
0.52,0.030912,0.30303,0.22446,1.0495,0.77094
0.528,0.029366,0.30499,0.19505,1.0198,0.78571
0.536,0.026275,0.31085,0.17492,1.0099,0.79557
0.544,0.02473,0.32356,0.13467,1.0495,0.83498
0.552,0.021638,0.34409,0.078947,1.0347,0.87931
0.56,0.018547,0.37341,0.029412,1.0396,0.91379
0.568,0.017002,0.40958,0.0092879,1.0248,0.93103
0.576,0.015456,0.45161,0.013932,1.0297,0.93596
0.584,0.01391,0.49658,0.013932,1.0248,0.92611
0.592,0.01391,0.54154,0.018576,1.0347,0.91872
0.6,0.01391,0.5826,0.02322,1.0248,0.91872
0.608,0.01391,0.61779,0.029412,1.0347,0.91872
0.616,0.01391,0.64614,0.02322,1.0248,0.91379
0.624,0.01391,0.66471,0.029412,1.0495,0.91872
0.632,0.01391,0.67449,0.034056,1.0347,0.91379
0.64,0.01391,0.68035,0.018576,1.0446,0.91872
0.648,0.015456,0.68035,-0.035604,1.0891,0.94581
0.656,0.015456,0.67644,-0.1517,1.2327,0.99015
0.664,0.017002,0.66764,-0.19659,1.4059,0.93103
0.672,0.017002,0.65494,-0.01548,1.1436,0.70936
0.68,0.018547,0.64125,0.47988,0.16832,0.21921
0.688,0.020093,0.62561,0.94582,-0.5495,-0.17488
0.696,0.021638,0.60802,1.1471,-0.66337,-0.22414
0.704,0.023184,0.59042,1.1563,-0.29208,0.13054
0.712,0.02473,0.57185,0.8808,0.044554,0.38916
0.72,0.026275,0.55132,0.5356,0.5099,0.6798
0.728,0.029366,0.53372,0.16873,0.87624,0.91872
0.736,0.030912,0.51711,-0.010836,1.0891,1.0197
0.744,0.034003,0.49853,-0.082043,1.1683,1.064
0.752,0.037094,0.47898,-0.1161,1.1931,1.0788
0.76,0.03864,0.46139,-0.1161,1.2277,1.0837
0.768,0.041731,0.44477,-0.10681,1.2277,1.0739
0.776,0.044822,0.43011,-0.10681,1.2426,1.0788
0.784,0.047913,0.41642,-0.11146,1.2376,1.0739
0.792,0.051005,0.40567,-0.10681,1.2574,1.0788
0.8,0.055641,0.39687,-0.095975,1.2574,1.064
0.808,0.060278,0.39101,-0.082043,1.2723,1.0542
0.816,0.064915,0.38612,-0.075851,1.2723,1.0542
0.824,0.069552,0.38319,-0.066563,1.2871,1.0493
0.832,0.072643,0.38123,-0.06192,1.297,1.0345
0.84,0.07728,0.38123,-0.04644,1.3218,1.0345
0.848,0.081917,0.38123,-0.035604,1.3267,1.0197
0.856,0.086553,0.38221,-0.03096,1.3564,1.0148
0.864,0.09119,0.37537,-0.01548,1.3614,1
0.872,0.097372,0.36461,-0.001548,1.3812,0.99507
0.88,0.10355,0.35777,0.013932,1.3861,0.98522
0.888,0.11128,0.35386,0.02322,1.3812,0.98522
0.896,0.11901,0.35191,0.034056,1.3861,0.97044
0.904,0.12674,0.34995,0.0387,1.3663,0.96552
0.912,0.13447,0.348,0.063467,1.3713,0.95074
0.92,0.14529,0.34604,0.078947,1.3366,0.93103
0.928,0.15456,0.34311,0.089783,1.3168,0.91379
0.936,0.16847,0.34115,0.10836,1.2822,0.89901
0.944,0.18083,0.33822,0.11455,1.2624,0.88424
0.952,0.19629,0.33529,0.1192,1.2277,0.87438
0.96,0.21175,0.33236,0.1192,1.2079,0.86946
0.968,0.22875,0.32942,0.11455,1.1683,0.86946
0.976,0.24575,0.32551,0.10372,1.1584,0.87438
0.984,0.26121,0.3216,0.089783,1.1238,0.88424
0.992,0.27821,0.31769,0.078947,1.1188,0.89409
1,0.29366,0.31378,0.063467,1.099,0.89409
1.008,0.30912,0.31085,0.05418,1.104,0.90887
1.016,0.32457,0.30694,0.049536,1.0941,0.91379
1.024,0.34158,0.30401,0.05418,1.099,0.90887
1.032,0.35858,0.30108,0.049536,1.0891,0.90887
1.04,0.37713,0.29814,0.049536,1.099,0.91379
1.048,0.39258,0.29423,0.0387,1.099,0.91872
1.056,0.40804,0.29032,0.0387,1.104,0.92611
1.064,0.42349,0.28641,0.0387,1.1139,0.91872
1.072,0.4374,0.2825,0.0387,1.1238,0.91872
1.08,0.45131,0.27859,0.0387,1.1287,0.91872
1.088,0.46677,0.27468,0.0387,1.1238,0.92611
1.096,0.48068,0.27077,0.029412,1.1386,0.92611
1.104,0.49459,0.26686,0.029412,1.1238,0.92611
1.112,0.5085,0.26295,0.02322,1.1386,0.92611
1.12,0.52396,0.26002,0.034056,1.1238,0.92611
1.128,0.53787,0.25806,0.02322,1.1337,0.92611
1.136,0.55332,0.25806,0.018576,1.1188,0.91872
1.144,0.56569,0.25611,0.043344,1.1436,0.91379
1.152,0.5796,0.25513,0.074303,1.1436,0.89409
1.16,0.59042,0.25318,0.089783,1.1386,0.88424
1.168,0.60278,0.25024,0.094427,1.1139,0.87438
1.176,0.61515,0.24829,0.12848,1.1485,0.85961
1.184,0.62751,0.24536,0.19505,1.1188,0.79557
1.192,0.63988,0.2434,0.21981,1.0891,0.77586
1.2,0.65379,0.24242,0.17957,1.0396,0.80049
1.208,0.66461,0.24633,0.15944,1.0297,0.81527
1.216,0.67697,0.25806,0.14861,1.0396,0.8202
1.224,0.68779,0.27468,0.094427,1.0644,0.86946
1.232,0.69861,0.29814,0.02322,1.0396,0.91379
1.24,0.70788,0.33431,-0.010836,1.0446,0.94581
1.248,0.7187,0.38123,-0.021672,1.0248,0.95567
1.256,0.72952,0.43597,-0.010836,1.0396,0.94581
1.264,0.74034,0.4956,-0.0061919,1.0297,0.94089
1.272,0.75116,0.55425,-0.010836,1.0248,0.94581
1.28,0.76352,0.60997,-0.001548,1.0347,0.94089
1.288,0.77434,0.65787,0.004644,1.0297,0.94089
1.296,0.78671,0.69697,0.0092879,1.0446,0.93596
1.304,0.79598,0.7263,0.004644,1.0396,0.94089
1.312,0.8068,0.74487,0.004644,1.0495,0.93596
1.32,0.81607,0.75464,0.0092879,1.0297,0.93103
1.328,0.82689,0.75464,-0.10062,1.1287,0.97537
1.336,0.83617,0.74878,-0.19659,1.2822,0.99507
1.344,0.84699,0.73803,-0.20124,1.4455,0.90887
1.352,0.85781,0.72239,0.15944,0.94059,0.57389
1.36,0.86862,0.70479,0.72601,-0.049505,0.073892
1.368,0.8779,0.68524,1.0712,-0.55446,-0.1798
1.376,0.88717,0.66471,1.2012,-0.56931,-0.068966
1.384,0.89645,0.64223,1.0263,-0.15842,0.23892
1.392,0.90572,0.61975,0.76006,0.25248,0.51478
1.4,0.91654,0.59629,0.32972,0.67327,0.81034
1.408,0.92581,0.57283,0.0387,0.98515,0.98522
1.416,0.93818,0.54839,-0.071207,1.1188,1.0443
1.424,0.949,0.52688,-0.11146,1.1733,1.069
1.432,0.96136,0.50733,-0.12693,1.198,1.0739
1.44,0.97527,0.48778,-0.12074,1.2178,1.0788
1.448,0.98764,0.46725,-0.12074,1.2178,1.0739
1.456,1,0.44868,-0.12074,1.2327,1.0739
1.464,1.0124,0.43109,-0.1161,1.2376,1.069
1.472,1.0232,0.4174,-0.11146,1.2327,1.0739
1.48,1.034,0.40567,-0.10681,1.2525,1.0591
1.488,1.0433,0.39589,-0.10062,1.2624,1.0542
1.496,1.0541,0.39003,-0.086687,1.2772,1.0493
1.504,1.0634,0.38514,-0.075851,1.2723,1.0443
1.512,1.0742,0.38319,-0.071207,1.302,1.0345
1.52,1.0835,0.38221,-0.051084,1.3168,1.0296
1.528,1.0927,0.38221,-0.04644,1.3317,1.0197
1.536,1.1005,0.38319,-0.03096,1.3515,1.0099
1.544,1.1082,0.38416,-0.010836,1.3762,1
1.552,1.1144,0.38514,-0.001548,1.3663,0.98522
1.56,1.1221,0.3871,0.018576,1.3812,0.97537
1.568,1.1298,0.3871,0.029412,1.3713,0.96552
1.576,1.1376,0.3871,0.0387,1.3762,0.96552
1.584,1.1437,0.38612,0.05418,1.3564,0.94581
1.592,1.1515,0.38514,0.074303,1.3564,0.94089
1.6,1.1577,0.38221,0.089783,1.3267,0.91872
1.608,1.1638,0.38025,0.10836,1.3168,0.90394
1.616,1.17,0.37634,0.11455,1.2772,0.87931
1.624,1.1747,0.37341,0.12384,1.2574,0.86946
1.632,1.1793,0.37146,0.12848,1.2178,0.85961
1.64,1.1824,0.36852,0.12384,1.203,0.86453
1.648,1.1839,0.36559,0.1192,1.1634,0.85961
1.656,1.1855,0.36168,0.11455,1.1436,0.86946
1.664,1.1855,0.35875,0.10372,1.1238,0.86946
1.672,1.1839,0.35484,0.089783,1.1188,0.87438
1.68,1.1839,0.35093,0.089783,1.104,0.87931
1.688,1.1808,0.34604,0.078947,1.099,0.88916
1.696,1.1777,0.34213,0.069659,1.1089,0.88424
1.704,1.1716,0.33822,0.069659,1.099,0.88916
1.712,1.1669,0.33529,0.063467,1.1089,0.89409
1.72,1.1577,0.33333,0.063467,1.099,0.89409
1.728,1.1484,0.33138,0.058824,1.1139,0.89901
1.736,1.136,0.32942,0.063467,1.1089,0.89901
1.744,1.1221,0.32649,0.063467,1.1188,0.90887
1.752,1.1066,0.32258,0.058824,1.1188,0.90394
1.76,1.0912,0.31867,0.05418,1.1337,0.90887
1.768,1.0726,0.31378,0.05418,1.1287,0.90394
1.776,1.0541,0.30987,0.049536,1.1337,0.90394
1.784,1.0371,0.30694,0.043344,1.1188,0.90394
1.792,1.0185,0.30303,0.049536,1.1287,0.90887
1.8,1.0015,0.3001,0.043344,1.1188,0.90887
1.808,0.98454,0.29717,0.049536,1.1188,0.90887
1.816,0.966,0.29423,0.049536,1.099,0.90394
1.824,0.94745,0.29326,0.058824,1.1139,0.89409
1.832,0.92736,0.29228,0.083591,1.1337,0.88424
1.84,0.90726,0.28935,0.10836,1.1436,0.86946
1.848,0.88872,0.28543,0.11455,1.1139,0.86453
1.856,0.87017,0.2825,0.12848,1.1337,0.84975
1.864,0.85317,0.27859,0.17957,1.1485,0.81034
1.872,0.83617,0.27468,0.23994,1.1139,0.74877
1.88,0.81762,0.27175,0.22446,1.0545,0.76108
1.888,0.80062,0.27175,0.18885,1.0297,0.78571
1.896,0.78207,0.27859,0.17957,1.0297,0.79557
1.904,0.76352,0.29423,0.14396,1.0495,0.82512
1.912,0.74343,0.31965,0.078947,1.0545,0.87438
1.92,0.72488,0.34897,0.034056,1.0396,0.90887
1.928,0.70479,0.38416,0.013932,1.0446,0.92611
1.936,0.68624,0.43011,0.013932,1.0248,0.91872
1.944,0.66924,0.48289,0.018576,1.0347,0.92611
1.952,0.65224,0.53861,0.013932,1.0248,0.91872
1.96,0.63679,0.5914,0.018576,1.0347,0.91379
1.968,0.62287,0.63832,0.02322,1.0297,0.90887
1.976,0.60742,0.67644,0.02322,1.0446,0.91379
1.984,0.59196,0.70479,0.029412,1.0347,0.90887
1.992,0.57651,0.72239,0.034056,1.0446,0.90887
2,0.5626,0.72923,0.029412,1.0347,0.90887
2.008,0.54869,0.72825,-0.021672,1.0842,0.93103
2.016,0.53478,0.72043,-0.14706,1.2129,0.97537
2.024,0.52241,0.7087,-0.20124,1.401,0.94581
2.032,0.51005,0.69404,-0.06192,1.4307,0.74877
2.04,0.49768,0.67449,0.43963,0.24752,0.25616
2.048,0.48532,0.65298,0.91022,-0.5099,-0.15025
2.056,0.47295,0.6305,1.1362,-0.63861,-0.22414
2.064,0.46059,0.60606,1.1718,-0.29703,0.086207
2.072,0.44668,0.58162,0.94118,0,0.33498
2.08,0.43431,0.55523,0.60991,0.4703,0.61084
2.088,0.42195,0.52884,0.21981,0.85644,0.87931
2.096,0.40958,0.50147,0.0092879,1.0842,1
2.104,0.39876,0.47605,-0.071207,1.1634,1.0493
2.112,0.38949,0.45161,-0.095975,1.203,1.064
2.12,0.38022,0.43109,-0.10062,1.2228,1.069
2.128,0.37094,0.41349,-0.10062,1.2327,1.069
2.136,0.36167,0.39589,-0.10681,1.2376,1.069
2.144,0.35085,0.37928,-0.10062,1.2525,1.069
2.152,0.34158,0.36657,-0.10062,1.2475,1.064
2.16,0.33076,0.35582,-0.095975,1.2624,1.0591
2.168,0.32148,0.348,-0.091331,1.2574,1.0542
2.176,0.31221,0.34213,-0.075851,1.2871,1.0542
2.184,0.30448,0.3392,-0.075851,1.2822,1.0443
2.192,0.29675,0.33822,-0.06192,1.3069,1.0394
2.2,0.28748,0.33724,-0.051084,1.3168,1.0296
2.208,0.27975,0.33822,-0.035604,1.3515,1.0148
2.216,0.27202,0.3392,-0.026316,1.3564,1.0099
2.224,0.2643,0.34018,-0.010836,1.3812,1
2.232,0.25502,0.34115,0.004644,1.3861,0.98522
2.24,0.2473,0.34115,0.013932,1.401,0.98522
2.248,0.23957,0.34018,0.02322,1.396,0.97044
2.256,0.23184,0.3392,0.043344,1.401,0.96552
2.264,0.22566,0.33822,0.058824,1.3861,0.95074
2.272,0.21947,0.33724,0.069659,1.3812,0.93596
2.28,0.21484,0.33627,0.083591,1.3614,0.91872
2.288,0.2102,0.33529,0.099071,1.3416,0.90394
2.296,0.20556,0.33333,0.11455,1.3119,0.88916
2.304,0.20093,0.3304,0.12384,1.2822,0.87438
2.312,0.19629,0.32845,0.13467,1.2475,0.86453
2.32,0.19165,0.32551,0.12848,1.2129,0.85961
2.328,0.18702,0.32356,0.1192,1.1782,0.85468
2.336,0.18393,0.32063,0.10836,1.1485,0.85961
2.344,0.18083,0.31672,0.099071,1.1238,0.86946
2.352,0.17774,0.31281,0.089783,1.1089,0.86946
2.36,0.17465,0.3089,0.078947,1.099,0.87931
2.368,0.17156,0.30499,0.063467,1.0891,0.88424
2.376,0.16692,0.30108,0.063467,1.0941,0.89409
2.384,0.16229,0.29717,0.063467,1.0842,0.89409
2.392,0.15765,0.29423,0.063467,1.0941,0.89901
2.4,0.15301,0.29228,0.05418,1.0891,0.89901
2.408,0.14683,0.29032,0.049536,1.104,0.90887
2.416,0.14065,0.28739,0.043344,1.099,0.90394
2.424,0.13447,0.28641,0.049536,1.1188,0.90887
2.432,0.12828,0.28446,0.049536,1.1188,0.90394
2.44,0.1221,0.28152,0.043344,1.1287,0.91379
2.448,0.11592,0.27859,0.0387,1.1238,0.90887
2.456,0.10974,0.27566,0.0387,1.1386,0.91379
2.464,0.10201,0.27175,0.0387,1.1188,0.90887
2.472,0.092736,0.26882,0.034056,1.1238,0.91379
2.48,0.085008,0.26588,0.034056,1.1287,0.90887
2.488,0.07728,0.26295,0.029412,1.1188,0.91379
2.496,0.069552,0.26002,0.034056,1.1089,0.91379
2.504,0.063369,0.25709,0.029412,1.104,0.91379
2.512,0.055641,0.25415,0.034056,1.1089,0.90887
2.52,0.047913,0.25318,0.058824,1.1238,0.89409
2.528,0.040185,0.2522,0.083591,1.1337,0.87931
2.536,0.032458,0.25024,0.094427,1.1089,0.86946
2.544,0.02473,0.24829,0.10836,1.1188,0.85961
2.552,0.017002,0.24536,0.15944,1.1238,0.81527
2.56,0.0092736,0.24438,0.22446,1.0941,0.76108
2.568,0.0015456,0.24633,0.20898,1.0396,0.76601
2.576,-0.0061824,0.25415,0.18421,1.0198,0.78571
2.584,-0.012365,0.26882,0.15944,1,0.79557
2.592,-0.018547,0.29423,0.12848,1.0396,0.83005
2.6,-0.02473,0.3304,0.063467,1.0446,0.87931
2.608,-0.029366,0.3783,0.013932,1.0248,0.91872
2.616,-0.034003,0.43402,-0.0061919,1.0149,0.93596
2.624,-0.03864,0.48583,-0.0061919,1.0248,0.93596
2.632,-0.043277,0.5347,0.004644,1.0099,0.93103
2.64,-0.047913,0.58749,0.004644,1.0248,0.93103
2.648,-0.051005,0.63734,0.004644,1.0149,0.92611
2.656,-0.05255,0.6784,0.013932,1.0248,0.93103
2.664,-0.055641,0.70968,0.013932,1.0198,0.92611
2.672,-0.057187,0.73021,0.018576,1.0297,0.91872
2.68,-0.058733,0.73998,0.018576,1.0347,0.91872
2.688,-0.060278,0.74194,0.018576,1.0248,0.91872
2.696,-0.061824,0.73509,-0.021672,1.0644,0.93596
2.704,-0.061824,0.72336,-0.14706,1.198,0.98522
2.712,-0.063369,0.70674,-0.21672,1.3762,0.95074
2.72,-0.063369,0.68915,-0.095975,1.4158,0.78571
2.728,-0.064915,0.67058,0.36997,0.29208,0.30542
2.736,-0.064915,0.65005,0.86068,-0.52475,-0.13054
2.744,-0.064915,0.62659,1.0867,-0.68812,-0.21921
2.752,-0.064915,0.60313,1.1362,-0.35644,0.073892
2.76,-0.063369,0.57869,0.93034,-0.049505,0.33498
2.768,-0.061824,0.55327,0.63003,0.42079,0.60099
2.776,-0.060278,0.52786,0.21362,0.83168,0.87438
2.784,-0.058733,0.50147,0.004644,1.0644,1
2.792,-0.057187,0.47507,-0.075851,1.1634,1.0542
2.8,-0.054096,0.45161,-0.10681,1.1881,1.069
2.808,-0.051005,0.42913,-0.10681,1.2178,1.0739
2.816,-0.047913,0.4086,-0.10681,1.2228,1.069
2.824,-0.044822,0.39198,-0.10062,1.2376,1.0739
2.832,-0.041731,0.37928,-0.10062,1.2376,1.069
2.84,-0.037094,0.36755,-0.10681,1.2574,1.069
2.848,-0.034003,0.35777,-0.10062,1.2574,1.064
2.856,-0.030912,0.34995,-0.086687,1.2723,1.0591
2.864,-0.026275,0.34506,-0.082043,1.2822,1.0542
2.872,-0.023184,0.34115,-0.075851,1.2772,1.0493
2.88,-0.018547,0.3392,-0.06192,1.3069,1.0394
2.888,-0.015456,0.33724,-0.051084,1.3218,1.0345
2.896,-0.010819,0.33724,-0.041796,1.3317,1.0246
2.904,-0.007728,0.33724,-0.026316,1.3614,1.0148
2.912,-0.0030912,0.33822,-0.010836,1.3762,1.0049
2.92,0,0.34018,0.004644,1.3812,0.99507
2.928,0.0046368,0.34115,0.018576,1.3911,0.98522
2.936,0.0092736,0.34213,0.029412,1.3861,0.97537
2.944,0.012365,0.34115,0.0387,1.401,0.96552
2.952,0.017002,0.34115,0.05418,1.3812,0.96059
2.96,0.021638,0.34115,0.063467,1.3762,0.94581
2.968,0.026275,0.34018,0.078947,1.3564,0.93103
2.976,0.030912,0.3392,0.089783,1.3416,0.91379
2.984,0.034003,0.33724,0.10836,1.3119,0.89409
2.992,0.03864,0.33431,0.1192,1.2921,0.88424
3,0.041731,0.33236,0.12384,1.2475,0.86946
3.008,0.046368,0.32845,0.12848,1.2277,0.86946
3.016,0.049459,0.32356,0.1192,1.1782,0.86453
3.024,0.05255,0.32063,0.10372,1.1634,0.86946
3.032,0.055641,0.31672,0.094427,1.1287,0.86946
3.04,0.058733,0.31281,0.089783,1.1188,0.87438
3.048,0.061824,0.3089,0.074303,1.099,0.88424
3.056,0.064915,0.30499,0.069659,1.099,0.88916
3.064,0.068006,0.30205,0.063467,1.0891,0.89409
3.072,0.071097,0.29912,0.063467,1.0941,0.89409
3.08,0.072643,0.29619,0.05418,1.099,0.89901
3.088,0.074189,0.29326,0.049536,1.0941,0.90887
3.096,0.074189,0.29032,0.0387,1.104,0.91379
3.104,0.075734,0.28641,0.049536,1.099,0.90887
3.112,0.074189,0.28348,0.043344,1.1139,0.91379
3.12,0.074189,0.28055,0.0387,1.1188,0.90887
3.128,0.074189,0.27761,0.0387,1.1238,0.91379
3.136,0.072643,0.27468,0.0387,1.1188,0.91379
3.144,0.071097,0.27175,0.034056,1.1287,0.91872
3.152,0.069552,0.26784,0.034056,1.1188,0.91379
3.16,0.068006,0.26491,0.029412,1.1188,0.91379
3.168,0.064915,0.26295,0.034056,1.1139,0.91379
3.176,0.061824,0.261,0.0387,1.1188,0.91379
3.184,0.058733,0.25904,0.0387,1.104,0.91379
3.192,0.055641,0.25806,0.034056,1.104,0.91379
3.2,0.051005,0.25611,0.034056,1.0842,0.90887
3.208,0.046368,0.25513,0.0387,1.0941,0.90394
3.216,0.043277,0.25415,0.058824,1.104,0.89409
3.224,0.03864,0.25318,0.089783,1.1188,0.87931
3.232,0.035549,0.2522,0.10372,1.099,0.86453
3.24,0.032458,0.25024,0.11455,1.1139,0.86453
3.248,0.029366,0.24829,0.1548,1.1188,0.82512
3.256,0.026275,0.24829,0.22446,1.0941,0.77094
3.264,0.023184,0.25122,0.21362,1.0396,0.76108
3.272,0.020093,0.26197,0.18885,1.0248,0.78079
3.28,0.018547,0.28152,0.17492,1.0099,0.78571
3.288,0.015456,0.31281,0.13932,1.0297,0.81527
3.296,0.012365,0.35386,0.078947,1.0446,0.86453
3.304,0.010819,0.40371,0.029412,1.0248,0.90887
3.312,0.0092736,0.45943,0.004644,1.0297,0.92611
3.32,0.007728,0.50831,-0.0061919,1.0149,0.93596
3.328,0.0061824,0.5523,0.004644,1.0248,0.93103
3.336,0.0046368,0.59824,0.0092879,1.0198,0.91872
3.344,0.0030912,0.6393,0.013932,1.0297,0.91872
3.352,0.0030912,0.67155,0.018576,1.0198,0.91379
3.36,0.0015456,0.69404,0.018576,1.0347,0.91379
3.368,0.0015456,0.70772,0.02322,1.0248,0.91379
3.376,0.0015456,0.71163,0.02322,1.0446,0.91379
3.384,0.0015456,0.7087,0.018576,1.0347,0.91379
3.392,0.0015456,0.69892,0.004644,1.0594,0.92611
3.4,0.0030912,0.68524,-0.1161,1.1634,0.97044
3.408,0.0030912,0.66862,-0.19659,1.3564,0.98522
3.416,0.0061824,0.652,-0.20588,1.4307,0.84483
3.424,0.007728,0.63343,0.25387,0.5495,0.40887
3.432,0.010819,0.61388,0.78638,-0.42574,-0.078818
3.44,0.012365,0.5914,1.0511,-0.69802,-0.23399
3.448,0.015456,0.56891,1.1316,-0.42574,-0.0098522
3.456,0.018547,0.54545,0.96594,-0.11881,0.27586
3.464,0.020093,0.52199,0.72601,0.30693,0.52463
3.472,0.023184,0.49756,0.30031,0.76733,0.83005
3.48,0.026275,0.47312,0.049536,1.0396,0.97537
3.488,0.029366,0.45064,-0.04644,1.1535,1.0345
3.496,0.034003,0.42913,-0.091331,1.1931,1.0542
3.504,0.03864,0.40958,-0.095975,1.2277,1.064
3.512,0.043277,0.39198,-0.095975,1.2376,1.064
3.52,0.047913,0.37928,-0.095975,1.2426,1.0591
3.528,0.05255,0.36852,-0.091331,1.2525,1.0542
3.536,0.057187,0.35973,-0.091331,1.2475,1.0591
3.544,0.061824,0.35288,-0.086687,1.2673,1.0542
3.552,0.066461,0.34702,-0.075851,1.2772,1.0542
3.56,0.069552,0.34409,-0.071207,1.2871,1.0493
3.568,0.074189,0.34311,-0.06192,1.2822,1.0345
3.576,0.07728,0.34213,-0.051084,1.3119,1.0296
3.584,0.080371,0.34311,-0.041796,1.3218,1.0246
3.592,0.085008,0.34311,-0.03096,1.3515,1.0148
3.6,0.088099,0.34506,-0.026316,1.3564,1.0099
3.608,0.09119,0.34702,-0.0061919,1.3861,1
3.616,0.094281,0.348,0.004644,1.3861,0.98522
3.624,0.098918,0.34897,0.018576,1.4059,0.9803
3.632,0.10201,0.34897,0.029412,1.401,0.96552
3.64,0.10665,0.34897,0.0387,1.4059,0.96059
3.648,0.10974,0.34702,0.05418,1.3911,0.94581
3.656,0.11283,0.34506,0.074303,1.3911,0.94089
3.664,0.11592,0.34213,0.083591,1.3713,0.91872
3.672,0.12056,0.34018,0.10372,1.3614,0.90394
3.68,0.12365,0.33724,0.11455,1.3267,0.88424
3.688,0.12674,0.33529,0.12384,1.302,0.87438
3.696,0.13138,0.33236,0.12848,1.2624,0.85961
3.704,0.13447,0.32942,0.13467,1.2327,0.85468
3.712,0.13756,0.32649,0.12848,1.198,0.85961
3.72,0.14065,0.32356,0.1192,1.1683,0.85961
3.728,0.14374,0.31965,0.11455,1.1485,0.85961
3.736,0.14683,0.31672,0.099071,1.1238,0.86946
3.744,0.14992,0.31281,0.089783,1.1139,0.86946
3.752,0.15147,0.3089,0.078947,1.099,0.87931
3.76,0.15301,0.30596,0.069659,1.099,0.88916
3.768,0.15456,0.30303,0.063467,1.0941,0.88916
3.776,0.15611,0.3001,0.063467,1.099,0.89409
3.784,0.15611,0.29717,0.058824,1.0941,0.89409
3.792,0.15765,0.29423,0.058824,1.1089,0.89409
3.8,0.15611,0.29032,0.05418,1.104,0.89409
