Time [s], RESP, PLETH, I, V, II, ABP
0.536,0.23363,0.6393,0.0078431,0.61523,0.4101,87.223
0.544,0.23265,0.63441,0.0039216,0.61523,0.4101,86.441
0.552,0.23167,0.62854,0.0078431,0.60938,0.4101,85.658
0.56,0.23167,0.6217,0.0078431,0.61523,0.4101,84.485
0.568,0.23069,0.6129,0.0039216,0.61914,0.41502,83.507
0.576,0.23069,0.60313,0.0039216,0.63477,0.42488,82.334
0.584,0.23069,0.5914,0.058824,0.61523,0.46552,81.16
0.592,0.23069,0.57674,0.2,0.56445,0.56527,80.183
0.6,0.22972,0.56109,0.42941,0.47461,0.74015,79.4
0.608,0.22972,0.54448,0.63529,0.33008,0.85961,78.422
0.616,0.22972,0.52884,0.66078,0.24023,0.78448,77.836
0.624,0.22972,0.51417,0.36471,0.30469,0.5899,77.054
0.632,0.22972,0.49951,0.12353,0.44922,0.44951,76.467
0.64,0.22972,0.48485,0.023529,0.56055,0.40517,75.88
0.648,0.22972,0.47312,-0.0058823,0.61914,0.4101,75.293
0.656,0.22972,0.46432,-0.015686,0.64453,0.41502,74.902
0.664,0.22972,0.45552,-0.015686,0.6543,0.41502,74.316
0.672,0.22874,0.44868,-0.021569,0.66016,0.41502,73.924
0.68,0.22776,0.44282,-0.015686,0.66406,0.41995,73.533
0.688,0.22776,0.43891,-0.015686,0.66406,0.41995,73.142
0.696,0.22678,0.43597,-0.011765,0.66992,0.42488,72.947
0.704,0.22678,0.435,-0.011765,0.66992,0.4298,72.751
0.712,0.22678,0.43304,-0.0058823,0.66992,0.43473,72.36
0.72,0.22581,0.43206,-0.0019608,0.66992,0.43966,72.164
0.728,0.22581,0.43109,-0.0019608,0.66406,0.44458,71.969
0.736,0.22581,0.42913,0.0039216,0.66992,0.45443,71.578
0.744,0.22678,0.42717,0.0078431,0.66992,0.46059,71.186
0.752,0.22678,0.42326,0.013725,0.66992,0.46552,70.991
0.76,0.22776,0.41935,0.017647,0.66992,0.47537,70.6
0.768,0.22874,0.41544,0.023529,0.66992,0.4803,70.404
0.776,0.22972,0.41056,0.029412,0.66992,0.48522,70.209
0.784,0.23167,0.40665,0.033333,0.66992,0.49507,70.013
0.792,0.23265,0.40176,0.043137,0.66992,0.50493,69.818
0.8,0.2346,0.39785,0.052941,0.66992,0.51478,69.426
0.808,0.23656,0.39296,0.062745,0.66992,0.52463,69.035
0.816,0.23754,0.39003,0.07451,0.66992,0.53941,68.644
0.824,0.23851,0.3871,0.088235,0.66992,0.54557,68.644
0.832,0.23949,0.38319,0.10392,0.66992,0.56527,69.622
0.84,0.24047,0.37928,0.12353,0.66992,0.58498,72.164
0.848,0.24242,0.37537,0.14314,0.66992,0.60468,77.445
0.856,0.2434,0.37048,0.16863,0.66992,0.63054,86.245
0.864,0.24536,0.36461,0.18824,0.66406,0.65025,98.175
0.872,0.24633,0.35973,0.20392,0.66406,0.66995,113.04
0.88,0.24829,0.35582,0.22353,0.66406,0.68473,128.88
0.888,0.25024,0.35093,0.23333,0.66016,0.68966,144.13
0.896,0.25122,0.34702,0.23922,0.66016,0.69458,156.65
0.904,0.25318,0.34506,0.21961,0.66406,0.68473,164.67
0.912,0.25513,0.34311,0.19412,0.66406,0.66995,167.8
0.92,0.25611,0.34213,0.16471,0.66992,0.64039,166.43
0.928,0.25709,0.34115,0.12353,0.67969,0.59975,161.73
0.936,0.25904,0.34018,0.084314,0.68555,0.56034,155.48
0.944,0.25904,0.3392,0.04902,0.68555,0.5197,149.02
0.952,0.26002,0.33822,0.023529,0.67578,0.49015,143.55
0.96,0.261,0.33627,0.0078431,0.66406,0.46059,139.64
0.968,0.26197,0.33529,-0.0019608,0.66016,0.44458,137.09
0.976,0.261,0.33333,-0.011765,0.65039,0.4298,135.72
0.984,0.261,0.33138,-0.011765,0.64453,0.41995,135.14
0.992,0.261,0.32845,-0.011765,0.64062,0.41502,134.75
1,0.26002,0.32649,-0.011765,0.64062,0.4101,134.16
1.008,0.25904,0.32551,-0.011765,0.64062,0.4101,133.57
1.016,0.25806,0.32454,-0.011765,0.64062,0.4101,132.99
1.024,0.25611,0.32356,-0.0058823,0.64062,0.4101,132.2
1.032,0.25513,0.32258,-0.0058823,0.64062,0.41502,131.62
1.04,0.25318,0.3216,-0.0019608,0.64062,0.41995,131.23
1.048,0.2522,0.32063,-0.0019608,0.64062,0.41995,131.03
1.056,0.25024,0.3216,-0.0019608,0.64062,0.41995,130.64
1.064,0.24829,0.32551,0.0039216,0.64453,0.42488,130.25
1.072,0.24536,0.33627,0.0039216,0.64453,0.4298,129.66
1.08,0.2434,0.35386,0.0039216,0.64453,0.43473,128.49
1.088,0.24047,0.38025,0.0039216,0.64453,0.43473,126.92
1.096,0.23851,0.41447,-0.0019608,0.64453,0.43473,124.77
1.104,0.23558,0.45455,-0.0019608,0.64453,0.43473,122.43
1.112,0.23363,0.49658,-0.0019608,0.64453,0.43473,119.49
1.12,0.23265,0.53372,-0.0019608,0.64453,0.43473,116.17
1.128,0.23069,0.565,-0.0019608,0.64453,0.43473,112.45
1.136,0.22972,0.59726,-0.0019608,0.64453,0.43473,108.34
1.144,0.22874,0.62463,0.0039216,0.64453,0.43473,103.85
1.152,0.22776,0.64614,0.0039216,0.64062,0.43473,99.153
1.16,0.22776,0.66178,0.0039216,0.64062,0.43473,94.459
1.168,0.22678,0.67058,0.0039216,0.64062,0.43473,90.352
1.176,0.22678,0.67449,0.0039216,0.64062,0.43473,87.027
1.184,0.22678,0.67449,0.0078431,0.64062,0.43966,84.876
1.192,0.22581,0.67155,0.013725,0.64062,0.44951,83.898
1.2,0.22581,0.66764,0.017647,0.65039,0.46059,83.898
1.208,0.22581,0.66373,0.023529,0.66016,0.47537,84.681
1.216,0.22581,0.6608,0.029412,0.66406,0.4803,86.05
1.224,0.22581,0.65689,0.039216,0.67578,0.5,87.419
1.232,0.22581,0.65396,0.04902,0.67969,0.52463,88.788
1.24,0.22581,0.65103,0.058824,0.66406,0.52956,89.57
1.248,0.22678,0.64907,0.068627,0.65039,0.52463,90.157
1.256,0.22678,0.64712,0.07451,0.64062,0.5197,90.352
1.264,0.22678,0.64516,0.062745,0.63477,0.5,90.157
1.272,0.22678,0.64321,0.04902,0.625,0.47537,89.961
1.28,0.22776,0.64125,0.029412,0.61914,0.44458,89.374
1.288,0.22776,0.63832,0.0078431,0.61914,0.42488,88.983
1.296,0.22776,0.63539,0.0039216,0.61914,0.41502,88.396
1.304,0.22776,0.63245,0.0039216,0.61914,0.4101,87.81
1.312,0.22874,0.62757,0.0039216,0.61914,0.40517,87.223
1.32,0.22874,0.62268,0.0078431,0.61523,0.40517,86.441
1.328,0.22874,0.61779,0.0078431,0.61523,0.40517,85.658
1.336,0.22874,0.61193,0.0078431,0.61523,0.4101,84.485
1.344,0.22972,0.60411,0.0039216,0.625,0.41502,83.312
1.352,0.22972,0.59433,0.013725,0.63477,0.43473,82.138
1.36,0.22972,0.58162,0.084314,0.60938,0.4803,80.965
1.368,0.22972,0.56794,0.24902,0.55078,0.59975,79.987
1.376,0.23069,0.55327,0.49412,0.43945,0.77463,79.009
1.384,0.23069,0.53666,0.66471,0.29102,0.85961,78.227
1.392,0.23069,0.52004,0.57451,0.24609,0.73522,77.445
1.4,0.23069,0.5044,0.2902,0.3457,0.53941,76.662
1.408,0.23167,0.48974,0.078431,0.48047,0.42488,76.076
1.416,0.23167,0.47703,0.0078431,0.58008,0.40025,75.489
1.424,0.23167,0.46725,-0.011765,0.62891,0.4101,74.902
1.432,0.23167,0.45748,-0.015686,0.65039,0.41502,74.316
1.44,0.23265,0.44966,-0.015686,0.66016,0.41502,73.924
1.448,0.23265,0.44282,-0.021569,0.66406,0.41502,73.533
1.456,0.23265,0.43891,-0.021569,0.66406,0.41995,73.142
1.464,0.23265,0.43597,-0.015686,0.66992,0.41995,72.751
1.472,0.23363,0.43402,-0.015686,0.66992,0.42488,72.555
1.48,0.23363,0.43206,-0.011765,0.66406,0.4298,72.164
1.488,0.2346,0.43011,-0.011765,0.66406,0.43966,71.969
1.496,0.23558,0.42913,-0.011765,0.66992,0.43966,71.773
1.504,0.23656,0.42717,-0.0019608,0.66992,0.44458,71.382
1.512,0.23754,0.42522,0.0039216,0.66992,0.44951,70.991
1.52,0.23851,0.42229,0.0078431,0.66992,0.46059,70.795
1.528,0.23949,0.41935,0.0078431,0.66406,0.46552,70.6
1.536,0.24047,0.41642,0.017647,0.66406,0.47537,70.404
1.544,0.24145,0.41153,0.029412,0.66406,0.4803,70.209
1.552,0.24242,0.40665,0.033333,0.66992,0.48522,70.013
1.56,0.2434,0.40078,0.039216,0.66992,0.49507,69.818
1.568,0.24438,0.39589,0.043137,0.66992,0.50493,69.426
1.576,0.24633,0.39198,0.052941,0.66992,0.51478,69.035
1.584,0.24731,0.38807,0.062745,0.66992,0.52463,68.84
1.592,0.24829,0.38514,0.07451,0.66992,0.53448,68.449
1.6,0.24927,0.38221,0.088235,0.66992,0.55049,68.644
1.608,0.25024,0.3783,0.10392,0.66992,0.56527,69.818
1.616,0.25122,0.37439,0.12353,0.66992,0.58498,73.142
1.624,0.2522,0.37243,0.14314,0.66992,0.60961,79.4
1.632,0.25415,0.36852,0.16863,0.66406,0.63054,88.983
1.64,0.25513,0.36461,0.19412,0.66406,0.65025,101.5
1.648,0.25611,0.3607,0.2098,0.66016,0.66995,116.56
1.656,0.25806,0.35582,0.21961,0.66016,0.68473,132.59
1.664,0.25806,0.35288,0.22353,0.6543,0.68966,147.26
1.672,0.25904,0.34995,0.22941,0.6543,0.69458,158.8
1.68,0.26002,0.34702,0.20392,0.66016,0.6798,165.84
1.688,0.261,0.34506,0.17843,0.66406,0.65517,168.19
1.696,0.261,0.34311,0.14902,0.66992,0.62438,166.04
1.704,0.26197,0.34115,0.1098,0.67969,0.58498,160.95
1.712,0.26197,0.34018,0.07451,0.68555,0.55049,154.5
1.72,0.26197,0.34018,0.039216,0.68555,0.50985,148.44
1.728,0.26197,0.33822,0.017647,0.67578,0.47537,143.35
1.736,0.26295,0.33529,-0.0019608,0.66406,0.44951,139.64
1.744,0.26295,0.33236,-0.011765,0.66016,0.43473,137.48
1.752,0.26295,0.3304,-0.015686,0.6543,0.41995,136.31
1.76,0.26295,0.32845,-0.015686,0.65039,0.41502,135.72
1.768,0.26295,0.32649,-0.015686,0.64453,0.4101,135.14
1.776,0.26295,0.32454,-0.015686,0.64453,0.40517,134.55
1.784,0.26295,0.32356,-0.015686,0.64062,0.40517,133.77
1.792,0.26295,0.3216,-0.015686,0.64062,0.40517,132.79
1.8,0.26295,0.32063,-0.015686,0.64062,0.4101,131.81
1.808,0.26295,0.31867,-0.015686,0.64062,0.4101,131.03
1.816,0.26295,0.31672,-0.011765,0.64453,0.4101,130.64
1.824,0.26295,0.31574,-0.0058823,0.64453,0.41502,130.44
1.832,0.26295,0.31672,-0.0058823,0.64453,0.41995,130.44
1.84,0.26295,0.32258,-0.0019608,0.65039,0.42488,130.25
1.848,0.26295,0.33333,-0.0019608,0.65039,0.4298,129.66
1.856,0.26295,0.35288,-0.0019608,0.64453,0.4298,128.68
1.864,0.26295,0.38025,-0.0019608,0.64453,0.4298,127.12
1.872,0.26393,0.41349,-0.0019608,0.65039,0.4298,124.97
1.88,0.26491,0.45259,-0.0019608,0.6543,0.4298,122.43
1.888,0.26588,0.4956,0.0039216,0.6543,0.4298,119.3
1.896,0.26686,0.53666,0.0039216,0.6543,0.4298,115.78
1.904,0.26784,0.57576,0.0039216,0.65039,0.4298,111.86
1.912,0.26882,0.60508,0.0039216,0.65039,0.4298,107.37
1.92,0.27077,0.62757,0.0039216,0.64453,0.4298,102.67
1.928,0.27175,0.64614,0.0039216,0.64453,0.4298,97.784
1.936,0.2737,0.65982,0.0039216,0.64062,0.4298,93.286
1.944,0.27566,0.66862,0.0078431,0.64062,0.4298,89.179
1.952,0.27761,0.67155,0.0078431,0.64062,0.4298,86.245
1.96,0.27957,0.67155,0.0078431,0.64062,0.4298,84.485
1.968,0.28152,0.66862,0.013725,0.64453,0.43966,83.703
1.976,0.28446,0.66373,0.017647,0.6543,0.45443,84.094
1.984,0.28739,0.65885,0.023529,0.66016,0.46552,85.072
1.992,0.29032,0.65494,0.029412,0.66406,0.47537,86.441
2,0.29326,0.65103,0.033333,0.67578,0.5,88.005
2.008,0.29619,0.64712,0.043137,0.67969,0.5197,89.374
2.016,0.29912,0.64418,0.052941,0.66016,0.52956,90.352
2.024,0.30205,0.64223,0.058824,0.64453,0.52463,90.939
2.032,0.30499,0.64125,0.062745,0.64062,0.51478,91.134
2.04,0.30792,0.64027,0.058824,0.63477,0.49507,91.134
2.048,0.31183,0.64027,0.04902,0.62891,0.47044,90.743
2.056,0.31574,0.6393,0.029412,0.62891,0.44458,90.352
2.064,0.31867,0.63734,0.017647,0.62891,0.41995,89.765
2.072,0.32258,0.63441,0.017647,0.625,0.41502,89.179
2.08,0.32649,0.63148,0.017647,0.61914,0.4101,88.396
2.088,0.3304,0.62659,0.017647,0.61914,0.4101,87.614
2.096,0.33431,0.6217,0.017647,0.61914,0.4101,86.636
2.104,0.33822,0.61486,0.017647,0.61914,0.4101,85.463
2.112,0.34115,0.60802,0.017647,0.625,0.41502,84.289
2.12,0.34506,0.59922,0.017647,0.63477,0.42488,83.312
2.128,0.348,0.58847,0.033333,0.64062,0.45443,82.138
2.136,0.35093,0.57674,0.12353,0.60547,0.5197,81.16
2.144,0.35386,0.56207,0.2902,0.54492,0.66995,79.987
2.152,0.35679,0.54643,0.50588,0.41992,0.84975,79.205
2.16,0.35875,0.52981,0.6098,0.2793,0.90025,78.227
2.168,0.36168,0.5132,0.47059,0.25,0.7303,77.445
2.176,0.36461,0.49658,0.21961,0.38086,0.52956,76.858
2.184,0.36755,0.48192,0.062745,0.51953,0.42488,76.271
2.192,0.37048,0.46823,0.017647,0.60938,0.4101,75.685
2.2,0.37341,0.45748,0.0039216,0.65039,0.41502,75.098
2.208,0.37634,0.4477,-0.0019608,0.66406,0.41995,74.707
2.216,0.38025,0.44086,-0.0058823,0.66992,0.41995,74.316
2.224,0.38319,0.43597,-0.0058823,0.67578,0.41995,73.924
2.232,0.38612,0.43206,-0.0058823,0.67969,0.42488,73.729
2.24,0.38905,0.43011,-0.0019608,0.67969,0.4298,73.533
2.248,0.39198,0.42815,-0.0019608,0.67969,0.4298,73.533
2.256,0.39394,0.4262,0.0039216,0.67578,0.43473,73.338
2.264,0.39687,0.42424,0.0039216,0.67969,0.43473,73.338
2.272,0.3998,0.42326,0.0039216,0.67969,0.44458,73.142
2.28,0.40274,0.42033,0.0078431,0.67969,0.44951,72.947
2.288,0.40567,0.4174,0.013725,0.67969,0.46059,72.751
2.296,0.4086,0.41349,0.017647,0.67969,0.46552,72.36
2.304,0.41153,0.40958,0.017647,0.67969,0.47537,72.164
2.312,0.41447,0.40567,0.023529,0.67969,0.4803,71.773
2.32,0.4174,0.40274,0.023529,0.67969,0.48522,71.382
2.328,0.42131,0.39883,0.033333,0.67969,0.49507,71.186
2.336,0.42424,0.39492,0.043137,0.67969,0.50493,70.795
2.344,0.42717,0.39101,0.04902,0.67969,0.51478,70.404
2.352,0.43011,0.38807,0.058824,0.67969,0.52463,70.013
2.36,0.43402,0.38416,0.068627,0.67969,0.53941,69.818
2.368,0.43891,0.38025,0.078431,0.67969,0.55542,69.622
2.376,0.44282,0.37537,0.094118,0.67969,0.5702,70.013
2.384,0.4477,0.37048,0.1098,0.67969,0.5899,71.969
2.392,0.45161,0.36657,0.12353,0.68555,0.60961,76.271
2.4,0.4565,0.36168,0.14902,0.68555,0.63547,83.898
2.408,0.46139,0.35679,0.16471,0.67969,0.6601,95.241
2.416,0.46432,0.35288,0.18431,0.67578,0.6798,109.71
2.424,0.46823,0.34897,0.2,0.67578,0.69458,126.14
2.432,0.47214,0.34506,0.2098,0.67578,0.70443,142.57
2.44,0.47605,0.34213,0.21373,0.66992,0.71552,156.84
2.448,0.47898,0.34018,0.2098,0.66406,0.70443,166.82
2.456,0.48192,0.33822,0.19412,0.66406,0.68966,171.32
2.464,0.48485,0.33724,0.16471,0.66992,0.66502,170.73
2.472,0.48778,0.33529,0.13333,0.67969,0.62438,166.23
2.48,0.48974,0.33431,0.098039,0.68555,0.58498,159.39
2.488,0.49267,0.33236,0.068627,0.68555,0.54557,152.15
2.496,0.49462,0.3304,0.04902,0.67969,0.50985,145.89
2.504,0.49756,0.32942,0.029412,0.66992,0.47537,141.2
2.512,0.49853,0.32845,0.013725,0.66406,0.45443,138.27
2.52,0.50049,0.32845,0.0078431,0.66016,0.43473,136.51
2.528,0.50147,0.32747,0.0039216,0.6543,0.42488,135.72
2.536,0.50244,0.32551,-0.0019608,0.64453,0.41502,135.33
2.544,0.50342,0.32454,-0.0019608,0.64062,0.41502,134.94
2.552,0.50342,0.32356,-0.0019608,0.64062,0.4101,134.55
2.56,0.50244,0.3216,0.0039216,0.64062,0.4101,133.96
2.568,0.50244,0.31867,0.0039216,0.64062,0.41502,133.18
2.576,0.50049,0.31574,0.0039216,0.64062,0.41502,132.59
2.584,0.49853,0.31281,0.0039216,0.64062,0.41995,132.2
2.592,0.49658,0.31085,0.0039216,0.64062,0.41995,131.81
2.6,0.49365,0.31085,0.0039216,0.64453,0.41995,131.62
2.608,0.48974,0.31476,0.0039216,0.64453,0.4298,131.42
2.616,0.48583,0.32258,0.0078431,0.64453,0.4298,130.83
2.624,0.48094,0.33529,0.013725,0.64453,0.43473,129.86
2.632,0.47703,0.35582,0.013725,0.64453,0.43473,128.68
2.64,0.47214,0.38514,0.013725,0.64453,0.43473,126.92
2.648,0.46823,0.42131,0.013725,0.64453,0.43473,124.58
2.656,0.46432,0.46334,0.017647,0.64453,0.43966,122.03
2.664,0.45943,0.50733,0.017647,0.64453,0.43966,118.9
2.672,0.45455,0.54936,0.017647,0.64453,0.43966,115.38
2.68,0.45064,0.58847,0.017647,0.64453,0.43966,111.28
2.688,0.44477,0.61975,0.017647,0.64453,0.43966,106.78
2.696,0.43891,0.64712,0.017647,0.64453,0.43966,101.89
2.704,0.43304,0.66667,0.017647,0.64062,0.43966,97.197
2.712,0.42717,0.67644,0.023529,0.64062,0.43966,92.894
2.72,0.42131,0.68133,0.023529,0.64062,0.43966,89.374
2.728,0.41447,0.68133,0.023529,0.64062,0.43966,86.832
2.736,0.40958,0.67937,0.023529,0.64062,0.43966,85.463
2.744,0.40371,0.67644,0.029412,0.64453,0.45443,85.072
2.752,0.39883,0.67155,0.029412,0.6543,0.46552,85.658
2.76,0.39394,0.66862,0.033333,0.66016,0.47537,86.636
2.768,0.38905,0.66569,0.039216,0.66406,0.48522,88.005
2.776,0.38514,0.66178,0.04902,0.66992,0.50985,89.374
2.784,0.38123,0.65982,0.052941,0.67578,0.52463,90.352
2.792,0.37634,0.65885,0.062745,0.6543,0.52956,91.134
2.8,0.37243,0.65787,0.07451,0.64062,0.52463,91.33
2.808,0.36852,0.65787,0.07451,0.63477,0.5197,91.134
2.816,0.36364,0.65689,0.068627,0.625,0.5,90.939
2.824,0.35973,0.65591,0.052941,0.61914,0.47537,90.352
2.832,0.35484,0.65396,0.033333,0.61523,0.44458,89.765
2.84,0.35093,0.652,0.023529,0.61523,0.42488,88.983
2.848,0.348,0.64907,0.023529,0.61523,0.41502,88.396
2.856,0.34409,0.64614,0.023529,0.60938,0.4101,87.614
2.864,0.34018,0.64125,0.023529,0.60938,0.4101,86.636
2.872,0.33627,0.63539,0.023529,0.60938,0.4101,85.658
2.88,0.33138,0.62757,0.023529,0.61523,0.4101,84.681
2.888,0.32747,0.61877,0.017647,0.61523,0.41502,83.507
2.896,0.32356,0.60704,0.017647,0.62891,0.42488,82.529
2.904,0.31965,0.59433,0.043137,0.63477,0.45443,81.356
2.912,0.31672,0.58162,0.14314,0.5957,0.52463,80.574
2.92,0.31281,0.56794,0.33922,0.51953,0.6798,79.791
2.928,0.30987,0.55327,0.57059,0.38477,0.84483,79.009
2.936,0.30596,0.53763,0.6451,0.25586,0.88054,78.227
2.944,0.30303,0.52199,0.47059,0.24023,0.6798,77.64
2.952,0.3001,0.50733,0.2,0.39453,0.5,77.054
2.96,0.29717,0.49365,0.04902,0.52539,0.41502,76.467
2.968,0.29423,0.48094,0.0039216,0.60547,0.40517,75.88
2.976,0.2913,0.47019,-0.0019608,0.64062,0.41502,75.293
2.984,0.28837,0.46237,-0.0058823,0.6543,0.41995,74.902
2.992,0.28543,0.45455,-0.011765,0.66016,0.41995,74.316
3,0.2825,0.44966,-0.011765,0.66016,0.41995,73.924
3.008,0.28055,0.44575,-0.011765,0.66406,0.42488,73.533
3.016,0.27761,0.44282,-0.011765,0.66406,0.42488,73.338
3.024,0.27566,0.44086,-0.011765,0.66406,0.43473,73.142
3.032,0.2737,0.43891,-0.0058823,0.66406,0.43966,72.751
3.04,0.27175,0.43793,-0.0019608,0.66406,0.44458,72.555
3.048,0.26979,0.43597,0.0039216,0.66992,0.44951,72.164
3.056,0.26882,0.43402,0.0039216,0.66992,0.44951,71.969
3.064,0.26784,0.43206,0.0078431,0.66406,0.45443,71.382
3.072,0.26686,0.42913,0.013725,0.66406,0.46552,70.991
3.08,0.26588,0.42522,0.017647,0.66406,0.47537,70.795
3.088,0.26491,0.42033,0.023529,0.66406,0.4803,70.6
3.096,0.26393,0.41642,0.029412,0.66406,0.48522,70.209
3.104,0.26295,0.41251,0.033333,0.66406,0.49507,70.013
3.112,0.26295,0.4086,0.039216,0.66992,0.5,69.818
3.12,0.26197,0.40469,0.04902,0.66992,0.51478,69.426
3.128,0.26197,0.40078,0.058824,0.66992,0.5197,69.035
3.136,0.261,0.39687,0.068627,0.66992,0.52956,68.84
3.144,0.261,0.39394,0.078431,0.66992,0.54557,68.644
3.152,0.261,0.39101,0.094118,0.66992,0.56034,69.231
3.16,0.26197,0.3871,0.11373,0.66992,0.58005,71.186
3.168,0.26197,0.38416,0.13333,0.66992,0.59975,75.489
3.176,0.26295,0.38123,0.1549,0.66406,0.61946,83.312
3.184,0.26393,0.3783,0.17451,0.66016,0.64039,94.655
3.192,0.26393,0.37439,0.19412,0.66016,0.6601,108.93
3.2,0.26491,0.37146,0.2098,0.6543,0.67488,125.16
3.208,0.26491,0.36755,0.22353,0.6543,0.68966,141.4
3.216,0.26588,0.36559,0.22941,0.6543,0.69458,155.28
3.224,0.26588,0.36364,0.21961,0.6543,0.69458,165.25
3.232,0.26588,0.36168,0.2,0.66016,0.6798,170.14
3.24,0.26588,0.35875,0.17451,0.66406,0.65025,169.95
3.248,0.26588,0.35582,0.13333,0.66992,0.61453,165.84
3.256,0.26686,0.35288,0.094118,0.67969,0.5702,159.39
3.264,0.26686,0.34897,0.058824,0.67969,0.53448,152.35
3.272,0.26686,0.34604,0.029412,0.67578,0.5,146.09
3.28,0.26686,0.34311,0.013725,0.66406,0.47044,141.2
3.288,0.26686,0.34018,0.0039216,0.66016,0.44458,138.07
3.296,0.26686,0.33822,-0.0019608,0.6543,0.4298,136.31
3.304,0.26686,0.33529,-0.011765,0.64453,0.41995,135.53
3.312,0.26588,0.33333,-0.011765,0.64062,0.41502,134.94
3.32,0.26491,0.33236,-0.011765,0.63477,0.4101,134.55
3.328,0.26393,0.33138,-0.011765,0.63477,0.4101,133.77
