Time [s], RESP, PLETH, II, V, AVR, CVP
1.216,0.435,0.38025,0.23047,0.57451,0.625,3.1258
1.224,0.43793,0.37537,0.23438,0.58431,0.625,2.7446
1.232,0.43988,0.37048,0.2207,0.58431,0.64062,1.9314
1.24,0.44282,0.36755,0.25977,0.6,0.60938,0.88945
1.248,0.44673,0.36657,0.2793,0.59608,0.5957,-0.050826
1.256,0.45064,0.36852,0.27539,0.58431,0.59961,-0.60991
1.264,0.45552,0.37439,0.25,0.60588,0.61523,-0.68615
1.272,0.46334,0.38221,0.29102,0.5902,0.58398,-0.30496
1.28,0.47214,0.39492,0.30469,0.56471,0.58008,0.30496
1.288,0.48289,0.41447,0.29102,0.55098,0.58984,1.0673
1.296,0.49462,0.43304,0.27539,0.57059,0.58984,1.7027
1.304,0.50538,0.44673,0.32031,0.56078,0.56055,2.1855
1.312,0.51711,0.46041,0.33594,0.55098,0.55078,2.3888
1.32,0.52884,0.47312,0.28516,0.56078,0.58398,2.3888
1.328,0.54154,0.48778,0.25586,0.56471,0.61523,2.1855
1.336,0.55718,0.50244,0.25586,0.5549,0.61523,1.9314
1.344,0.57283,0.51613,0.21484,0.57451,0.64453,1.8806
1.352,0.5914,0.52884,0.20508,0.57059,0.63477,1.9314
1.36,0.60997,0.53959,0.23047,0.58039,0.64062,2.1855
1.368,0.63148,0.54839,0.22461,0.57451,0.625,2.6938
1.376,0.65396,0.55621,0.25,0.5902,0.61914,3.2529
1.384,0.67742,0.56207,0.23047,0.58039,0.63477,3.8882
1.392,0.70088,0.56598,0.24023,0.58431,0.62891,4.4473
1.4,0.72239,0.56794,0.23047,0.57451,0.64062,4.9301
1.408,0.74487,0.56989,0.25,0.59608,0.61914,5.3875
1.416,0.7654,0.56989,0.23438,0.5902,0.62891,5.6417
1.424,0.7869,0.56989,0.46484,0.49412,0.48438,5.7433
1.432,0.80938,0.56794,0.79883,0.27843,0.26562,5.6417
1.44,0.83187,0.56696,1.2285,0.12941,-0.013672,5.3875
1.448,0.85533,0.565,1.5,-0.072549,-0.34375,5.0572
1.456,0.87879,0.56109,1.5,-0.42353,-0.4043,4.7522
1.464,0.90029,0.55621,1.0801,-0.45686,0.14062,4.4473
1.472,0.9218,0.54936,0.44531,0.22941,0.50977,4.0661
1.48,0.94135,0.54154,0.070312,0.55098,0.72461,3.5578
1.488,0.96188,0.53177,0.035156,0.68039,0.74414,2.9987
1.496,0.98143,0.52102,0.0058594,0.72157,0.76953,2.5159
1.504,1,0.50929,0.041016,0.71569,0.75391,2.3126
1.512,1,0.49756,0.03125,0.72157,0.74414,2.4396
1.52,1,0.4868,0.054688,0.73137,0.75,2.8208
1.528,1,0.4741,0.041016,0.72157,0.75391,3.3799
1.536,1,0.46237,0.064453,0.72157,0.73047,4.0152
1.544,1,0.45064,0.041016,0.72549,0.75391,4.4473
1.552,1,0.43988,0.070312,0.71569,0.73047,4.6252
1.56,1,0.43011,0.089844,0.71569,0.72461,4.4473
1.568,1,0.42131,0.070312,0.71569,0.73047,4.0661
1.576,1,0.41349,0.089844,0.71569,0.7207,3.6341
1.584,1,0.40665,0.060547,0.72549,0.73438,3.2529
1.592,1,0.3998,0.095703,0.71569,0.70898,3.1258
1.6,1,0.39296,0.11133,0.72549,0.70508,3.202
1.608,1,0.3871,0.089844,0.73529,0.72461,3.507
1.616,1,0.38319,0.095703,0.7451,0.70898,3.8882
1.624,1,0.3783,0.11133,0.75098,0.69922,4.1169
1.632,1,0.37243,0.10547,0.75098,0.70508,4.1169
1.64,1,0.36559,0.125,0.76078,0.68945,3.7611
1.648,1,0.35875,0.10547,0.76667,0.70898,2.7446
1.656,1,0.35191,0.13477,0.77647,0.68555,1.3215
1.664,1,0.34409,0.125,0.77059,0.68945,-0.25413
1.672,1,0.33627,0.099609,0.78627,0.70508,-1.5502
1.68,1,0.32747,0.085938,0.78627,0.71484,-1.9822
1.688,1,0.31867,0.085938,0.78627,0.70898,-1.9822
1.696,1,0.30987,0.064453,0.77059,0.72461,-1.9822
1.704,1,0.29912,0.076172,0.76667,0.71484,-1.6773
1.712,1,0.28935,0.0097656,0.76078,0.75391,-1.0673
1.72,1,0.28055,0.050781,0.73529,0.72461,-0.38119
1.728,1,0.26979,0.054688,0.7098,0.73047,0.25413
1.736,1,0.25806,0.041016,0.6902,0.73438,0.76239
1.744,1,0.24536,0.064453,0.67059,0.71484,1.1182
1.752,1,0.23363,0.099609,0.6451,0.72461,1.2452
1.76,1,0.22092,0.12109,0.61569,0.69531,1.1944
1.768,1,0.21017,0.11523,0.6,0.69922,1.0165
1.776,1,0.20039,0.16602,0.58431,0.66406,0.81321
1.784,1,0.19257,0.19531,0.56471,0.64062,0.63532
1.792,1,0.18768,0.18555,0.57059,0.65039,0.50826
1.8,1,0.18475,0.17969,0.57059,0.6543,0.55909
1.808,1,0.18475,0.21094,0.56078,0.64062,0.68615
1.816,1,0.18671,0.18555,0.5549,0.6543,0.94028
1.824,1,0.18964,0.20508,0.56078,0.64453,1.2452
1.832,1,0.19257,0.18945,0.56078,0.6543,1.6264
1.84,1,0.19648,0.20508,0.57059,0.64062,1.9314
1.848,1,0.20039,0.19531,0.56471,0.65039,2.2618
1.856,1,0.20332,0.21094,0.57451,0.64062,2.5159
1.864,1,0.20528,0.19531,0.57451,0.65039,2.6175
1.872,1,0.20723,0.22461,0.57451,0.62891,2.8208
1.88,1,0.20919,0.18945,0.57059,0.66016,3.075
1.888,1,0.21017,0.25,0.58431,0.60938,3.3799
1.896,1,0.21017,0.2207,0.57451,0.63477,3.6849
1.904,1,0.21017,0.21094,0.56471,0.64453,4.0152
1.912,1,0.21017,0.22461,0.57059,0.63477,4.371
1.92,1,0.21017,0.25977,0.57451,0.60547,4.7014
1.928,1,0.20919,0.26562,0.57059,0.61523,4.7522
1.936,1,0.20723,0.25977,0.57451,0.60547,4.6252
1.944,1,0.20626,0.27539,0.57451,0.59961,4.3202
1.952,1,0.20626,0.28516,0.5549,0.58984,4.0661
1.96,1,0.20821,0.29102,0.52549,0.58984,3.8882
1.968,1,0.21017,0.27539,0.53529,0.5957,3.6849
1.976,1,0.21603,0.29492,0.53922,0.58008,3.3799
1.984,1,0.22385,0.31445,0.52941,0.56055,2.8717
1.992,1,0.2346,0.33594,0.52549,0.55469,2.3888
2,1,0.24731,0.29102,0.51961,0.58398,2.0076
2.008,1,0.26197,0.25586,0.52549,0.60938,2.0584
2.016,1,0.27761,0.25586,0.53529,0.61523,2.5159
2.024,1,0.29521,0.25,0.5451,0.61914,3.1258
2.032,1,0.31476,0.23438,0.53529,0.62891,3.8882
2.04,1,0.33333,0.25586,0.5451,0.61523,4.6252
2.048,1,0.35288,0.24023,0.53922,0.61914,5.3113
2.056,1,0.37146,0.25977,0.55098,0.59961,5.9466
2.064,1,0.38807,0.25,0.53529,0.60938,6.4295
2.072,1,0.40371,0.27539,0.55098,0.58398,6.7598
2.08,1,0.41642,0.24609,0.53922,0.61523,6.8869
2.088,1,0.42815,0.27539,0.5549,0.58984,6.8869
2.096,1,0.43793,0.33008,0.52941,0.56445,6.7598
2.104,1,0.44575,0.56055,0.36471,0.41016,6.5565
2.112,1,0.45161,0.93555,0.12353,0.16602,6.4295
2.12,1,0.45552,1.3535,0.023529,-0.10938,6.5057
2.128,1,0.45943,1.5,-0.18627,-0.36914,6.7598
2.136,1,0.46237,1.5,-0.48824,-0.21875,7.141
2.144,1,0.46334,0.92383,-0.15098,0.21094,7.3698
2.152,1,0.46334,0.30469,0.33529,0.57031,7.4968
2.16,1,0.46041,0.076172,0.56471,0.70508,7.2427
2.168,1,0.4565,0.041016,0.66078,0.73047,6.8107
2.176,1,0.45161,0.054688,0.69608,0.73047,6.3787
2.184,1,0.44477,0.050781,0.70588,0.7207,6.0737
2.192,1,0.43695,0.089844,0.7098,0.70898,5.9466
2.2,1,0.42913,0.076172,0.7,0.72461,5.9975
2.208,1,0.42229,0.089844,0.70588,0.70898,6.1245
2.216,1,0.41642,0.070312,0.6902,0.72461,6.3787
2.224,1,0.40958,0.089844,0.71569,0.70508,6.6836
2.232,1,0.40274,0.089844,0.7098,0.69922,7.014
2.24,1,0.39589,0.089844,0.7,0.70898,7.2427
2.248,1,0.39003,0.085938,0.6902,0.71484,7.4968
2.256,1,0.38416,0.11523,0.7,0.68555,7.7001
2.264,1,0.38025,0.089844,0.6902,0.70898,7.878
2.272,1,0.37537,0.099609,0.71569,0.69922,8.0559
2.28,1,0.37146,0.089844,0.71569,0.70508,8.1321
2.288,1,0.36755,0.12109,0.71569,0.68945,8.0559
2.296,1,0.36461,0.11133,0.72549,0.68945,8.0559
2.304,1,0.36266,0.13086,0.73137,0.67969,8.0559
2.312,1,0.3607,0.12109,0.73529,0.68555,8.183
2.32,1,0.35875,0.125,0.74118,0.67969,8.183
2.328,1,0.35875,0.099609,0.7549,0.69531,8.1321
2.336,1,0.35679,0.125,0.7549,0.67578,7.878
2.344,1,0.35582,0.095703,0.76078,0.69922,7.4968
2.352,1,0.35288,0.085938,0.76667,0.70508,7.1919
2.36,1,0.35093,0.095703,0.76078,0.69922,7.014
2.368,1,0.348,0.076172,0.7451,0.70508,7.014
2.376,0.98631,0.34506,0.099609,0.75098,0.67578,7.1919
2.384,0.97263,0.34213,0.041016,0.74118,0.72461,7.4968
2.392,0.9521,0.33822,0.044922,0.71569,0.7207,7.878
2.4,0.93157,0.33529,0.041016,0.6902,0.72461,8.2592
2.408,0.90811,0.33236,0.054688,0.67647,0.70898,8.5642
2.416,0.88563,0.33138,0.070312,0.6451,0.69922,8.8183
2.424,0.86217,0.32845,0.12109,0.61961,0.66406,8.9962
2.432,0.83871,0.32649,0.11133,0.5902,0.67578,8.9962
2.44,0.81525,0.32454,0.16602,0.57059,0.64062,8.9454
2.448,0.79179,0.3216,0.15039,0.5451,0.66016,8.8691
2.456,0.76344,0.31965,0.21094,0.52941,0.625,8.8691
2.464,0.73509,0.31769,0.2207,0.52549,0.61523,8.9454
2.472,0.70283,0.31574,0.23047,0.51569,0.61914,9.1233
2.48,0.6696,0.31476,0.2207,0.52549,0.625,9.3774
2.488,0.63245,0.31378,0.24023,0.51961,0.61523,9.6315
2.496,0.59531,0.31378,0.26953,0.51569,0.58398,9.8094
2.504,0.55621,0.31281,0.23438,0.52549,0.61523,9.9365
2.512,0.51711,0.31281,0.2207,0.51569,0.625,10.064
2.52,0.47996,0.31281,0.21484,0.52549,0.62891,10.14
2.528,0.44282,0.31281,0.23438,0.52549,0.60938,10.191
2.536,0.40762,0.31183,0.24609,0.53529,0.5957,10.14
2.544,0.37243,0.31183,0.20508,0.52549,0.63477,10.064
2.552,0.33529,0.31085,0.23047,0.53922,0.60938,9.9365
2.56,0.29814,0.31183,0.24609,0.55098,0.61523,9.9365
2.568,0.26002,0.31183,0.23438,0.5451,0.5957,9.9365
2.576,0.2219,0.31183,0.26953,0.55098,0.58398,10.064
2.584,0.18768,0.31281,0.25586,0.55098,0.58984,10.241
2.592,0.15347,0.31378,0.27539,0.5549,0.58008,10.445
2.6,0.12317,0.31574,0.26562,0.55098,0.58984,10.75
2.608,0.092864,0.31769,0.31055,0.51961,0.55078,11.131
2.616,0.062561,0.31965,0.25977,0.5098,0.58984,11.512
2.624,0.032258,0.32258,0.27539,0.52941,0.57422,11.868
2.632,0.01564,0.32747,0.32031,0.51569,0.55078,12.198
2.64,0,0.33333,0.33594,0.51569,0.53906,12.452
2.648,0,0.34213,0.30078,0.52549,0.55469,12.554
2.656,0,0.35288,0.26953,0.51569,0.58008,12.554
2.664,0,0.36559,0.23047,0.52549,0.61914,12.452
2.672,0,0.38025,0.24023,0.52549,0.60938,12.376
2.68,0,0.39589,0.2207,0.52549,0.62891,12.376
2.688,0,0.41251,0.24609,0.53529,0.60547,12.376
2.696,0,0.42913,0.23047,0.52549,0.61523,12.376
2.704,0,0.44575,0.23438,0.52549,0.61914,12.503
2.712,0,0.45943,0.2207,0.51569,0.62891,12.681
2.72,0,0.47214,0.21484,0.53529,0.61523,12.935
2.728,0,0.48387,0.23047,0.53922,0.61914,13.316
2.736,0,0.49658,0.22461,0.5451,0.61523,13.748
2.744,0,0.50733,0.25977,0.55098,0.60547,14.13
2.752,0,0.51711,0.43555,0.4902,0.48047,14.562
2.76,0,0.5259,0.73047,0.27843,0.27539,15.07
2.768,0,0.53275,1.0586,0.14902,0.050781,15.68
2.776,0,0.53959,1.4785,0.062745,-0.21484,16.264
2.784,0,0.54448,1.5,-0.28235,-0.38477,16.747
2.792,0,0.54839,1.3691,-0.46275,-0.070312,17.001
2.8,0,0.5523,0.69531,0.029412,0.33008,17.001
2.808,0,0.55523,0.15039,0.43922,0.65039,16.696
2.816,0,0.55718,0.025391,0.5902,0.72461,16.137
2.824,0,0.55914,0.0097656,0.6549,0.74414,15.502
2.832,0,0.56012,0.0058594,0.67059,0.75391,14.765
2.84,0,0.56109,0.03125,0.68627,0.74414,14.053
2.848,0,0.56109,0.025391,0.68039,0.75,13.443
2.856,0,0.56012,0.054688,0.68627,0.72461,13.139
2.864,0,0.55914,0.025391,0.6902,0.75,13.062
2.872,0,0.55718,0.070312,0.68039,0.70898,13.189
2.88,0,0.55425,0.035156,0.68627,0.74414,13.494
2.888,0,0.5523,0.044922,0.67647,0.73438,13.875
2.896,0,0.55034,0.041016,0.6902,0.74023,14.257
2.904,0,0.54741,0.060547,0.6902,0.72461,14.562
2.912,0,0.56989,0.064453,0.6902,0.73047,14.816
2.92,0,0.60411,0.060547,0.6902,0.70898,14.994
2.928,0,0.61975,0.076172,0.7,0.73047,15.121
2.936,0,0.62659,0.064453,0.70588,0.69922,15.324
2.944,0,0.62952,0.10547,0.7098,0.68945,15.502
2.952,0,0.62854,0.060547,0.72549,0.73047,15.629
2.96,0,0.62659,0.080078,0.73529,0.70898,15.756
2.968,0,0.62268,0.064453,0.73137,0.73047,15.68
2.976,0,0.61877,0.076172,0.75098,0.7207,15.451
2.984,0,0.6129,0.064453,0.76078,0.72461,15.121
2.992,0,0.60802,0.085938,0.76078,0.70508,14.765
3,0,0.60215,0.076172,0.76667,0.71484,14.435
3.008,0,0.59726,0.080078,0.76078,0.70898,14.053
3.016,0,0.59238,0.025391,0.76667,0.74414,13.698
3.024,0,0.58749,0.035156,0.77059,0.73438,13.316
3.032,0,0.58358,0.0058594,0.75098,0.75391,13.011
3.04,0,0.57967,0.041016,0.74118,0.72461,12.808
3.048,0,0.57674,0.015625,0.7,0.74023,12.63
3.056,0,0.5738,0.025391,0.70588,0.73438,12.452
3.064,0,0.57185,0.044922,0.67647,0.71484,12.325
3.072,0,0.56891,0.10547,0.6451,0.67578,12.249
3.08,0,0.56696,0.15625,0.6,0.65039,12.249
3.088,0,0.56403,0.18945,0.57059,0.61914,12.376
3.096,0,0.56207,0.17969,0.53922,0.64062,12.503
3.104,0,0.55914,0.21484,0.53529,0.625,12.554
3.112,0,0.55523,0.20508,0.53922,0.64062,12.681
3.12,0,0.5523,0.21484,0.52549,0.61523,12.681
3.128,0,0.54936,0.18945,0.55098,0.64062,12.757
3.136,0,0.54545,0.18555,0.53529,0.65039,12.681
3.144,0,0.54154,0.21094,0.53922,0.62891,12.63
3.152,0,0.53861,0.20508,0.53529,0.64062,12.503
3.16,0,0.5347,0.2207,0.55098,0.61914,12.376
3.168,0,0.53275,0.19531,0.5451,0.64062,12.325
3.176,0,0.52981,0.20117,0.55098,0.64453,12.325
3.184,0,0.52786,0.18945,0.53529,0.65039,12.249
3.192,0,0.52493,0.21094,0.5549,0.63477,12.249
3.2,0,0.52297,0.2207,0.55098,0.61523,12.249
3.208,0,0.52102,0.16602,0.56078,0.66406,12.325
3.216,0,0.51906,0.15039,0.57059,0.66992,12.452
3.224,0,0.51711,0.24023,0.57451,0.61914,12.681
3.232,0,0.51515,0.35547,0.53529,0.5293,13.266
3.24,0,0.5132,0.65039,0.3451,0.33984,14.13
3.248,0,0.51222,0.99023,0.19412,0.099609,15.121
3.256,0,0.51124,1.375,0.11961,-0.16016,16.137
3.264,0,0.51222,1.5,-0.16667,-0.35938,16.874
3.272,0,0.5132,1.5,-0.44706,-0.16016,17.306
3.28,0,0.51613,0.83984,-0.041176,0.25977,17.255
3.288,0,0.52102,0.24023,0.38039,0.59961,16.569
3.296,0,0.52786,0.035156,0.57059,0.73047,15.502
3.304,0,0.53763,-0.0097656,0.65098,0.75977,14.257
3.312,0,0.54741,0.025391,0.67647,0.76562,13.189
3.32,0,0.55718,0.019531,0.68627,0.74023,12.376
3.328,0,0.56891,0.019531,0.68627,0.75391,11.995
3.336,0,0.58651,0.03125,0.67059,0.75391,11.944
3.344,0,0.60117,0.019531,0.68039,0.75391,12.122
3.352,0,0.6129,0.050781,0.68627,0.73047,12.452
3.36,0,0.62463,0.054688,0.68039,0.73438,12.884
3.368,0,0.63734,0.064453,0.67647,0.73047,13.266
3.376,0,0.64809,0.025391,0.68627,0.75,13.494
3.384,0,0.65787,0.070312,0.67647,0.70898,13.621
3.392,0,0.66667,0.076172,0.6902,0.73438,13.621
3.4,0,0.67449,0.050781,0.6902,0.72461,13.621
3.408,0,0.68035,0.080078,0.70588,0.7207,13.621
3.416,0,0.68426,0.050781,0.7098,0.73047,13.748
3.424,0,0.68719,0.070312,0.71569,0.72461,14.003
3.432,0,0.69013,0.095703,0.72549,0.73047,14.384
3.44,0,0.69208,0.060547,0.73137,0.69922,14.867
3.448,0,0.69306,0.050781,0.73529,0.73438,15.324
3.456,0,0.69404,0.064453,0.76078,0.72461,15.68
3.464,0,0.69306,0.041016,0.75098,0.74023,15.807
3.472,0,0.69208,0.054688,0.76667,0.73047,15.756
3.48,0,0.69013,0.035156,0.78039,0.73438,15.451
3.488,0,0.68817,0.054688,0.77059,0.72461,15.07
3.496,0,0.68524,0.019531,0.76667,0.75391,14.867
3.504,0,0.68035,0.03125,0.7549,0.74023,14.765
3.512,0,0.67546,0.041016,0.74118,0.73047,14.765
3.52,0,0.6696,0.035156,0.72157,0.72461,14.816
3.528,0,0.66276,0.060547,0.70588,0.73438,14.943
3.536,0,0.65591,0.13477,0.66078,0.66992,15.07
3.544,0,0.64712,0.13086,0.62549,0.68555,15.121
3.552,0,0.6393,0.15625,0.6,0.67578,15.248
3.56,0,0.6305,0.16602,0.56471,0.66016,15.248
3.568,0,0.6217,0.18555,0.57059,0.64062,15.248
