Time [s], ABP, RESP, PLETH, V, II, AVR, CVP
0.456,82.725,0.90909,0.39492,0.49511,0.59002,0.42466,24.156
0.464,88.788,0.91984,0.39198,0.49511,0.59002,0.42466,24.026
0.472,95.046,0.92962,0.38905,0.5,0.59491,0.41977,23.896
0.48,100.91,0.94037,0.3871,0.5,0.5998,0.41977,24.026
0.488,105.8,0.95112,0.38514,0.5,0.5998,0.41977,24.026
0.496,109.32,0.9609,0.38416,0.50489,0.61057,0.41977,24.156
0.504,111.28,0.97165,0.38221,0.50978,0.61057,0.41977,24.416
0.512,111.86,0.9824,0.38025,0.50978,0.61546,0.41487,24.545
0.52,110.69,0.9912,0.3783,0.50978,0.62035,0.41487,24.675
0.528,108.54,1,0.37634,0.5,0.62035,0.41487,24.805
0.536,105.41,1,0.37537,0.49022,0.62035,0.41977,24.935
0.544,101.5,1,0.37341,0.48043,0.62035,0.41977,25.195
0.552,97.588,1,0.37146,0.48043,0.62035,0.42466,25.325
0.56,93.481,1,0.3695,0.47456,0.62524,0.42466,25.455
0.568,89.374,1,0.36755,0.47456,0.62524,0.40998,25.455
0.576,85.463,1,0.36657,0.4501,0.64971,0.36986,25.325
0.584,81.356,1,0.36559,0.40509,0.7407,0.30528,25.065
0.592,77.64,1,0.36461,0.35029,0.91585,0.2593,24.805
0.6,73.924,1,0.36559,0.30528,1.001,0.24462,24.416
0.608,70.404,1,0.36852,0.29941,1.001,0.29941,24.026
0.616,67.471,1,0.37439,0.37965,0.82485,0.44031,23.636
0.624,64.928,1,0.38416,0.46967,0.52544,0.58513,23.117
0.632,62.973,1,0.39687,0.50978,0.37476,0.63503,22.468
0.64,61.604,1,0.41251,0.52544,0.36986,0.59002,21.818
0.648,61.017,1,0.43109,0.53033,0.5,0.51468,21.169
0.656,61.017,1,0.45161,0.54012,0.58023,0.45499,20.519
0.664,61.408,1,0.46921,0.54012,0.61546,0.41977,19.74
0.672,62.582,1,0.48583,0.54012,0.63014,0.40509,19.221
0.68,64.146,1,0.50342,0.53033,0.63992,0.4002,18.701
0.688,65.906,1,0.52102,0.52544,0.63992,0.4002,18.312
0.696,68.253,1,0.53568,0.50978,0.64481,0.3953,18.052
0.704,70.6,1,0.54839,0.50489,0.64481,0.38943,17.922
0.712,73.142,1,0.55816,0.5,0.64971,0.38943,17.922
0.72,75.293,1,0.565,0.5,0.64971,0.38943,17.922
0.728,77.445,1,0.56891,0.5,0.64971,0.38943,17.922
0.736,79.009,1,0.56989,0.5,0.65558,0.38454,17.922
0.744,80.183,1,0.56989,0.50489,0.66047,0.37965,17.922
0.752,80.965,1,0.56794,0.5,0.66047,0.37965,17.792
0.76,81.16,1,0.56403,0.5,0.66536,0.37965,17.662
0.768,81.16,1,0.55914,0.5,0.67515,0.37476,17.532
0.776,80.574,1,0.5523,0.5,0.68493,0.36008,17.403
0.784,79.791,1,0.54448,0.5,0.69472,0.35029,17.273
0.792,78.814,1,0.5347,0.5,0.71037,0.33464,17.403
0.8,77.836,1,0.52395,0.49511,0.72505,0.31996,18.052
0.808,76.662,1,0.51222,0.49511,0.73483,0.31507,19.481
0.816,75.293,1,0.50147,0.49511,0.7407,0.31018,21.558
0.824,74.12,1,0.49169,0.49511,0.7456,0.31018,23.896
0.832,72.947,1,0.48289,0.49511,0.7456,0.31507,25.844
0.84,71.773,1,0.47605,0.48532,0.73483,0.31996,27.273
0.848,70.6,1,0.47116,0.48043,0.72016,0.33464,28.052
0.856,69.622,1,0.46823,0.48043,0.70059,0.35029,27.792
0.864,68.84,1,0.46628,0.48043,0.68004,0.36497,26.883
0.872,68.253,1,0.4653,0.48043,0.66536,0.37965,25.584
0.88,67.666,1,0.46432,0.47456,0.65558,0.3953,24.156
0.888,67.275,1,0.46432,0.48043,0.63992,0.40509,23.377
0.896,67.275,1,0.46334,0.48532,0.63503,0.40998,23.117
0.904,67.471,1,0.46237,0.48532,0.63014,0.41487,23.377
0.912,68.253,1,0.46041,0.49022,0.62524,0.41977,23.766
0.92,69.622,1,0.45943,0.49511,0.62524,0.41977,24.156
0.928,71.773,1,0.45748,0.49511,0.62524,0.41977,24.416
0.936,74.707,0.99804,0.4565,0.49511,0.62524,0.41977,24.416
0.944,78.227,0.99609,0.45455,0.5,0.62035,0.41487,24.026
0.952,82.138,0.98338,0.45259,0.50489,0.62035,0.41487,23.377
0.96,86.441,0.9697,0.45064,0.50978,0.62524,0.41487,22.597
0.968,90.743,0.95601,0.44868,0.50978,0.62035,0.41487,22.208
0.976,94.85,0.94135,0.44673,0.51468,0.62035,0.41487,21.818
0.984,98.175,0.92571,0.44477,0.51468,0.62035,0.41487,21.818
0.992,100.91,0.90909,0.44282,0.51468,0.61546,0.41487,22.078
1,102.48,0.89247,0.43891,0.50978,0.61546,0.41487,22.468
1.008,102.87,0.87586,0.43597,0.50489,0.61057,0.41487,22.857
1.016,102.09,0.86022,0.43206,0.5,0.61057,0.41977,23.506
1.024,100.33,0.84457,0.42815,0.49511,0.61057,0.41977,23.896
1.032,97.588,0.82991,0.42522,0.49511,0.6047,0.42466,24.026
1.04,94.068,0.81525,0.42229,0.49511,0.5998,0.42466,23.896
1.048,90.157,0.80059,0.41935,0.49511,0.5998,0.42466,23.766
1.056,85.854,0.78592,0.41642,0.5,0.6047,0.41977,23.506
1.064,81.552,0.77028,0.41447,0.5,0.61057,0.41487,22.987
1.072,77.249,0.75562,0.41349,0.5,0.61057,0.41487,22.468
1.08,73.338,0.74194,0.41153,0.5,0.61057,0.41487,21.948
1.088,69.622,0.72825,0.41153,0.5,0.61057,0.41487,21.688
1.096,66.688,0.71652,0.41251,0.5,0.61546,0.41487,21.299
1.104,64.342,0.70381,0.41447,0.5,0.62035,0.41487,21.039
1.112,62.582,0.69208,0.41838,0.49511,0.62035,0.40998,20.779
1.12,61.213,0.68035,0.42522,0.49511,0.62524,0.40509,20.519
1.128,60.626,0.66862,0.43304,0.49511,0.62524,0.40509,20.13
1.136,60.626,0.65689,0.44379,0.49511,0.63014,0.40509,19.74
1.144,61.017,0.64614,0.45552,0.49511,0.63014,0.40509,19.351
1.152,61.995,0.63539,0.46921,0.49022,0.63014,0.3953,18.961
1.16,63.168,0.62561,0.48192,0.45988,0.66047,0.35519,18.571
1.168,64.733,0.61584,0.49267,0.40509,0.75049,0.29452,18.312
1.176,66.493,0.60606,0.50147,0.33953,0.92564,0.24951,18.052
1.184,68.253,0.59726,0.51124,0.28963,1.001,0.23973,17.922
1.192,70.013,0.58944,0.52004,0.27984,1.001,0.29941,17.792
1.2,71.578,0.58065,0.52688,0.35029,0.81996,0.42955,17.662
1.208,72.751,0.5738,0.53275,0.42955,0.51468,0.57045,17.662
1.216,73.924,0.56598,0.53568,0.46967,0.35029,0.62524,17.662
1.224,74.707,0.55914,0.53763,0.48532,0.33953,0.58513,17.662
1.232,75.098,0.55132,0.53666,0.49511,0.48043,0.50978,17.532
1.24,75.098,0.54545,0.53372,0.5,0.57045,0.44521,17.403
1.248,75.098,0.53959,0.52786,0.50489,0.61057,0.40998,17.403
1.256,74.707,0.53372,0.52102,0.50489,0.63014,0.3953,17.403
1.264,74.12,0.52786,0.5132,0.50489,0.63992,0.38454,17.403
1.272,73.533,0.52199,0.50538,0.5,0.64481,0.37965,17.532
1.28,72.947,0.51613,0.49658,0.5,0.65558,0.37476,17.662
1.288,72.164,0.51026,0.48778,0.50489,0.65558,0.37476,17.922
1.296,71.382,0.50342,0.47801,0.50489,0.66047,0.37476,18.182
1.304,70.6,0.49853,0.47019,0.50978,0.66047,0.37476,18.571
1.312,69.818,0.49267,0.46432,0.50978,0.65558,0.37476,19.091
1.32,69.035,0.48778,0.45943,0.51468,0.65558,0.37476,19.481
1.328,68.057,0.48289,0.4565,0.5,0.65558,0.37476,20
1.336,67.275,0.47801,0.45357,0.49511,0.65558,0.37965,20.519
1.344,66.493,0.4741,0.45161,0.49022,0.64971,0.37965,21.039
1.352,65.711,0.46921,0.45064,0.48532,0.64971,0.37476,21.818
1.36,64.928,0.4653,0.45161,0.48043,0.65558,0.36497,22.597
1.368,64.342,0.46237,0.45259,0.48043,0.67025,0.35519,23.636
1.376,63.559,0.45943,0.45259,0.48043,0.68004,0.33953,24.545
1.384,62.973,0.4565,0.45259,0.48043,0.69472,0.32485,25.455
1.392,62.582,0.45357,0.45259,0.47456,0.71037,0.31507,25.974
1.4,61.995,0.45161,0.45259,0.46477,0.72505,0.30528,26.494
1.408,61.604,0.44868,0.45259,0.45988,0.73483,0.29941,26.753
1.416,61.408,0.44575,0.45161,0.45988,0.7407,0.29452,27.013
1.424,61.213,0.44282,0.45064,0.45988,0.73483,0.29941,27.143
1.432,61.017,0.43988,0.44966,0.45988,0.73483,0.31018,27.143
1.44,61.213,0.43695,0.44868,0.45499,0.72505,0.31996,26.883
1.448,61.604,0.43304,0.44673,0.45988,0.70548,0.32975,26.104
1.456,62.386,0.42913,0.44575,0.46477,0.68982,0.35029,25.195
1.464,63.755,0.42522,0.44477,0.47456,0.67515,0.36497,24.026
1.472,66.102,0.42131,0.44282,0.48043,0.66047,0.37476,23.117
1.48,69.818,0.41642,0.44184,0.48532,0.64971,0.38454,22.338
1.488,74.707,0.41251,0.43891,0.48043,0.63992,0.38943,21.948
1.496,80.769,0.40762,0.43695,0.48043,0.63503,0.3953,21.818
1.504,87.81,0.40274,0.43402,0.48043,0.63503,0.4002,22.078
1.512,95.241,0.39785,0.43109,0.48043,0.63503,0.40509,22.468
1.52,102.87,0.39296,0.42815,0.48043,0.63503,0.4002,22.987
1.528,110.1,0.3871,0.42522,0.48532,0.63503,0.4002,23.377
1.536,116.17,0.38123,0.42326,0.48043,0.63503,0.4002,23.636
1.544,120.47,0.37439,0.42033,0.48043,0.63503,0.40509,23.636
1.552,122.62,0.36755,0.41838,0.47456,0.63503,0.40998,23.506
1.56,123.01,0.3607,0.41642,0.47456,0.63503,0.40509,23.247
1.568,121.64,0.35288,0.41544,0.48043,0.63503,0.40509,22.857
1.576,118.9,0.34604,0.41447,0.48532,0.63503,0.4002,22.468
1.584,115.38,0.3392,0.41251,0.49022,0.63503,0.4002,22.338
1.592,111.08,0.3304,0.41056,0.49511,0.63503,0.4002,22.338
1.6,106.78,0.32258,0.4086,0.49511,0.63503,0.4002,22.468
1.608,102.48,0.31476,0.40665,0.49511,0.63503,0.4002,22.857
1.616,98.37,0.30596,0.40469,0.49511,0.63503,0.4002,23.377
1.624,94.459,0.29717,0.40371,0.5,0.63503,0.4002,23.896
1.632,90.352,0.28935,0.40371,0.49511,0.63992,0.4002,24.286
1.64,86.441,0.28055,0.40371,0.49022,0.63503,0.4002,24.545
1.648,82.725,0.27175,0.40567,0.48043,0.63503,0.4002,24.416
1.656,79.009,0.26393,0.41056,0.48043,0.63992,0.4002,24.026
1.664,75.489,0.25611,0.41544,0.48043,0.63503,0.40509,23.377
1.672,72.36,0.24927,0.42326,0.48043,0.63503,0.40509,22.727
1.68,69.818,0.24242,0.435,0.48532,0.63503,0.40509,22.208
1.688,67.862,0.23558,0.45064,0.49511,0.63503,0.40509,21.558
1.696,66.493,0.22972,0.46921,0.49511,0.63503,0.40509,21.039
1.704,65.906,0.22385,0.49071,0.49022,0.63992,0.40509,20.649
1.712,65.711,0.21896,0.5132,0.48532,0.63992,0.4002,20.26
1.72,66.102,0.21408,0.53568,0.46967,0.64971,0.37476,20
1.728,67.275,0.21017,0.55718,0.42955,0.71037,0.31996,19.74
1.736,69.035,0.20723,0.57576,0.36986,0.85029,0.2544,19.351
1.744,70.991,0.2043,0.59238,0.31018,1.001,0.22016,19.091
1.752,73.338,0.20235,0.60704,0.27006,1.001,0.23483,18.831
1.76,75.685,0.20039,0.61877,0.31018,0.99511,0.33953,18.571
1.768,77.836,0.19941,0.62561,0.4002,0.67515,0.50489,18.442
1.776,79.987,0.19844,0.6305,0.47456,0.41977,0.61057,18.312
1.784,81.747,0.19648,0.63441,0.5,0.36008,0.62035,18.182
1.792,83.116,0.1955,0.63636,0.50978,0.43542,0.54501,18.052
1.8,83.898,0.19453,0.63734,0.50489,0.54012,0.46967,17.922
1.808,84.289,0.19355,0.63636,0.50489,0.5998,0.42955,17.792
1.816,84.094,0.19257,0.63343,0.5,0.62035,0.41487,17.662
1.824,83.507,0.19159,0.62952,0.49511,0.63503,0.4002,17.662
1.832,82.725,0.19062,0.62366,0.49511,0.63992,0.3953,17.403
1.84,81.747,0.19062,0.61486,0.49511,0.64481,0.38454,17.143
1.848,80.574,0.19062,0.60606,0.49511,0.65558,0.37965,16.883
1.856,79.4,0.18964,0.59629,0.49511,0.65558,0.37965,16.753
1.864,78.227,0.18866,0.58651,0.49511,0.65558,0.37965,16.753
1.872,76.858,0.18866,0.57771,0.49022,0.65558,0.37965,16.753
1.88,75.685,0.18768,0.56794,0.48532,0.65558,0.37965,17.013
1.888,74.511,0.18768,0.55914,0.48532,0.65558,0.37476,17.273
1.896,73.533,0.18768,0.55034,0.49022,0.66047,0.36497,17.792
1.904,72.36,0.18768,0.54448,0.49511,0.66047,0.36497,18.701
1.912,71.186,0.18768,0.53959,0.49511,0.66536,0.36008,19.74
1.92,70.209,0.18768,0.53666,0.49511,0.67515,0.35029,21.169
1.928,69.231,0.18866,0.5347,0.49511,0.68493,0.33953,22.727
1.936,68.449,0.18866,0.53372,0.49022,0.69472,0.32975,24.416
1.944,67.666,0.18964,0.53275,0.48532,0.70548,0.31996,25.844
1.952,66.884,0.18964,0.53275,0.48043,0.71037,0.31507,26.753
1.96,66.297,0.19062,0.53177,0.46967,0.71526,0.31018,27.013
1.968,65.711,0.19159,0.52981,0.45988,0.72505,0.31018,26.883
1.976,65.319,0.19159,0.52786,0.45988,0.72505,0.31018,26.364
1.984,64.928,0.19257,0.5259,0.45988,0.72016,0.31996,25.974
1.992,64.733,0.19355,0.52297,0.45499,0.71037,0.32975,25.714
2,64.537,0.19453,0.52004,0.45499,0.70059,0.33953,25.844
2.008,64.733,0.19453,0.51613,0.45499,0.68982,0.35519,26.104
2.016,64.928,0.1955,0.5132,0.45988,0.67515,0.36497,26.234
2.024,65.711,0.19648,0.50929,0.45988,0.66536,0.37965,26.104
2.032,66.688,0.19648,0.50538,0.45988,0.65558,0.38943,25.584
2.04,68.253,0.19648,0.50147,0.46477,0.63992,0.4002,24.805
2.048,70.795,0.19746,0.49756,0.46967,0.63503,0.40509,23.896
2.056,74.12,0.19648,0.49267,0.46967,0.62524,0.40998,23.117
2.064,78.618,0.19648,0.48974,0.46967,0.62524,0.40998,22.468
2.072,84.094,0.1955,0.4868,0.46967,0.62524,0.41487,22.208
2.08,89.961,0.19453,0.48289,0.47456,0.62524,0.40998,22.208
2.088,96.024,0.19257,0.47898,0.48043,0.62524,0.40509,22.468
2.096,102.09,0.19062,0.47507,0.49022,0.62524,0.40509,22.857
2.104,107.76,0.18768,0.47116,0.49511,0.62035,0.40509,23.117
2.112,112.26,0.18475,0.46823,0.49022,0.62035,0.40509,23.377
2.12,115.38,0.17986,0.46432,0.48532,0.61546,0.40509,23.377
2.128,116.75,0.17595,0.45943,0.48043,0.61546,0.40509,23.247
2.136,116.75,0.17204,0.45552,0.48043,0.62035,0.40998,22.987
2.144,115.19,0.16813,0.45161,0.48043,0.62035,0.41487,22.857
2.152,112.65,0.16422,0.4477,0.48043,0.61546,0.41487,22.597
2.16,109.32,0.16031,0.44477,0.48043,0.61546,0.41977,22.727
2.168,105.41,0.15543,0.44184,0.48043,0.61057,0.41487,22.857
2.176,101.11,0.15054,0.43988,0.48043,0.61057,0.41487,23.117
2.184,97.001,0.14565,0.43695,0.48043,0.61546,0.41487,23.506
2.192,92.699,0.14076,0.435,0.48532,0.61546,0.41487,23.896
2.2,88.396,0.13587,0.43304,0.48532,0.62035,0.40998,24.156
2.208,84.289,0.13196,0.43109,0.48532,0.62035,0.40998,24.156
2.216,80.183,0.12903,0.43011,0.48532,0.62035,0.40998,23.896
2.224,76.271,0.12512,0.43011,0.48532,0.62035,0.40998,23.377
2.232,72.947,0.12219,0.43109,0.48532,0.62524,0.40998,22.597
2.24,69.818,0.11828,0.43597,0.48532,0.62524,0.40998,21.948
2.248,67.471,0.11437,0.44184,0.49022,0.62524,0.40998,21.299
2.256,65.711,0.11144,0.45161,0.49022,0.62524,0.40998,20.779
2.264,64.537,0.1085,0.46237,0.48532,0.62524,0.40509,20.26
2.272,63.95,0.10655,0.4741,0.48043,0.62035,0.40509,19.74
2.28,63.95,0.10557,0.48974,0.46967,0.62035,0.40998,19.351
2.288,64.537,0.10459,0.50733,0.46477,0.62035,0.40998,18.961
2.296,65.711,0.10362,0.52493,0.46477,0.62035,0.40998,18.571
2.304,67.275,0.10362,0.54154,0.46477,0.62035,0.40998,18.312
2.312,69.035,0.10362,0.55621,0.46967,0.63014,0.40509,17.922
2.32,71.186,0.10459,0.56989,0.46967,0.63503,0.4002,17.662
2.328,73.338,0.10557,0.58162,0.46967,0.63503,0.4002,17.403
2.336,75.098,0.10655,0.59042,0.46477,0.63992,0.4002,17.143
2.344,76.858,0.1085,0.59726,0.46477,0.63014,0.40509,16.883
2.352,78.422,0.11046,0.60117,0.46477,0.62524,0.40509,16.753
2.36,79.4,0.11241,0.60313,0.46477,0.63014,0.40509,16.623
2.368,80.183,0.11437,0.60313,0.46967,0.63503,0.40509,16.494
2.376,80.378,0.11632,0.60117,0.47456,0.63503,0.4002,16.234
2.384,80.378,0.11926,0.59824,0.47456,0.63503,0.4002,16.104
2.392,79.791,0.12121,0.59335,0.47456,0.63992,0.3953,15.974
2.4,79.205,0.12414,0.58651,0.46477,0.64971,0.36986,15.844
2.408,78.227,0.12708,0.57674,0.42466,0.70548,0.31018,15.714
2.416,77.249,0.13001,0.56598,0.36986,0.82485,0.2544,15.714
2.424,76.271,0.13392,0.55425,0.31507,1,0.22994,15.714
2.432,75.098,0.13783,0.5435,0.28963,1.001,0.26517,15.844
2.44,73.924,0.14174,0.53177,0.31507,0.95499,0.37965,15.974
2.448,72.751,0.14565,0.52199,0.3953,0.66047,0.53523,16.494
2.456,71.578,0.14956,0.51417,0.45988,0.4002,0.65558,17.143
2.464,70.6,0.15445,0.50929,0.48043,0.32485,0.67025,17.922
2.472,69.426,0.15836,0.5044,0.48043,0.4002,0.57534,18.701
2.48,68.449,0.16227,0.50147,0.48043,0.51468,0.48532,19.221
2.488,67.471,0.16813,0.49951,0.48043,0.58023,0.42466,19.481
2.496,66.688,0.174,0.49756,0.47456,0.61057,0.3953,19.481
2.504,65.906,0.18182,0.49658,0.47456,0.62035,0.38454,19.221
2.512,65.124,0.18866,0.4956,0.47456,0.62524,0.37965,18.831
2.52,64.537,0.1955,0.49462,0.47456,0.62035,0.38454,18.312
2.528,63.755,0.20235,0.49365,0.48043,0.61546,0.38943,17.922
2.536,63.168,0.20919,0.49169,0.48043,0.62035,0.38454,17.792
2.544,62.777,0.21603,0.48876,0.48043,0.62035,0.38454,18.052
2.552,62.386,0.22385,0.4868,0.48532,0.62035,0.38454,18.312
2.56,61.995,0.23167,0.48485,0.48532,0.62524,0.37965,18.831
2.568,61.604,0.24047,0.48289,0.48532,0.62524,0.37965,19.351
2.576,61.408,0.24927,0.47996,0.48532,0.63014,0.37965,20.26
2.584,61.408,0.25904,0.47605,0.48043,0.63503,0.37476,21.039
2.592,61.213,0.26882,0.47214,0.47456,0.63992,0.36497,22.078
2.6,61.213,0.27859,0.46823,0.45988,0.64971,0.36008,23.117
2.608,61.017,0.28837,0.46334,0.4501,0.65558,0.35519,24.156
2.616,61.213,0.29717,0.45846,0.44031,0.66536,0.35029,25.195
2.624,61.213,0.30596,0.45455,0.43542,0.67515,0.33464,26.104
2.632,61.408,0.31476,0.45064,0.42955,0.68493,0.31996,26.753
2.64,61.408,0.32258,0.44673,0.42955,0.68982,0.31507,27.273
2.648,61.604,0.33138,0.44282,0.42955,0.70059,0.31507,27.403
2.656,61.799,0.34018,0.43988,0.42955,0.71037,0.31018,27.403
2.664,61.995,0.34995,0.43695,0.42955,0.71037,0.31018,27.273
2.672,62.19,0.35875,0.43304,0.42955,0.70059,0.31996,26.494
2.68,62.386,0.36755,0.43011,0.43542,0.68982,0.32975,25.455
2.688,62.582,0.37634,0.42522,0.44031,0.68004,0.33953,24.026
2.696,62.973,0.38416,0.42131,0.44521,0.67025,0.35029,22.727
2.704,63.755,0.39198,0.4174,0.45499,0.65558,0.36497,21.688
2.712,65.124,0.40078,0.41349,0.46477,0.63503,0.37965,21.299
2.72,67.471,0.4086,0.41056,0.46967,0.62524,0.38943,21.299
2.728,70.795,0.41838,0.40665,0.47456,0.61546,0.4002,21.818
2.736,75.489,0.42815,0.40371,0.47456,0.61057,0.40509,22.597
2.744,81.356,0.43793,0.3998,0.47456,0.6047,0.41487,23.377
2.752,88.201,0.4477,0.39687,0.47456,0.59491,0.41487,24.026
2.76,95.437,0.45748,0.39492,0.46477,0.59002,0.41977,24.286
2.768,102.67,0.46823,0.39296,0.45988,0.59002,0.41977,24.286
2.776,109.13,0.47801,0.39003,0.45988,0.59491,0.41487,24.026
2.784,114.6,0.4868,0.38612,0.45499,0.5998,0.40998,23.636
2.792,118.51,0.49658,0.38319,0.44521,0.5998,0.40509,23.117
2.8,120.47,0.50538,0.38123,0.44031,0.61057,0.40509,22.857
2.808,120.47,0.51515,0.37928,0.44031,0.61546,0.40509,22.597
2.816,118.51,0.5259,0.37732,0.43542,0.62035,0.40509,22.597
2.824,115.58,0.53666,0.37634,0.43542,0.62524,0.40509,22.727
2.832,111.67,0.54741,0.37537,0.44031,0.63014,0.40509,22.857
2.84,107.37,0.55718,0.37439,0.44521,0.63503,0.40509,23.247
2.848,102.87,0.56794,0.37243,0.4501,0.63503,0.4002,23.636
2.856,98.566,0.57674,0.37146,0.4501,0.64481,0.3953,24.026
2.864,94.459,0.58651,0.37146,0.45499,0.64481,0.3953,24.286
2.872,90.352,0.59726,0.37048,0.45988,0.64481,0.3953,24.286
2.88,86.441,0.60899,0.37048,0.46477,0.64481,0.3953,24.026
2.888,82.725,0.62072,0.3695,0.47456,0.64481,0.3953,23.377
2.896,78.814,0.63343,0.37048,0.47456,0.63992,0.3953,22.468
2.904,75.098,0.64516,0.37341,0.46477,0.63503,0.3953,21.558
2.912,71.773,0.65787,0.37928,0.46477,0.63014,0.4002,20.649
2.92,68.84,0.67058,0.39003,0.46477,0.62524,0.40509,19.87
2.928,66.493,0.68426,0.40371,0.46477,0.62524,0.40509,19.221
2.936,64.537,0.69599,0.42131,0.45988,0.62524,0.40509,18.701
2.944,63.364,0.70772,0.44184,0.45988,0.62524,0.40509,18.312
2.952,62.777,0.71945,0.46432,0.45988,0.62524,0.40509,17.922
2.96,62.777,0.73118,0.48485,0.45988,0.62524,0.40509,17.662
2.968,63.168,0.74389,0.50244,0.45988,0.62524,0.40509,17.532
2.976,64.342,0.75758,0.52199,0.45499,0.62524,0.40509,17.143
2.984,65.906,0.77126,0.54057,0.45499,0.62524,0.40509,16.883
2.992,68.057,0.78495,0.55718,0.44521,0.63014,0.38454,16.494
3,70.404,0.79765,0.57185,0.41977,0.67515,0.33464,15.974
3.008,72.751,0.81134,0.5826,0.36497,0.7955,0.27006,15.584
3.016,75.098,0.82307,0.5914,0.31996,0.98043,0.23483,15.195
3.024,77.445,0.83578,0.59726,0.29941,1.001,0.2544,14.805
3.032,79.4,0.84946,0.6002,0.33464,0.98043,0.35029,14.545
3.04,80.965,0.86315,0.60215,0.42955,0.68004,0.51468,14.416
3.048,82.138,0.87781,0.60117,0.50978,0.4002,0.63992,14.286
