Time [s], RESP, PLETH, II, V, AVR, ART, CVP
0.656,0.23069,0.48876,0.49015,0.70508,0.6902,52.999,14.301
0.664,0.23167,0.46921,0.5197,0.70508,0.67059,52.608,14.715
0.672,0.23363,0.45161,0.55542,0.70508,0.6451,52.021,15.078
0.68,0.2346,0.43597,0.58498,0.70898,0.61961,51.434,15.44
0.688,0.23558,0.42229,0.60961,0.70508,0.6,51.043,15.596
0.696,0.23656,0.41056,0.62438,0.69922,0.5902,50.652,15.337
0.704,0.23851,0.40176,0.63054,0.68945,0.58431,50.652,14.663
0.712,0.23949,0.39492,0.61946,0.68555,0.5902,52.021,13.575
0.72,0.24145,0.39003,0.59975,0.67969,0.6,55.737,12.383
0.728,0.24242,0.38612,0.57512,0.67578,0.61961,62.582,11.399
0.736,0.2434,0.38221,0.54557,0.66992,0.64118,71.773,10.829
0.744,0.24438,0.3783,0.5197,0.66406,0.66471,82.138,10.622
0.752,0.24536,0.37537,0.49015,0.66016,0.68627,92.112,10.829
0.76,0.24633,0.37243,0.46552,0.6543,0.7,101.11,11.244
0.768,0.24731,0.3695,0.44951,0.65039,0.71569,109.32,11.813
0.776,0.24731,0.36657,0.43966,0.64453,0.72549,116.17,12.176
0.784,0.24829,0.36266,0.43473,0.64062,0.73137,120.67,12.332
0.792,0.24829,0.35973,0.4298,0.64062,0.73529,122.62,12.124
0.8,0.24927,0.35582,0.4298,0.64062,0.73529,122.82,11.762
0.808,0.24927,0.35191,0.4298,0.63477,0.73137,121.64,11.399
0.816,0.24927,0.34897,0.4298,0.63477,0.73137,119.88,11.088
0.824,0.24829,0.34506,0.43473,0.63477,0.72549,117.54,10.933
0.832,0.24829,0.34115,0.43966,0.63477,0.72157,114.99,11.036
0.84,0.24731,0.33627,0.44951,0.63477,0.72157,112.06,11.192
0.848,0.24633,0.3304,0.45443,0.63477,0.71569,109.13,11.451
0.856,0.24536,0.32551,0.45443,0.64062,0.71569,106.19,11.658
0.864,0.2434,0.31965,0.46059,0.64062,0.7098,103.26,11.865
0.872,0.24145,0.31378,0.45443,0.64062,0.71569,100.33,12.073
0.88,0.23851,0.30792,0.45443,0.64062,0.71569,97.588,12.28
0.888,0.23754,0.30303,0.45443,0.64062,0.71569,94.85,12.435
0.896,0.23558,0.29717,0.45443,0.64062,0.71569,92.112,12.591
0.904,0.2346,0.29228,0.45443,0.64062,0.7098,89.57,12.694
0.912,0.23265,0.28837,0.46552,0.65039,0.70588,86.832,12.85
0.92,0.23167,0.28446,0.4803,0.66016,0.69608,84.094,13.005
0.928,0.23069,0.27957,0.49507,0.66992,0.68627,81.16,13.264
0.936,0.22874,0.2737,0.50493,0.67969,0.67647,78.227,13.523
0.944,0.22776,0.26784,0.53448,0.68555,0.6549,75.293,13.834
0.952,0.22581,0.26393,0.55542,0.67969,0.6451,72.36,14.145
0.96,0.22483,0.26295,0.55049,0.6543,0.6451,69.818,14.508
0.968,0.22483,0.26686,0.53941,0.64062,0.6451,67.471,14.819
0.976,0.22385,0.27957,0.52956,0.62891,0.6549,65.515,15.13
0.984,0.22385,0.30108,0.50985,0.625,0.66471,63.755,15.13
0.992,0.22287,0.33236,0.47537,0.625,0.6902,62.386,14.974
1,0.22287,0.37146,0.43966,0.62891,0.71569,61.213,14.456
1.008,0.22287,0.41153,0.41995,0.62891,0.73529,60.43,13.938
1.016,0.22385,0.45064,0.4101,0.62891,0.74118,59.648,13.472
1.024,0.22385,0.49658,0.40517,0.625,0.7451,59.257,13.005
1.032,0.22483,0.5435,0.40025,0.625,0.7451,59.061,12.85
1.04,0.22581,0.58749,0.40025,0.625,0.7451,59.061,12.746
1.048,0.22776,0.62659,0.40025,0.625,0.75098,59.061,12.85
1.056,0.22874,0.65982,0.40517,0.625,0.75098,59.257,13.057
1.064,0.23069,0.68817,0.41502,0.63477,0.73529,59.452,13.472
1.072,0.23167,0.70968,0.46059,0.61523,0.69608,59.648,13.886
1.08,0.23363,0.7263,0.58498,0.56055,0.57451,59.844,14.404
1.088,0.2346,0.73803,0.81034,0.45508,0.38039,60.039,15.026
1.096,0.23558,0.74487,1.0049,0.29102,0.19412,60.039,15.596
1.104,0.23656,0.74878,1.0099,0.16992,0.17843,60.039,16.114
1.112,0.23851,0.7478,0.64039,0.23438,0.47451,60.039,16.528
1.12,0.24047,0.74585,0.4298,0.4043,0.68627,60.039,16.684
1.128,0.2434,0.74194,0.36453,0.56055,0.76667,59.844,16.684
1.136,0.24536,0.73607,0.36453,0.64453,0.77647,59.452,16.528
1.144,0.24731,0.72825,0.36946,0.67578,0.78039,59.257,16.114
1.152,0.24927,0.71945,0.38054,0.68555,0.77647,58.866,15.648
1.16,0.25122,0.70772,0.38547,0.68555,0.77647,58.279,15.285
1.168,0.2522,0.69501,0.39039,0.68555,0.77059,57.888,14.974
1.176,0.25415,0.68035,0.39532,0.68945,0.76667,57.497,14.87
1.184,0.25611,0.66373,0.40517,0.68945,0.7549,56.91,14.87
1.192,0.25709,0.64614,0.41502,0.68945,0.75098,56.323,14.819
1.2,0.25904,0.62561,0.41995,0.69531,0.7451,55.737,14.715
1.208,0.261,0.60606,0.4298,0.69922,0.74118,55.15,14.404
1.216,0.26295,0.58749,0.43966,0.69922,0.73529,54.563,13.99
1.224,0.26491,0.56598,0.44458,0.69922,0.73137,53.977,13.575
1.232,0.26686,0.5435,0.45443,0.69922,0.72157,53.585,13.316
1.24,0.26882,0.52004,0.47044,0.69922,0.7098,52.999,13.264
1.248,0.27077,0.49756,0.49015,0.70508,0.69608,52.608,13.523
1.256,0.27175,0.47703,0.51478,0.70508,0.68039,52.021,13.938
1.264,0.27273,0.45846,0.54557,0.70508,0.66078,51.63,14.508
1.272,0.27468,0.44184,0.58005,0.70898,0.62941,51.043,15.078
1.28,0.27664,0.42717,0.60468,0.70898,0.60588,50.456,15.492
1.288,0.27957,0.41544,0.62438,0.70508,0.5902,50.065,15.492
1.296,0.28152,0.40567,0.63547,0.69922,0.58431,49.674,14.974
1.304,0.28348,0.39785,0.63547,0.68945,0.58431,50.261,13.834
1.312,0.28641,0.39296,0.61946,0.68555,0.59608,52.608,12.487
1.32,0.28739,0.38807,0.59975,0.67969,0.60588,57.888,11.399
1.328,0.28935,0.38319,0.5702,0.67578,0.62941,66.102,10.622
1.336,0.2913,0.37928,0.53941,0.66992,0.6549,76.467,10.466
1.344,0.29423,0.37634,0.50985,0.66992,0.67647,86.832,10.622
1.352,0.29619,0.37243,0.48522,0.66406,0.6902,96.61,11.192
1.36,0.29912,0.3695,0.46552,0.66016,0.7098,105.22,11.813
1.368,0.30108,0.36559,0.44951,0.6543,0.71569,112.65,12.383
1.376,0.30401,0.36266,0.44458,0.65039,0.72157,118.32,12.694
1.384,0.30499,0.35875,0.43966,0.64453,0.73137,121.64,12.642
1.392,0.30694,0.35484,0.43966,0.64453,0.73137,122.62,12.332
1.4,0.30792,0.34995,0.43966,0.64062,0.72549,122.03,11.969
1.408,0.3089,0.34702,0.43966,0.64062,0.72157,120.47,11.658
1.416,0.30987,0.34409,0.43966,0.64062,0.72157,118.51,11.503
1.424,0.31085,0.3392,0.44951,0.64062,0.72157,116.17,11.554
1.432,0.31085,0.33529,0.44951,0.64062,0.72157,113.62,11.762
1.44,0.31085,0.32942,0.45443,0.64062,0.71569,110.69,12.021
1.448,0.31085,0.32454,0.45443,0.64062,0.71569,107.76,12.28
1.456,0.30987,0.31867,0.46059,0.64062,0.7098,104.43,12.383
1.464,0.3089,0.31378,0.46552,0.64453,0.7098,101.5,12.591
1.472,0.30792,0.30792,0.46552,0.64453,0.7098,98.761,12.746
1.48,0.30596,0.30205,0.46552,0.64453,0.7098,96.219,12.953
1.488,0.30499,0.29619,0.46552,0.64453,0.7098,93.677,13.161
1.496,0.30303,0.2913,0.46552,0.64453,0.7098,90.939,13.316
1.504,0.30205,0.28739,0.47537,0.65039,0.70588,88.201,13.523
1.512,0.3001,0.28348,0.49015,0.66016,0.69608,85.463,13.627
1.52,0.29814,0.27859,0.5,0.66992,0.6902,82.725,13.834
1.528,0.29717,0.2737,0.50493,0.67969,0.68627,79.791,13.99
1.536,0.29619,0.26686,0.52463,0.68555,0.66471,76.858,14.249
1.544,0.29619,0.26197,0.55542,0.68945,0.65098,73.729,14.456
1.552,0.29619,0.25806,0.56034,0.66016,0.6451,70.991,14.663
1.56,0.29619,0.25904,0.55049,0.64062,0.65098,68.644,14.819
1.568,0.29619,0.26686,0.53941,0.63477,0.65098,66.493,15.078
1.576,0.29619,0.2825,0.52463,0.62891,0.66078,64.733,15.181
1.584,0.29619,0.3089,0.5,0.62891,0.67647,63.168,15.389
1.592,0.29717,0.34506,0.46552,0.63477,0.70588,61.995,15.492
1.6,0.29814,0.38905,0.43966,0.63477,0.72549,61.017,15.699
1.608,0.29912,0.43109,0.4298,0.63477,0.73529,60.235,15.907
1.616,0.30108,0.47214,0.41995,0.64062,0.73529,59.844,16.062
1.624,0.30205,0.51906,0.41502,0.63477,0.74118,59.452,16.321
1.632,0.30401,0.565,0.41502,0.63477,0.74118,59.452,16.528
1.64,0.30499,0.60704,0.4101,0.62891,0.74118,59.452,16.632
1.648,0.30596,0.64418,0.4101,0.62891,0.74118,59.648,16.839
1.656,0.30792,0.67546,0.42488,0.64062,0.73529,59.844,16.943
1.664,0.30987,0.70088,0.46552,0.625,0.7,60.235,17.15
1.672,0.31281,0.72043,0.57512,0.58008,0.60588,60.43,17.254
1.68,0.31574,0.73509,0.78941,0.49023,0.42549,60.821,17.409
1.688,0.31965,0.74487,1.0246,0.32422,0.22353,61.017,17.513
1.696,0.32258,0.74976,1.0702,0.17578,0.17451,61.017,17.565
1.704,0.32747,0.75171,0.75,0.15625,0.4,61.017,17.565
1.712,0.33138,0.74976,0.4803,0.35547,0.64118,61.017,17.513
1.72,0.33529,0.74682,0.37562,0.53516,0.75098,60.821,17.409
1.728,0.34018,0.74194,0.36453,0.63477,0.77647,60.43,17.254
1.736,0.34311,0.73509,0.36946,0.67578,0.78039,60.235,17.15
1.744,0.34702,0.72336,0.37562,0.68945,0.77647,59.844,17.202
1.752,0.35093,0.70968,0.38547,0.69531,0.77059,59.452,17.254
1.76,0.35484,0.69599,0.39532,0.69922,0.76667,59.061,17.15
1.768,0.35875,0.68133,0.40025,0.69922,0.76078,58.475,16.839
1.776,0.36266,0.66569,0.4101,0.69531,0.7549,58.083,16.58
1.784,0.36559,0.64907,0.41502,0.69531,0.75098,57.497,16.58
1.792,0.3695,0.62952,0.42488,0.69531,0.74118,57.106,16.632
1.8,0.37243,0.60997,0.43473,0.69531,0.73529,56.519,16.632
1.808,0.37634,0.5914,0.43966,0.69531,0.73137,56.128,16.425
1.816,0.37928,0.57283,0.44951,0.69922,0.72157,55.541,16.114
1.824,0.38319,0.5523,0.46552,0.69922,0.7098,55.15,15.959
1.832,0.3871,0.53079,0.4803,0.69922,0.70588,54.759,15.907
1.84,0.39101,0.51026,0.5,0.70508,0.6902,54.172,16.01
1.848,0.39492,0.49071,0.5197,0.70508,0.67647,53.781,16.218
1.856,0.39883,0.47214,0.54557,0.70898,0.6549,53.194,16.425
1.864,0.40274,0.45552,0.58005,0.70898,0.63529,52.803,16.684
1.872,0.40665,0.44086,0.60961,0.70508,0.6098,52.216,16.839
1.88,0.40958,0.42913,0.63054,0.69922,0.59608,51.63,16.891
1.888,0.41349,0.41838,0.64039,0.69531,0.58431,51.434,16.788
1.896,0.4174,0.40958,0.64532,0.68555,0.58431,51.825,16.373
1.904,0.42033,0.40371,0.63054,0.67969,0.5902,54.172,15.907
1.912,0.42424,0.3998,0.60961,0.67578,0.60588,59.648,15.389
1.92,0.42717,0.39492,0.58005,0.66992,0.62549,68.449,14.974
1.928,0.43109,0.39198,0.54557,0.66406,0.65098,79.009,14.715
1.936,0.435,0.38807,0.51478,0.66406,0.67059,89.961,14.663
1.944,0.43793,0.38514,0.48522,0.6543,0.69608,99.544,14.767
1.952,0.44184,0.38221,0.46552,0.65039,0.7098,108.34,14.87
1.96,0.44477,0.37928,0.44951,0.64453,0.72157,115.58,15.078
1.968,0.4477,0.37634,0.43966,0.64062,0.73137,121.06,15.13
1.976,0.45064,0.37243,0.43473,0.64062,0.73529,123.99,15.13
1.984,0.45357,0.36852,0.4298,0.63477,0.73529,124.38,15.026
1.992,0.45552,0.36364,0.4298,0.63477,0.73137,123.6,14.974
2,0.45846,0.35973,0.4298,0.62891,0.73137,121.84,15.026
2.008,0.45943,0.35582,0.43473,0.625,0.73137,119.69,15.181
2.016,0.46041,0.35288,0.43473,0.62891,0.72157,117.34,15.492
2.024,0.46139,0.348,0.43966,0.62891,0.72157,114.6,15.699
2.032,0.46139,0.34409,0.43966,0.62891,0.72157,111.67,15.907
2.04,0.46139,0.3392,0.44951,0.63477,0.72157,108.74,16.062
2.048,0.46041,0.33431,0.45443,0.63477,0.71569,105.8,16.218
2.056,0.45943,0.32845,0.45443,0.63477,0.71569,103.06,16.373
2.064,0.45846,0.32356,0.45443,0.63477,0.71569,100.13,16.58
2.072,0.45748,0.31867,0.45443,0.63477,0.71569,97.393,16.839
2.08,0.45748,0.31476,0.45443,0.63477,0.71569,94.85,17.098
2.088,0.4565,0.30987,0.45443,0.63477,0.71569,92.112,17.254
2.096,0.45552,0.30499,0.45443,0.64062,0.7098,89.374,17.409
2.104,0.45455,0.30108,0.46552,0.64062,0.7098,86.832,17.513
2.112,0.45259,0.29814,0.4803,0.6543,0.7,84.094,17.617
2.12,0.45161,0.29326,0.48522,0.66406,0.69608,81.16,17.824
2.128,0.44966,0.28837,0.49507,0.66992,0.6902,78.227,18.031
2.136,0.44868,0.2825,0.5197,0.67969,0.67059,75.489,18.187
2.144,0.4477,0.27957,0.53941,0.66406,0.6549,72.751,18.342
2.152,0.44575,0.27957,0.54557,0.64062,0.6549,70.209,18.446
2.16,0.44477,0.28641,0.52956,0.625,0.6549,68.057,18.653
2.168,0.44282,0.30108,0.52463,0.61914,0.66078,66.297,18.756
2.176,0.44184,0.32551,0.50493,0.61523,0.67059,64.733,18.912
2.184,0.43988,0.35875,0.4803,0.61914,0.68627,63.364,19.016
2.192,0.43793,0.40078,0.44951,0.61914,0.7098,62.386,19.223
2.2,0.43695,0.4477,0.4298,0.625,0.73137,61.408,19.378
2.208,0.435,0.49071,0.41995,0.625,0.73529,60.821,19.534
2.216,0.43402,0.52981,0.4101,0.625,0.73529,60.43,19.637
2.224,0.43304,0.57283,0.40517,0.61914,0.74118,60.43,19.845
2.232,0.43206,0.6129,0.40517,0.61914,0.74118,60.235,19.948
2.24,0.43109,0.64809,0.40517,0.61914,0.7451,60.235,20.052
2.248,0.43011,0.6784,0.4101,0.61914,0.74118,60.43,20.259
2.256,0.42913,0.70283,0.4298,0.62891,0.73137,60.626,20.311
2.264,0.42815,0.72141,0.48522,0.59961,0.67647,60.626,20.311
2.272,0.42717,0.73412,0.64039,0.53906,0.55098,60.821,20.259
2.28,0.42717,0.74389,0.89532,0.42578,0.33922,60.821,20
2.288,0.4262,0.74878,1.08,0.24609,0.16863,60.821,19.43
2.296,0.4262,0.74976,0.94951,0.14062,0.23922,60.821,18.497
2.304,0.4262,0.7478,0.63054,0.22461,0.5,60.626,17.306
2.312,0.4262,0.74389,0.41502,0.41602,0.7,60.43,16.114
2.32,0.42717,0.73803,0.35468,0.57031,0.77059,60.039,15.337
2.328,0.42815,0.73118,0.35961,0.64453,0.77647,59.844,15.181
2.336,0.42913,0.72239,0.36453,0.66992,0.77647,59.452,15.648
2.344,0.43011,0.71163,0.36946,0.67969,0.77647,59.061,16.321
2.352,0.43109,0.6999,0.37562,0.67969,0.77647,58.475,17.098
2.36,0.43109,0.68622,0.38547,0.68555,0.77059,58.279,17.565
2.368,0.43206,0.67058,0.39039,0.68555,0.76667,57.888,17.824
2.376,0.43304,0.65396,0.39532,0.68555,0.76078,57.301,17.72
2.384,0.43304,0.63539,0.40025,0.68555,0.7549,56.91,17.254
2.392,0.43304,0.61486,0.4101,0.68555,0.75098,56.519,16.58
2.4,0.43304,0.59335,0.41995,0.68945,0.7451,55.932,15.751
2.408,0.43206,0.5738,0.4298,0.68945,0.74118,55.346,14.974
2.416,0.43109,0.55425,0.43473,0.68945,0.73529,54.954,14.456
2.424,0.42913,0.53372,0.44951,0.68945,0.72157,54.368,14.145
2.432,0.42815,0.5132,0.46552,0.69531,0.7098,53.977,14.145
2.44,0.4262,0.49267,0.48522,0.69922,0.69608,53.585,14.404
2.448,0.42424,0.4741,0.50985,0.70508,0.67647,53.194,14.767
2.456,0.42229,0.45748,0.53941,0.70508,0.6549,52.608,15.181
2.464,0.41935,0.44282,0.5702,0.70898,0.63529,52.021,15.648
2.472,0.41642,0.43011,0.59975,0.70508,0.6098,51.434,15.959
2.48,0.41349,0.41935,0.61946,0.69922,0.59608,51.043,16.01
2.488,0.40958,0.41056,0.62438,0.68945,0.5902,50.847,15.699
2.496,0.40469,0.40371,0.62438,0.67969,0.5902,51.825,15.026
2.504,0.3998,0.39785,0.60468,0.67969,0.6,55.15,14.093
2.512,0.39492,0.39394,0.58005,0.66992,0.61569,61.799,13.212
2.52,0.39101,0.39003,0.55542,0.66406,0.64118,71.186,12.591
2.528,0.38612,0.38612,0.5197,0.66406,0.66471,81.943,12.176
2.536,0.38221,0.38221,0.48522,0.66016,0.6902,92.112,12.176
2.544,0.37732,0.3783,0.46059,0.6543,0.70588,101.11,12.332
2.552,0.37243,0.37439,0.44458,0.64453,0.72157,109.52,12.642
2.56,0.36755,0.3695,0.4298,0.64453,0.73137,116.56,12.953
2.568,0.36266,0.36559,0.41995,0.64062,0.73529,121.25,13.005
2.576,0.35679,0.3607,0.41995,0.63477,0.74118,123.4,12.953
2.584,0.35191,0.35582,0.41995,0.63477,0.73529,123.4,12.642
2.592,0.348,0.34995,0.41995,0.62891,0.74118,122.23,12.28
2.6,0.34311,0.34506,0.42488,0.62891,0.73529,120.47,11.969
2.608,0.3392,0.34115,0.4298,0.62891,0.73137,118.32,11.71
2.616,0.33431,0.33724,0.43473,0.62891,0.72549,115.78,11.503
2.624,0.32942,0.33236,0.43966,0.62891,0.72157,113.23,11.399
2.632,0.32551,0.32747,0.44458,0.63477,0.72157,110.3,11.399
2.64,0.32063,0.3216,0.44951,0.63477,0.72157,107.37,11.451
2.648,0.31574,0.31672,0.44951,0.63477,0.71569,104.43,11.554
2.656,0.31085,0.31085,0.44951,0.63477,0.71569,101.5,11.71
2.664,0.30596,0.30499,0.44951,0.63477,0.71569,98.957,11.865
2.672,0.30205,0.3001,0.44951,0.63477,0.72157,96.415,12.073
2.68,0.29717,0.29423,0.44458,0.63477,0.72157,93.872,12.28
2.688,0.29326,0.28935,0.44458,0.63477,0.72157,91.134,12.435
2.696,0.28935,0.28446,0.44951,0.63477,0.71569,88.396,12.642
2.704,0.28543,0.28055,0.46552,0.64062,0.70588,85.658,12.85
2.712,0.28152,0.27664,0.4803,0.6543,0.69608,82.725,13.005
2.72,0.27664,0.27175,0.49507,0.66016,0.6902,79.791,13.161
2.728,0.27273,0.26686,0.50985,0.66406,0.67647,76.662,13.264
2.736,0.26882,0.261,0.53941,0.66992,0.6549,73.729,13.472
2.744,0.26491,0.25904,0.55049,0.6543,0.6451,70.795,13.679
2.752,0.261,0.26002,0.55049,0.63477,0.6451,68.449,13.99
2.76,0.25806,0.26882,0.53941,0.61914,0.65098,66.493,14.404
2.768,0.25415,0.28543,0.52463,0.61523,0.6549,64.733,14.663
2.776,0.25024,0.31281,0.5,0.61523,0.67647,63.168,14.819
2.784,0.24731,0.34897,0.47044,0.61523,0.7,61.995,14.819
2.792,0.2434,0.39296,0.43473,0.61914,0.72549,61.017,14.663
2.8,0.23949,0.44086,0.41502,0.61914,0.73529,60.235,14.404
2.808,0.23558,0.48387,0.4101,0.61914,0.74118,59.844,14.093
2.816,0.23167,0.52395,0.40517,0.61914,0.75098,59.452,13.782
2.824,0.22776,0.565,0.40025,0.61914,0.75098,59.257,13.575
2.832,0.22385,0.60508,0.40025,0.61914,0.75098,59.257,13.472
2.84,0.22092,0.6393,0.40025,0.61914,0.75098,59.452,13.472
2.848,0.21799,0.66764,0.40025,0.625,0.75098,59.648,13.523
2.856,0.21603,0.6911,0.41995,0.625,0.73529,59.844,13.679
2.864,0.21408,0.7087,0.48522,0.5957,0.68039,60.039,13.938
2.872,0.21212,0.72239,0.63054,0.5293,0.5451,60.235,14.404
2.88,0.21017,0.73021,0.86453,0.41016,0.33529,60.235,14.974
2.888,0.20919,0.73509,1.0246,0.23438,0.18431,60.43,15.648
2.896,0.20723,0.73705,0.88054,0.14453,0.27451,60.235,16.269
2.904,0.20626,0.73509,0.58498,0.25,0.52941,60.235,16.839
2.912,0.20626,0.73118,0.40025,0.43945,0.71569,60.039,17.254
2.92,0.20626,0.7263,0.35468,0.58398,0.77647,59.844,17.461
2.928,0.20626,0.71945,0.35961,0.65039,0.78039,59.648,17.461
2.936,0.20626,0.71065,0.36946,0.67578,0.78039,59.257,17.202
2.944,0.20723,0.6999,0.38054,0.67969,0.77647,58.866,16.788
2.952,0.20723,0.68817,0.38547,0.68555,0.77647,58.475,16.269
2.96,0.20821,0.67449,0.39039,0.68945,0.76667,58.279,15.803
2.968,0.20919,0.65885,0.40025,0.68945,0.76078,57.692,15.492
2.976,0.21114,0.64125,0.4101,0.68945,0.7549,57.301,15.285
2.984,0.2131,0.62268,0.41502,0.68945,0.75098,56.715,15.13
2.992,0.21603,0.60215,0.41995,0.68945,0.74118,56.128,15.026
3,0.21799,0.5826,0.4298,0.68945,0.73529,55.737,14.819
3.008,0.21994,0.56403,0.43473,0.69531,0.73529,55.15,14.663
3.016,0.22092,0.54252,0.44951,0.69922,0.72549,54.759,14.456
