Time [s], RESP, ABP, CVP, PLETH, II, V, AVR
0.752,0.35582,82.334,17.718,0.25122,0.4451,0.56445,0.7098
0.76,0.34506,80.769,17.562,0.2522,0.44902,0.56445,0.71569
0.768,0.33529,79.4,17.445,0.25318,0.44902,0.56445,0.7098
0.776,0.32649,78.031,17.327,0.25513,0.44902,0.56445,0.71569
0.784,0.31672,76.662,17.21,0.25709,0.44902,0.57031,0.72157
0.792,0.30694,75.098,17.132,0.25806,0.44902,0.58008,0.7098
0.8,0.29814,73.533,17.093,0.25806,0.44902,0.58008,0.7098
0.808,0.28837,71.773,17.093,0.25806,0.4549,0.58008,0.70588
0.816,0.27957,70.013,17.093,0.25806,0.46078,0.58008,0.70588
0.824,0.27077,68.253,17.014,0.261,0.44902,0.57422,0.7098
0.832,0.26295,66.688,17.014,0.26882,0.4549,0.58398,0.70588
0.84,0.25513,65.124,16.936,0.28446,0.46078,0.58984,0.71569
0.848,0.24829,63.95,16.936,0.30987,0.46471,0.58984,0.7098
0.856,0.24242,62.973,17.093,0.34604,0.46078,0.59961,0.70588
0.864,0.23656,61.995,17.327,0.39101,0.46471,0.60547,0.70588
0.872,0.23167,61.408,17.64,0.44184,0.46078,0.59961,0.7
0.88,0.22678,61.017,17.836,0.49658,0.4902,0.625,0.68627
0.888,0.22287,60.626,17.875,0.54448,0.5,0.65039,0.68039
0.896,0.21896,60.626,17.875,0.58553,0.5,0.64453,0.68039
0.904,0.21505,60.626,17.836,0.62659,0.5098,0.65039,0.67647
0.912,0.21212,60.821,17.836,0.66373,0.53922,0.66992,0.6549
0.92,0.20919,61.017,17.875,0.69306,0.57059,0.69922,0.6451
0.928,0.20723,61.213,17.953,0.71359,0.56078,0.68945,0.64118
0.936,0.20528,61.604,18.031,0.72727,0.5451,0.68555,0.6549
0.944,0.20332,61.799,18.07,0.73314,0.5451,0.67969,0.6549
0.952,0.20235,62.19,18.07,0.73314,0.51961,0.66992,0.66471
0.96,0.20039,62.386,18.07,0.72825,0.5,0.65039,0.68039
0.968,0.19844,62.386,18.07,0.72043,0.46471,0.625,0.7
0.976,0.19746,62.582,18.07,0.70968,0.44902,0.60547,0.7098
0.984,0.19648,62.386,18.149,0.69795,0.4451,0.5957,0.72549
0.992,0.1955,62.19,18.188,0.68524,0.43529,0.5957,0.72157
1,0.19453,61.995,18.344,0.67253,0.42941,0.58984,0.72549
1.008,0.19453,61.604,18.344,0.65885,0.43529,0.5957,0.72157
1.016,0.19355,61.213,18.344,0.64418,0.42941,0.58984,0.72549
1.024,0.19257,60.821,18.188,0.6305,0.42941,0.5957,0.72157
1.032,0.19159,60.43,18.149,0.61584,0.42549,0.58984,0.72549
1.04,0.19159,59.844,18.188,0.60215,0.42941,0.59961,0.72549
1.048,0.19062,59.452,18.462,0.58749,0.43922,0.60547,0.72157
1.056,0.18964,58.866,18.774,0.57185,0.43922,0.62891,0.70588
1.064,0.18866,58.279,19.087,0.55621,0.44902,0.69531,0.66078
1.072,0.18768,57.888,19.126,0.53959,0.51569,0.84961,0.58039
1.08,0.18573,57.301,19.126,0.52199,0.6098,1.0293,0.46078
1.088,0.18475,56.91,19.087,0.50635,0.6451,1.0996,0.42549
1.096,0.18377,56.323,19.205,0.49071,0.50588,0.83984,0.56078
1.104,0.1828,55.932,19.439,0.4741,0.4549,0.66992,0.68627
1.112,0.18182,55.346,19.752,0.45552,0.42549,0.57422,0.72549
1.12,0.18182,54.954,20.026,0.43793,0.42549,0.56055,0.72549
1.128,0.18182,54.563,20.222,0.42033,0.43529,0.56055,0.72157
1.136,0.18084,54.172,20.339,0.40371,0.43529,0.57031,0.72549
1.144,0.18084,53.781,20.378,0.38905,0.43922,0.57422,0.72549
1.152,0.18084,53.39,20.339,0.37537,0.43922,0.56445,0.73137
1.16,0.17986,53.194,20.261,0.36364,0.4451,0.58008,0.72157
1.168,0.17986,52.803,20.065,0.35386,0.4451,0.58008,0.72549
1.176,0.17986,52.412,19.83,0.34506,0.4451,0.58984,0.72157
1.184,0.17986,52.216,19.518,0.34018,0.44902,0.58398,0.71569
1.192,0.18084,52.021,19.205,0.33627,0.4549,0.5957,0.7098
1.2,0.1828,51.63,18.892,0.33333,0.46078,0.58984,0.7098
1.208,0.18377,51.434,18.657,0.3304,0.46471,0.59961,0.70588
1.216,0.18573,51.434,18.462,0.32942,0.46078,0.59961,0.70588
1.224,0.18768,51.239,18.266,0.32845,0.46471,0.60547,0.70588
1.232,0.18964,51.043,18.149,0.32845,0.46471,0.60547,0.7
1.24,0.19159,50.652,18.07,0.32845,0.47059,0.61523,0.70588
1.248,0.19257,50.456,17.953,0.32845,0.47451,0.61523,0.69608
1.256,0.19453,50.261,17.875,0.32845,0.47451,0.625,0.68627
1.264,0.1955,49.87,17.757,0.32747,0.48039,0.62891,0.68039
1.272,0.19746,49.479,17.64,0.32747,0.4902,0.64062,0.67647
1.28,0.19844,49.283,17.523,0.32551,0.5,0.6543,0.66471
1.288,0.19941,49.087,17.327,0.32454,0.50588,0.67578,0.6549
1.296,0.20039,49.087,17.132,0.32356,0.51961,0.68945,0.6451
1.304,0.20235,50.261,17.014,0.32258,0.52549,0.69922,0.64118
1.312,0.2043,53.194,16.936,0.31965,0.53922,0.70898,0.62549
1.32,0.20528,59.061,16.819,0.31769,0.5451,0.7207,0.61961
1.328,0.20723,67.471,16.623,0.31378,0.55098,0.7207,0.61569
1.336,0.20821,76.662,16.506,0.31085,0.5451,0.72461,0.61961
1.344,0.20919,84.876,16.31,0.30694,0.53529,0.70898,0.62549
1.352,0.20919,91.917,16.154,0.30303,0.51961,0.68945,0.63529
1.36,0.21017,98.37,15.88,0.29912,0.50588,0.66406,0.6549
1.368,0.20919,103.65,15.684,0.29521,0.48039,0.63477,0.67647
1.376,0.20821,106.98,15.567,0.2913,0.47451,0.60938,0.68627
1.384,0.20723,108.54,15.372,0.28837,0.4549,0.58008,0.7
1.392,0.20626,108.15,15.254,0.28543,0.44902,0.57422,0.70588
1.4,0.2043,106.78,15.137,0.28152,0.43922,0.56055,0.7098
1.408,0.20332,104.43,15.02,0.27859,0.4451,0.56055,0.70588
1.416,0.20137,101.89,14.902,0.27468,0.43529,0.56055,0.7098
1.424,0.19941,99.348,14.746,0.27077,0.43922,0.55469,0.71569
1.432,0.19648,96.61,14.628,0.26784,0.4451,0.55078,0.7098
1.44,0.19355,94.068,14.511,0.26588,0.4451,0.56055,0.71569
1.448,0.18964,91.917,14.394,0.26295,0.4451,0.56055,0.7098
1.456,0.18573,89.765,14.276,0.26197,0.4451,0.55469,0.70588
1.464,0.18084,87.81,14.198,0.26002,0.44902,0.56055,0.70588
1.472,0.17693,86.245,14.12,0.26002,0.43922,0.56445,0.7098
1.48,0.17302,84.485,14.081,0.26002,0.4451,0.56445,0.7098
1.488,0.16911,83.116,14.081,0.26197,0.43922,0.57031,0.7098
1.496,0.1652,81.552,14.081,0.26295,0.44902,0.56445,0.7098
1.504,0.16129,80.183,14.081,0.26491,0.4451,0.57031,0.71569
1.512,0.1564,78.814,14.12,0.26588,0.44902,0.56445,0.70588
1.52,0.15249,77.445,14.198,0.26784,0.44902,0.56445,0.70588
1.528,0.14663,76.076,14.276,0.26882,0.44902,0.56445,0.70588
1.536,0.14174,74.511,14.394,0.26882,0.44902,0.57031,0.7098
1.544,0.13587,72.947,14.511,0.26882,0.4549,0.57422,0.70588
1.552,0.13099,71.186,14.707,0.26784,0.44902,0.57031,0.70588
1.56,0.1261,69.622,14.824,0.26979,0.46078,0.57422,0.70588
1.568,0.12219,67.862,14.902,0.27566,0.44902,0.57422,0.7098
1.576,0.11926,66.297,15.02,0.28837,0.46471,0.58008,0.70588
1.584,0.11535,64.928,15.059,0.30499,0.46471,0.58008,0.70588
1.592,0.11241,63.95,15.215,0.32942,0.47059,0.58008,0.69608
1.6,0.10948,62.973,15.254,0.36461,0.46471,0.58008,0.70588
1.608,0.10655,62.19,15.332,0.40958,0.47451,0.58984,0.69608
1.616,0.10362,61.799,15.372,0.46237,0.48039,0.59961,0.6902
1.624,0.10166,61.408,15.372,0.51711,0.5,0.61914,0.68039
1.632,0.099707,61.213,15.45,0.57087,0.5098,0.62891,0.67647
1.64,0.098729,61.213,15.372,0.62072,0.50588,0.62891,0.68039
1.648,0.096774,61.408,15.372,0.66276,0.52549,0.64453,0.6549
1.656,0.096774,61.408,15.332,0.69697,0.57451,0.68555,0.63529
1.664,0.095797,61.799,15.254,0.72141,0.5902,0.69531,0.62941
1.672,0.095797,61.995,15.215,0.73803,0.5549,0.67578,0.64118
1.68,0.095797,62.386,15.137,0.74585,0.55098,0.67578,0.64118
1.688,0.096774,62.582,15.059,0.7478,0.52941,0.66406,0.65098
1.696,0.097752,62.973,15.02,0.74487,0.50588,0.6543,0.66078
1.704,0.098729,62.973,15.02,0.739,0.47451,0.63477,0.68039
1.712,0.099707,62.973,14.941,0.73021,0.4549,0.60547,0.7
1.72,0.10068,62.973,14.902,0.71848,0.43529,0.59961,0.71569
1.728,0.10264,62.777,14.746,0.70577,0.43922,0.58984,0.71569
1.736,0.10362,62.582,14.707,0.69208,0.43529,0.5957,0.72157
1.744,0.10557,62.19,14.628,0.6784,0.43922,0.58398,0.71569
1.752,0.10753,61.799,14.628,0.66373,0.42941,0.58984,0.72549
1.76,0.1085,61.408,14.589,0.64907,0.43529,0.58398,0.72157
1.768,0.11046,61.017,14.589,0.63441,0.42941,0.58984,0.72549
1.776,0.11241,60.43,14.511,0.61975,0.43529,0.5957,0.71569
1.784,0.11339,60.039,14.511,0.60606,0.43529,0.60547,0.72157
1.792,0.11535,59.452,14.589,0.59238,0.44902,0.61914,0.70588
1.8,0.11535,58.866,14.628,0.57771,0.4451,0.6543,0.6902
1.808,0.11632,58.279,14.707,0.56207,0.48431,0.75977,0.61961
1.816,0.1173,57.888,14.824,0.54545,0.57059,0.92969,0.51569
1.824,0.11828,57.301,14.902,0.52884,0.6549,1.0996,0.4098
1.832,0.11828,56.715,15.02,0.51124,0.58431,0.98438,0.40392
1.84,0.11926,56.323,15.137,0.49267,0.49412,0.75977,0.61569
1.848,0.11926,55.737,15.254,0.47507,0.4549,0.625,0.7
1.856,0.11926,55.346,15.332,0.4565,0.4451,0.57031,0.71569
1.864,0.11926,54.759,15.45,0.43988,0.4451,0.57422,0.70588
1.872,0.11926,54.368,15.567,0.42326,0.44902,0.58984,0.7098
1.88,0.11926,53.977,15.645,0.41056,0.4549,0.58008,0.7098
1.888,0.11926,53.585,15.763,0.3998,0.46078,0.58008,0.71569
1.896,0.11926,53.194,15.841,0.38905,0.46471,0.58008,0.7098
1.904,0.12023,52.803,15.958,0.37928,0.47059,0.58984,0.7098
1.912,0.12121,52.412,15.997,0.37048,0.47451,0.58008,0.70588
1.92,0.12219,52.216,16.076,0.36364,0.47059,0.58398,0.7098
1.928,0.12317,51.825,16.076,0.35875,0.47451,0.5957,0.7
1.936,0.12512,51.63,16.154,0.35484,0.47451,0.5957,0.7
1.944,0.12708,51.239,16.154,0.35191,0.48431,0.5957,0.6902
1.952,0.12903,51.239,16.154,0.35093,0.47451,0.59961,0.69608
1.96,0.13001,51.043,16.154,0.34995,0.48039,0.60547,0.69608
1.968,0.13196,50.847,16.154,0.34995,0.48039,0.60547,0.69608
1.976,0.1349,50.652,16.193,0.34995,0.48431,0.60547,0.6902
1.984,0.13685,50.456,16.193,0.35093,0.4902,0.60938,0.6902
1.992,0.13978,50.065,16.271,0.35191,0.5,0.61914,0.68039
2,0.14272,49.87,16.389,0.35191,0.5,0.62891,0.68039
2.008,0.14565,49.479,16.467,0.35191,0.5098,0.63477,0.66078
2.016,0.14858,49.283,16.467,0.35093,0.51961,0.65039,0.66078
2.024,0.15152,49.087,16.31,0.34897,0.52549,0.66992,0.6549
2.032,0.15445,48.892,16.271,0.34702,0.53529,0.67578,0.65098
2.04,0.1564,49.283,16.154,0.34506,0.5451,0.69922,0.62941
2.048,0.15934,50.847,16.076,0.34213,0.55098,0.70898,0.62941
2.056,0.16129,55.15,15.997,0.33822,0.5549,0.72461,0.61569
2.064,0.16422,62.19,15.958,0.33431,0.56471,0.73047,0.6098
2.072,0.16618,70.991,15.841,0.3304,0.56471,0.74023,0.6098
2.08,0.16813,79.791,15.645,0.32649,0.5549,0.73047,0.6098
2.088,0.17009,87.614,15.528,0.32356,0.5451,0.7207,0.62549
2.096,0.17204,94.655,15.332,0.31867,0.53922,0.69531,0.63529
2.104,0.17302,100.72,15.254,0.31378,0.51961,0.66406,0.65098
2.112,0.17498,105.22,15.137,0.3089,0.49412,0.64453,0.66471
2.12,0.17595,107.95,15.02,0.30401,0.48039,0.61914,0.68039
2.128,0.17791,108.74,14.902,0.29912,0.47451,0.59961,0.68627
2.136,0.17889,107.95,14.746,0.29423,0.47059,0.58008,0.69608
2.144,0.17986,106,14.628,0.28935,0.46471,0.57031,0.7
2.152,0.17986,103.65,14.511,0.28543,0.4549,0.57031,0.70588
2.16,0.17986,100.91,14.394,0.28152,0.47059,0.56445,0.70588
2.168,0.17986,98.175,14.315,0.27761,0.4549,0.57031,0.70588
2.176,0.17986,95.632,14.198,0.27468,0.46078,0.57031,0.70588
2.184,0.17986,93.286,14.12,0.27273,0.4549,0.57422,0.70588
2.192,0.17986,91.134,14.081,0.27175,0.4549,0.57422,0.7
2.2,0.17889,88.983,14.003,0.26979,0.44902,0.57422,0.70588
2.208,0.17889,87.223,14.003,0.26882,0.44902,0.58008,0.7098
2.216,0.17791,85.658,14.003,0.26784,0.44902,0.58008,0.70588
2.224,0.17791,84.094,14.003,0.26686,0.46078,0.57422,0.70588
2.232,0.17791,82.529,14.003,0.26686,0.46471,0.57422,0.70588
2.24,0.17791,81.16,14.081,0.26784,0.46078,0.58008,0.70588
2.248,0.17889,79.791,14.081,0.26882,0.46471,0.58008,0.70588
2.256,0.18084,78.422,14.198,0.26882,0.46078,0.58008,0.70588
2.264,0.1828,77.054,14.276,0.26979,0.46471,0.58008,0.70588
2.272,0.18475,75.489,14.394,0.26882,0.46078,0.58398,0.70588
2.28,0.18768,73.924,14.511,0.26882,0.46471,0.58984,0.70588
2.288,0.19062,72.36,14.628,0.26882,0.46078,0.5957,0.70588
2.296,0.1955,70.6,14.824,0.26784,0.46078,0.58984,0.70588
2.304,0.20039,68.84,14.941,0.26882,0.46471,0.58984,0.70588
2.312,0.20626,67.08,15.137,0.27468,0.47451,0.5957,0.70588
2.32,0.21212,65.515,15.254,0.28739,0.47451,0.59961,0.7
2.328,0.21994,64.146,15.372,0.3089,0.47451,0.60547,0.69608
2.336,0.22776,62.973,15.45,0.34018,0.47451,0.60938,0.7
2.344,0.23656,62.19,15.567,0.38221,0.47451,0.61523,0.6902
2.352,0.24633,61.604,15.567,0.43109,0.47451,0.60938,0.69608
2.36,0.25513,61.213,15.645,0.48485,0.49412,0.62891,0.68039
2.368,0.26393,61.017,15.645,0.54057,0.50588,0.65039,0.68039
2.376,0.2737,61.017,15.645,0.59238,0.51569,0.6543,0.67647
2.384,0.2825,61.017,15.684,0.63343,0.5098,0.6543,0.67059
2.392,0.29521,61.408,15.684,0.66569,0.5549,0.67578,0.6451
2.4,0.30694,61.604,15.684,0.69404,0.5902,0.69922,0.62941
2.408,0.3216,61.995,15.684,0.71652,0.58039,0.68945,0.62941
2.416,0.33724,62.386,15.763,0.73216,0.56471,0.68555,0.63529
2.424,0.35093,62.777,15.763,0.74096,0.5549,0.69531,0.64118
2.432,0.36559,63.168,15.684,0.74291,0.53529,0.67969,0.6549
2.44,0.38025,63.364,15.645,0.73998,0.51569,0.66992,0.66471
2.448,0.39394,63.559,15.567,0.73314,0.4902,0.64453,0.68627
2.456,0.41056,63.755,15.528,0.72336,0.47059,0.625,0.70588
2.464,0.4262,63.559,15.45,0.71163,0.4549,0.60938,0.70588
2.472,0.44477,63.364,15.45,0.69892,0.44902,0.60547,0.70588
2.48,0.46334,63.168,15.372,0.68524,0.44902,0.59961,0.70588
2.488,0.48289,62.973,15.372,0.67253,0.44902,0.60547,0.70588
2.496,0.50244,62.386,15.372,0.65885,0.4451,0.60547,0.70588
2.504,0.52199,61.995,15.45,0.64418,0.43529,0.60938,0.71569
2.512,0.54252,61.408,15.45,0.6305,0.43922,0.60547,0.7098
2.52,0.56109,61.017,15.45,0.61584,0.43529,0.60547,0.71569
2.528,0.57967,60.43,15.528,0.60117,0.44902,0.60938,0.70588
2.536,0.59726,59.844,15.528,0.58553,0.4451,0.63477,0.69608
2.544,0.61486,59.257,15.528,0.56989,0.46078,0.70898,0.6549
2.552,0.63245,58.866,15.567,0.55327,0.52941,0.875,0.57451
2.56,0.65103,58.279,15.684,0.53666,0.63529,1.0801,0.46471
2.568,0.67058,57.888,15.841,0.51906,0.68039,1.1738,0.4098
2.576,0.69013,57.301,15.958,0.50147,0.53922,0.92969,0.52941
2.584,0.70772,56.91,16.076,0.48583,0.47059,0.70508,0.66078
2.592,0.72532,56.519,16.271,0.47019,0.42941,0.58984,0.70588
2.6,0.74194,56.128,16.506,0.45455,0.42549,0.57031,0.71569
2.608,0.75855,55.541,16.701,0.43891,0.43922,0.58008,0.71569
2.616,0.77615,55.346,16.897,0.42326,0.43922,0.58008,0.72157
2.624,0.79374,54.954,17.093,0.40958,0.44902,0.58008,0.7098
2.632,0.81232,54.563,17.249,0.39687,0.4451,0.58008,0.71569
2.64,0.82991,54.368,17.405,0.38612,0.44902,0.58008,0.7098
2.648,0.84946,53.977,17.562,0.37732,0.44902,0.58398,0.7098
2.656,0.86901,53.781,17.757,0.3695,0.4549,0.5957,0.70588
2.664,0.88856,53.585,17.875,0.36461,0.46078,0.5957,0.70588
2.672,0.90909,53.39,18.07,0.3607,0.4549,0.59961,0.7098
2.68,0.92669,53.194,18.188,0.35875,0.46471,0.59961,0.70588
2.688,0.94526,52.999,18.344,0.35777,0.4549,0.60547,0.7
2.696,0.96188,52.803,18.383,0.35777,0.47059,0.60547,0.7
2.704,0.97849,52.608,18.462,0.35875,0.47059,0.61523,0.7
2.712,0.98925,52.412,18.501,0.35973,0.47451,0.61914,0.69608
2.72,1,52.216,18.579,0.3607,0.47059,0.62891,0.69608
2.728,1,52.021,18.657,0.36168,0.48039,0.62891,0.68039
2.736,1,51.825,18.696,0.36266,0.48431,0.64453,0.68627
2.744,1,51.434,18.696,0.36266,0.49412,0.65039,0.68039
2.752,1,51.239,18.696,0.36266,0.5,0.66016,0.67059
2.76,1,50.847,18.696,0.36266,0.5098,0.67578,0.6549
2.768,1,50.652,18.657,0.36168,0.51569,0.68945,0.6549
2.776,1,50.847,18.579,0.35973,0.52549,0.69922,0.6451
2.784,1,52.021,18.501,0.35777,0.53529,0.72461,0.63529
2.792,1,55.346,18.501,0.35582,0.5451,0.74023,0.62549
2.8,1,61.604,18.462,0.35288,0.5451,0.75,0.62549
2.808,1,70.209,18.383,0.34995,0.5549,0.75977,0.6098
2.816,1,79.4,18.266,0.34604,0.56078,0.75391,0.61569
2.824,1,87.419,18.149,0.34213,0.55098,0.74414,0.61569
2.832,1,94.655,17.953,0.33822,0.52941,0.72461,0.63529
2.84,1,100.72,17.757,0.33431,0.51961,0.69531,0.65098
2.848,1,105.41,17.523,0.3304,0.50588,0.66992,0.66078
2.856,1,108.34,17.327,0.32649,0.4902,0.64453,0.68039
2.864,1,109.32,17.21,0.32258,0.47451,0.61523,0.68627
2.872,1,108.74,17.132,0.31867,0.46078,0.60547,0.7
2.88,1,107.17,17.014,0.31574,0.44902,0.58008,0.70588
2.888,1,104.82,16.897,0.31281,0.4451,0.58008,0.71569
2.896,1,102.28,16.701,0.31085,0.43529,0.57031,0.7098
2.904,1,99.544,16.584,0.30792,0.42941,0.56445,0.72157
2.912,1,97.001,16.389,0.30596,0.43529,0.56055,0.7098
2.92,1,94.655,16.193,0.30401,0.42941,0.56055,0.71569
2.928,1,92.308,16.076,0.30303,0.43529,0.55469,0.71569
2.936,1,90.157,15.88,0.30205,0.43529,0.56055,0.71569
2.944,1,88.396,15.763,0.30205,0.43922,0.55469,0.71569
2.952,1,86.636,15.567,0.30303,0.43529,0.55078,0.72157
2.96,1,84.876,15.45,0.30401,0.43922,0.55469,0.7098
2.968,1,83.507,15.332,0.30596,0.43529,0.55078,0.71569
2.976,1,82.138,15.215,0.3089,0.4451,0.55469,0.70588
2.984,1,80.769,15.059,0.31085,0.43922,0.56055,0.7098
2.992,1,79.596,14.941,0.31378,0.44902,0.55469,0.70588
3,1,78.227,14.824,0.31574,0.44902,0.56055,0.71569
3.008,1,77.054,14.707,0.31672,0.44902,0.56055,0.70588
3.016,1,75.489,14.628,0.31672,0.4451,0.56055,0.7098
3.024,1,74.12,14.589,0.31476,0.43922,0.56445,0.71569
3.032,1,72.36,14.511,0.31378,0.4451,0.57422,0.70588
3.04,1,70.6,14.511,0.31476,0.43922,0.58008,0.7098
3.048,1,69.035,14.511,0.31867,0.4451,0.57422,0.7098
